MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59404.442329,-22.994,3.152,-2,7,o,0,2.23,334.58788,6.12248,2917.45,1367.37,1.91,1.74,-0.3,-0.408,19.65,20.56,01a59404o0436o
59404.472133,20.971,0.643,15,10,o,0,1.57,334.58788,6.12248,2892.61,1325.9,1.78,1.74,61.2,-0.439,19.68,20.52,01a59404o0499o
59404.483459,-21.474,0.903,-9,8,o,0,1.91,334.58788,6.12248,2950.3,1406.44,1.83,1.77,61.4,-0.433,19.66,20.57,01a59404o0523o
59404.495415,22.93,4.417,2,11,o,0,1.18,334.58788,6.12248,2971.18,1286.83,1.81,1.76,10.1,-0.432,19.69,20.6,01a59404o0547o
59406.501491,-20.683,0.333,-19,6,c,0,1.54,334.58788,6.12248,3495.25,3574.74,2.28,2.18,35.9,-0.406,19.66,21.54,02a59406o0557c
59406.503321,20.972,0.567,15,8,c,0,1.17,334.58788,6.12248,3514.34,3613.41,2.25,2.16,38.6,-0.407,19.7,21.53,02a59406o0561c
59406.506522,-22.104,1.585,-5,8,c,0,1.48,334.58788,6.12248,3456.83,3535.7,2.31,2.24,45.3,-0.407,19.67,21.55,02a59406o0568c
59406.511564,-21.823,1.392,-7,9,c,0,1.23,334.58788,6.12248,3436.44,3652.46,2.36,2.2,31.1,-0.407,19.62,21.51,02a59406o0579c
59408.495298,20.746,0.374,18,7,o,0,2.25,334.58788,6.12248,3217.9,7184.92,2.13,1.87,-9.7,-0.402,19.61,20.76,01a59408o0552o
59408.502504,21.43,0.872,10,8,o,0,1.72,334.58788,6.12248,3201.36,7145.53,2.02,1.87,-18.3,-0.406,19.63,20.74,01a59408o0567o
59408.506193,20.518,0.412,22,9,o,0,1.37,334.58788,6.12248,3258.27,7222.74,2.14,1.98,-15.0,-0.408,19.55,20.72,01a59408o0575o
59408.511757,22.559,2.409,3,8,o,0,2.67,334.58788,6.12248,3279.54,7107.62,1.99,1.89,-32.5,-0.412,19.63,20.72,01a59408o0587o
59412.414411,25.949,61.0,0,9,o,0,1.48,334.58788,6.12248,3212.21,7185.24,1.92,1.82,-38.2,-0.408,19.61,20.74,01a59412o0377o
59412.435842,-20.78,0.462,-18,8,o,0,1.47,334.58788,6.12248,3190.72,7143.23,2.0,1.76,-78.5,-0.423,19.78,21.08,01a59412o0423o
59412.450595,22.047,1.229,6,7,o,0,1.91,334.58788,6.12248,3252.89,7221.25,1.98,1.79,-75.2,-0.427,19.73,21.07,01a59412o0454o
59412.45615,20.757,0.521,18,9,o,0,1.02,334.58788,6.12248,3273.34,7106.46,2.0,1.89,-68.1,-0.417,19.58,20.93,01a59412o0466o
59414.483975,21.375,0.958,10,10,c,0,1.36,334.58788,6.12248,1644.09,5601.25,2.52,2.46,12.1,-0.408,19.57,21.31,02a59414o0516c
59414.485804,20.16,0.333,31,10,c,0,0.99,334.58788,6.12248,1663.2,5640.21,2.6,2.52,14.1,-0.394,19.57,21.37,02a59414o0520c
59414.488547,21.485,1.052,9,10,c,0,1.42,334.58788,6.12248,1603.97,5562.37,2.75,2.58,8.0,-0.393,19.54,21.45,02a59414o0526c
59414.494037,22.356,2.5,4,10,c,0,0.94,334.58788,6.12248,1584.91,5678.64,2.6,2.53,19.9,-0.399,19.58,21.52,02a59414o0538c
59416.466702,16.41,1.57,991,1556,o,0,1.79,334.58788,6.12248,8845.73,3012.4,2.14,2.02,-55.4,-0.397,14.1,13.57,01a59416o0502o
59416.47362,-16.827,1.145,-675,772,o,0,1.1,334.58788,6.12248,8823.54,2973.76,2.18,2.02,-65.6,-0.397,14.9,14.35,01a59416o0517o
59416.477313,20.079,5.076,34,171,o,0,0.72,334.58788,6.12248,8883.04,3051.84,2.18,2.01,-59.1,-0.412,16.47,16.16,01a59416o0525o
59416.489369,-15.524,1.265,-2242,2836,o,0,1.0,334.58788,6.12248,8902.85,2934.27,2.21,2.1,-43.4,-0.387,13.88,13.52,01a59416o0551o
59424.553076,18.913,0.152,99,15,o,0,1.36,334.58788,6.12248,1519.14,3699.32,2.08,1.96,85.0,-0.399,18.88,19.33,01a59424o0679o
59424.556758,18.782,0.186,112,21,o,0,1.29,334.58788,6.12248,1538.56,3738.13,2.01,1.89,78.1,-0.411,18.75,19.12,01a59424o0687o
59424.566691,19.249,0.308,72,22,o,0,0.95,334.58788,6.12248,1482.18,3658.74,1.97,1.88,-88.8,-0.417,18.71,19.03,01a59424o0708o
59424.574993,18.447,0.332,152,50,o,0,0.75,334.58788,6.12248,1465.43,3773.9,2.02,1.95,-88.4,-0.415,17.96,17.97,01a59424o0726o
59426.539243,18.958,0.123,95,12,o,0,1.39,334.58788,6.12248,6909.31,3118.72,2.23,2.09,50.8,-0.416,19.41,20.51,02a59426o0649o
59426.542062,18.728,0.096,117,11,o,0,1.21,334.58788,6.12248,6891.4,3080.78,2.26,2.06,49.3,-0.42,19.41,20.56,02a59426o0655o
59426.577193,18.722,0.11,118,13,o,0,1.07,334.58788,6.12248,6943.64,3161.61,2.34,2.14,44.4,-0.413,19.4,20.61,02a59426o0730o
59426.605487,18.913,0.104,99,10,o,0,1.83,334.58788,6.12248,6963.01,3045.2,2.3,2.03,38.2,-0.411,19.37,20.5,02a59426o0789o
59428.505266,18.907,0.094,99,9,o,0,1.1,334.58788,6.12248,1510.87,3708.63,2.3,1.97,-7.3,-0.393,19.68,21.04,01a59428o0580o
59428.508951,19.276,0.143,71,10,o,0,1.42,334.58788,6.12248,1531.93,3746.86,2.34,2.06,-11.4,-0.393,19.63,21.03,01a59428o0588o
59428.516677,18.862,0.089,104,9,o,0,1.47,334.58788,6.12248,1474.67,3666.98,2.6,1.95,-3.2,-0.394,19.61,21.07,01a59428o0604o
59428.551642,18.809,0.068,109,7,o,0,2.36,334.58788,6.12248,1464.23,3775.86,1.99,1.9,-13.4,-0.409,19.72,20.96,01a59428o0679o
59432.452875,18.832,0.062,106,7,c,0,1.99,334.58788,6.12248,4953.96,3212.72,2.19,2.13,-32.2,-0.378,19.93,21.85,01a59432o0476c
59432.454773,18.802,0.057,109,6,c,0,1.63,334.58788,6.12248,4934.86,3174.23,2.37,2.19,-4.4,-0.376,19.91,21.88,01a59432o0480c
59432.459382,18.799,0.066,110,7,c,0,1.61,334.58788,6.12248,4993.13,3251.53,2.19,2.13,-33.7,-0.384,19.96,21.89,01a59432o0490c
59432.481252,19.012,0.073,90,7,c,0,1.41,334.58788,6.12248,5538.19,7443.74,2.36,2.21,-71.2,-0.374,19.89,21.9,01a59432o0536c
59434.497044,18.954,0.111,95,11,o,0,1.33,334.58788,6.12248,6824.62,1165.84,2.01,1.83,-61.8,-0.455,19.61,20.82,02a59434o0569o
59434.502678,18.868,0.124,103,13,o,0,0.87,334.58788,6.12248,6806.29,1131.25,2.0,1.82,-61.9,-0.455,19.62,20.83,02a59434o0581o
59434.506102,18.853,0.109,104,11,o,0,0.88,334.58788,6.12248,6862.91,1209.23,2.02,1.84,-63.2,-0.452,19.57,20.81,02a59434o0588o
59434.538001,18.909,0.116,99,12,o,0,1.23,334.58788,6.12248,6882.37,1093.8,2.0,1.77,-60.4,-0.463,19.55,20.7,02a59434o0657o
59436.434003,18.933,0.077,97,8,c,0,1.13,334.58788,6.12248,4957.27,3217.15,2.14,2.08,-43.9,-0.394,19.98,21.85,01a59436o0422c
59436.435845,18.978,0.076,93,7,c,0,1.48,334.58788,6.12248,4937.56,3178.45,2.13,2.07,-68.9,-0.39,20.0,21.86,01a59436o0426c
59436.439082,18.886,0.084,101,8,c,0,0.83,334.58788,6.12248,4996.13,3255.97,2.16,2.08,-53.0,-0.389,19.99,21.88,01a59436o0433c
59436.444168,19.054,0.092,87,8,c,0,0.9,334.58788,6.12248,5015.89,3139.94,2.11,2.08,-44.0,-0.39,19.99,21.89,01a59436o0444c
59438.438989,19.016,0.11,90,10,o,0,2.21,334.58788,6.12248,3756.1,9397.55,2.25,1.86,-52.7,-0.442,19.69,21.03,02a59438o0447o
59438.440817,19.503,0.229,57,13,o,0,0.87,334.58788,6.12248,3776.02,9436.84,2.2,1.89,-50.1,-0.437,19.64,21.03,02a59438o0451o
