MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59403.357613,-24.186,13.5,-1,10,o,0,1.07,240.54252,-24.36902,3274.97,7276.17,1.89,1.8,-68.5,-0.413,19.54,20.55,01a59403o0256o
59403.360835,20.958,0.697,15,10,o,0,0.96,240.54252,-24.36902,3294.92,7314.07,1.93,1.84,-56.5,-0.418,19.52,20.55,01a59403o0263o
59403.366823,-21.182,0.721,-12,9,o,0,2.08,240.54252,-24.36902,3236.78,7236.92,1.88,1.84,-52.5,-0.425,19.46,20.47,01a59403o0276o
59403.402244,21.585,1.463,8,12,o,0,0.89,240.54252,-24.36902,3210.21,7351.07,2.09,1.93,-41.3,-0.402,19.28,20.28,01a59403o0352o
59405.335059,21.264,1.116,11,13,c,0,0.9,240.54252,-24.36902,8234.07,8920.57,2.91,2.45,44.2,-0.39,19.55,21.23,02a59405o0199c
59405.338271,20.451,0.453,24,11,c,0,1.38,240.54252,-24.36902,8215.06,8884.2,2.7,2.57,58.2,-0.398,19.54,21.24,02a59405o0206c
59405.343787,21.393,1.081,10,11,c,0,1.0,240.54252,-24.36902,8275.82,8957.92,2.74,2.57,56.5,-0.391,19.56,21.25,02a59405o0218c
59405.354158,20.297,0.385,28,11,c,0,1.19,240.54252,-24.36902,8295.12,8843.58,2.74,2.57,56.6,-0.397,19.48,21.16,02a59405o0240c
59407.377839,-16.83,2.0,-673,1346,o,0,0.89,240.54252,-24.36902,3267.39,7269.95,1.9,1.84,-28.6,-0.413,14.65,15.85,01a59407o0032o
59407.398497,15.488,0.627,2315,1453,o,0,0.9,240.54252,-24.36902,3291.97,7306.16,2.13,2.06,-54.7,-0.402,14.89,16.16,01a59407o0076o
59407.402655,-16.128,0.712,-1284,914,o,0,1.06,240.54252,-24.36902,3234.18,7228.52,2.13,2.06,-54.9,-0.399,14.51,15.78,01a59407o0085o
59409.32474,-23.271,6.333,-2,11,c,0,1.08,240.54252,-24.36902,8236.57,8915.84,2.96,2.9,80.8,-0.375,19.41,21.21,02a59409o0178c
59409.327942,-21.628,1.306,-8,11,c,0,1.41,240.54252,-24.36902,8217.35,8877.51,3.18,3.11,-78.3,-0.371,19.3,21.23,02a59409o0185c
59409.334359,21.329,1.07,11,11,c,0,1.75,240.54252,-24.36902,8278.42,8955.86,3.37,3.27,-84.1,-0.365,19.27,21.25,02a59409o0199c
59409.346275,-21.313,1.115,-11,12,c,0,0.96,240.54252,-24.36902,8298.97,8842.19,3.05,2.96,83.0,-0.372,19.45,21.29,02a59409o0225c
59411.328433,22.377,2.357,4,10,o,0,1.7,240.54252,-24.36902,6229.44,1430.95,2.18,2.13,-11.0,-0.394,19.41,20.38,01a59411o0196o
59411.331662,21.109,0.824,13,11,o,0,0.98,240.54252,-24.36902,6248.78,1469.43,2.11,1.97,-71.7,-0.409,19.45,20.37,01a59411o0203o
59411.337194,-21.442,1.435,-10,14,o,0,0.9,240.54252,-24.36902,6189.62,1390.1,2.29,2.21,-56.9,-0.385,19.33,20.37,01a59411o0215o
59411.347818,21.85,1.492,7,10,o,0,1.2,240.54252,-24.36902,6170.59,1506.66,2.29,2.22,-76.7,-0.383,19.28,20.36,01a59411o0238o
59413.292846,20.224,1.126,30,33,o,0,1.61,240.54252,-24.36902,10065.9,6845.2,2.59,2.43,-68.1,-0.431,18.68,19.17,02a59413o0111o
59413.296757,-21.069,2.476,-14,34,o,0,1.32,240.54252,-24.36902,10045.9,6803.3,2.63,2.44,-65.0,-0.432,18.63,19.14,02a59413o0119o
59413.302249,-19.167,7.33,-78,573,o,0,1.36,240.54252,-24.36902,10107.07,6890.2,3.0,2.68,-66.9,-0.507,16.76,17.62,02a59413o0131o
59413.336467,-20.189,0.933,-30,28,o,0,1.35,240.54252,-24.36902,10126.24,6773.31,2.78,2.44,-66.5,-0.42,18.69,19.26,02a59413o0205o
