MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59406.292771,21.621,0.898,8,7,o,0,1.93,216.15579,58.55486,1780.87,9288.17,1.73,1.55,-64.7,-0.444,19.91,21.12,01a59406o0114o
59406.29692,22.065,1.411,5,8,o,0,0.95,216.15579,58.55486,1802.78,9327.09,1.74,1.57,-66.0,-0.44,19.88,21.12,01a59406o0123o
59406.302444,-23.255,4.621,-2,8,o,0,1.78,216.15579,58.55486,1739.2,9246.9,1.76,1.61,-59.2,-0.441,19.81,21.1,01a59406o0135o
59406.312627,22.348,2.297,4,10,o,0,1.76,216.15579,58.55486,1721.85,9364.49,1.76,1.6,-62.5,-0.442,19.81,21.07,01a59406o0157o
59408.288305,-21.899,1.347,-6,8,c,0,1.45,216.15579,58.55486,5145.21,6866.04,2.39,2.29,-58.7,-0.404,19.67,21.47,02a59408o0098c
59408.29155,-22.573,2.5,-3,8,c,0,1.26,216.15579,58.55486,5127.66,6830.63,2.31,2.21,-53.7,-0.412,19.7,21.5,02a59408o0105c
59408.297047,-21.169,0.588,-12,7,c,0,2.84,216.15579,58.55486,5181.15,6903.93,2.29,2.23,-57.8,-0.41,19.74,21.53,02a59408o0117c
59408.309021,-21.752,1.224,-7,9,c,0,1.36,216.15579,58.55486,5201.58,6787.82,2.33,2.25,-59.3,-0.411,19.73,21.62,02a59408o0143c
59410.279277,-20.132,0.272,-32,9,o,0,1.6,216.15579,58.55486,9164.55,3318.54,2.33,2.01,-79.4,-0.435,19.8,21.08,01a59410o0088o
59410.282558,21.472,0.843,9,8,o,0,2.88,216.15579,58.55486,9184.14,3356.69,2.48,2.15,-80.4,-0.404,19.68,21.08,01a59410o0095o
59410.289015,21.169,0.991,12,12,o,0,1.08,216.15579,58.55486,9127.49,3282.61,2.44,2.07,-81.5,-0.422,19.71,21.05,01a59410o0109o
59410.302384,21.498,1.091,9,10,o,0,2.34,216.15579,58.55486,9111.61,3400.79,2.57,2.13,-81.7,-0.424,19.64,21.01,01a59410o0138o
59412.337471,21.159,1.206,12,15,o,0,1.31,216.15579,58.55486,3179.04,4858.72,2.24,2.13,37.9,-0.427,19.27,20.3,02a59412o0208o
59412.340716,-21.052,1.024,-14,14,o,0,1.99,216.15579,58.55486,3159.04,4818.65,2.07,2.04,-1.7,-0.445,19.3,20.31,02a59412o0215o
59412.347663,-23.46,10.429,-2,16,o,0,0.92,216.15579,58.55486,3216.96,4894.49,2.05,2.0,14.7,-0.44,19.31,20.29,02a59412o0230o
59412.361009,-21.859,1.672,-7,11,o,0,2.33,216.15579,58.55486,3237.74,4779.56,2.14,2.0,34.4,-0.437,19.3,20.28,02a59412o0259o
