MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59406.597017,21.563,1.319,9,11,c,0,1.64,38.92524,1.22394,5035.4,2890.96,2.68,2.42,42.3,-0.39,19.27,20.97,02a59406o0765c
59406.601153,-20.918,0.756,-16,12,c,0,1.53,38.92524,1.22394,5054.9,2929.83,2.46,2.3,43.3,-0.395,19.21,20.82,02a59406o0774c
59406.612511,22.225,2.966,5,14,c,0,1.1,38.92524,1.22394,4998.8,2851.39,2.46,2.3,45.7,-0.399,19.24,20.73,02a59406o0798c
59406.622802,19.512,0.505,57,29,c,0,1.17,38.92524,1.22394,4979.55,2967.51,2.47,2.28,43.1,-0.398,18.36,19.38,02a59406o0820c
59408.59262,22.156,2.576,5,13,o,0,1.34,38.92524,1.22394,1638.96,7867.71,2.05,1.9,-67.3,-0.418,19.43,20.32,01a59408o0760o
59408.602454,20.107,0.316,33,10,o,0,2.21,38.92524,1.22394,1624.76,7831.06,1.85,1.7,-72.8,-0.431,19.56,20.36,01a59408o0781o
59408.611918,22.798,4.028,3,11,o,0,1.22,38.92524,1.22394,1682.69,7907.76,1.97,1.8,-68.1,-0.423,19.5,20.32,01a59408o0801o
59408.617909,-20.106,0.323,-33,11,o,0,2.27,38.92524,1.22394,1704.61,7792.06,1.86,1.74,-59.7,-0.415,19.34,19.87,01a59408o0814o
59412.592741,21.796,1.257,7,9,o,0,1.74,38.92524,1.22394,1641.09,7869.08,2.21,2.11,-60.8,-0.4,19.58,20.91,01a59412o0758o
59412.612563,-20.069,0.182,-34,6,o,0,3.55,38.92524,1.22394,1626.53,7830.82,2.01,1.83,-72.8,-0.422,19.66,20.8,01a59412o0800o
59412.616707,-22.893,4.437,-2,11,o,0,1.25,38.92524,1.22394,1686.58,7909.72,2.04,1.84,-70.7,-0.416,19.53,20.5,01a59412o0809o
59412.623312,20.518,0.929,22,21,o,0,1.02,38.92524,1.22394,1708.39,7793.35,1.95,1.77,-71.6,-0.418,18.72,19.04,01a59412o0823o
59414.586632,-21.723,1.75,-7,13,c,0,0.93,38.92524,1.22394,4237.42,4921.0,2.97,2.7,26.8,-0.372,19.3,21.02,02a59414o0739c
59414.590294,20.78,0.776,18,14,c,0,0.99,38.92524,1.22394,4255.77,4959.66,2.93,2.68,25.4,-0.379,19.34,21.02,02a59414o0747c
59414.607794,-23.295,6.273,-2,11,c,0,1.11,38.92524,1.22394,4199.5,4882.54,2.78,2.5,25.7,-0.377,19.41,21.05,02a59414o0785c
59414.618409,21.534,1.375,9,12,c,0,1.28,38.92524,1.22394,4181.46,4997.73,2.77,2.53,30.0,-0.376,19.27,20.73,02a59414o0808c
59424.599664,19.68,1.822,49,89,o,0,0.65,38.92524,1.22394,7461.08,7583.31,2.14,2.11,-84.3,-0.395,17.38,17.13,01a59424o0779o
59424.60848,21.16,5.446,12,68,o,0,0.89,38.92524,1.22394,7442.85,7547.42,2.12,2.08,-39.0,-0.387,17.55,17.42,01a59424o0798o
59424.611704,18.234,0.46,185,85,o,0,0.74,38.92524,1.22394,7501.02,7623.63,2.05,2.03,-29.6,-0.401,17.62,17.57,01a59424o0805o
59424.626404,18.783,0.441,111,49,o,0,1.47,38.92524,1.22394,7522.94,7505.68,1.97,1.92,-13.9,-0.405,17.71,17.38,01a59424o0836o
59428.5894,19.355,0.18,66,12,o,0,1.22,38.92524,1.22394,7458.46,7581.26,2.18,2.06,-6.1,-0.409,19.54,20.59,01a59428o0760o
59428.611857,18.933,0.098,97,10,o,0,1.69,38.92524,1.22394,7443.22,7540.33,2.24,2.0,-3.2,-0.398,19.58,20.63,01a59428o0807o
59428.61765,19.06,0.152,86,13,o,0,1.15,38.92524,1.22394,7501.66,7618.16,2.75,2.09,0.5,-0.382,19.35,20.53,01a59428o0819o
59428.627232,19.074,0.21,85,18,o,0,1.36,38.92524,1.22394,7524.06,7497.7,2.6,2.2,1.5,-0.378,18.87,19.4,01a59428o0839o
59432.551217,18.978,0.095,93,9,c,0,1.55,38.92524,1.22394,2357.24,3894.26,2.53,2.42,64.1,-0.393,19.75,21.53,01a59432o0685c
59432.554093,19.093,0.107,84,9,c,0,1.04,38.92524,1.22394,2337.53,3855.87,2.67,2.56,71.4,-0.386,19.66,21.55,01a59432o0691c
59432.562422,18.942,0.093,96,9,c,0,1.25,38.92524,1.22394,2397.82,3934.91,2.52,2.33,82.9,-0.397,19.76,21.59,01a59432o0709c
59432.572443,18.803,0.083,109,9,c,0,1.55,38.92524,1.22394,2418.87,3816.57,2.53,2.36,80.1,-0.396,19.75,21.63,01a59432o0730c
59434.579498,19.021,0.142,90,13,o,0,1.32,38.92524,1.22394,6358.04,8706.1,2.1,2.01,46.7,-0.448,19.54,20.63,02a59434o0747o
59434.582726,19.027,0.135,89,12,o,0,1.57,38.92524,1.22394,6377.15,8745.35,2.1,2.0,32.9,-0.452,19.52,20.61,02a59434o0754o
59434.591914,19.152,0.145,79,12,o,0,1.66,38.92524,1.22394,6319.67,8667.68,2.08,2.04,89.7,-0.444,19.55,20.65,02a59434o0774o
59434.610735,18.99,0.132,92,12,o,0,1.53,38.92524,1.22394,6298.64,8784.36,2.21,2.09,36.2,-0.442,19.56,20.74,02a59434o0815o
