MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58800.397512,21.599,2.47,8,21,o,0,1.13,1.82476,0.83832,9181.81,9228.48,2.38,1.74,-85.7,-0.389,18.89,19.09,01a58800o0402o
58800.4003,-20.772,0.995,-18,18,o,0,1.41,1.82476,0.83832,9202.33,9266.9,2.35,1.72,-85.4,-0.391,18.87,19.08,01a58800o0408o
58800.406436,-21.109,1.353,-13,18,o,0,1.4,1.82476,0.83832,9142.95,9189.45,2.34,1.79,-86.9,-0.399,18.86,19.05,01a58800o0421o
58800.417605,20.477,0.918,23,22,o,0,0.94,1.82476,0.83832,9123.96,9310.3,2.32,1.61,-83.2,-0.395,18.85,18.99,01a58800o0445o
58801.432157,21.147,1.108,13,14,o,0,1.43,1.82476,0.83832,9180.29,9235.09,2.04,1.59,-88.8,-0.403,19.04,19.27,01a58801o0522o
58801.435981,-20.617,0.789,-21,16,o,0,1.4,1.82476,0.83832,9199.83,9275.51,2.07,1.69,-87.2,-0.4,18.99,19.25,01a58801o0530o
58801.441445,21.177,1.227,12,15,o,0,1.3,1.82476,0.83832,9137.86,9198.11,2.13,1.59,-86.3,-0.405,18.96,19.21,01a58801o0541o
58801.452318,24.04,25.375,1,22,o,0,1.19,1.82476,0.83832,9118.94,9317.91,2.49,2.09,87.4,-0.389,18.73,19.12,01a58801o0564o
58802.365832,-21.462,1.381,-9,13,o,0,2.07,1.82476,0.83832,5596.54,6926.24,2.17,1.89,48.8,-0.439,19.17,19.76,02a58802o0392o
58802.369102,21.839,2.227,7,15,o,0,1.2,1.82476,0.83832,5578.12,6887.36,2.26,1.89,49.0,-0.437,19.15,19.77,02a58802o0399o
58802.37536,21.414,1.316,10,13,o,0,1.64,1.82476,0.83832,5632.43,6965.86,2.23,1.91,47.7,-0.441,19.14,19.77,02a58802o0412o
58802.385526,-20.179,0.553,-31,17,o,0,0.99,1.82476,0.83832,5651.4,6849.51,2.15,1.86,47.4,-0.442,19.18,19.74,02a58802o0433o
58808.333934,21.815,1.329,7,9,o,0,1.57,1.82476,0.83832,8840.39,3397.47,2.37,1.87,-87.0,-0.423,19.56,20.65,01a58808o0156o
58808.336747,20.887,0.59,16,10,o,0,1.62,1.82476,0.83832,8859.86,3436.25,2.34,1.87,-86.5,-0.422,19.57,20.66,01a58808o0162o
58808.343258,23.497,7.375,1,11,o,0,1.3,1.82476,0.83832,8801.19,3359.47,2.33,1.8,-86.2,-0.435,19.6,20.69,01a58808o0176o
58808.354383,22.537,2.658,4,9,o,0,1.46,1.82476,0.83832,8782.57,3477.57,2.36,1.79,-86.9,-0.445,19.55,20.68,01a58808o0200o
