MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59414.3202,-21.0,0.847,-14,12,o,0,2.01,241.95045,39.19365,8192.2,246.91,2.18,1.98,-55.0,-0.398,19.49,20.13,01a59414o0178o
59414.322963,-19.509,0.334,-57,19,o,0,5.28,241.95045,39.19365,1469.91,10527.64,1.84,1.6,-63.1,-0.484,19.48,20.17,01a59414o0184o
59414.323424,-21.249,1.148,-12,13,o,0,2.61,241.95045,39.19365,8212.88,285.09,2.21,1.98,-57.2,-0.391,19.46,20.13,01a59414o0185o
59414.329449,20.114,0.367,33,12,o,0,2.15,241.95045,39.19365,8156.79,208.44,2.28,2.07,-42.8,-0.386,19.37,20.11,01a59414o0198o
59414.332256,-19.379,0.223,-64,14,o,0,3.81,241.95045,39.19365,1430.01,10486.42,1.95,1.71,-65.4,-0.472,19.44,20.16,01a59414o0204o
59414.340088,-21.049,0.828,-14,11,o,0,3.92,241.95045,39.19365,8139.46,325.93,2.14,1.93,-50.7,-0.39,19.44,20.06,01a59414o0221o
59416.315652,21.293,2.56,11,28,o,0,2.09,241.95045,39.19365,4704.6,8007.54,2.2,2.07,-53.7,-0.428,18.55,19.15,02a59416o0158o
59416.319798,19.401,0.731,63,46,o,0,1.81,241.95045,39.19365,4685.29,7968.14,2.16,1.92,-54.8,-0.457,18.5,18.79,02a59416o0167o
59416.325302,19.201,5.15,76,390,o,0,1.0,241.95045,39.19365,4741.72,8044.92,2.24,2.12,-51.9,-0.509,17.11,17.12,02a59416o0179o
59416.337223,19.696,14.568,48,700,o,0,0.94,241.95045,39.19365,4758.76,7929.43,2.12,2.03,-55.8,-0.462,16.36,16.36,02a59416o0205o
59418.334286,20.049,0.593,35,21,o,0,1.11,241.95045,39.19365,9198.24,4395.66,2.56,2.17,-80.9,-0.405,18.93,19.39,01a59418o0210o
59418.337512,-20.502,0.788,-23,18,o,0,1.74,241.95045,39.19365,9220.25,4434.33,2.48,2.18,-77.7,-0.408,18.97,19.38,01a59418o0217o
59418.346319,-20.827,1.51,-17,26,o,0,1.04,241.95045,39.19365,9163.38,4359.22,3.03,2.71,-76.6,-0.396,18.71,19.34,01a59418o0236o
59418.367533,21.727,2.46,7,18,o,0,1.58,241.95045,39.19365,9145.55,4476.04,2.54,2.21,-74.0,-0.406,18.92,19.28,01a59418o0282o
59420.313955,-22.735,5.382,-3,16,o,0,1.9,241.95045,39.19365,7866.15,2215.04,1.98,1.7,-56.1,-0.448,19.17,19.69,02a59420o0160o
59420.317162,22.35,3.163,4,13,o,0,3.12,241.95045,39.19365,7847.12,2176.9,1.92,1.73,-59.6,-0.451,19.17,19.68,02a59420o0167o
59420.324495,21.243,1.098,12,13,o,0,3.52,241.95045,39.19365,7905.61,2255.4,1.98,1.72,-57.8,-0.45,19.2,19.65,02a59420o0183o
59420.335491,25.368,51.333,0,13,o,0,3.1,241.95045,39.19365,7926.02,2139.51,1.95,1.72,-54.7,-0.454,19.13,19.62,02a59420o0207o
