MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59416.501951,15.648,1.608,1999,3214,o,0,1.03,340.60245,6.96065,7448.66,4638.54,2.16,2.03,-26.1,-0.405,13.45,13.02,01a59416o0578o
59416.504303,-18.145,1.0,-200,200,o,0,1.38,340.60245,6.96065,7428.89,4599.41,2.18,2.07,-25.7,-0.401,16.25,16.05,01a59416o0583o
59416.507067,-14.279,1.453,-7051,10248,o,0,1.07,340.60245,6.96065,7488.42,4676.57,2.09,1.97,-13.0,-0.396,13.27,13.15,01a59416o0589o
59419.504655,20.266,1.2,28,34,o,0,1.53,340.60245,6.96065,3279.77,9811.33,2.09,1.77,-51.2,-0.451,18.51,18.75,02a59419o0566o
59419.506483,-24.303,84.333,-1,58,o,0,1.15,340.60245,6.96065,3298.38,9851.43,2.15,1.81,-50.7,-0.457,18.02,18.26,02a59419o0570o
59419.509243,-19.365,1.326,-65,86,o,0,1.68,340.60245,6.96065,3240.37,9772.68,2.13,1.83,-54.1,-0.462,17.53,18.3,02a59419o0576o
59419.580101,-18.295,1.015,-175,177,o,0,0.7,340.60245,6.96065,7367.16,675.88,2.01,1.8,-66.1,-0.482,17.46,17.95,02a59419o0649o
59424.554455,-21.747,2.753,-7,20,o,0,1.22,340.60245,6.96065,2895.82,2070.5,2.09,2.03,13.9,-0.403,18.81,19.16,01a59424o0682o
59424.568073,-21.062,1.887,-14,26,o,0,0.79,340.60245,6.96065,2918.91,2105.89,1.97,1.91,42.2,-0.399,18.58,18.74,01a59424o0711o
59424.576838,-19.035,0.439,-88,39,o,0,1.38,340.60245,6.96065,2860.95,2027.04,1.96,1.93,5.0,-0.395,18.09,18.03,01a59424o0730o
59424.580523,-21.156,2.635,-12,33,o,0,1.61,340.60245,6.96065,2842.59,2143.46,2.07,2.03,87.2,-0.388,18.09,18.18,01a59424o0738o
59426.54481,23.795,10.556,1,12,o,0,1.2,340.60245,6.96065,5521.0,4739.15,2.46,2.03,43.1,-0.418,19.41,20.52,02a59426o0661o
59426.579949,22.272,2.538,4,11,o,0,0.94,340.60245,6.96065,5498.27,4703.43,2.34,1.99,44.9,-0.421,19.48,20.6,02a59426o0736o
59426.606405,21.629,1.371,8,11,o,0,1.23,340.60245,6.96065,5553.74,4780.98,2.34,1.98,42.7,-0.425,19.46,20.53,02a59426o0791o
59426.629603,-20.181,1.103,-31,34,o,0,1.0,340.60245,6.96065,5582.9,4668.31,2.32,2.04,39.9,-0.422,18.4,18.49,02a59426o0839o
59428.518977,-21.671,1.286,-8,10,o,0,1.01,340.60245,6.96065,2891.2,2076.17,2.56,1.95,-4.4,-0.396,19.63,21.07,01a59428o0609o
59428.553945,-21.301,0.86,-11,9,o,0,1.02,340.60245,6.96065,2919.12,2106.66,2.66,1.92,0.7,-0.389,19.58,20.94,01a59428o0684o
59428.557206,21.118,0.787,13,10,o,0,1.41,340.60245,6.96065,2861.1,2029.06,2.75,1.93,0.3,-0.387,19.58,20.95,01a59428o0691o
59428.565498,23.587,6.875,1,9,o,0,1.21,340.60245,6.96065,2842.62,2144.17,2.07,1.96,-8.9,-0.405,19.67,20.94,01a59428o0709o
59432.513221,-22.883,2.72,-3,7,c,0,1.05,340.60245,6.96065,6968.51,5730.39,2.43,2.36,-77.8,-0.374,19.89,21.87,01a59432o0604c
59432.54138,-22.118,1.283,-5,7,c,0,1.44,340.60245,6.96065,6995.44,5762.43,2.51,2.5,-57.7,-0.372,19.82,21.87,01a59432o0664c
59432.569988,22.704,2.444,3,7,c,0,1.26,340.60245,6.96065,6943.18,5681.88,2.58,2.41,-78.9,-0.373,19.81,21.87,01a59432o0725c
59432.594737,-22.692,2.789,-3,8,c,0,1.35,340.60245,6.96065,6928.77,5795.64,3.1,2.88,-85.5,-0.36,19.64,21.81,01a59432o0778c
59434.455356,21.02,0.678,14,10,o,0,1.1,340.60245,6.96065,5141.44,7765.87,2.01,1.94,28.1,-0.445,19.65,20.89,02a59434o0479o
59434.45811,21.955,2.0,6,12,o,0,0.9,340.60245,6.96065,5161.93,7804.3,2.05,1.92,35.2,-0.443,19.65,20.91,02a59434o0485o
59434.461799,-22.351,2.068,-4,9,o,0,1.21,340.60245,6.96065,5106.41,7726.03,1.95,1.9,50.9,-0.45,19.66,20.9,02a59434o0493o
59434.472829,23.225,5.632,2,10,o,0,1.27,340.60245,6.96065,5089.46,7841.37,1.99,1.94,31.2,-0.446,19.63,20.89,02a59434o0517o
59436.443707,19.6,0.125,52,6,c,0,1.18,340.60245,6.96065,3579.7,4842.33,2.11,2.03,-66.5,-0.399,20.0,21.85,01a59436o0443c
59436.446933,19.691,0.133,48,6,c,0,1.21,340.60245,6.96065,3560.31,4803.28,2.1,2.0,-67.4,-0.399,19.97,21.86,01a59436o0450c
59436.452011,19.803,0.15,44,7,c,0,2.0,340.60245,6.96065,3618.88,4880.72,2.15,2.03,-68.4,-0.397,19.96,21.87,01a59436o0461c
59436.46385,20.398,0.272,25,7,c,0,1.19,340.60245,6.96065,3639.77,4765.39,2.13,2.09,-65.4,-0.397,19.94,21.9,01a59436o0486c
59438.448638,19.504,0.183,57,10,o,0,1.39,340.60245,6.96065,5146.25,7764.93,2.07,2.04,85.3,-0.44,19.66,21.14,02a59438o0468o
59438.451853,19.123,0.144,81,12,o,0,0.89,340.60245,6.96065,5166.48,7801.54,2.08,1.92,33.7,-0.445,19.75,21.15,02a59438o0475o
59438.455971,19.365,0.141,65,9,o,0,1.31,340.60245,6.96065,5108.81,7726.25,2.05,1.89,27.7,-0.449,19.74,21.14,02a59438o0484o
59438.461008,19.08,0.139,85,12,o,0,0.64,340.60245,6.96065,5089.43,7843.18,2.02,1.95,10.9,-0.45,19.71,21.14,02a59438o0495o
59440.492059,18.498,0.06,145,9,c,0,1.44,340.60245,6.96065,5230.49,9716.49,3.29,2.82,-8.8,-0.34,19.68,21.9,01a59440o0564c
59440.527345,18.574,0.071,135,10,c,0,1.33,340.60245,6.96065,5260.62,9747.77,4.14,2.78,-0.5,-0.323,19.56,21.9,01a59440o0638c
59440.531129,18.425,0.061,155,9,c,0,0.96,340.60245,6.96065,5201.02,9670.04,3.16,2.82,-14.6,-0.351,19.69,21.89,01a59440o0646c
59440.559614,18.548,0.059,138,8,c,0,1.2,340.60245,6.96065,5187.35,9785.8,2.53,2.34,-56.8,-0.369,19.83,21.82,01a59440o0707c
59441.436752,18.36,0.051,164,8,c,0,0.91,340.60245,6.96065,5331.37,854.19,2.32,2.3,33.0,-0.419,19.91,21.9,01a59441o0442c
59441.438605,18.291,0.052,175,9,c,0,1.1,340.60245,6.96065,5311.01,814.41,2.31,2.24,38.2,-0.421,19.95,21.9,01a59441o0446c
59441.474363,18.267,0.046,179,8,c,0,1.24,340.60245,6.96065,5187.68,9686.26,2.51,2.32,-47.3,-0.367,19.9,21.91,01a59441o0520c
59441.500658,18.22,0.046,187,9,c,0,1.47,340.60245,6.96065,5177.02,9796.32,2.63,2.49,-48.8,-0.363,19.84,21.92,01a59441o0574c
59442.455818,18.154,0.058,199,12,o,0,1.17,340.60245,6.96065,3205.13,7860.42,1.96,1.92,14.4,-0.437,19.68,21.08,02a59442o0490o
