MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59416.594689,20.92,0.529,16,8,o,0,1.83,32.40808,-2.78562,8747.38,6109.13,2.14,1.98,-83.6,-0.416,19.72,20.95,01a59416o0779o
59416.602221,-20.187,0.385,-31,12,o,0,1.15,32.40808,-2.78562,8731.39,6070.71,2.02,1.87,-82.4,-0.429,19.66,20.82,01a59416o0795o
59416.613791,21.507,1.247,9,11,o,0,1.42,32.40808,-2.78562,8790.84,6146.7,2.02,1.87,-79.0,-0.437,19.61,20.72,01a59416o0820o
59416.617474,19.709,0.23,48,11,o,0,2.0,32.40808,-2.78562,8810.12,6029.43,2.0,1.98,-60.3,-0.426,19.4,20.43,01a59416o0828o
59417.573668,21.712,2.643,8,20,o,0,0.99,32.40808,-2.78562,1698.52,2511.49,2.44,2.19,15.2,-0.41,18.86,19.54,02a59417o0722o
59417.576883,-19.419,0.253,-62,16,o,0,2.3,32.40808,-2.78562,1716.41,2549.17,2.43,2.11,26.0,-0.419,18.82,19.52,02a59417o0729o
59417.583307,-20.558,0.718,-22,16,o,0,1.23,32.40808,-2.78562,1657.78,2470.57,2.45,2.08,5.2,-0.417,18.98,19.72,02a59417o0743o
59417.601667,-21.672,1.567,-8,12,o,0,2.09,32.40808,-2.78562,1638.99,2586.87,2.18,2.07,10.4,-0.43,19.31,20.29,02a59417o0783o
59420.545266,19.356,1.71,66,112,o,0,1.0,32.40808,-2.78562,8742.87,6119.15,2.33,2.19,-85.9,-0.414,17.28,17.38,01a59420o0589o
59420.548513,-16.07,0.359,-1356,486,o,0,3.9,32.40808,-2.78562,8724.41,6080.07,2.24,2.02,-84.6,-0.44,15.84,15.62,01a59420o0596o
59420.555877,14.259,0.455,7185,3267,o,0,0.93,32.40808,-2.78562,8787.15,6158.48,2.34,2.27,5.6,-0.43,12.94,12.6,01a59420o0612o
59424.600584,-19.384,0.864,-64,55,o,0,1.85,32.40808,-2.78562,9881.33,10014.1,2.27,2.08,59.6,-0.388,17.58,17.28,01a59424o0781o
59424.605717,-19.352,1.483,-66,98,o,0,1.04,32.40808,-2.78562,9861.79,9974.76,2.33,2.17,64.5,-0.388,17.33,17.0,01a59424o0792o
59424.617291,18.987,0.574,92,53,o,0,1.07,32.40808,-2.78562,9922.94,10053.45,2.2,1.99,53.7,-0.383,17.93,17.6,01a59424o0817o
59426.598941,20.377,0.685,26,18,o,0,1.27,32.40808,-2.78562,3760.64,4356.68,2.22,1.93,30.5,-0.439,19.01,19.53,02a59426o0776o
