MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59414.592656,20.547,0.441,22,10,c,0,1.33,15.04144,9.99121,8056.23,8291.42,2.84,2.56,42.1,-0.388,19.59,21.34,02a59414o0752c
59414.599546,-21.497,1.094,-9,10,c,0,1.16,15.04144,9.99121,8077.17,8330.98,2.81,2.76,57.9,-0.387,19.49,21.35,02a59414o0767c
59414.613324,-22.504,3.087,-4,11,c,0,1.23,15.04144,9.99121,8022.21,8253.29,2.72,2.59,42.0,-0.389,19.56,21.27,02a59414o0797c
59414.621229,-21.372,1.359,-10,14,c,0,0.94,15.04144,9.99121,8004.09,8370.5,2.76,2.63,37.8,-0.39,19.36,20.78,02a59414o0814c
59415.564601,21.347,1.0,10,10,c,0,0.83,15.04144,9.99121,8061.44,8288.19,2.64,2.59,-1.4,-0.393,19.61,21.35,02a59415o0658c
59415.569689,-24.706,21.0,0,10,c,0,1.11,15.04144,9.99121,8077.47,8328.13,2.67,2.64,-75.5,-0.392,19.63,21.36,02a59415o0669c
59415.585812,-22.387,2.185,-4,9,c,0,1.27,15.04144,9.99121,8015.28,8253.19,2.61,2.56,21.2,-0.394,19.68,21.46,02a59415o0701c
59415.589842,21.113,0.714,13,9,c,0,1.15,15.04144,9.99121,8001.14,8369.91,2.54,2.5,64.5,-0.403,19.73,21.48,02a59415o0709c
59416.560108,-19.519,0.337,-56,19,o,0,1.29,15.04144,9.99121,2302.62,10504.52,1.79,1.63,-60.7,-0.448,19.14,20.23,01a59416o0704o
59416.57439,-21.991,1.906,-6,11,o,0,1.18,15.04144,9.99121,2384.81,10465.2,1.77,1.6,-53.4,-0.463,19.71,20.91,01a59416o0735o
59417.524468,21.042,1.981,14,28,o,0,0.8,15.04144,9.99121,2419.89,319.18,2.26,2.19,56.4,-0.423,18.4,18.77,01a59417o0607o
59417.557703,-20.278,0.884,-28,25,o,0,1.16,15.04144,9.99121,2398.16,281.97,2.59,2.49,55.7,-0.408,18.47,18.97,01a59417o0670o
59417.576386,-18.237,1.165,-184,214,o,0,0.9,15.04144,9.99121,2455.83,359.56,2.09,2.05,76.0,-0.427,16.35,16.65,01a59417o0708o
59417.57823,-21.393,1.14,-10,12,o,0,1.74,15.04144,9.99121,2474.1,241.87,2.11,2.05,37.3,-0.428,19.26,19.97,01a59417o0712o
59420.513973,21.83,3.372,7,23,o,0,1.46,15.04144,9.99121,2298.04,10508.05,1.94,1.71,-63.8,-0.449,18.96,19.2,01a59420o0522o
59420.528668,-20.57,0.985,-22,21,o,0,0.91,15.04144,9.99121,2381.6,10467.68,1.84,1.64,-62.7,-0.46,19.05,19.26,01a59420o0553o
59421.544419,-21.808,2.71,-7,19,o,0,0.91,15.04144,9.99121,2423.55,325.99,2.35,2.23,52.1,-0.432,18.91,19.44,01a59421o0253o
59421.546261,23.688,20.286,1,25,o,0,1.12,15.04144,9.99121,2402.4,286.04,3.02,2.9,35.2,-0.361,18.71,19.41,01a59421o0257o
59421.549049,21.18,1.048,12,13,o,0,1.83,15.04144,9.99121,2462.48,366.17,1.99,1.93,29.4,-0.444,18.96,19.38,01a59421o0263o
59421.559383,20.135,0.869,32,28,o,0,0.83,15.04144,9.99121,2480.54,248.78,2.02,1.89,3.3,-0.424,18.76,19.1,01a59421o0285o
59426.58445,-20.833,0.95,-17,16,o,0,0.96,15.04144,9.99121,10128.98,10160.16,2.79,2.06,-55.1,-0.421,19.25,20.06,02a59426o0745o
59426.587342,20.134,0.502,32,16,o,0,1.27,15.04144,9.99121,10150.64,10198.3,2.81,2.1,-54.8,-0.419,19.24,20.06,02a59426o0751o
59426.602752,20.297,0.561,28,16,o,0,1.06,15.04144,9.99121,10091.99,10119.92,2.64,2.07,-56.4,-0.424,19.25,20.08,02a59426o0784o
59426.628832,20.428,0.953,24,23,o,0,1.43,15.04144,9.99121,517.55,329.41,2.32,1.87,-55.4,-0.494,18.66,18.89,02a59426o0838o
59428.594196,-20.809,0.493,-17,8,o,0,1.09,15.04144,9.99121,2589.58,4225.94,1.91,1.88,-60.1,-0.429,19.72,20.93,01a59428o0770o
59428.596096,-22.723,3.472,-3,10,o,0,1.11,15.04144,9.99121,2569.48,4187.71,1.91,1.85,-18.9,-0.54,19.73,20.92,01a59428o0774o
59428.607997,-20.994,0.588,-14,8,o,0,1.16,15.04144,9.99121,7917.67,6302.81,2.05,1.99,-33.2,-0.417,19.73,20.93,01a59428o0799o
59428.626641,21.379,1.292,10,13,o,0,1.32,15.04144,9.99121,7904.08,6415.15,2.14,2.03,-3.7,-0.411,19.26,19.79,01a59428o0838o
59429.565315,-22.066,1.603,-5,9,o,0,1.16,15.04144,9.99121,2588.31,4219.9,1.82,1.8,-89.6,-0.43,19.79,20.89,01a59429o0695o
59429.567158,-20.854,0.421,-16,7,o,0,1.27,15.04144,9.99121,2569.32,4180.74,1.77,1.74,-68.8,-0.429,19.78,20.9,01a59429o0699o
59429.602421,21.807,1.118,7,8,o,0,1.11,15.04144,9.99121,7918.57,6308.75,1.94,1.79,-76.7,-0.433,19.82,20.95,01a59429o0773o
59429.615894,20.906,0.423,16,7,o,0,1.85,15.04144,9.99121,7903.66,6421.36,1.92,1.79,-66.6,-0.431,19.81,20.91,01a59429o0799o
59431.521581,20.95,0.916,15,14,o,0,0.82,15.04144,9.99121,10124.64,10157.84,3.18,2.04,-51.6,-0.425,19.54,20.85,02a59431o0601o
59431.525706,20.816,0.899,17,15,o,0,0.89,15.04144,9.99121,10144.95,10198.18,3.26,2.07,-51.2,-0.418,19.56,20.81,02a59431o0610o
59431.550284,-22.592,3.143,-3,10,o,0,1.91,15.04144,9.99121,10088.1,10121.49,3.03,2.07,-52.6,-0.44,19.58,20.87,02a59431o0659o
59431.553582,20.381,0.497,26,13,o,0,1.35,15.04144,9.99121,10071.65,10239.25,3.18,1.95,-52.5,-0.433,19.62,20.9,02a59431o0666o
59433.538251,20.523,0.371,22,8,c,0,0.99,15.04144,9.99121,8638.03,520.27,2.82,2.55,-57.8,-0.356,19.76,21.82,01a59433o0642c
59433.562616,19.725,0.153,47,7,c,0,1.33,15.04144,9.99121,8618.41,481.36,2.74,2.49,-47.8,-0.363,19.84,21.89,01a59433o0688c
59433.57969,20.29,0.262,28,7,c,0,2.0,15.04144,9.99121,8674.13,557.27,2.77,2.52,-48.4,-0.368,19.86,21.92,01a59433o0724c
59433.581547,19.99,0.209,37,8,c,0,1.01,15.04144,9.99121,8694.91,438.73,2.61,2.4,-49.3,-0.363,19.88,21.91,01a59433o0728c
59434.539088,19.82,0.257,43,11,o,0,0.93,15.04144,9.99121,109.32,1845.92,1.96,1.9,-43.6,-0.449,19.52,20.62,02a59434o0659o
59434.542311,20.417,0.461,25,11,o,0,1.18,15.04144,9.99121,134.26,1883.34,2.31,1.81,-57.7,-0.434,19.56,20.63,02a59434o0666o
59434.543704,19.705,0.219,48,10,o,0,1.12,15.04144,9.99121,10275.33,1869.31,2.32,1.62,-52.9,-0.486,19.58,20.67,02a59434o0669o
59434.545535,20.617,0.5,21,10,o,0,1.33,15.04144,9.99121,10295.19,1907.73,2.28,1.67,-54.4,-0.479,19.54,20.67,02a59434o0673o
59434.547369,20.122,0.407,32,13,o,0,1.04,15.04144,9.99121,74.76,1804.68,2.37,1.84,-56.4,-0.427,19.55,20.64,02a59434o0677o
59434.548285,19.696,0.234,48,11,o,0,1.39,15.04144,9.99121,10238.04,1830.52,2.26,1.66,-54.1,-0.488,19.58,20.69,02a59434o0679o
59434.555173,20.348,0.355,26,9,o,0,1.89,15.04144,9.99121,10218.69,1947.71,2.29,1.68,-55.7,-0.465,19.58,20.72,02a59434o0694o
59434.557458,21.932,1.918,6,12,o,0,1.78,15.04144,9.99121,56.81,1920.83,2.17,1.82,-56.6,-0.441,19.55,20.69,02a59434o0699o
59435.587456,19.986,0.314,37,12,o,0,0.72,15.04144,9.99121,124.76,1849.3,2.22,1.85,-53.8,-0.452,19.58,20.76,02a59435o0750o
59435.608506,20.08,0.353,34,12,o,0,1.0,15.04144,9.99121,10445.62,8677.44,2.57,2.13,-50.9,-0.432,19.55,20.78,02a59435o0792o
59435.611479,19.658,0.337,50,17,o,0,1.05,15.04144,9.99121,10507.92,8762.37,2.51,2.16,-52.0,-0.421,19.61,20.79,02a59435o0797o
59435.629583,-19.792,1.293,-44,57,o,0,0.39,15.04144,9.99121,10524.06,8649.48,2.5,2.07,-54.8,-0.432,19.16,19.69,02a59435o0832o
59437.589904,19.273,0.107,71,8,c,0,1.03,15.04144,9.99121,1917.72,10080.35,2.39,2.07,-60.8,-0.393,19.94,21.68,01a59437o0483c
59437.60267,19.28,0.117,70,8,c,0,0.9,15.04144,9.99121,8619.44,483.75,2.28,2.22,24.7,-0.39,19.91,21.68,01a59437o0509c
59437.619925,19.125,0.088,81,7,c,0,1.71,15.04144,9.99121,1888.69,10033.85,2.38,2.06,-58.7,-0.395,19.93,21.62,01a59437o0544c
59437.622821,19.213,0.106,75,8,c,0,1.56,15.04144,9.99121,1868.22,10151.3,2.38,2.07,-52.2,-0.401,19.88,21.5,01a59437o0550c
59438.468819,19.286,0.137,70,10,o,0,1.63,15.04144,9.99121,100.38,1845.32,1.94,1.9,57.3,-0.452,19.57,20.9,02a59438o0511o
59438.472938,19.27,0.143,71,10,o,0,1.07,15.04144,9.99121,128.97,1884.09,2.3,1.79,-51.0,-0.445,19.63,20.91,02a59438o0520o
59438.47432,19.486,0.164,58,10,o,0,1.13,15.04144,9.99121,10262.27,1863.25,2.25,1.76,-48.8,-0.464,19.65,21.03,02a59438o0523o
59438.487271,19.581,0.199,53,11,o,0,0.74,15.04144,9.99121,10291.93,1904.41,2.34,1.75,-50.8,-0.476,19.66,21.02,02a59438o0551o
59438.488193,19.164,0.126,78,10,o,0,2.51,15.04144,9.99121,69.67,1803.84,2.4,1.94,-52.5,-0.437,19.64,20.99,02a59438o0553o
59438.49004,19.229,0.13,74,10,o,0,1.69,15.04144,9.99121,10228.78,1827.04,2.32,1.76,-50.6,-0.468,19.62,21.02,02a59438o0557o
59438.496479,-22.056,4.047,-6,22,o,0,0.68,15.04144,9.99121,43.05,1923.11,2.53,2.02,-50.3,-0.416,19.56,21.01,02a59438o0570o
59438.497393,19.394,0.141,63,9,o,0,1.22,15.04144,9.99121,10205.69,1947.41,2.31,1.79,-52.7,-0.467,19.67,21.07,02a59438o0572o
59440.508619,18.755,0.087,114,10,c,0,0.86,15.04144,9.99121,233.55,6762.71,3.08,2.66,-21.3,-0.351,19.68,21.82,01a59440o0598c
59440.512319,18.799,0.082,110,9,c,0,0.91,15.04144,9.99121,213.5,6724.27,2.8,2.48,-23.1,-0.376,19.73,21.83,01a59440o0606c
59440.516031,18.818,0.09,108,10,c,0,1.2,15.04144,9.99121,271.88,6801.53,3.62,2.73,-5.1,-0.351,19.57,21.83,01a59440o0614c
59440.537276,18.729,0.069,117,8,c,0,1.71,15.04144,9.99121,295.02,6685.61,3.07,2.56,-7.1,-0.358,19.66,21.82,01a59440o0659c
59440.551569,19.124,0.101,81,8,c,0,1.43,15.04144,9.99121,10365.75,6759.56,2.6,2.48,21.7,-0.394,19.82,21.76,01a59440o0690c
59440.553872,19.03,0.099,89,9,c,0,1.36,15.04144,9.99121,10345.97,6719.37,3.41,2.79,0.6,-0.358,19.65,21.78,01a59440o0695c
59440.556639,18.814,0.067,108,7,c,0,2.13,15.04144,9.99121,10404.79,6797.62,2.66,2.55,13.1,-0.393,19.81,21.78,01a59440o0701c
59440.577883,18.897,0.091,100,9,c,0,1.06,15.04144,9.99121,10424.51,6679.93,2.8,2.74,40.0,-0.395,19.78,21.81,01a59440o0746c
59441.597005,18.83,0.07,107,7,c,0,1.25,15.04144,9.99121,166.87,3850.09,2.32,2.28,-77.3,-0.383,19.89,21.94,01a59441o0764c
59441.597467,18.652,0.06,126,8,c,0,1.48,15.04144,9.99121,10299.82,3785.17,2.38,2.29,22.8,-0.39,19.92,21.96,01a59441o0765c
59441.600185,18.788,0.065,111,7,c,0,1.1,15.04144,9.99121,187.5,3888.79,2.27,2.24,-43.2,-0.388,19.91,21.95,01a59441o0770c
59441.600646,18.663,0.067,124,8,c,0,1.31,15.04144,9.99121,10320.3,3823.2,2.44,2.4,27.8,-0.387,19.89,21.98,01a59441o0771c
59441.621057,18.607,0.058,131,8,c,0,1.76,15.04144,9.99121,10267.71,3742.05,2.33,2.27,58.8,-0.389,19.94,21.78,01a59441o0814c
59441.62161,18.883,0.069,102,7,c,0,1.73,15.04144,9.99121,134.18,3805.11,2.31,2.26,-60.6,-0.38,19.89,21.75,01a59441o0815c
59441.626806,18.727,0.091,117,11,c,0,0.89,15.04144,9.99121,10250.22,3857.79,2.48,2.42,80.8,-0.383,19.69,21.19,01a59441o0825c
59441.627295,18.795,0.075,110,8,c,0,1.46,15.04144,9.99121,117.34,3920.31,2.38,2.33,-48.8,-0.381,19.68,21.14,01a59441o0826c
59442.447986,19.016,0.129,90,12,o,0,1.16,15.04144,9.99121,8313.18,1981.71,2.21,2.0,-60.5,-0.435,19.5,20.8,02a59442o0473o
59442.451678,19.088,0.128,84,11,o,0,1.41,15.04144,9.99121,8340.13,2017.47,2.12,1.92,-58.2,-0.444,19.59,20.85,02a59442o0481o
59442.461797,19.055,0.087,87,8,o,0,2.53,15.04144,9.99121,8284.86,1940.81,2.05,1.81,-53.5,-0.443,19.63,20.89,02a59442o0503o
