MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59421.546448,-19.236,0.479,-73,35,o,0,0.96,11.91225,-20.52346,1325.43,2020.62,2.22,2.04,-53.6,-0.446,18.17,18.37,02a59421o0579o
59421.548737,21.046,2.343,14,32,o,0,0.81,11.91225,-20.52346,1344.62,2058.97,2.21,2.04,-54.9,-0.437,18.31,18.52,02a59421o0584o
59421.554255,26.262,248.0,0,28,o,0,1.04,11.91225,-20.52346,1283.07,1980.6,2.17,1.98,34.3,-0.447,18.47,18.72,02a59421o0596o
59421.564823,21.02,1.975,14,28,o,0,1.03,11.91225,-20.52346,1264.21,2098.15,2.15,2.14,82.8,-0.457,18.54,18.78,02a59421o0619o
59425.542474,-21.087,1.307,-13,17,o,0,1.29,11.91225,-20.52346,1323.74,2018.28,1.92,1.9,-47.1,-0.472,19.12,19.64,02a59425o0654o
59425.546191,-21.334,1.193,-11,13,o,0,2.14,11.91225,-20.52346,1345.69,2054.19,1.96,1.85,-55.6,-0.479,19.17,19.65,02a59425o0662o
59425.552642,23.13,7.524,2,15,o,0,1.51,11.91225,-20.52346,1283.82,1979.23,1.93,1.92,37.2,-0.454,19.14,19.67,02a59425o0676o
59425.564908,-21.593,1.886,-8,16,o,0,0.8,11.91225,-20.52346,1263.44,2093.85,1.95,1.87,33.0,-0.46,19.14,19.66,02a59425o0702o
59427.578925,22.492,3.088,4,11,o,0,1.46,11.91225,-20.52346,9591.69,6100.68,2.38,2.14,88.9,-0.416,19.59,20.65,01a59427o0737o
59427.580788,-20.788,0.755,-18,13,o,0,0.96,11.91225,-20.52346,9573.57,6062.47,2.32,2.21,88.4,-0.408,19.53,20.66,01a59427o0741o
59427.586772,-21.668,1.479,-8,12,o,0,1.1,11.91225,-20.52346,9633.51,6139.5,2.32,2.3,70.0,-0.398,19.57,20.66,01a59427o0754o
59427.602253,-21.1,0.729,-13,10,o,0,1.35,11.91225,-20.52346,902.28,4580.13,2.01,1.87,-77.6,-0.423,19.59,20.71,01a59427o0787o
59429.562017,0.0,21.077,0,14,o,0,1.07,11.91225,-20.52346,3472.77,8206.89,2.12,2.07,-2.3,-0.43,19.49,20.7,02a59429o0706o
59429.564762,-21.867,1.865,-6,12,o,0,1.08,11.91225,-20.52346,3491.8,8244.19,2.25,2.24,14.0,-0.412,19.43,20.71,02a59429o0712o
59429.567507,-21.644,1.603,-8,13,o,0,0.99,11.91225,-20.52346,3434.46,8166.34,2.2,2.12,31.6,-0.418,19.44,20.72,02a59429o0718o
59429.573451,-21.186,1.076,-12,13,o,0,1.02,11.91225,-20.52346,3415.89,8284.79,2.04,1.98,-26.7,-0.43,19.57,20.73,02a59429o0731o
59431.502793,21.24,0.879,12,10,c,0,0.93,11.91225,-20.52346,9570.57,6102.56,2.54,2.39,88.9,-0.385,19.75,21.46,01a59431o0583c
59431.516645,24.208,12.5,1,9,c,0,1.51,11.91225,-20.52346,9554.88,6063.88,2.64,2.52,83.5,-0.38,19.75,21.55,01a59431o0613c
59431.521771,-21.733,1.361,-7,10,c,0,0.85,11.91225,-20.52346,9616.71,6141.42,2.66,2.41,-87.2,-0.381,19.76,21.58,01a59431o0624c
59431.530447,-21.921,1.229,-6,8,c,0,1.81,11.91225,-20.52346,9639.67,6021.89,2.64,2.58,89.6,-0.383,19.78,21.65,01a59431o0642c
59433.437271,-20.383,0.64,-26,16,o,0,0.74,11.91225,-20.52346,3468.34,8213.13,2.08,1.83,-50.6,-0.441,19.17,19.96,02a59433o0443o
59433.442348,21.174,1.396,12,17,o,0,0.8,11.91225,-20.52346,3487.56,8252.14,2.08,1.98,-47.6,-0.428,19.21,20.03,02a59433o0454o
59433.467983,25.038,42.333,0,15,o,0,0.85,11.91225,-20.52346,3427.19,8172.16,2.13,2.11,-16.0,-0.417,19.29,20.26,02a59433o0509o
59433.475363,-21.54,1.843,-9,16,o,0,1.24,11.91225,-20.52346,3407.45,8287.49,2.25,2.18,-42.7,-0.413,19.29,20.34,02a59433o0525o
59435.492055,-20.495,0.408,-23,9,c,0,1.44,11.91225,-20.52346,5169.53,2459.54,3.0,2.92,-83.2,-0.346,19.52,21.6,01a59435o0523c
59435.496217,21.171,0.969,12,12,c,0,0.75,11.91225,-20.52346,5151.9,2420.72,3.33,3.28,-6.0,-0.306,19.41,21.58,01a59435o0532c
59435.501756,23.377,5.286,2,9,c,0,1.38,11.91225,-20.52346,5208.05,2497.58,2.51,2.46,-10.5,-0.367,19.7,21.56,01a59435o0544c
59435.515929,-21.28,0.802,-11,9,c,0,0.88,11.91225,-20.52346,5226.18,2377.43,2.45,2.43,78.3,-0.373,19.73,21.52,01a59435o0574c
59437.549957,19.614,0.297,52,15,o,0,0.89,11.91225,-20.52346,3574.65,10160.77,2.15,1.8,-57.4,-0.443,19.48,20.41,02a59437o0617o
59437.552733,19.647,0.254,50,13,o,0,0.88,11.91225,-20.52346,3591.99,10202.69,2.07,1.82,-54.7,-0.447,19.42,20.39,02a59437o0623o
59437.556394,19.787,0.286,44,13,o,0,0.99,11.91225,-20.52346,3535.5,10122.18,2.14,1.75,-56.5,-0.445,19.48,20.39,02a59437o0631o
59437.565554,-21.186,0.269,-12,3,o,0,1.7,11.91225,-20.52346,2790.0,31.73,2.11,1.78,-61.4,-0.422,19.4,20.37,02a59437o0651o
59437.566925,21.523,1.515,9,14,o,0,1.16,11.91225,-20.52346,3515.37,10238.12,1.98,1.79,-65.8,-0.457,19.42,20.4,02a59437o0654o
59439.52755,18.183,0.045,194,9,c,0,1.63,11.91225,-20.52346,5178.81,2460.22,2.75,2.5,-4.8,-0.374,19.7,21.76,01a59439o0640c
59439.529392,18.082,0.047,212,10,c,0,1.02,11.91225,-20.52346,5159.97,2421.32,2.8,2.61,9.6,-0.373,19.69,21.78,01a59439o0644c
59439.535402,18.05,0.048,219,10,c,0,0.99,11.91225,-20.52346,5218.45,2498.9,2.74,2.67,-46.5,-0.391,19.71,21.77,01a59439o0657c
59439.544695,18.179,0.048,194,9,c,0,1.53,11.91225,-20.52346,5237.86,2382.84,2.63,2.6,-61.9,-0.389,19.73,21.76,01a59439o0677c
59441.533666,17.406,0.034,396,14,o,0,1.45,11.91225,-20.52346,3582.29,10158.5,2.34,2.01,-61.1,-0.426,19.52,20.91,02a59441o0657o
59441.535496,17.448,0.038,381,14,o,0,0.81,11.91225,-20.52346,3601.07,10197.99,2.59,2.23,-61.1,-0.424,19.45,20.92,02a59441o0661o
59441.542892,17.487,0.041,368,15,o,0,1.37,11.91225,-20.52346,3542.16,10123.38,2.73,2.38,-57.2,-0.424,19.4,20.97,02a59441o0677o
59441.548397,17.434,0.035,386,14,o,0,1.58,11.91225,-20.52346,3522.94,10237.87,2.43,2.13,-56.5,-0.44,19.48,20.98,02a59441o0689o
59441.559864,-20.544,0.149,-22,3,o,0,2.57,11.91225,-20.52346,2797.87,31.71,2.35,2.09,-60.2,-0.418,19.52,20.94,02a59441o0714o
59443.452662,16.791,0.022,697,15,o,0,1.97,11.91225,-20.52346,7267.88,8649.78,2.23,2.06,-56.2,-0.516,19.28,20.15,01a59443o0419o
59443.455904,16.791,0.023,697,16,o,0,1.68,11.91225,-20.52346,7248.63,8611.06,2.29,2.07,-49.7,-0.415,19.3,20.22,01a59443o0426o
59443.459762,16.787,0.024,700,17,o,0,1.01,11.91225,-20.52346,7308.26,8689.68,2.15,1.93,-49.6,-0.423,19.43,20.3,01a59443o0434o
59443.461703,16.79,0.024,698,17,o,0,1.24,11.91225,-20.52346,7328.91,8572.43,2.12,2.05,-62.1,-0.419,19.44,20.35,01a59443o0438o
59443.471862,16.806,0.021,688,14,o,0,1.38,11.91225,-20.52346,7294.1,8629.14,2.06,1.96,-58.5,-0.414,19.55,20.62,01a59443o0450o
59445.481091,16.253,0.021,1146,24,o,0,2.43,11.91225,-20.52346,1650.0,10288.0,2.42,1.62,-55.2,-0.498,19.07,19.58,02a59445o0529o
59445.48293,16.318,0.018,1079,20,o,0,6.94,11.91225,-20.52346,1666.74,10324.56,2.13,1.58,-57.5,-0.511,19.09,19.59,02a59445o0533o
59445.485674,16.294,0.019,1102,20,o,0,4.99,11.91225,-20.52346,1609.52,10246.42,2.14,1.69,-57.7,-0.54,19.03,19.6,02a59445o0539o
59445.486132,16.376,0.025,1022,26,o,0,1.67,11.91225,-20.52346,849.54,61.19,2.25,1.83,-62.8,-0.445,18.99,19.52,02a59445o0540o
59445.487963,16.329,0.017,1068,18,o,0,1.79,11.91225,-20.52346,869.35,99.64,1.94,1.75,-86.4,-0.481,18.98,19.53,02a59445o0544o
59445.492992,16.339,0.018,1058,19,o,0,3.9,11.91225,-20.52346,1588.53,10364.17,2.05,1.8,-59.4,-0.51,19.02,19.65,02a59445o0555o
59445.496655,16.341,0.018,1056,19,o,0,3.0,11.91225,-20.52346,790.75,139.99,2.26,1.79,-61.5,-0.462,19.01,19.57,02a59445o0563o
59447.44431,16.062,0.022,1365,30,o,0,0.8,11.91225,-20.52346,7275.05,8648.14,2.45,2.01,12.3,-0.366,18.63,18.79,01a59447o0477o
59447.447536,16.049,0.02,1381,27,o,0,1.35,11.91225,-20.52346,7255.72,8608.84,2.3,1.98,4.3,-0.381,18.66,18.8,01a59447o0484o
59447.451679,16.022,0.019,1417,27,o,0,1.53,11.91225,-20.52346,7312.98,8684.98,2.2,1.96,-19.9,-0.392,18.69,18.82,01a59447o0493o
59447.457205,16.027,0.02,1410,28,o,0,1.16,11.91225,-20.52346,7334.63,8567.67,2.22,1.97,-21.5,-0.4,18.68,18.85,01a59447o0505o
59453.557598,15.702,0.011,1902,21,o,0,3.15,11.91225,-20.52346,5569.48,4383.98,2.53,2.1,44.6,-0.416,19.01,19.72,02a59453o0481o
59453.561713,15.689,0.012,1924,22,o,0,3.76,11.91225,-20.52346,5550.65,4345.18,2.42,1.96,43.9,-0.429,19.07,19.72,02a59453o0490o
59453.568129,15.69,0.013,1923,24,o,0,1.97,11.91225,-20.52346,5609.21,4422.89,2.61,2.17,43.1,-0.406,18.94,19.7,02a59453o0504o
59453.581659,15.679,0.012,1942,22,o,0,4.32,11.91225,-20.52346,5630.09,4309.76,2.49,1.93,43.7,-0.422,19.02,19.64,02a59453o0533o
59455.499201,15.656,0.009,1984,18,o,0,4.84,11.91225,-20.52346,3368.28,8844.78,2.0,1.8,-46.8,-0.416,19.6,20.48,01a59455o0606o
59455.501041,15.669,0.009,1961,17,o,0,7.6,11.91225,-20.52346,3349.38,8805.89,2.0,1.86,-41.3,-0.415,19.58,20.48,01a59455o0610o
59455.504734,15.66,0.009,1976,18,o,0,7.15,11.91225,-20.52346,3409.78,8884.32,2.05,1.94,-30.1,-0.404,19.54,20.47,01a59455o0618o
59455.514704,15.664,0.01,1969,19,o,0,5.25,11.91225,-20.52346,3431.19,8767.69,2.08,1.88,-45.7,-0.417,19.53,20.44,01a59455o0638o
59457.542512,15.653,0.01,1989,19,o,0,5.34,11.91225,-20.52346,5570.27,4376.64,2.4,1.93,41.3,-0.434,19.47,20.66,02a59457o0692o
59457.576844,15.666,0.01,1965,20,o,0,7.22,11.91225,-20.52346,5556.51,4343.19,2.44,1.94,47.2,-0.427,19.36,20.55,02a59457o0766o
59457.605191,15.654,0.01,1988,20,o,0,8.03,11.91225,-20.52346,5612.73,4424.78,2.39,1.91,43.4,-0.429,19.48,20.61,02a59457o0827o
59457.630357,15.649,0.011,1998,22,o,0,3.47,11.91225,-20.52346,5637.15,4311.15,2.22,1.91,44.5,-0.43,19.22,20.02,02a59457o0881o
59461.483776,15.488,0.007,2315,17,c,0,9.07,11.91225,-20.52346,5265.7,1814.71,2.39,2.35,-68.6,-0.397,19.68,21.52,02a59461o0572c
59461.489748,15.474,0.008,2346,18,c,0,2.37,11.91225,-20.52346,5283.68,1853.0,2.39,2.35,67.9,-0.393,19.66,21.51,02a59461o0585c
59461.496638,15.475,0.008,2344,18,c,0,5.42,11.91225,-20.52346,5228.43,1775.69,2.35,2.3,-75.4,-0.402,19.7,21.51,02a59461o0600c
59461.512649,15.515,0.008,2258,18,c,0,7.25,11.91225,-20.52346,5359.54,8656.07,2.67,2.48,37.8,-0.397,19.62,21.54,02a59461o0634c
59463.479064,15.905,0.011,1578,18,o,0,2.48,11.91225,-20.52346,7518.53,4284.26,2.26,2.23,7.2,-0.416,19.55,20.72,01a59463o0374o
59463.483234,15.892,0.011,1597,18,o,0,2.35,11.91225,-20.52346,7500.88,4246.28,2.35,2.33,-3.4,-0.417,19.5,20.71,01a59463o0383o
59463.504433,15.864,0.011,1638,17,o,0,2.33,11.91225,-20.52346,7560.12,4320.3,2.41,2.3,32.9,-0.409,19.5,20.65,01a59463o0428o
59463.533206,15.886,0.01,1606,17,o,0,3.77,11.91225,-20.52346,2992.85,6378.36,2.16,2.02,-48.2,-0.415,19.57,20.72,01a59463o0490o
59465.441305,15.653,0.009,1990,17,c,0,4.25,11.91225,-20.52346,5260.62,1809.05,2.32,2.24,44.7,-0.4,19.64,21.42,02a59465o0488c
59465.444514,15.657,0.009,1982,18,c,0,7.46,11.91225,-20.52346,5282.85,1847.89,2.36,2.28,58.0,-0.396,19.67,21.43,02a59465o0495c
59465.449656,15.668,0.009,1963,17,c,0,4.39,11.91225,-20.52346,5224.15,1771.86,2.31,2.24,53.1,-0.401,19.66,21.43,02a59465o0506c
59465.471696,15.673,0.009,1953,17,c,0,4.33,11.91225,-20.52346,5205.19,1889.07,2.55,2.27,41.0,-0.395,19.6,21.45,02a59465o0553c
59467.455794,15.993,0.018,1455,26,o,0,1.98,11.91225,-20.52346,728.1,213.36,4.11,3.26,-45.7,-0.493,19.21,20.86,01a59467o0361o
59467.456253,16.131,0.014,1281,18,o,0,1.78,11.91225,-20.52346,1473.42,10449.48,2.89,2.67,-66.5,-0.474,19.28,20.82,01a59467o0362o
59467.457634,15.978,0.017,1475,25,o,0,3.05,11.91225,-20.52346,706.26,173.78,4.22,3.17,-47.2,-0.498,19.27,20.86,01a59467o0365o
59467.458096,16.151,0.015,1258,18,o,0,1.48,11.91225,-20.52346,1452.48,10410.63,2.98,2.78,-71.4,-0.451,19.24,20.81,01a59467o0366o
59467.464097,15.927,0.02,1547,31,o,0,1.79,11.91225,-20.52346,766.27,254.97,4.23,3.23,-46.1,-0.49,19.23,20.78,01a59467o0379o
59467.464557,16.114,0.015,1302,19,o,0,2.05,11.91225,-20.52346,1514.09,10490.27,3.01,2.81,-70.1,-0.456,19.2,20.76,01a59467o0380o
59467.469162,15.958,0.019,1503,29,o,0,2.2,11.91225,-20.52346,781.1,136.43,4.38,3.45,-46.2,-0.489,19.1,20.68,01a59467o0390o
59467.469623,16.163,0.016,1244,20,o,0,1.61,11.91225,-20.52346,1532.54,10371.8,2.96,2.75,-67.6,-0.459,19.1,20.65,01a59467o0391o
59471.386962,16.296,0.02,1100,22,o,0,1.69,11.91225,-20.52346,730.95,213.86,2.9,2.67,-54.6,-0.588,19.14,20.34,01a59471o0403o
59471.390075,16.278,0.021,1119,24,o,0,2.39,11.91225,-20.52346,711.13,174.1,3.01,2.67,-49.9,-0.593,19.15,20.37,01a59471o0409o
59471.400214,16.311,0.021,1085,22,o,0,2.12,11.91225,-20.52346,770.64,254.13,2.97,2.76,-49.5,-0.587,19.2,20.43,01a59471o0431o
59471.414422,16.342,0.019,1055,20,o,0,2.04,11.91225,-20.52346,785.96,133.25,2.78,2.66,-43.3,-0.581,19.23,20.51,01a59471o0461o
59471.487705,16.385,0.018,1014,18,o,0,1.83,11.91225,-20.52346,8955.84,70.96,2.88,2.67,-43.5,-0.466,19.3,20.64,01a59471o0618o
59471.515785,16.368,0.018,1030,19,o,0,1.88,11.91225,-20.52346,8979.11,105.36,2.97,2.85,-46.5,-0.486,19.22,20.7,01a59471o0678o
59471.569116,16.397,0.02,1003,20,o,0,1.43,11.91225,-20.52346,8907.7,142.5,2.96,2.88,-69.4,-0.489,19.12,20.49,01a59471o0792o
59480.552915,16.572,0.051,854,43,o,0,1.27,11.91225,-20.52346,5549.94,10039.69,3.67,3.57,66.3,-0.392,18.07,18.87,01a59480o0765o
59481.424664,16.429,0.025,973,25,o,0,1.17,11.91225,-20.52346,9453.1,2127.87,2.59,2.24,-55.4,-0.421,18.82,19.52,02a59481o0491o
59481.426494,16.429,0.025,973,24,o,0,1.32,11.91225,-20.52346,9473.5,2166.98,2.62,2.3,-57.2,-0.415,18.76,19.51,02a59481o0495o
59481.429716,16.476,0.026,932,24,o,0,1.27,11.91225,-20.52346,9414.99,2087.75,2.65,2.28,-57.6,-0.417,18.79,19.49,02a59481o0502o
59481.435669,16.458,0.023,948,22,o,0,1.49,11.91225,-20.52346,9395.04,2205.72,2.52,2.16,-56.2,-0.423,18.82,19.49,02a59481o0515o
59483.42549,16.501,0.026,911,23,o,0,1.4,11.91225,-20.52346,4942.63,490.79,4.87,3.16,-3.4,-0.378,18.72,20.22,01a59483o0484o
59483.450607,16.421,0.025,981,24,o,0,0.93,11.91225,-20.52346,5555.75,10093.39,3.8,3.53,-12.9,-0.367,18.76,20.14,01a59483o0538o
59483.478857,16.428,0.022,974,22,o,0,1.27,11.91225,-20.52346,5497.13,10012.45,3.42,3.04,-20.7,-0.426,18.91,20.16,01a59483o0598o
59483.485332,16.474,0.024,934,23,o,0,1.27,11.91225,-20.52346,5485.57,10126.58,3.93,3.18,-10.0,-0.392,18.82,20.16,01a59483o0612o
59485.464195,16.492,0.02,918,18,o,0,1.37,11.91225,-20.52346,1450.83,5991.93,2.51,2.29,39.9,-0.411,19.3,20.54,02a59485o0579o
59485.469599,16.506,0.02,907,18,o,0,1.43,11.91225,-20.52346,1436.83,5959.39,2.4,2.19,39.8,-0.415,19.35,20.54,02a59485o0590o
59485.474266,16.482,0.018,927,17,o,0,1.56,11.91225,-20.52346,1495.41,6036.63,2.3,2.07,39.9,-0.42,19.38,20.54,02a59485o0600o
59485.508638,16.488,0.018,922,17,o,0,2.83,11.91225,-20.52346,1515.68,5920.56,2.42,2.14,39.6,-0.414,19.28,20.41,02a59485o0674o
59487.406841,16.579,0.019,848,16,o,0,1.78,11.91225,-20.52346,4985.54,509.37,2.98,2.91,46.2,-0.433,19.2,20.62,01a59487o0288o
59487.408681,16.534,0.022,884,20,o,0,1.18,11.91225,-20.52346,4964.96,470.9,3.0,2.92,-57.4,-0.451,19.23,20.61,01a59487o0292o
59487.41422,16.556,0.021,866,18,o,0,1.36,11.91225,-20.52346,5023.56,550.48,2.85,2.78,-41.6,-0.463,19.26,20.64,01a59487o0304o
59487.419751,16.573,0.021,852,18,o,0,1.18,11.91225,-20.52346,5040.04,432.81,2.84,2.8,-82.4,-0.455,19.25,20.66,01a59487o0316o
59489.404883,16.643,0.02,799,16,o,0,1.63,11.91225,-20.52346,9114.3,4554.1,2.18,1.9,28.1,-0.425,19.66,20.85,02a59489o0438o
59489.406719,16.64,0.017,802,14,o,0,1.71,11.91225,-20.52346,9133.74,4592.74,2.17,1.9,28.5,-0.425,19.63,20.84,02a59489o0442o
59489.429238,16.605,0.019,828,16,o,0,1.8,11.91225,-20.52346,9076.08,4514.89,2.17,1.89,29.2,-0.427,19.6,20.8,02a59489o0490o
59489.449195,16.599,0.019,833,16,o,0,1.96,11.91225,-20.52346,1513.45,5916.73,2.23,1.9,37.8,-0.437,19.54,20.8,02a59489o0533o
59491.459867,16.81,0.025,686,17,o,0,1.31,11.91225,-20.52346,4848.23,4246.92,2.7,2.68,-52.9,-0.466,19.27,20.56,01a59491o0551o
59491.465872,16.776,0.023,707,16,o,0,1.68,11.91225,-20.52346,4868.54,4283.05,2.77,2.73,29.8,-0.459,19.23,20.53,01a59491o0564o
59491.469099,16.772,0.024,710,17,o,0,1.39,11.91225,-20.52346,4809.54,4207.03,2.75,2.68,39.9,-0.459,19.25,20.56,01a59491o0571o
59491.500786,16.749,0.025,725,18,o,0,1.4,11.91225,-20.52346,4794.63,4322.36,2.89,2.81,50.9,-0.448,19.18,20.5,01a59491o0639o
59493.477148,16.907,0.028,627,17,o,0,1.85,11.91225,-20.52346,3250.44,2530.67,2.18,1.88,44.5,-0.442,19.3,20.47,02a59493o0616o
59493.486863,16.846,0.022,663,14,o,0,2.29,11.91225,-20.52346,3232.99,2496.69,2.15,1.9,47.0,-0.438,19.49,20.67,02a59493o0637o
59493.49197,16.913,0.022,624,14,o,0,2.15,11.91225,-20.52346,3290.56,2577.47,2.16,1.88,46.8,-0.44,19.46,20.65,02a59493o0648o
59493.523421,16.913,0.026,624,16,o,0,1.38,11.91225,-20.52346,3313.24,2457.32,2.09,1.92,51.1,-0.441,19.47,20.57,02a59493o0715o
59495.385464,17.039,0.033,555,18,o,0,1.85,11.91225,-20.52346,5704.82,6323.53,4.91,3.37,-0.5,-0.339,18.84,20.66,01a59495o0421o
59495.387308,16.999,0.034,576,20,o,0,1.3,11.91225,-20.52346,5684.26,6285.05,5.34,3.52,-0.8,-0.323,18.78,20.67,01a59495o0425o
59495.391461,17.145,0.036,504,18,o,0,0.99,11.91225,-20.52346,5745.1,6362.37,4.08,3.18,-2.2,-0.359,19.0,20.72,01a59495o0434o
59495.398866,17.046,0.034,552,19,o,0,1.02,11.91225,-20.52346,5763.24,6247.22,3.78,3.15,-5.1,-0.379,19.04,20.75,01a59495o0450o
59501.371042,17.317,0.045,430,19,o,0,0.82,11.91225,-20.52346,6934.77,6073.64,2.41,1.82,37.1,-0.423,19.28,19.99,02a59501o0392o
59501.372874,17.398,0.041,399,16,o,0,1.37,11.91225,-20.52346,6953.2,6113.71,2.56,1.83,36.3,-0.414,19.27,20.0,02a59501o0396o
59501.377039,17.346,0.04,418,17,o,0,1.32,11.91225,-20.52346,6890.99,6036.22,2.33,1.82,36.8,-0.425,19.27,20.02,02a59501o0405o
59501.382538,17.266,0.043,451,19,o,0,1.11,11.91225,-20.52346,6871.04,6151.82,2.55,1.88,35.4,-0.413,19.24,19.99,02a59501o0417o
59503.347957,17.51,0.096,360,35,o,0,1.13,11.91225,-20.52346,7616.78,6201.05,2.9,2.74,-57.1,-0.485,18.6,19.4,01a59503o0313o
59503.349799,17.267,0.074,450,33,o,0,1.29,11.91225,-20.52346,7598.63,6163.42,2.87,2.83,-47.7,-0.473,18.63,19.41,01a59503o0317o
59503.357184,17.408,0.08,395,31,o,0,1.42,11.91225,-20.52346,7661.79,6236.65,2.86,2.82,23.5,-0.468,18.63,19.41,01a59503o0332o
59503.362268,17.479,0.081,370,30,o,0,1.54,11.91225,-20.52346,7678.52,6118.82,2.9,2.8,31.3,-0.46,18.63,19.42,01a59503o0343o
59508.406288,17.485,0.14,368,52,o,0,1.29,11.91225,-20.52346,1152.55,6500.87,2.92,2.53,-47.0,-0.477,18.27,18.79,01a59508o0481o
