MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59426.557256,20.645,0.749,20,15,o,0,1.41,18.94739,1.5058,8007.78,6223.6,2.31,2.07,38.8,-0.423,19.18,19.88,02a59426o0687o
59426.56231,21.49,1.688,9,16,o,0,1.26,18.94739,1.5058,8027.32,6262.65,2.3,2.01,36.9,-0.424,19.22,19.92,02a59426o0698o
59426.566906,20.0,0.45,36,16,o,0,1.0,18.94739,1.5058,7969.46,6185.09,2.38,2.12,37.7,-0.421,19.16,19.92,02a59426o0708o
59426.585431,20.259,0.475,29,14,o,0,1.69,18.94739,1.5058,7950.12,6302.48,2.35,2.04,35.1,-0.415,19.22,20.0,02a59426o0747o
59428.545511,-20.276,0.355,-28,10,o,0,1.45,18.94739,1.5058,5134.34,8120.37,3.12,2.0,2.0,-0.366,19.41,20.77,01a59428o0666o
59428.548735,-21.062,0.695,-14,10,o,0,1.53,18.94739,1.5058,5116.61,8082.46,2.98,1.93,2.0,-0.383,19.47,20.77,01a59428o0673o
59428.571793,21.418,0.833,10,8,o,0,1.78,18.94739,1.5058,5178.41,8158.35,2.47,1.92,-2.5,-0.396,19.58,20.84,01a59428o0722o
59428.574564,-21.145,0.701,-13,9,o,0,1.36,18.94739,1.5058,5198.12,8041.86,2.3,1.95,-5.4,-0.404,19.59,20.83,01a59428o0728o
59432.504952,-22.651,2.212,-3,7,c,0,1.26,18.94739,1.5058,612.14,4438.2,2.34,2.19,75.8,-0.395,19.84,21.6,01a59432o0587c
59432.514727,23.266,4.833,2,9,c,0,0.85,18.94739,1.5058,594.79,4398.03,2.42,2.24,72.8,-0.381,19.82,21.61,01a59432o0607c
59432.52401,-20.705,0.378,-19,7,c,0,1.63,18.94739,1.5058,651.99,4479.01,2.36,2.25,75.1,-0.389,19.8,21.66,01a59432o0627c
59432.534695,23.288,3.824,2,7,c,0,1.48,18.94739,1.5058,673.34,4364.09,2.43,2.34,66.9,-0.377,19.81,21.7,01a59432o0650c
59434.550115,-20.44,0.5,-24,12,o,0,1.42,18.94739,1.5058,8099.45,8166.34,2.17,2.11,48.5,-0.441,19.55,20.64,02a59434o0683o
59434.551945,23.361,7.071,2,12,o,0,1.57,18.94739,1.5058,8118.64,8205.29,2.17,2.1,47.4,-0.449,19.56,20.65,02a59434o0687o
59434.556087,22.918,5.238,2,13,o,0,1.18,18.94739,1.5058,8061.02,8127.62,2.21,2.1,43.3,-0.444,19.58,20.68,02a59434o0696o
59434.561153,20.295,0.453,28,12,o,0,1.42,18.94739,1.5058,8041.36,8245.14,2.14,2.08,-89.2,-0.447,19.6,20.67,02a59434o0707o
59436.514093,-22.618,2.243,-3,7,c,0,1.24,18.94739,1.5058,619.09,4443.47,2.22,2.12,76.4,-0.401,19.93,21.77,01a59436o0593c
59436.519183,22.66,2.375,3,7,c,0,1.04,18.94739,1.5058,598.08,4406.37,2.39,2.21,88.9,-0.397,19.91,21.77,01a59436o0604c
