MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59433.297096,-20.987,0.458,-15,7,c,0,1.66,229.70671,27.21546,9177.97,7093.09,2.56,2.19,-86.6,-0.378,19.87,21.66,01a59433o0142c
59433.301249,-24.85,21.5,0,9,c,0,0.86,229.70671,27.21546,9199.19,7132.17,2.61,2.17,-86.8,-0.381,19.89,21.69,01a59433o0151c
59433.306798,21.739,1.141,7,8,c,0,0.92,229.70671,27.21546,9139.45,7056.14,2.51,2.2,-86.8,-0.383,19.9,21.7,01a59433o0163c
59433.31879,20.864,0.497,16,8,c,0,1.09,229.70671,27.21546,9120.5,7174.55,2.63,2.25,-86.1,-0.377,19.82,21.72,01a59433o0189c
59435.304249,-21.006,0.784,-14,11,o,0,1.17,229.70671,27.21546,9713.6,1400.95,2.54,1.94,-48.9,-0.502,19.6,21.13,02a59435o0156o
59435.308384,23.054,5.412,2,12,o,0,1.06,229.70671,27.21546,9693.71,1362.45,2.49,1.84,-49.7,-0.509,19.58,21.1,02a59435o0165o
59435.313893,20.228,0.379,29,11,o,0,1.46,229.70671,27.21546,9752.8,1440.66,2.51,1.85,-50.7,-0.501,19.6,21.08,02a59435o0177o
59435.324922,-21.486,1.247,-9,12,o,0,1.13,229.70671,27.21546,9774.87,1322.92,2.41,1.79,-44.7,-0.503,19.57,21.03,02a59435o0201o
59437.269945,-21.45,0.632,-10,6,c,0,1.47,229.70671,27.21546,9163.58,7088.64,2.19,2.1,-88.1,-0.417,19.93,21.72,01a59437o0053c
59439.255894,-20.924,0.766,-16,12,o,0,1.25,229.70671,27.21546,9718.41,1394.31,2.77,2.04,-55.9,-0.453,19.45,20.92,02a59439o0051o
59439.276857,23.145,4.733,2,10,o,0,2.29,229.70671,27.21546,9698.12,1354.37,2.6,1.93,-54.8,-0.478,19.52,20.94,02a59439o0096o
59439.292526,20.978,0.782,15,12,o,0,1.16,229.70671,27.21546,9759.31,1434.29,2.61,1.95,-54.6,-0.467,19.51,20.92,02a59439o0129o
59439.305682,20.861,0.72,16,12,o,0,0.86,229.70671,27.21546,9781.49,1316.62,2.53,1.81,-53.4,-0.481,19.55,20.92,02a59439o0157o
59441.329828,23.807,12.231,1,13,o,0,0.93,229.70671,27.21546,3798.32,959.64,1.97,1.92,7.4,-0.44,19.42,20.17,01a59441o0222o
59441.333563,-21.155,0.924,-12,12,o,0,1.2,229.70671,27.21546,3814.95,999.85,2.04,1.89,-16.5,-0.446,19.36,20.15,01a59441o0230o
59441.343374,-21.162,0.912,-12,11,o,0,1.26,229.70671,27.21546,3762.81,920.12,2.09,1.98,28.5,-0.425,19.34,20.1,01a59441o0250o
59441.364191,21.598,1.531,8,13,o,0,1.5,229.70671,27.21546,3742.23,1038.39,2.18,2.1,4.0,-0.422,19.17,19.98,01a59441o0294o
