MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59433.446017,-21.102,1.0,-13,13,o,0,1.31,331.77763,-20.57341,9854.59,8357.68,2.66,2.08,-61.1,-0.413,19.44,20.44,02a59433o0462o
59433.447845,-21.805,2.296,-7,16,o,0,0.85,331.77763,-20.57341,9874.46,8396.91,2.46,2.08,-67.8,-0.42,19.44,20.44,02a59433o0466o
59433.451083,-20.565,0.73,-22,16,o,0,0.82,331.77763,-20.57341,9815.06,8320.85,2.52,2.08,-61.8,-0.423,19.45,20.45,02a59433o0473o
59433.461145,23.596,10.3,1,14,o,0,1.21,331.77763,-20.57341,9796.48,8435.05,2.57,2.06,-64.9,-0.418,19.45,20.5,02a59433o0495o
59435.44378,24.442,17.2,1,10,c,0,1.07,331.77763,-20.57341,8705.07,2319.02,2.64,2.45,-79.2,-0.393,19.76,21.57,01a59435o0420c
59435.44749,21.649,1.09,8,9,c,0,1.18,331.77763,-20.57341,8686.34,2280.43,2.59,2.47,-49.3,-0.377,19.75,21.57,01a59435o0428c
59435.45256,-20.957,0.631,-15,10,c,0,1.15,331.77763,-20.57341,8743.84,2358.49,2.67,2.56,-40.1,-0.369,19.72,21.56,01a59435o0439c
59435.459491,-20.921,0.518,-16,8,c,0,2.29,331.77763,-20.57341,8762.75,2241.17,2.84,2.61,-75.9,-0.385,19.7,21.54,01a59435o0454c
59437.432819,20.424,0.722,25,18,o,0,0.83,331.77763,-20.57341,9991.0,10322.92,3.53,2.19,-57.3,-0.407,19.38,20.46,02a59437o0433o
59437.43465,-21.508,1.754,-9,16,o,0,1.1,331.77763,-20.57341,10010.4,10363.21,2.83,2.03,-62.5,-0.441,19.38,20.44,02a59437o0437o
59437.437393,21.314,1.483,11,16,o,0,1.08,331.77763,-20.57341,9951.48,10282.33,3.45,2.16,-57.4,-0.403,19.39,20.43,02a59437o0443o
59437.43785,-22.856,6.045,-3,16,o,0,1.01,331.77763,-20.57341,1461.5,65.4,2.51,1.85,-58.8,-0.428,19.42,20.46,02a59437o0444o
