MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59436.309296,-24.97,28.667,0,11,o,0,1.36,237.38528,65.70322,4773.03,4727.27,2.23,2.11,36.4,-0.448,19.47,20.87,02a59436o0168o
59436.312968,-20.914,0.659,-16,10,o,0,1.16,237.38528,65.70322,4754.95,4690.74,2.2,2.02,-58.6,-0.454,19.43,20.88,02a59436o0176o
59436.318465,0.0,21.413,0,10,o,0,1.24,237.38528,65.70322,4810.87,4762.7,2.12,2.05,34.7,-0.458,19.49,20.89,02a59436o0188o
59436.328594,-22.516,3.167,-4,11,o,0,0.98,237.38528,65.70322,4829.57,4643.84,2.22,2.02,31.2,-0.445,19.48,20.84,02a59436o0210o
59438.297697,-23.408,3.529,-2,6,c,0,1.43,237.38528,65.70322,4475.97,3801.54,2.25,2.14,32.8,-0.387,19.92,21.93,01a59438o0007c
59438.301458,23.609,4.643,1,6,c,0,0.94,237.38528,65.70322,4496.65,3839.54,2.25,2.14,24.3,-0.382,19.91,21.95,01a59438o0015c
59438.308885,-22.519,1.595,-4,6,c,0,1.45,237.38528,65.70322,4438.5,3760.05,2.25,2.19,-50.4,-0.392,19.92,21.98,01a59438o0031c
59438.319512,22.122,1.283,5,7,c,0,1.23,237.38528,65.70322,4424.22,3876.34,2.26,2.17,-38.0,-0.4,19.94,22.0,01a59438o0054c
59440.267346,20.92,0.865,16,14,o,0,0.79,237.38528,65.70322,4785.19,4732.06,1.98,1.96,43.8,-0.439,19.3,20.25,02a59440o0080o
59440.2706,-21.154,0.875,-12,11,o,0,0.99,237.38528,65.70322,4762.02,4689.51,2.16,1.89,34.5,-0.435,19.34,20.23,02a59440o0087o
59440.277045,-20.627,0.651,-20,13,o,0,0.83,237.38528,65.70322,4823.04,4767.09,2.09,2.05,43.9,-0.438,19.27,20.23,02a59440o0101o
59440.287578,-20.364,0.491,-26,13,o,0,1.17,237.38528,65.70322,4841.37,4647.02,2.21,2.02,34.2,-0.432,19.27,20.25,02a59440o0124o
59442.259973,-20.635,0.552,-20,11,o,0,1.24,237.38528,65.70322,9161.47,7521.14,1.97,1.89,82.2,-0.423,19.49,20.21,01a59442o0008o
59442.263233,-21.984,2.394,-6,14,o,0,0.72,237.38528,65.70322,9184.36,7558.74,1.99,1.9,86.2,-0.424,19.48,20.19,01a59442o0015o
59442.270682,20.842,0.755,17,13,o,0,0.97,237.38528,65.70322,9120.91,7488.7,2.0,1.91,-78.2,-0.429,19.47,20.19,01a59442o0031o
59442.282025,-20.802,0.607,-17,10,o,0,1.64,237.38528,65.70322,9105.49,7607.9,1.97,1.85,-60.1,-0.438,19.49,20.21,01a59442o0055o
59444.303633,21.064,1.226,14,17,o,0,0.97,237.38528,65.70322,6732.7,4646.58,1.93,1.82,47.4,-0.446,19.15,19.63,02a59444o0164o
59444.307773,-21.015,1.16,-14,16,o,0,1.1,237.38528,65.70322,6712.81,4606.17,2.06,1.82,40.1,-0.438,19.1,19.63,02a59444o0173o
59444.314196,22.164,3.231,5,16,o,0,1.1,237.38528,65.70322,6771.18,4684.57,1.94,1.83,42.9,-0.447,19.12,19.61,02a59444o0187o
59444.325313,21.59,2.0,8,17,o,0,1.06,237.38528,65.70322,6787.6,4564.77,2.24,1.77,38.4,-0.436,19.09,19.59,02a59444o0211o
59446.240629,21.033,1.217,14,17,o,0,0.83,237.38528,65.70322,9164.66,7524.62,1.84,1.79,-33.7,-0.457,19.02,19.15,01a59446o0037o
59446.246648,-22.161,3.077,-5,15,o,0,0.93,237.38528,65.70322,9184.01,7559.11,1.89,1.78,-44.8,-0.464,19.16,19.47,01a59446o0050o
59446.25688,-21.821,2.6,-7,18,o,0,0.81,237.38528,65.70322,9121.95,7490.57,1.86,1.81,-34.6,-0.449,19.2,19.52,01a59446o0072o
59446.260134,-21.266,1.114,-11,13,o,0,1.88,237.38528,65.70322,9103.97,7607.18,1.91,1.75,-54.3,-0.458,19.21,19.51,01a59446o0079o
59448.250686,-20.849,1.223,-17,20,o,0,0.95,237.38528,65.70322,6744.64,4653.33,1.86,1.8,-78.7,-0.457,18.82,19.09,02a59448o0054o
