MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59435.481329,20.517,0.368,23,8,c,0,1.1,346.27894,-11.37445,2464.27,10014.33,2.33,2.11,-48.6,-0.392,19.79,21.63,01a59435o0500c
59435.48318,20.839,0.457,17,8,c,0,1.38,346.27894,-11.37445,2444.58,9975.4,2.4,2.16,-58.8,-0.402,19.74,21.63,01a59435o0504c
59435.486405,21.162,0.538,12,7,c,0,2.12,346.27894,-11.37445,2504.83,10053.95,2.28,2.04,-54.9,-0.402,19.82,21.63,01a59435o0511c
59435.493915,20.282,0.267,28,8,c,0,1.56,346.27894,-11.37445,2525.47,9936.71,2.4,2.22,-55.8,-0.391,19.76,21.61,01a59435o0527c
59436.449234,20.9,0.476,16,8,c,0,1.32,346.27894,-11.37445,2451.4,10013.35,2.24,1.97,-61.3,-0.41,19.86,21.65,01a59436o0455c
59436.452949,20.646,0.383,20,8,c,0,1.11,346.27894,-11.37445,2432.37,9973.99,2.16,1.93,-57.9,-0.494,19.89,21.66,01a59436o0463c
59436.462465,21.122,0.552,13,7,c,0,1.34,346.27894,-11.37445,2495.53,10052.24,2.14,1.93,-53.6,-0.409,19.91,21.69,01a59436o0483c
59436.472613,20.469,0.289,24,7,c,0,1.65,346.27894,-11.37445,2516.44,9935.47,2.13,1.92,-58.8,-0.412,19.92,21.72,01a59436o0505c
59438.458257,-21.009,0.689,-14,10,o,0,1.42,346.27894,-11.37445,5825.76,2597.65,1.95,1.9,36.2,-0.446,19.65,20.98,02a59438o0489o
59438.461466,-20.065,0.264,-34,9,o,0,2.34,346.27894,-11.37445,5845.16,2636.73,1.91,1.87,32.4,-0.451,19.66,20.96,02a59438o0496o
59438.478524,20.925,0.571,16,9,o,0,1.59,346.27894,-11.37445,5788.43,2559.41,1.98,1.87,33.4,-0.444,19.67,21.05,02a59438o0532o
59438.48129,-22.059,1.582,-6,9,o,0,1.85,346.27894,-11.37445,5769.55,2675.88,2.01,1.93,31.3,-0.445,19.64,21.05,02a59438o0538o
59440.458879,21.082,0.657,13,9,c,0,1.64,346.27894,-11.37445,4644.75,6027.67,3.85,2.88,-4.6,-0.345,19.42,21.66,01a59440o0493c
59440.462104,-20.731,0.51,-18,10,c,0,1.23,346.27894,-11.37445,4625.65,5988.9,3.58,3.04,-4.8,-0.359,19.47,21.7,01a59440o0500c
59440.467745,20.631,0.426,20,9,c,0,1.33,346.27894,-11.37445,4684.65,6066.54,3.77,2.94,-3.7,-0.311,19.46,21.7,01a59440o0512c
59440.495442,21.277,0.702,11,8,c,0,1.13,346.27894,-11.37445,4706.52,5950.52,2.82,2.69,-23.5,-0.348,19.67,21.71,01a59440o0570c
59441.391534,23.325,6.923,2,12,o,0,1.39,346.27894,-11.37445,5820.34,2595.83,2.39,2.14,38.9,-0.433,19.31,20.4,02a59441o0352o
59441.403107,21.14,0.858,13,11,o,0,1.52,346.27894,-11.37445,5842.49,2635.16,2.19,2.02,33.6,-0.435,19.46,20.57,02a59441o0377o
59441.42739,-20.926,0.765,-16,12,o,0,0.99,346.27894,-11.37445,5781.59,2558.03,2.29,2.02,38.0,-0.433,19.46,20.71,02a59441o0429o
59441.431147,-23.411,7.071,-2,11,o,0,0.99,346.27894,-11.37445,5765.38,2674.07,2.25,1.97,34.5,-0.436,19.52,20.72,02a59441o0437o
59442.471095,19.794,0.171,44,8,o,0,3.25,346.27894,-11.37445,3881.37,2693.53,1.95,1.83,34.1,-0.451,19.66,20.94,02a59442o0523o
59442.49413,-19.907,0.186,-40,7,o,0,2.71,346.27894,-11.37445,3904.16,2731.8,1.98,1.88,28.4,-0.448,19.66,20.98,02a59442o0572o
59442.522347,24.264,14.0,1,10,o,0,1.92,346.27894,-11.37445,6736.23,7897.37,2.31,2.03,45.9,-0.447,19.58,20.89,02a59442o0633o
59442.52614,-20.67,0.543,-20,11,o,0,1.58,346.27894,-11.37445,6756.04,7783.85,2.33,2.05,46.0,-0.441,19.59,20.89,02a59442o0641o
59444.325759,-20.963,1.344,-15,20,o,0,0.97,346.27894,-11.37445,4634.18,6028.43,2.43,2.08,-51.8,-0.407,18.74,19.2,01a59444o0163o
59444.346117,19.636,0.306,51,16,o,0,1.5,346.27894,-11.37445,4613.42,5990.62,2.25,1.93,-46.2,-0.418,18.97,19.4,01a59444o0207o
59444.373224,-20.636,0.535,-20,11,o,0,2.08,346.27894,-11.37445,4680.75,6068.41,2.03,1.77,-43.2,-0.426,19.16,19.6,01a59444o0265o
59444.384898,20.565,0.607,22,13,o,0,1.43,346.27894,-11.37445,4696.59,5953.86,2.08,1.88,-42.9,-0.419,19.16,19.65,01a59444o0290o
59445.410575,20.587,0.864,21,18,o,0,1.47,346.27894,-11.37445,3865.65,2697.32,2.1,1.81,34.2,-0.458,19.02,19.46,02a59445o0375o
59445.412415,-21.648,1.949,-8,16,o,0,1.46,346.27894,-11.37445,3884.91,2735.67,2.08,1.87,33.2,-0.452,18.98,19.45,02a59445o0379o
59445.415161,-21.077,1.336,-14,18,o,0,1.44,346.27894,-11.37445,3826.83,2658.14,2.06,1.88,30.4,-0.453,18.97,19.47,02a59445o0385o
59445.420193,21.43,1.832,10,18,o,0,1.39,346.27894,-11.37445,3806.43,2773.58,2.16,1.83,30.4,-0.452,19.02,19.47,02a59445o0396o
59452.472532,20.348,0.506,26,13,o,0,1.69,346.27894,-11.37445,9780.1,4334.08,2.08,1.85,-46.1,-0.429,19.29,19.74,01a59452o0543o
59452.478077,19.837,0.443,42,19,o,0,0.92,346.27894,-11.37445,9801.89,4373.08,2.4,2.17,-47.3,-0.452,19.13,19.74,01a59452o0555o
59452.481307,21.851,2.265,7,15,o,0,1.33,346.27894,-11.37445,9743.01,4294.82,2.28,1.97,-52.7,-0.452,19.19,19.74,01a59452o0562o
59452.497686,-21.257,1.306,-11,15,o,0,1.47,346.27894,-11.37445,9726.88,4406.78,2.21,1.97,-51.2,-0.441,19.19,19.69,01a59452o0597o
59454.470117,20.243,0.491,29,14,o,0,1.12,346.27894,-11.37445,2986.95,1744.81,2.02,1.95,-53.9,-0.465,19.31,20.14,02a59454o0528o
59454.473341,19.386,0.182,64,12,o,0,1.27,346.27894,-11.37445,2967.63,1706.43,1.98,1.93,-62.2,-0.469,19.33,20.14,02a59454o0535o
59454.508729,20.588,0.599,21,13,o,0,1.57,346.27894,-11.37445,3023.88,1787.43,1.96,1.9,83.2,-0.489,19.31,20.09,02a59454o0611o
59454.53709,19.77,0.365,45,16,o,0,0.8,346.27894,-11.37445,3040.68,1674.09,1.95,1.9,-73.5,-0.466,19.28,20.03,02a59454o0672o
59456.482495,19.218,0.144,75,11,o,0,1.26,346.27894,-11.37445,5667.99,8896.7,2.16,2.05,-45.6,-0.417,19.6,20.67,01a59456o0571o
59456.485719,19.585,0.198,53,10,o,0,1.6,346.27894,-11.37445,5689.1,8935.28,2.12,2.05,-36.3,-0.458,19.61,20.67,01a59456o0578o
