MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59441.517264,21.834,1.426,7,10,o,0,4.06,18.961,-15.90521,6531.25,1196.66,1.98,1.95,73.9,-0.44,19.61,20.8,02a59441o0622o
59441.524459,-26.394,98.0,0,10,o,0,4.08,18.961,-15.90521,6551.73,1235.67,2.0,1.99,85.5,-0.436,19.55,20.82,02a59441o0637o
59441.527685,22.186,2.122,5,10,o,0,3.66,18.961,-15.90521,6495.96,1154.99,1.98,1.95,78.7,-0.442,19.57,20.83,02a59441o0644o
59441.53873,-21.006,0.699,-14,10,o,0,2.23,18.961,-15.90521,6473.19,1276.27,2.08,2.06,-63.8,-0.433,19.55,20.92,02a59441o0668o
59443.543616,-20.668,0.345,-20,7,c,0,2.06,18.961,-15.90521,3946.47,7423.71,2.32,2.17,-35.9,-0.381,19.82,21.79,01a59443o0558c
59443.546854,-21.727,1.063,-7,8,c,0,1.16,18.961,-15.90521,3927.12,7385.36,2.31,2.22,31.4,-0.359,19.82,21.8,01a59443o0565c
59443.553302,21.923,1.391,6,9,c,0,1.23,18.961,-15.90521,3985.63,7463.18,2.27,2.07,-42.4,-0.393,19.89,21.85,01a59443o0579c
59443.577468,20.76,0.333,18,6,c,0,3.47,18.961,-15.90521,6544.76,3224.28,2.41,2.37,-87.7,-0.37,19.83,21.87,01a59443o0631c
59445.494368,21.065,1.188,14,16,o,0,1.38,18.961,-15.90521,4562.86,1292.61,2.15,2.11,73.5,-0.438,19.02,19.64,02a59445o0558o
59445.496198,20.817,0.786,17,13,o,0,2.25,18.961,-15.90521,4582.3,1331.73,2.01,1.94,50.5,-0.45,19.1,19.64,02a59445o0562o
59445.499406,21.43,1.563,10,15,o,0,2.11,18.961,-15.90521,4523.87,1253.61,2.07,2.05,59.7,-0.454,19.05,19.65,02a59445o0569o
59445.50764,21.69,2.151,8,16,o,0,2.97,18.961,-15.90521,4502.6,1368.58,2.14,1.9,42.2,-0.444,19.09,19.72,02a59445o0587o
59447.46043,-20.59,0.866,-21,18,o,0,1.36,18.961,-15.90521,3932.76,7420.53,2.25,1.92,-17.2,-0.384,18.77,18.98,01a59447o0512o
59447.463194,21.554,2.208,9,19,o,0,1.21,18.961,-15.90521,3914.45,7381.87,2.17,1.86,-26.4,-0.398,18.86,19.0,01a59447o0518o
59447.465959,20.822,1.052,17,18,o,0,1.8,18.961,-15.90521,3973.31,7459.7,2.18,1.89,-25.0,-0.393,18.81,19.02,01a59447o0524o
59447.47149,20.954,1.05,15,16,o,0,3.86,18.961,-15.90521,3996.39,7344.49,2.04,1.96,-3.4,-0.387,18.83,19.05,01a59447o0536o
59448.495899,20.133,0.876,32,28,o,0,1.43,18.961,-15.90521,10210.7,7600.33,2.15,2.1,-63.1,-0.434,18.61,18.67,01a59448o0590o
59448.499459,-20.737,1.411,-18,26,o,0,1.3,18.961,-15.90521,10192.13,7562.03,2.18,2.08,-64.1,-0.441,18.61,18.68,01a59448o0597o
59448.500838,-20.807,1.779,-17,31,o,0,1.09,18.961,-15.90521,47.57,7635.54,2.19,1.96,-52.4,-0.454,18.55,18.62,01a59448o0600o
59448.502221,-19.712,0.594,-47,28,o,0,1.11,18.961,-15.90521,10251.85,7638.62,2.33,2.2,-62.1,-0.428,18.54,18.68,01a59448o0603o
59448.511439,-20.767,1.888,-18,34,o,0,1.7,18.961,-15.90521,71.86,7518.8,2.06,1.76,-46.1,-0.461,18.69,18.66,01a59448o0622o
59448.51466,19.018,0.303,90,27,o,0,1.54,18.961,-15.90521,10273.66,7519.17,2.17,2.12,-62.0,-0.452,18.65,18.73,01a59448o0629o
59454.498955,-20.142,0.511,-32,16,o,0,1.93,18.961,-15.90521,8777.6,7421.03,2.14,2.06,75.2,-0.44,19.29,19.93,02a59454o0590o
59454.502158,-21.199,1.188,-12,14,o,0,1.86,18.961,-15.90521,8798.45,7459.35,2.2,2.14,-79.9,-0.441,19.26,19.92,02a59454o0597o
59454.504904,21.582,1.838,8,16,o,0,1.71,18.961,-15.90521,8739.27,7382.09,2.17,2.08,85.5,-0.436,19.26,19.91,02a59454o0603o
59454.513933,22.278,3.375,4,15,o,0,1.85,18.961,-15.90521,8718.58,7499.8,2.14,2.06,67.1,-0.444,19.24,19.88,02a59454o0622o
59455.46415,22.362,3.475,4,14,o,0,1.14,18.961,-15.90521,10222.69,7602.65,2.21,2.16,-72.5,-0.431,19.38,20.26,01a59455o0531o
59455.475692,-21.359,1.12,-10,12,o,0,1.55,18.961,-15.90521,10202.98,7562.19,2.37,2.21,52.9,-0.424,19.34,20.27,01a59455o0556o
59455.48216,-20.599,0.612,-21,13,o,0,1.39,18.961,-15.90521,10263.67,7638.85,2.35,2.22,36.4,-0.423,19.36,20.29,01a59455o0570o
59455.485381,-20.391,0.455,-25,12,o,0,1.94,18.961,-15.90521,10284.61,7521.8,2.11,2.02,-57.8,-0.449,19.44,20.31,01a59455o0577o
59455.516101,20.743,0.891,18,16,o,0,2.67,18.961,-15.90521,67.61,7639.55,2.03,1.76,-44.1,-0.462,19.53,20.41,01a59455o0641o
