MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59439.307056,-19.923,1.383,-39,54,o,0,0.4,267.94074,14.14594,53.53,6581.56,2.44,1.95,-62.6,-0.402,19.3,20.81,02a59439o0160o
59439.310975,-19.068,0.432,-86,37,o,0,0.54,267.94074,14.14594,34.35,6541.83,2.56,2.04,-57.0,-0.402,19.34,20.84,02a59439o0168o
59439.317423,20.628,0.702,20,14,o,0,0.83,267.94074,14.14594,93.93,6620.54,2.52,1.98,-58.7,-0.407,19.29,20.85,02a59439o0182o
59439.318797,-21.038,0.9,-14,13,o,0,1.02,267.94074,14.14594,10183.99,6576.45,2.63,2.17,-61.1,-0.442,19.37,20.87,02a59439o0185o
59439.321602,-20.79,0.602,-18,10,o,0,1.48,267.94074,14.14594,10166.45,6539.34,2.7,2.34,-52.4,-0.438,19.47,21.01,02a59439o0191o
59439.328492,20.904,0.712,16,11,o,0,1.78,267.94074,14.14594,10224.47,6618.01,2.6,2.25,-62.9,-0.454,19.49,20.97,02a59439o0205o
59439.339648,21.421,2.364,10,23,o,0,1.21,267.94074,14.14594,10244.86,6501.44,3.58,3.32,-51.7,-0.42,18.88,20.89,02a59439o0229o
59439.343257,21.134,1.333,13,17,o,0,1.13,267.94074,14.14594,115.17,6506.32,4.02,3.63,-58.9,-0.412,19.02,21.13,02a59439o0236o
59440.347124,20.221,0.639,30,19,o,0,1.15,267.94074,14.14594,10521.69,5948.08,3.05,2.75,-56.0,-0.444,19.27,20.74,01a59440o0258o
59441.318319,-22.05,1.821,-6,10,o,0,1.34,267.94074,14.14594,452.97,5974.47,2.17,1.85,-21.4,-0.412,19.55,20.65,01a59441o0198o
59441.34007,-22.004,1.709,-6,10,o,0,0.88,267.94074,14.14594,477.17,6009.0,2.0,1.72,-46.8,-0.435,19.65,20.67,01a59441o0243o
59441.352271,20.717,0.703,19,13,o,0,1.44,267.94074,14.14594,10525.42,5951.53,2.05,1.91,-68.1,-0.448,19.63,20.61,01a59441o0269o
59441.352731,0.0,21.453,0,10,o,0,1.4,267.94074,14.14594,419.52,5930.2,2.12,1.8,-50.8,-0.428,19.62,20.67,01a59441o0270o
