MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59441.529657,-21.022,0.546,-14,8,c,0,1.43,9.69754,32.41424,2459.67,9517.88,2.59,2.35,-57.3,-0.379,19.89,22.05,01a59441o0631c
59441.53567,-21.09,0.642,-13,8,c,0,1.28,9.69754,32.41424,2441.08,9480.2,2.49,2.23,-57.9,-0.377,19.95,22.07,01a59441o0644c
59441.537512,-23.058,3.545,-2,8,c,0,1.67,9.69754,32.41424,2498.61,9557.31,2.49,2.21,-55.8,-0.384,19.96,22.06,01a59441o0648c
59441.557555,-20.921,0.492,-16,8,c,0,1.82,9.69754,32.41424,7986.1,1120.23,2.53,2.45,64.5,-0.4,19.9,22.08,01a59441o0687c
59443.515252,20.884,0.826,16,13,o,0,0.96,9.69754,32.41424,5364.84,9424.81,2.13,1.99,57.5,-0.442,19.65,20.94,02a59443o0603o
59443.517083,20.575,0.602,21,13,o,0,1.28,9.69754,32.41424,5384.65,9464.77,2.11,2.02,65.7,-0.447,19.67,20.94,02a59443o0607o
59443.543653,-20.729,0.526,-18,10,o,0,1.84,9.69754,32.41424,5333.38,9389.3,2.07,2.0,59.4,-0.448,19.66,20.96,02a59443o0661o
59443.546396,-21.805,1.924,-7,13,o,0,1.21,9.69754,32.41424,5313.8,9508.58,2.05,1.98,60.5,-0.448,19.64,20.93,02a59443o0667o
59445.512728,-19.799,0.238,-44,10,o,0,1.97,9.69754,32.41424,2459.96,9523.75,1.9,1.73,-53.9,-0.415,19.59,20.32,01a59445o0566o
59445.515039,20.865,0.536,16,9,o,0,2.07,9.69754,32.41424,2441.1,9485.38,1.91,1.78,-59.3,-0.418,19.56,20.33,01a59445o0571o
59445.526284,-21.239,0.925,-12,11,o,0,1.4,9.69754,32.41424,2499.03,9561.88,1.97,1.8,-50.8,-0.413,19.56,20.41,01a59445o0595o
59445.536127,-20.268,0.395,-28,11,o,0,1.15,9.69754,32.41424,7987.42,1122.73,1.99,1.92,-8.3,-0.434,19.6,20.54,01a59445o0615o
