MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59206.280028,-21.182,0.831,-12,10,o,0,2.34,24.46213,53.6644,3442.43,8612.68,2.24,2.1,-17.0,-0.399,19.31,20.33,01a59206o0185o
59206.283252,-21.78,1.826,-7,13,o,0,1.07,24.46213,53.6644,3463.83,8651.46,2.23,2.16,-41.1,-0.409,19.29,20.32,01a59206o0192o
59206.289241,-21.982,2.0,-6,12,o,0,1.38,24.46213,53.6644,3402.55,8571.43,2.33,2.27,-54.3,-0.415,19.25,20.31,01a59206o0205o
59206.299843,20.945,0.874,15,13,o,0,0.95,24.46213,53.6644,3384.53,8688.54,2.27,2.21,-15.5,-0.41,19.28,20.31,01a59206o0228o
59208.294752,21.424,1.936,10,19,o,0,1.89,24.46213,53.6644,9132.18,7675.82,2.35,2.16,-74.7,-0.432,19.11,19.71,02a59208o0225o
59208.29796,-19.918,0.5,-39,20,o,0,1.41,24.46213,53.6644,9110.39,7636.89,2.45,2.22,-63.5,-0.426,19.11,19.69,02a59208o0232o
59208.303583,-20.367,0.779,-26,20,o,0,1.12,24.46213,53.6644,9166.4,7713.83,2.29,2.17,52.7,-0.431,19.05,19.67,02a59208o0244o
59208.315939,22.598,5.607,3,19,o,0,1.48,24.46213,53.6644,9185.45,7597.16,2.28,2.09,-72.8,-0.435,19.13,19.69,02a59208o0271o
59210.400722,-19.072,0.472,-85,40,o,0,1.14,24.46213,53.6644,5178.1,2811.34,2.36,2.32,-41.8,-0.379,17.98,18.45,01a59210o0137o
59210.404869,20.304,19.234,27,528,o,0,1.2,24.46213,53.6644,5196.51,2849.43,2.6,2.33,1.1,-0.409,15.63,15.82,01a59210o0146o
59212.342455,-22.829,8.593,-3,23,o,0,0.98,24.46213,53.6644,2088.49,5563.65,2.06,1.91,28.0,-0.449,18.66,18.94,02a59212o0335o
59212.345689,21.803,3.25,7,22,o,0,0.78,24.46213,53.6644,2072.21,5528.46,1.99,1.88,26.5,-0.464,18.69,18.93,02a59212o0342o
59212.351638,-20.827,1.159,-17,20,o,0,1.54,24.46213,53.6644,2129.06,5601.73,2.02,1.88,26.9,-0.451,18.67,18.91,02a59212o0355o
59212.361734,-23.706,15.167,-1,18,o,0,2.47,24.46213,53.6644,2151.31,5479.26,2.07,1.89,31.4,-0.454,18.61,18.89,02a59212o0377o
59214.277478,-20.385,0.706,-26,18,o,0,0.98,24.46213,53.6644,5144.43,2802.83,2.18,2.01,-6.5,-0.389,19.05,19.52,01a59214o0191o
