MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59440.540499,-19.782,0.226,-44,10,c,0,0.99,10.1563,-14.13272,9548.49,642.53,2.88,2.72,5.2,-0.432,19.73,21.78,01a59440o0666c
59440.549267,-20.453,0.376,-24,9,c,0,1.4,10.1563,-14.13272,9530.44,604.14,3.29,2.61,0.9,-0.361,19.7,21.81,01a59440o0685c
59440.551106,-20.727,0.463,-19,9,c,0,1.61,10.1563,-14.13272,9587.3,681.17,3.07,2.61,-2.9,-0.361,19.73,21.81,01a59440o0689c
59440.556174,-20.369,0.313,-26,8,c,0,1.52,10.1563,-14.13272,9607.29,561.91,2.73,2.52,0.4,-0.36,19.79,21.77,01a59440o0700c
59441.503614,-21.784,1.718,-7,12,o,0,1.38,10.1563,-14.13272,913.85,7955.87,2.08,1.8,-45.7,-0.466,19.61,20.82,02a59441o0593o
59441.506828,-22.672,3.636,-3,11,o,0,1.62,10.1563,-14.13272,934.39,7993.85,2.06,1.76,-47.4,-0.479,19.61,20.86,02a59441o0600o
59441.512336,-23.937,10.7,-1,10,o,0,1.39,10.1563,-14.13272,876.11,7915.73,2.07,1.76,-48.7,-0.473,19.62,20.88,02a59441o0612o
59441.524917,20.079,0.307,34,10,o,0,2.17,10.1563,-14.13272,853.47,8035.7,2.3,1.95,-49.2,-0.452,19.53,20.88,02a59441o0638o
59442.50374,-20.742,0.48,-18,9,o,0,2.03,10.1563,-14.13272,8965.34,8059.91,2.29,2.07,-67.4,-0.44,19.71,21.0,02a59442o0593o
59442.505568,20.571,0.5,22,11,o,0,1.71,10.1563,-14.13272,8984.77,8099.14,2.24,2.07,-71.2,-0.443,19.7,20.99,02a59442o0597o
59442.508311,20.937,0.73,15,11,o,0,1.05,10.1563,-14.13272,8925.69,8021.07,2.26,2.1,-74.0,-0.438,19.67,20.97,02a59442o0603o
59442.516631,21.02,0.908,14,13,o,0,1.0,10.1563,-14.13272,8907.5,8137.32,2.23,2.07,-72.1,-0.439,19.68,20.93,02a59442o0621o
59443.446644,-22.078,2.774,-5,15,o,0,1.13,10.1563,-14.13272,9558.74,649.61,2.28,2.02,-67.9,-0.436,19.32,20.18,01a59443o0406o
59443.452202,23.269,7.789,2,14,o,0,1.23,10.1563,-14.13272,9540.42,612.61,2.16,1.99,-49.4,-0.423,19.37,20.26,01a59443o0418o
59443.456366,22.815,4.464,3,12,o,0,1.37,10.1563,-14.13272,9597.85,689.32,2.17,2.05,-52.0,-0.425,19.41,20.33,01a59443o0427o
59443.460221,-20.818,0.7,-17,12,o,0,1.6,10.1563,-14.13272,9618.2,570.6,2.17,2.02,-58.0,-0.422,19.47,20.41,01a59443o0435o
59443.472784,-21.107,0.752,-13,10,o,0,1.9,10.1563,-14.13272,9581.23,629.31,1.99,1.87,-29.3,-0.428,19.65,20.75,01a59443o0452o
59444.510242,-19.873,0.18,-41,7,c,0,2.25,10.1563,-14.13272,9552.91,645.61,2.72,2.68,48.5,-0.363,19.67,21.43,01a59444o0552c
59444.514443,-21.105,0.656,-13,9,c,0,1.58,10.1563,-14.13272,9533.41,606.53,2.74,2.7,45.3,-0.372,19.7,21.57,01a59444o0561c
59444.521373,-21.114,0.654,-13,8,c,0,1.23,10.1563,-14.13272,9591.52,684.49,2.56,2.48,20.3,-0.376,19.82,21.65,01a59444o0576c
