MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59442.466399,22.392,2.512,4,10,o,0,1.54,346.03871,-6.42057,3493.03,3268.81,2.04,1.87,30.5,-0.453,19.64,20.96,02a59442o0513o
59442.472466,20.176,0.256,31,8,o,0,2.5,346.03871,-6.42057,3511.96,3308.87,2.0,1.82,31.1,-0.458,19.69,20.97,02a59442o0526o
59442.495046,21.075,0.692,14,9,o,0,3.19,346.03871,-6.42057,3456.14,3230.58,2.0,1.85,31.6,-0.455,19.71,21.0,02a59442o0574o
59442.519988,21.508,1.114,9,10,o,0,1.83,346.03871,-6.42057,7146.8,7208.99,2.24,2.03,57.0,-0.447,19.6,20.92,02a59442o0628o
59444.411539,-21.996,2.139,-6,12,o,0,2.26,346.03871,-6.42057,5046.79,5455.64,1.96,1.77,-38.9,-0.432,19.34,19.87,01a59444o0347o
59444.416176,-21.086,1.058,-13,14,o,0,1.38,346.03871,-6.42057,5027.92,5418.85,2.11,1.95,-40.1,-0.412,19.25,19.91,01a59444o0357o
59444.421257,-21.293,1.25,-11,14,o,0,1.72,346.03871,-6.42057,5088.48,5496.95,1.94,1.81,-47.2,-0.418,19.38,19.92,01a59444o0368o
59444.431867,-20.657,0.664,-20,13,o,0,1.39,346.03871,-6.42057,5105.2,5378.8,2.11,1.95,-34.7,-0.409,19.3,19.94,01a59444o0391o
59445.40966,21.273,1.531,11,17,o,0,1.91,346.03871,-6.42057,3474.39,3271.26,2.02,1.9,31.8,-0.455,19.06,19.54,02a59445o0373o
59445.411958,20.979,0.98,15,14,o,0,1.51,346.03871,-6.42057,3493.74,3309.93,1.98,1.9,27.1,-0.457,19.04,19.54,02a59445o0378o
59445.414704,19.727,0.389,47,18,o,0,1.12,346.03871,-6.42057,3435.39,3232.58,2.43,1.85,31.8,-0.449,18.98,19.54,02a59445o0384o
59445.42065,-20.404,0.712,-25,18,o,0,1.91,346.03871,-6.42057,3416.8,3348.35,2.08,1.85,31.0,-0.458,19.06,19.56,02a59445o0397o
59446.388738,-22.383,5.125,-4,21,o,0,1.02,346.03871,-6.42057,3486.18,3269.68,2.07,1.89,15.3,-0.449,18.81,19.09,02a59446o0347o
59446.390568,20.207,0.768,30,23,o,0,0.82,346.03871,-6.42057,3505.88,3308.77,2.05,1.89,26.2,-0.453,18.79,19.09,02a59446o0351o
59446.397165,-23.894,20.4,-1,20,o,0,1.31,346.03871,-6.42057,3451.21,3227.92,2.06,1.88,26.2,-0.457,18.83,19.12,02a59446o0364o
59452.472992,20.234,0.503,29,15,o,0,1.8,346.03871,-6.42057,9373.05,4902.71,2.07,1.93,-47.4,-0.451,19.3,19.78,01a59452o0544o
59452.477157,21.004,1.126,14,16,o,0,1.65,346.03871,-6.42057,9393.07,4943.56,2.32,2.04,-55.5,-0.449,19.19,19.78,01a59452o0553o
59452.495845,21.059,1.196,14,16,o,0,1.87,346.03871,-6.42057,9338.35,4858.72,2.23,2.07,-47.1,-0.453,19.15,19.72,01a59452o0593o
59452.503769,21.527,1.614,9,14,o,0,1.69,346.03871,-6.42057,9320.28,4975.8,2.07,1.93,-46.5,-0.46,19.26,19.74,01a59452o0610o
59454.470575,20.596,0.599,21,13,o,0,1.83,346.03871,-6.42057,3843.24,1175.51,2.06,1.91,-58.8,-0.472,19.32,20.18,02a59454o0529o
59454.473798,20.364,0.628,26,16,o,0,1.06,346.03871,-6.42057,3823.65,1137.27,2.01,1.88,-57.1,-0.477,19.37,20.19,02a59454o0536o
59454.509186,20.239,0.58,29,17,o,0,1.64,346.03871,-6.42057,3879.59,1218.12,1.94,1.86,-76.2,-0.474,19.33,20.13,02a59454o0612o
59454.537546,21.287,1.085,11,12,o,0,2.49,346.03871,-6.42057,3896.16,1104.54,1.95,1.85,-66.2,-0.472,19.3,20.07,02a59454o0673o
59456.483876,22.461,2.667,4,10,o,0,2.68,346.03871,-6.42057,4813.23,9481.31,2.13,2.02,-43.6,-0.411,19.62,20.72,01a59456o0574o
59456.487101,21.52,1.196,9,11,o,0,2.32,346.03871,-6.42057,4833.35,9519.68,2.09,2.01,-42.2,-0.411,19.65,20.72,01a59456o0581o
59456.517141,19.813,0.224,43,10,o,0,2.15,346.03871,-6.42057,4779.72,9437.5,2.18,2.07,-63.1,-0.405,19.63,20.71,01a59456o0644o
59456.524645,-21.475,1.116,-9,10,o,0,1.4,346.03871,-6.42057,4759.81,9553.1,2.2,2.13,-45.5,-0.414,19.59,20.73,01a59456o0660o
59458.448809,18.943,6.704,96,644,c,0,1.65,346.03871,-6.42057,3113.69,5538.76,2.47,2.35,5.4,-0.398,16.19,17.8,02a59458o0495c
59458.452389,17.55,4.222,347,1464,c,0,1.24,346.03871,-6.42057,3094.42,5497.74,2.5,2.34,14.4,-0.395,14.04,15.69,02a59458o0502c
59458.470048,20.244,5.583,29,162,c,0,0.81,346.03871,-6.42057,3169.71,5464.06,2.67,2.47,-4.5,-0.404,17.23,18.88,02a59458o0538c
59460.405385,20.088,0.256,34,9,o,0,2.82,346.03871,-6.42057,5763.44,1090.11,2.27,2.11,9.4,-0.426,19.61,20.83,01a59460o0408o
59460.40723,19.791,0.251,44,11,o,0,1.32,346.03871,-6.42057,5744.65,1051.15,2.1,2.01,27.7,-0.44,19.67,20.82,01a59460o0412o
59460.442296,20.094,0.294,33,10,o,0,2.07,346.03871,-6.42057,4762.58,9449.21,2.39,2.19,-20.3,-0.388,19.55,20.77,01a59460o0487o
59460.452866,19.689,0.197,48,10,o,0,2.42,346.03871,-6.42057,4745.41,9564.78,2.43,2.17,-31.6,-0.391,19.57,20.77,01a59460o0509o
59461.380703,19.258,0.145,72,10,c,0,1.67,346.03871,-6.42057,10303.41,4084.69,2.82,2.66,-50.8,-0.391,19.51,21.31,02a59461o0351c
59461.380822,19.488,0.174,58,10,o,0,2.4,346.03871,-6.42057,275.97,6483.82,2.1,1.8,-39.7,-0.43,19.6,20.64,01a59461o0358o
59461.38347,19.704,0.218,48,10,c,0,2.01,346.03871,-6.42057,10319.33,4125.93,2.63,2.43,-55.8,-0.41,19.59,21.31,02a59461o0357c
59461.38623,19.702,0.208,48,10,c,0,1.84,346.03871,-6.42057,10255.54,4050.16,2.67,2.48,-55.8,-0.398,19.62,21.31,02a59461o0363c
59461.387053,19.764,0.218,45,10,o,0,2.2,346.03871,-6.42057,267.15,6440.5,2.09,1.81,-37.5,-0.429,19.63,20.66,01a59461o0371o
59461.392351,19.466,0.176,59,10,c,0,2.06,346.03871,-6.42057,10225.28,4171.65,2.6,2.5,-47.7,-0.402,19.57,21.32,02a59461o0375c
59461.393119,19.492,0.172,58,10,o,0,1.77,346.03871,-6.42057,341.94,6516.61,2.04,1.8,-43.0,-0.431,19.66,20.69,01a59461o0383o
59461.399164,19.3,0.156,69,11,o,0,1.68,346.03871,-6.42057,369.31,6396.28,2.09,1.83,-38.0,-0.428,19.63,20.7,01a59461o0395o
59461.460751,19.402,0.154,63,10,c,0,2.18,346.03871,-6.42057,3106.96,5540.11,2.45,2.31,49.7,-0.402,19.67,21.41,02a59461o0523c
59461.465876,19.633,0.169,51,9,c,0,2.5,346.03871,-6.42057,3086.64,5501.72,2.61,2.3,46.5,-0.392,19.63,21.42,02a59461o0534c
59461.469227,19.394,0.161,63,10,c,0,1.07,346.03871,-6.42057,3144.51,5579.64,2.63,2.34,46.3,-0.388,19.64,21.42,02a59461o0541c
59461.504639,19.663,0.216,50,11,c,0,2.0,346.03871,-6.42057,3166.91,5465.17,2.68,2.45,47.6,-0.389,19.57,21.39,02a59461o0617c
59462.380912,19.214,0.11,75,8,c,0,2.49,346.03871,-6.42057,8549.07,4798.59,2.54,2.5,33.6,-0.385,19.62,21.45,02a59462o0265c
59462.38107,18.727,0.094,117,11,o,0,1.54,346.03871,-6.42057,2029.07,5769.18,1.97,1.79,-33.8,-0.427,19.81,21.02,01a59462o0359o
59462.384177,19.355,0.147,66,10,c,0,1.53,346.03871,-6.42057,8568.46,4839.09,2.51,2.46,63.5,-0.389,19.64,21.46,02a59462o0272c
59462.387287,18.856,0.094,104,10,o,0,1.82,346.03871,-6.42057,2021.19,5726.21,1.9,1.86,-42.0,-0.412,19.79,21.03,01a59462o0371o
59462.387399,19.222,0.11,74,8,c,0,2.8,346.03871,-6.42057,8505.07,4764.52,2.47,2.44,71.2,-0.39,19.64,21.46,02a59462o0279c
59462.390143,19.369,0.15,65,10,c,0,1.75,346.03871,-6.42057,8480.57,4882.37,2.54,2.48,45.4,-0.387,19.65,21.46,02a59462o0285c
59462.392888,19.252,0.127,72,9,c,0,2.12,346.03871,-6.42057,7470.49,5017.07,2.5,2.38,41.5,-0.392,19.67,21.46,02a59462o0291c
59462.393521,18.924,0.094,98,9,o,0,2.74,346.03871,-6.42057,2090.93,5799.43,1.97,1.79,-46.6,-0.424,19.8,21.03,01a59462o0383o
59462.396093,19.245,0.131,73,10,c,0,2.03,346.03871,-6.42057,7489.93,5055.36,2.54,2.38,37.9,-0.389,19.64,21.47,02a59462o0298c
59462.400214,19.321,0.139,68,10,c,0,1.87,346.03871,-6.42057,7432.68,4979.54,2.51,2.37,40.3,-0.391,19.66,21.46,02a59462o0307c
59462.400815,19.142,0.11,80,9,o,0,2.48,346.03871,-6.42057,2123.19,5676.54,1.93,1.83,-49.9,-0.428,19.79,21.03,01a59462o0397o
59462.428838,20.005,0.262,36,10,c,0,2.26,346.03871,-6.42057,3169.29,5458.21,2.43,2.31,42.4,-0.405,19.66,21.45,02a59462o0369c
59463.380782,18.835,0.099,106,10,o,0,1.82,346.03871,-6.42057,3771.64,5052.44,2.18,2.03,-18.9,-0.434,19.61,20.83,01a59463o0162o
59463.383551,19.202,0.15,76,11,o,0,1.29,346.03871,-6.42057,3757.65,5012.76,2.1,2.03,-24.4,-0.43,19.64,20.85,01a59463o0168o
59463.386316,18.835,0.093,106,10,o,0,2.98,346.03871,-6.42057,3819.34,5088.41,2.06,1.99,-25.2,-0.424,19.68,20.86,01a59463o0174o
59463.389082,18.958,0.119,95,11,o,0,2.01,346.03871,-6.42057,3843.06,4970.65,2.11,2.02,-21.7,-0.428,19.66,20.87,01a59463o0180o
59463.508799,18.949,0.108,96,10,c,0,1.88,346.03871,-6.42057,3979.92,4957.51,2.46,2.28,47.3,-0.398,19.57,21.31,02a59463o0003c
59463.550333,19.096,0.191,84,16,c,0,1.21,346.03871,-6.42057,4044.37,4891.67,2.39,2.32,74.7,-0.392,19.09,20.73,02a59463o0006c
59463.556495,19.283,0.186,70,13,c,0,1.24,346.03871,-6.42057,4111.77,4961.8,2.66,2.55,-74.9,-0.378,19.24,21.01,02a59463o0019c
59463.562607,18.874,0.144,102,15,c,0,1.28,346.03871,-6.42057,4141.02,4841.91,2.52,2.41,-80.3,-0.388,19.09,20.81,02a59463o0032c
59464.380609,18.51,0.069,143,10,o,0,1.5,346.03871,-6.42057,5496.5,4325.67,2.06,1.84,-24.7,-0.428,19.65,20.69,01a59464o0342o
59464.381114,18.854,0.109,104,11,c,0,1.63,346.03871,-6.42057,5079.38,6229.47,2.48,2.3,33.2,-0.391,19.62,21.34,02a59464o0309c
59464.385241,18.847,0.101,105,11,o,0,2.54,346.03871,-6.42057,5483.2,4285.46,1.86,1.7,-37.4,-0.44,19.72,20.67,01a59464o0352o
59464.387532,18.782,0.09,111,10,c,0,2.48,346.03871,-6.42057,5092.71,6269.69,2.42,2.21,34.0,-0.394,19.64,21.34,02a59464o0321c
59464.388038,18.549,0.068,138,9,o,0,2.68,346.03871,-6.42057,5545.91,4361.08,1.92,1.75,-35.3,-0.423,19.69,20.68,01a59464o0358o
59464.390815,18.571,0.083,135,11,o,0,1.4,346.03871,-6.42057,5570.68,4243.23,1.88,1.75,-33.4,-0.427,19.72,20.67,01a59464o0364o
59464.393877,18.88,0.092,102,9,c,0,1.61,346.03871,-6.42057,5024.41,6199.3,2.45,2.27,32.4,-0.392,19.66,21.35,02a59464o0333c
59464.397726,18.506,0.084,144,12,o,0,1.61,346.03871,-6.42057,9044.46,7186.47,2.01,1.83,-53.9,-0.468,19.7,20.65,01a59464o0379o
59464.400289,18.687,0.086,122,10,c,0,1.75,346.03871,-6.42057,4994.25,6317.48,2.35,2.27,29.7,-0.4,19.62,21.37,02a59464o0345c
59464.400507,18.603,0.092,131,12,o,0,1.87,346.03871,-6.42057,9025.04,7146.74,1.93,1.77,-47.8,-0.469,19.73,20.64,01a59464o0385o
59464.435661,18.443,0.079,152,12,o,0,1.5,346.03871,-6.42057,1448.08,3371.41,1.85,1.73,-41.5,-0.435,19.71,20.73,01a59464o0460o
59464.447733,18.551,0.073,138,10,o,0,2.9,346.03871,-6.42057,1430.94,3485.58,1.93,1.85,-36.3,-0.438,19.7,20.71,01a59464o0486o
59465.380723,18.578,0.066,134,9,o,0,1.85,346.03871,-6.42057,7227.31,3596.54,1.81,1.78,-33.3,-0.43,19.74,20.78,01a59465o0363o
59465.380803,18.351,0.068,166,11,c,0,1.12,346.03871,-6.42057,3347.44,6957.6,2.24,2.2,-9.9,-0.404,19.69,21.41,02a59465o0359c
59465.383486,18.453,0.07,151,11,o,0,2.56,346.03871,-6.42057,7209.3,3554.63,1.82,1.76,-13.2,-0.444,19.77,20.77,01a59465o0369o
59465.384526,18.548,0.072,138,10,c,0,1.87,346.03871,-6.42057,3358.12,7000.15,2.28,2.2,-31.3,-0.41,19.71,21.43,02a59465o0367c
59465.38625,18.431,0.061,154,9,o,0,2.62,346.03871,-6.42057,7272.03,3629.88,1.85,1.77,-16.4,-0.443,19.76,20.74,01a59465o0375o
59465.387735,18.523,0.086,142,12,c,0,1.3,346.03871,-6.42057,3296.16,6923.51,2.35,2.2,24.3,-0.392,19.7,21.43,02a59465o0374c
59465.389963,18.493,0.072,146,10,o,0,2.21,346.03871,-6.42057,7298.89,3510.43,1.84,1.78,-27.1,-0.447,19.73,20.74,01a59465o0383o
59465.391402,18.461,0.072,150,11,c,0,1.63,346.03871,-6.42057,3271.26,7042.16,2.51,2.21,29.6,-0.384,19.67,21.43,02a59465o0382c
59466.380787,18.3,0.066,174,12,c,0,1.68,346.03871,-6.42057,1613.12,7695.06,2.31,2.06,-49.6,-0.435,19.71,21.43,02a59466o0358c
59466.381057,18.414,0.097,156,15,o,0,1.39,346.03871,-6.42057,8875.3,2780.49,2.95,2.72,16.8,-0.442,19.24,20.77,01a59466o0343o
59466.383561,18.406,0.064,158,10,c,0,2.26,346.03871,-6.42057,1628.74,7736.45,2.29,2.09,-43.4,-0.431,19.74,21.43,02a59466o0364c
59466.386342,18.225,0.067,186,12,c,0,1.85,346.03871,-6.42057,1566.23,7660.9,2.29,2.07,-45.5,-0.444,19.71,21.42,02a59466o0370c
59466.38729,18.382,0.102,161,16,o,0,1.12,346.03871,-6.42057,8860.31,2734.77,3.29,2.87,24.5,-0.383,19.21,20.75,01a59466o0355o
59466.389084,18.371,0.058,163,9,c,0,3.49,346.03871,-6.42057,1541.09,7779.91,2.32,2.08,-47.0,-0.436,19.69,21.43,02a59466o0376c
59466.390913,18.44,0.071,153,11,c,0,1.46,346.03871,-6.42057,1420.64,1412.87,2.46,2.21,-59.5,-0.428,19.68,21.41,02a59466o0380c
59466.393465,18.455,0.116,151,18,o,0,1.58,346.03871,-6.42057,8929.73,2807.73,2.94,2.71,18.3,-0.442,19.1,20.62,01a59466o0367o
59466.394122,18.543,0.072,139,10,c,0,2.22,346.03871,-6.42057,1441.71,1451.73,2.45,2.21,-58.7,-0.425,19.69,21.4,02a59466o0387c
59466.397328,18.429,0.076,154,12,c,0,1.12,346.03871,-6.42057,1382.62,1373.51,2.46,2.21,-58.9,-0.434,19.68,21.41,02a59466o0394c
59466.399641,18.481,0.11,147,16,o,0,1.53,346.03871,-6.42057,8957.88,2685.17,2.75,2.62,1.7,-0.479,19.05,20.54,01a59466o0379o
59466.402836,18.493,0.065,146,10,c,0,2.48,346.03871,-6.42057,1364.01,1490.58,2.47,2.22,-58.8,-0.424,19.64,21.37,02a59466o0406c
59468.388672,18.307,0.068,173,12,o,0,2.05,346.03871,-6.42057,9020.78,7112.74,2.85,2.68,27.7,-0.44,19.37,20.82,01a59468o0220o
59468.390513,18.169,0.076,196,15,o,0,1.63,346.03871,-6.42057,9000.84,7074.44,2.84,2.68,31.3,-0.441,19.37,20.82,01a59468o0224o
59468.393277,18.171,0.071,196,14,o,0,1.56,346.03871,-6.42057,9061.05,7150.87,2.87,2.66,30.6,-0.44,19.35,20.8,01a59468o0230o
59468.398806,18.165,0.07,197,14,o,0,1.61,346.03871,-6.42057,9078.57,7033.63,2.92,2.7,33.7,-0.432,19.34,20.78,01a59468o0242o
59470.385003,18.065,0.046,216,10,c,0,2.13,346.03871,-6.42057,1421.12,1409.63,2.53,2.25,-60.3,-0.429,19.66,21.39,02a59470o0369c
59470.388232,18.234,0.056,185,10,c,0,1.45,346.03871,-6.42057,1442.95,1447.9,2.49,2.24,-60.7,-0.43,19.68,21.41,02a59470o0376c
59470.392803,18.14,0.047,201,10,c,0,2.91,346.03871,-6.42057,1384.57,1368.75,2.52,2.24,-60.4,-0.432,19.66,21.41,02a59470o0386c
59470.397856,18.15,0.051,200,10,c,0,1.64,346.03871,-6.42057,1364.95,1488.99,2.5,2.25,-63.1,-0.433,19.63,21.41,02a59470o0397c
59470.518977,17.992,0.068,231,16,o,0,1.04,346.03871,-6.42057,5852.03,2325.68,2.85,2.55,-47.4,-0.497,19.25,20.59,01a59470o0655o
59470.519437,17.99,0.065,231,15,o,0,1.85,346.03871,-6.42057,5872.63,2363.5,2.81,2.57,-52.1,-0.496,19.23,20.59,01a59470o0656o
59470.519897,17.945,0.07,241,17,o,0,1.33,346.03871,-6.42057,5812.69,2287.25,2.79,2.55,-51.1,-0.494,19.26,20.59,01a59470o0657o
59470.520358,18.13,0.061,203,12,o,0,2.86,346.03871,-6.42057,5795.87,2403.89,2.78,2.55,-52.9,-0.494,19.24,20.59,01a59470o0658o
59470.52082,17.982,0.07,233,16,o,0,1.42,346.03871,-6.42057,5833.58,2344.8,2.73,2.52,-50.2,-0.502,19.27,20.59,01a59470o0659o
59470.537665,18.145,0.065,200,13,c,0,1.43,346.03871,-6.42057,4571.93,8209.73,2.53,2.42,45.0,-0.395,19.48,21.04,02a59470o0655c
59470.539335,18.179,0.063,194,12,c,0,1.83,346.03871,-6.42057,4552.23,8170.84,2.52,2.49,42.2,-0.397,19.44,21.03,02a59470o0658c
59470.539792,18.009,0.049,227,11,c,0,2.4,346.03871,-6.42057,4610.25,8248.71,2.65,2.45,51.6,-0.381,19.43,21.03,02a59470o0659c
59470.54025,18.157,0.064,198,13,c,0,1.75,346.03871,-6.42057,4629.91,8132.31,2.68,2.47,50.7,-0.377,19.45,21.04,02a59470o0660c
59470.542352,18.109,0.059,207,12,c,0,1.79,346.03871,-6.42057,4590.16,8190.28,2.52,2.49,74.7,-0.397,19.41,21.03,02a59470o0664c
59474.422689,17.863,0.122,260,32,o,0,1.03,346.03871,-6.42057,8920.34,5256.1,2.3,2.1,49.4,-0.411,18.58,18.92,02a59474o0232o
59474.425897,18.321,0.161,170,28,o,0,0.87,346.03871,-6.42057,8900.95,5218.1,2.26,2.06,50.5,-0.412,18.63,18.9,02a59474o0239o
59474.435739,17.873,0.09,257,23,o,0,0.82,346.03871,-6.42057,8957.46,5295.98,2.19,2.05,53.5,-0.426,18.88,19.3,02a59474o0260o
59474.443073,18.042,0.086,220,19,o,0,1.6,346.03871,-6.42057,8980.52,5184.88,2.22,2.06,58.0,-0.426,18.89,19.26,02a59474o0276o
