MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59442.476856,-21.245,1.156,-12,13,o,0,0.88,329.55154,-11.47283,8303.08,7666.14,2.33,2.18,66.0,-0.441,19.48,20.82,02a59442o0535o
59442.480055,21.584,1.456,8,12,o,0,0.9,329.55154,-11.47283,8285.67,7627.58,2.31,2.13,67.7,-0.444,19.5,20.83,02a59442o0542o
59442.485587,21.927,2.043,6,13,o,0,0.97,329.55154,-11.47283,8343.96,7704.92,2.38,2.19,60.4,-0.436,19.51,20.84,02a59442o0554o
59442.520495,-20.959,0.715,-15,11,o,0,1.01,329.55154,-11.47283,8364.38,7595.48,2.24,2.14,79.8,-0.447,19.47,20.74,02a59442o0629o
59443.380485,-22.569,4.5,-3,15,o,0,1.0,329.55154,-11.47283,366.29,8824.99,2.54,2.08,-41.1,-0.433,19.2,20.02,01a59443o0265o
59443.380957,23.004,6.8,2,16,o,0,1.4,329.55154,-11.47283,10223.71,1751.53,1.91,1.74,-43.4,-0.486,19.09,19.71,02a59443o0329o
59443.383254,-21.519,1.404,-9,13,o,0,1.44,329.55154,-11.47283,352.22,8784.03,2.29,1.9,-48.0,-0.444,19.29,20.03,01a59443o0271o
59443.383711,21.322,1.33,11,14,o,0,1.59,329.55154,-11.47283,10245.17,1791.0,2.3,1.62,-56.7,-0.481,19.13,19.74,02a59443o0335o
59443.386017,-21.842,2.063,-7,14,o,0,1.27,329.55154,-11.47283,416.0,8861.39,2.42,2.01,-45.4,-0.44,19.26,20.02,01a59443o0277o
59443.386455,21.272,1.763,11,20,o,0,0.8,329.55154,-11.47283,10181.68,1714.01,2.24,1.58,-56.2,-0.498,19.15,19.76,02a59443o0341o
59443.38878,22.146,2.78,5,14,o,0,1.33,329.55154,-11.47283,441.3,8742.57,2.37,1.94,-42.9,-0.444,19.27,20.04,01a59443o0283o
59443.39264,-23.289,8.765,-2,15,o,0,1.34,329.55154,-11.47283,10149.5,1834.79,2.33,1.63,-56.2,-0.486,19.17,19.81,02a59443o0354o
59443.405809,21.278,0.944,11,11,o,0,1.48,329.55154,-11.47283,6250.91,5834.58,2.08,2.03,-39.0,-0.424,19.35,20.16,01a59443o0320o
59443.408113,-21.125,0.925,-13,12,o,0,1.13,329.55154,-11.47283,6231.78,5795.77,2.11,2.01,36.2,-0.406,19.34,20.17,01a59443o0325o
59443.42121,-20.718,0.547,-19,10,o,0,1.44,329.55154,-11.47283,6292.29,5871.23,2.12,2.05,-40.9,-0.431,19.36,20.19,01a59443o0352o
59443.42489,21.312,1.344,11,15,o,0,1.01,329.55154,-11.47283,6310.66,5755.39,2.09,1.93,-47.0,-0.434,19.38,20.21,01a59443o0360o
59443.465098,-23.089,5.095,-2,11,o,0,1.21,329.55154,-11.47283,9998.4,1794.74,2.3,2.06,-53.5,-0.394,19.47,20.45,01a59443o0444o
59444.380689,-20.573,0.703,-21,15,o,0,1.27,329.55154,-11.47283,2147.83,8196.6,2.31,1.96,-39.2,-0.404,19.07,19.63,01a59444o0281o
59444.380937,-20.658,0.571,-20,11,o,0,2.61,329.55154,-11.47283,8430.07,2376.64,1.94,1.75,-61.6,-0.46,19.02,19.51,02a59444o0331o
59444.383452,24.882,35.8,0,14,o,0,1.48,329.55154,-11.47283,2132.78,8155.47,2.16,1.8,-42.0,-0.402,19.15,19.63,01a59444o0287o
59444.386279,21.421,1.395,10,14,o,0,1.18,329.55154,-11.47283,2198.1,8232.64,2.16,1.79,-36.7,-0.394,19.15,19.64,01a59444o0293o
59444.387214,-22.01,2.896,-6,16,o,0,1.23,329.55154,-11.47283,8446.12,2415.78,1.89,1.72,-56.5,-0.46,19.04,19.52,02a59444o0343o
59444.389524,-20.07,0.517,-34,18,o,0,0.78,329.55154,-11.47283,2223.49,8111.98,2.4,2.09,-45.7,-0.404,19.0,19.65,01a59444o0300o
59444.393539,20.692,0.821,19,16,o,0,1.32,329.55154,-11.47283,8377.33,2341.33,1.85,1.74,-52.3,-0.459,19.07,19.56,02a59444o0355o
59444.399669,-21.483,1.584,-9,15,o,0,1.17,329.55154,-11.47283,6246.32,5833.61,2.04,1.89,-37.5,-0.431,19.18,19.71,01a59444o0322o
59444.400807,19.922,0.378,39,15,o,0,0.83,329.55154,-11.47283,8346.3,2461.34,1.92,1.71,-59.7,-0.455,19.06,19.56,02a59444o0369o
59444.401512,-20.701,0.884,-19,17,o,0,0.65,329.55154,-11.47283,6227.23,5794.8,2.0,1.84,-30.5,-0.431,19.2,19.72,01a59444o0326o
59444.415244,-20.429,0.574,-24,14,o,0,1.52,329.55154,-11.47283,6287.24,5871.28,2.18,2.03,-51.0,-0.433,19.13,19.77,01a59444o0355o
59444.42265,-20.769,0.973,-18,17,o,0,0.68,329.55154,-11.47283,6307.4,5755.87,2.0,1.9,-41.6,-0.429,19.22,19.78,01a59444o0371o
59444.504711,-21.05,0.888,-14,12,o,0,1.76,329.55154,-11.47283,8153.44,2452.61,2.37,2.19,-54.6,-0.432,19.24,20.16,01a59444o0544o
59445.356302,-24.862,52.667,0,22,o,0,1.37,329.55154,-11.47283,2259.69,2892.9,2.35,2.29,10.8,-0.438,18.65,20.11,02a59445o0258o
59445.359512,20.723,1.029,19,19,o,0,1.17,329.55154,-11.47283,2278.89,2931.68,2.07,2.04,-40.4,-0.44,18.77,20.07,02a59445o0265o
59445.362254,-20.953,1.4,-15,21,o,0,0.89,329.55154,-11.47283,2220.2,2854.43,2.12,1.92,28.9,-0.449,18.82,20.08,02a59445o0271o
59445.367292,19.85,0.535,42,22,o,0,0.88,329.55154,-11.47283,2200.46,2970.57,2.08,1.88,31.8,-0.45,18.85,20.05,02a59445o0282o
59445.380464,-22.086,3.596,-5,19,o,0,0.83,329.55154,-11.47283,6655.94,3006.01,1.96,1.87,32.6,-0.441,18.84,19.76,02a59445o0310o
59445.38367,-19.725,0.439,-47,20,o,0,0.88,329.55154,-11.47283,6670.24,3047.03,2.02,1.93,39.1,-0.436,18.85,19.8,02a59445o0317o
59445.383895,22.453,4.886,4,18,o,0,1.02,329.55154,-11.47283,3922.64,7559.78,2.11,1.94,-54.5,-0.425,19.0,19.49,01a59445o0311o
59445.386657,-20.356,0.654,-26,17,o,0,0.8,329.55154,-11.47283,3904.81,7518.66,1.94,1.87,-34.5,-0.412,19.05,19.5,01a59445o0317o
59445.386881,-19.793,0.441,-44,19,o,0,0.82,329.55154,-11.47283,6606.79,2972.88,2.1,1.88,35.1,-0.442,18.84,19.73,02a59445o0324o
59445.389627,21.197,1.664,12,20,o,0,0.79,329.55154,-11.47283,6581.83,3089.8,2.04,1.87,32.1,-0.44,18.86,19.83,02a59445o0330o
59445.39272,-20.324,0.448,-27,12,o,0,1.44,329.55154,-11.47283,3973.26,7591.67,1.97,1.8,-47.7,-0.419,19.12,19.49,01a59445o0329o
59445.398921,20.123,0.479,32,16,o,0,0.97,329.55154,-11.47283,4005.35,7472.7,2.03,1.93,-33.1,-0.415,19.05,19.48,01a59445o0341o
