MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59446.573022,24.244,15.667,1,11,o,0,1.39,51.92895,39.46719,954.69,2860.21,1.98,1.97,36.7,-0.409,19.32,20.04,01a59446o0752o
59446.577163,-21.075,0.941,-14,13,o,0,1.22,51.92895,39.46719,933.26,2822.16,2.1,2.03,79.9,-0.408,19.3,20.12,01a59446o0761o
59446.584557,20.679,0.582,19,11,o,0,1.08,51.92895,39.46719,992.2,2900.03,1.91,1.86,66.9,-0.414,19.48,20.29,01a59446o0777o
59446.59609,21.549,0.899,9,8,o,0,1.53,51.92895,39.46719,1011.45,2784.72,1.84,1.76,56.8,-0.423,19.69,20.78,01a59446o0802o
59448.54098,-21.294,2.258,-11,25,o,0,1.18,51.92895,39.46719,8878.2,5886.93,2.22,2.05,43.4,-0.431,18.88,19.1,02a59448o0682o
59448.544252,-20.164,0.723,-31,23,o,0,0.82,51.92895,39.46719,8896.78,5924.73,2.26,2.03,40.7,-0.425,18.87,19.12,02a59448o0689o
59448.550706,20.435,1.07,24,26,o,0,0.79,51.92895,39.46719,8840.12,5849.42,2.22,2.05,45.4,-0.43,18.84,19.14,02a59448o0703o
59448.560795,-20.389,0.705,-25,18,o,0,1.67,51.92895,39.46719,8822.5,5967.15,2.23,2.04,44.5,-0.429,18.89,19.19,02a59448o0725o
59452.571767,20.49,0.559,23,13,o,0,1.93,51.92895,39.46719,4257.55,1849.18,1.97,1.9,56.5,-0.451,19.1,19.67,02a59452o0748o
59452.575443,23.52,9.5,1,14,o,0,1.44,51.92895,39.46719,4277.81,1883.65,2.07,1.94,53.8,-0.449,19.02,19.69,02a59452o0756o
59452.581872,-22.323,3.022,-4,13,o,0,1.43,51.92895,39.46719,4221.67,1806.34,1.96,1.9,76.8,-0.458,19.11,19.7,02a59452o0770o
59452.594804,20.512,0.709,23,16,o,0,1.19,51.92895,39.46719,4206.86,1922.67,2.04,1.95,63.8,-0.446,19.11,19.75,02a59452o0798o
59454.599245,20.356,0.496,26,13,o,0,1.25,51.92895,39.46719,6985.38,3013.74,2.17,2.1,53.4,-0.408,19.25,19.91,01a59454o0773o
59454.612164,-21.582,1.468,-8,12,o,0,1.2,51.92895,39.46719,6965.42,2975.9,2.13,2.06,24.7,-0.404,19.28,19.92,01a59454o0799o
