MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59206.489718,-23.85,7.375,-1,8,c,0,1.33,128.54734,55.8117,8406.47,6162.44,2.66,2.59,65.2,-0.379,19.75,21.89,01a59206o0622c
59206.491563,22.576,2.6,3,9,c,0,1.04,128.54734,55.8117,8387.72,6122.14,2.72,2.63,83.7,-0.378,19.76,21.93,01a59206o0626c
59206.497163,-25.24,29.0,0,8,c,0,1.23,128.54734,55.8117,8445.76,6204.64,2.81,2.72,71.2,-0.38,19.72,21.97,01a59206o0638c
59206.505029,21.541,0.952,9,8,c,0,1.33,128.54734,55.8117,8463.8,6090.67,2.74,2.71,84.5,-0.374,19.77,21.99,01a59206o0655c
59208.492274,-20.754,1.679,-18,30,o,0,0.78,128.54734,55.8117,10524.51,8841.16,2.37,2.3,-78.7,-0.427,19.24,19.99,02a59208o0650o
59208.495064,20.75,1.458,18,26,o,0,0.95,128.54734,55.8117,10503.2,8960.25,2.79,2.25,-53.6,-0.407,19.24,20.0,02a59208o0656o
59208.496445,-21.646,1.759,-8,14,o,0,1.71,128.54734,55.8117,458.44,8856.78,2.08,1.81,-53.2,-0.455,19.27,20.03,02a59208o0659o
59208.498274,-21.593,1.765,-8,15,o,0,0.92,128.54734,55.8117,481.4,8897.11,1.99,1.79,-54.7,-0.463,19.29,20.02,02a59208o0663o
59208.501475,21.319,1.564,11,17,o,0,1.12,128.54734,55.8117,421.0,8815.02,2.0,1.79,-55.0,-0.454,19.24,20.02,02a59208o0670o
59208.512696,21.278,1.358,11,15,o,0,1.2,128.54734,55.8117,403.56,8930.75,2.1,1.9,-52.8,-0.45,19.25,20.05,02a59208o0694o
59212.473331,20.9,1.371,16,22,o,0,1.14,128.54734,55.8117,3165.2,825.03,2.16,1.91,-60.3,-0.473,18.64,18.97,02a59212o0617o
59212.475634,-20.934,1.741,-15,27,o,0,1.09,128.54734,55.8117,3183.16,865.67,2.1,1.95,-70.9,-0.474,18.59,18.97,02a59212o0622o
59212.478834,20.569,1.258,22,27,o,0,1.19,128.54734,55.8117,3127.5,785.75,2.23,2.0,-61.6,-0.462,18.59,18.98,02a59212o0629o
59212.485389,-24.23,40.0,-1,30,o,0,0.78,128.54734,55.8117,3111.66,902.39,2.11,1.96,-69.0,-0.47,18.62,18.99,02a59212o0643o
59214.429346,-22.942,10.077,-2,24,o,0,0.84,128.54734,55.8117,6018.63,1740.38,2.22,1.99,0.3,-0.392,18.69,18.76,01a59214o0518o
59214.432194,-20.365,0.912,-26,24,o,0,1.07,128.54734,55.8117,5997.96,1701.82,2.27,2.01,-0.4,-0.39,18.65,18.77,01a59214o0524o
59214.434954,20.4,1.166,25,29,o,0,0.75,128.54734,55.8117,6057.61,1779.82,2.27,2.19,-4.5,-0.411,18.6,18.77,01a59214o0530o
59214.440482,-21.753,3.353,-7,24,o,0,1.29,128.54734,55.8117,6077.78,1663.48,2.43,2.11,7.2,-0.381,18.61,18.77,01a59214o0542o
59216.435323,-21.653,2.867,-8,23,o,0,1.03,128.54734,55.8117,3156.01,823.82,2.43,2.17,-62.2,-0.448,18.69,19.2,02a59216o0527o
59216.440863,-19.512,0.519,-57,30,o,0,0.96,128.54734,55.8117,3179.94,861.5,2.83,2.64,-71.7,-0.437,18.5,19.2,02a59216o0539o
59216.452397,23.354,15.0,2,25,o,0,0.95,128.54734,55.8117,3126.39,784.68,2.26,2.1,-67.6,-0.449,18.68,19.21,02a59216o0564o
59216.455202,-20.593,1.061,-21,22,o,0,1.32,128.54734,55.8117,3101.34,902.71,2.36,2.21,-78.8,-0.433,18.7,19.22,02a59216o0570o
59218.510631,22.83,5.5,3,15,o,0,1.22,128.54734,55.8117,9110.57,2666.72,2.42,2.31,-42.3,-0.406,19.32,20.18,01a59218o0678o
59218.514319,22.228,3.049,5,14,o,0,1.01,128.54734,55.8117,9132.38,2706.34,2.34,2.26,-55.5,-0.411,19.36,20.22,01a59218o0686o
59218.520309,-21.681,2.092,-8,16,o,0,0.67,128.54734,55.8117,9078.46,2631.8,2.53,2.28,-13.1,-0.375,19.26,20.24,01a59218o0699o
59218.554823,21.119,1.178,13,15,o,0,1.01,128.54734,55.8117,9067.14,2742.75,2.45,2.33,-46.8,-0.4,19.32,20.22,01a59218o0773o
59220.524095,20.603,0.488,21,10,o,0,1.35,128.54734,55.8117,8020.96,3944.54,2.07,1.91,41.3,-0.438,19.5,20.42,02a59220o0712o
59220.527299,-23.55,10.643,-1,15,o,0,0.49,128.54734,55.8117,8002.89,3906.72,2.09,1.91,39.7,-0.435,19.48,20.42,02a59220o0719o
59220.532811,21.361,1.048,10,11,o,0,1.22,128.54734,55.8117,8061.93,3984.91,2.08,1.92,39.7,-0.435,19.5,20.42,02a59220o0731o
59220.543809,21.017,0.819,14,12,o,0,0.87,128.54734,55.8117,8077.15,3869.03,2.14,1.88,36.1,-0.432,19.5,20.45,02a59220o0755o
59222.409873,20.704,0.406,19,8,c,0,1.08,128.54734,55.8117,1385.27,7840.08,2.54,2.27,-70.0,-0.393,19.81,21.93,01a59222o0467c
59222.413098,21.377,0.624,10,6,c,0,1.85,128.54734,55.8117,1367.71,7802.88,2.5,2.28,-63.6,-0.391,19.8,21.93,01a59222o0474c
59222.434608,22.026,1.375,6,8,c,0,1.12,128.54734,55.8117,1426.9,7884.02,2.57,2.42,-65.9,-0.366,19.72,21.81,01a59222o0519c
59222.441056,21.062,0.586,14,8,c,0,0.92,128.54734,55.8117,1444.48,7765.74,2.62,2.52,-19.4,-0.36,19.72,21.86,01a59222o0533c
59226.502858,18.959,0.097,95,9,c,0,1.04,128.54734,55.8117,8495.58,9004.89,2.95,2.88,-40.5,-0.326,19.65,22.15,01a59226o0628c
59226.506555,19.058,0.107,86,9,c,0,0.86,128.54734,55.8117,8518.67,9043.21,2.64,2.63,26.0,-0.331,19.76,22.14,01a59226o0636c
59226.539269,19.088,0.104,84,9,c,0,1.3,128.54734,55.8117,8463.93,8966.87,3.04,2.93,-5.2,-0.31,19.67,22.1,01a59226o0706c
59226.544421,19.17,0.126,78,10,c,0,1.02,128.54734,55.8117,8445.1,9084.37,3.26,3.15,39.5,-0.317,19.61,22.09,01a59226o0717c
59228.511366,18.612,0.077,130,10,c,0,1.26,128.54734,55.8117,8846.83,7959.34,2.73,2.66,62.2,-0.389,19.75,21.8,02a59228o0608c
59228.514592,18.509,0.074,143,11,c,0,0.82,128.54734,55.8117,8827.91,7919.48,2.72,2.65,62.6,-0.39,19.72,21.8,02a59228o0615c
59228.52054,18.646,0.086,126,11,c,0,0.94,128.54734,55.8117,8884.02,7999.81,2.85,2.79,71.9,-0.386,19.7,21.81,02a59228o0628c
