MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59447.410606,24.326,30.143,1,20,o,0,1.12,338.95793,20.07562,1250.31,2768.33,2.06,1.85,-54.3,-0.454,18.88,19.15,02a59447o0293o
59447.41336,24.188,25.0,1,19,o,0,1.07,338.95793,20.07562,1269.11,2805.81,2.02,1.85,-50.8,-0.466,18.88,19.15,02a59447o0299o
59447.416621,-23.183,9.2,-2,18,o,0,1.19,338.95793,20.07562,1211.71,2729.11,2.06,1.85,-52.4,-0.45,18.86,19.15,02a59447o0306o
59447.422118,22.349,4.733,4,20,o,0,1.06,338.95793,20.07562,1191.88,2843.65,1.99,1.82,-53.0,-0.469,18.91,19.16,02a59447o0318o
59451.397147,-21.785,2.471,-7,17,o,0,1.51,338.95793,20.07562,5482.19,8908.72,2.01,1.99,-65.5,-0.447,19.08,19.56,02a59451o0356o
59451.400378,-23.463,11.067,-2,17,o,0,1.32,338.95793,20.07562,5502.27,8947.34,2.01,1.97,-64.2,-0.451,19.09,19.56,02a59451o0363o
59451.435596,-22.734,6.933,-3,20,o,0,0.81,338.95793,20.07562,5147.96,1693.5,2.02,1.96,-81.9,-0.439,18.95,19.46,02a59451o0436o
59451.454949,20.416,0.686,25,17,o,0,1.44,338.95793,20.07562,5163.58,1575.87,2.18,2.11,-64.7,-0.427,18.89,19.48,02a59451o0476o
59453.385635,21.988,1.855,6,11,o,0,1.1,338.95793,20.07562,3461.52,6128.46,2.1,1.95,-45.5,-0.412,19.51,20.4,01a59453o0349o
59453.389179,-23.076,5.458,-2,12,o,0,0.9,338.95793,20.07562,3441.45,6086.12,2.18,1.98,-54.2,-0.409,19.47,20.39,01a59453o0356o
59453.394256,21.61,1.28,8,11,o,0,0.92,338.95793,20.07562,3500.14,6167.21,2.13,2.02,-59.5,-0.412,19.46,20.39,01a59453o0366o
59453.429932,22.925,4.586,2,11,o,0,1.02,338.95793,20.07562,7008.54,4520.55,2.05,1.98,-51.1,-0.425,19.55,20.41,01a59453o0438o
59455.395085,21.561,1.103,9,10,o,0,1.21,338.95793,20.07562,5482.71,8908.01,2.02,1.95,-55.0,-0.445,19.62,20.79,02a59455o0359o
