MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59451.332705,-22.104,2.447,-5,13,o,0,1.9,249.94552,32.57074,7447.2,5553.56,2.43,2.26,44.0,-0.422,19.08,19.88,02a59451o0218o
59451.337782,-21.166,1.434,-12,18,o,0,0.82,249.94552,32.57074,7430.44,5513.26,2.33,2.16,41.0,-0.419,19.12,19.83,02a59451o0229o
59451.3511,20.247,0.669,29,19,o,0,0.81,249.94552,32.57074,7487.4,5591.99,2.26,2.07,42.7,-0.422,19.04,19.68,02a59451o0258o
59451.354799,20.568,0.707,22,15,o,0,1.15,249.94552,32.57074,7506.73,5475.49,2.1,2.07,54.2,-0.441,19.05,19.65,02a59451o0266o
59453.258911,22.207,1.355,5,6,o,0,3.03,249.94552,32.57074,9034.87,459.27,1.95,1.8,-35.0,-0.43,19.87,21.13,01a59453o0081o
59453.263251,-20.287,0.228,-28,6,o,0,2.7,249.94552,32.57074,9055.03,497.62,1.97,1.79,-44.3,-0.471,19.86,21.12,01a59453o0090o
59453.288267,22.914,3.682,2,9,o,0,1.14,249.94552,32.57074,9000.58,421.25,2.38,2.15,-54.2,-0.419,19.78,21.47,01a59453o0143o
59453.293552,-22.507,2.139,-4,8,o,0,1.91,249.94552,32.57074,8983.08,538.09,2.19,2.05,-40.9,-0.43,19.85,21.52,01a59453o0154o
59455.281192,-21.24,0.77,-12,9,c,0,1.38,249.94552,32.57074,7454.46,5553.58,2.45,2.38,-57.2,-0.404,19.76,21.67,02a59455o0127c
59455.284852,21.235,0.769,12,9,c,0,1.08,249.94552,32.57074,7435.37,5515.8,2.38,2.35,-85.4,-0.397,19.76,21.65,02a59455o0135c
59455.307837,20.74,0.457,18,8,c,0,1.41,249.94552,32.57074,7495.51,5591.22,2.43,2.38,-59.9,-0.4,19.76,21.6,02a59455o0184c
59455.316887,24.517,16.5,1,9,c,0,1.13,249.94552,32.57074,7514.59,5475.56,2.5,2.46,-50.4,-0.395,19.67,21.6,02a59455o0203c
59457.328125,-21.426,2.426,-10,24,o,0,1.05,249.94552,32.57074,1159.8,5095.72,1.89,1.75,-43.9,-0.44,18.54,19.53,01a59457o0206o
