MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59454.301858,20.874,0.471,16,8,o,0,1.07,268.06293,39.70894,7794.97,7022.94,2.0,1.86,-49.0,-0.434,19.87,21.26,01a59454o0143o
59454.305088,22.372,2.407,4,10,o,0,0.62,268.06293,39.70894,7815.38,7060.78,1.95,1.79,-46.1,-0.446,19.91,21.23,01a59454o0150o
59454.311105,-21.524,0.739,-9,7,o,0,2.12,268.06293,39.70894,7754.7,6984.95,1.97,1.83,-48.4,-0.443,19.84,21.19,01a59454o0163o
59454.329615,21.814,1.358,7,9,o,0,0.75,268.06293,39.70894,7737.58,7100.53,2.07,1.88,-49.5,-0.433,19.8,21.07,01a59454o0203o
59456.282785,-21.553,1.177,-9,10,c,0,1.03,268.06293,39.70894,312.28,9307.48,2.9,1.95,-52.1,-0.426,19.76,21.6,02a59456o0133c
59456.285988,22.559,2.833,3,10,c,0,1.41,268.06293,39.70894,292.84,9268.45,2.93,1.94,-52.9,-0.439,19.73,21.62,02a59456o0140c
59456.294723,-20.739,0.477,-18,9,c,0,1.72,268.06293,39.70894,348.28,9343.13,2.84,1.93,-50.1,-0.426,19.75,21.63,02a59456o0159c
59456.29657,-24.052,11.8,-1,10,c,0,1.41,268.06293,39.70894,9952.75,9291.22,3.21,2.51,-58.3,-0.366,19.75,21.65,02a59456o0163c
59456.299786,-21.683,1.774,-8,14,c,0,0.8,268.06293,39.70894,9933.13,9250.93,3.17,2.52,-59.0,-0.367,19.32,21.02,02a59456o0170c
59456.306731,-22.261,2.423,-4,11,c,0,1.04,268.06293,39.70894,9991.71,9331.66,3.12,2.51,-58.5,-0.37,19.74,21.64,02a59456o0185c
59456.316864,23.079,5.188,2,11,c,0,0.92,268.06293,39.70894,366.62,9224.32,2.65,1.94,-50.8,-0.429,19.74,21.59,02a59456o0207c
59456.31732,-24.593,21.333,0,11,c,0,1.37,268.06293,39.70894,10007.9,9215.49,3.09,2.53,-55.5,-0.368,19.7,21.64,02a59456o0208c
59458.292451,-20.95,0.727,-15,11,o,0,1.17,268.06293,39.70894,8285.36,1381.08,2.35,2.03,-59.4,-0.429,19.64,21.01,01a59458o0111o
59458.296138,20.036,0.277,35,10,o,0,1.3,268.06293,39.70894,8304.94,1419.32,2.38,2.09,-56.0,-0.423,19.61,20.98,01a59458o0119o
59458.30261,-21.164,0.838,-12,10,o,0,1.44,268.06293,39.70894,8249.2,1342.95,2.78,2.63,-73.3,-0.354,19.38,21.0,01a59458o0133o
59458.331139,20.695,0.333,19,6,o,0,2.17,268.06293,39.70894,8234.34,1460.14,1.95,1.89,-21.4,-0.418,19.78,21.17,01a59458o0153o
59460.307608,-20.553,0.313,-22,7,c,0,1.77,268.06293,39.70894,4731.22,3384.77,2.62,2.59,-40.1,-0.387,19.66,21.69,02a59460o0070c
59460.310826,21.195,0.786,12,10,c,0,1.47,268.06293,39.70894,4710.71,3345.14,2.81,2.76,-69.7,-0.382,19.57,21.71,02a59460o0077c
59460.317251,-20.581,0.455,-21,10,c,0,1.24,268.06293,39.70894,4770.28,3421.71,2.85,2.79,-59.6,-0.379,19.56,21.7,02a59460o0091c
59460.330088,20.458,0.747,24,18,c,0,1.49,268.06293,39.70894,4790.18,3302.51,2.69,2.63,-63.6,-0.38,18.82,20.76,02a59460o0119c
59462.268211,21.054,0.497,14,7,o,0,1.54,268.06293,39.70894,8279.03,1382.36,1.91,1.77,-45.4,-0.452,19.96,21.29,01a59462o0116o
59462.271447,21.662,0.971,8,8,o,0,1.05,268.06293,39.70894,8299.83,1420.72,1.91,1.74,-47.1,-0.452,19.96,21.29,01a59462o0123o
59462.278834,-21.798,1.36,-7,9,o,0,0.72,268.06293,39.70894,8244.12,1344.9,1.91,1.86,-30.4,-0.439,19.93,21.32,01a59462o0139o
59462.290426,22.055,1.5,6,8,o,0,1.06,268.06293,39.70894,8227.61,1462.67,1.86,1.76,-33.7,-0.452,20.01,21.31,01a59462o0164o
59464.307456,22.489,2.71,4,10,c,0,0.87,268.06293,39.70894,4734.01,3386.99,2.31,2.22,47.9,-0.404,19.78,21.7,02a59464o0152c
59464.310672,-20.71,0.41,-19,8,c,0,1.12,268.06293,39.70894,4715.38,3347.26,2.25,2.19,62.4,-0.403,19.79,21.7,02a59464o0159c
59464.317034,20.823,0.479,17,8,c,0,1.39,268.06293,39.70894,4774.84,3423.9,2.34,2.24,43.3,-0.405,19.78,21.69,02a59464o0171c
59464.32771,-21.435,1.013,-10,10,c,0,0.95,268.06293,39.70894,4793.86,3306.05,2.34,2.29,43.7,-0.404,19.74,21.63,02a59464o0194c
59466.335499,20.536,0.574,22,13,o,0,1.15,268.06293,39.70894,7096.85,5451.43,2.94,2.71,30.6,-0.439,19.3,20.9,01a59466o0245o
59466.33872,21.28,1.121,11,12,o,0,1.11,268.06293,39.70894,7118.44,5489.99,2.94,2.73,31.9,-0.439,19.32,20.9,01a59466o0252o
59466.34611,-24.19,14.5,-1,11,o,0,1.87,268.06293,39.70894,7060.12,5415.07,2.91,2.72,34.8,-0.441,19.33,20.86,01a59466o0268o
59466.356718,-22.106,2.5,-5,13,o,0,1.51,268.06293,39.70894,7043.94,5532.56,3.02,2.75,35.7,-0.428,19.26,20.77,01a59466o0291o
59468.291442,-21.627,1.206,-8,10,c,0,0.95,268.06293,39.70894,3386.26,6979.06,2.31,2.19,-43.1,-0.409,19.71,21.53,02a59468o0169c
59468.295149,22.048,1.553,6,9,c,0,1.05,268.06293,39.70894,3366.85,6940.8,2.31,2.2,-43.2,-0.402,19.71,21.56,02a59468o0177c
59468.300662,20.892,0.673,16,11,c,0,1.39,268.06293,39.70894,3426.3,7016.3,2.31,2.21,-42.7,-0.406,19.38,21.13,02a59468o0189c
59468.31124,22.813,3.042,3,8,c,0,1.24,268.06293,39.70894,3446.22,6899.62,2.28,2.14,-44.7,-0.408,19.74,21.65,02a59468o0212c
59470.254372,22.33,2.731,4,12,o,0,1.86,268.06293,39.70894,7086.08,5451.96,2.61,2.58,-30.6,-0.494,19.23,20.44,01a59470o0097o
59470.258069,21.51,1.327,9,12,o,0,1.83,268.06293,39.70894,7106.46,5489.48,2.62,2.58,-37.6,-0.494,19.22,20.46,01a59470o0105o
