MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59457.401882,22.742,3.111,3,9,o,0,2.56,344.03928,13.09801,9176.54,8407.57,2.01,1.88,-64.0,-0.433,19.8,21.04,01a59457o0363o
59457.403724,20.726,0.461,19,9,o,0,2.72,344.03928,13.09801,9157.17,8367.78,1.94,1.83,-78.8,-0.436,19.83,21.04,01a59457o0367o
59457.406489,20.319,0.351,27,10,o,0,2.0,344.03928,13.09801,9216.03,8446.52,1.96,1.86,-58.8,-0.432,19.82,21.07,01a59457o0373o
59457.441934,-20.266,0.241,-28,7,o,0,5.93,344.03928,13.09801,1284.51,2267.38,2.06,2.04,-81.4,-0.437,19.71,21.09,01a59457o0445o
59461.399624,-20.725,0.419,-19,8,o,0,2.79,344.03928,13.09801,9177.17,8409.31,2.04,1.95,-71.3,-0.42,19.79,20.91,01a59461o0396o
59461.401466,19.088,0.117,84,10,o,0,2.8,344.03928,13.09801,9156.76,8366.91,2.1,1.99,-60.4,-0.423,19.73,20.91,01a59461o0400o
59461.437231,20.95,0.602,15,9,o,0,1.43,344.03928,13.09801,9217.01,8441.65,2.04,1.99,88.2,-0.431,19.77,20.91,01a59461o0472o
59461.459803,-19.373,0.111,-65,7,o,0,6.17,344.03928,13.09801,1291.65,2262.36,1.88,1.84,45.4,-0.438,19.76,21.02,01a59461o0515o
59465.382565,20.124,0.243,32,8,o,0,5.18,344.03928,13.09801,2292.92,4339.25,1.76,1.68,-43.2,-0.445,19.85,20.98,01a59465o0367o
59465.385329,20.426,0.343,24,8,o,0,6.37,344.03928,13.09801,2272.22,4300.86,1.74,1.69,-49.2,-0.44,19.85,20.98,01a59465o0373o
59465.388092,-20.577,0.332,-21,7,o,0,8.74,344.03928,13.09801,2330.68,4378.18,1.75,1.68,-39.1,-0.439,19.84,20.95,01a59465o0379o
59465.418532,-22.67,2.486,-3,8,o,0,4.09,344.03928,13.09801,8196.59,6299.76,2.01,1.92,-60.3,-0.45,19.79,20.99,01a59465o0441o
59467.387589,20.789,0.456,18,8,c,0,1.69,344.03928,13.09801,7633.53,4301.38,2.32,2.28,57.6,-0.397,19.76,21.64,02a59467o0364c
59467.4159,20.233,0.283,29,8,c,0,2.39,344.03928,13.09801,2934.84,6224.33,2.39,2.26,34.2,-0.406,19.74,21.67,02a59467o0422c
59467.419104,23.589,5.909,1,8,c,0,3.03,344.03928,13.09801,2992.23,6300.69,2.39,2.26,37.4,-0.401,19.76,21.67,02a59467o0429c
59467.425524,21.186,0.697,12,8,c,0,1.93,344.03928,13.09801,3011.12,6186.53,2.41,2.26,39.1,-0.404,19.75,21.69,02a59467o0441c
59469.414974,20.942,0.874,15,13,o,0,1.28,344.03928,13.09801,8215.78,6159.43,2.8,2.67,36.2,-0.456,19.48,21.1,01a59469o0332o
59469.420143,19.43,0.204,61,12,o,0,1.59,344.03928,13.09801,8237.49,6196.99,2.86,2.73,32.7,-0.449,19.44,21.09,01a59469o0343o
59469.422981,-22.691,4.059,-3,12,o,0,1.68,344.03928,13.09801,8177.25,6120.74,2.83,2.71,31.1,-0.454,19.45,21.1,01a59469o0349o
59469.452493,19.455,0.2,60,12,o,0,1.84,344.03928,13.09801,8167.05,6230.28,2.77,2.68,50.5,-0.459,19.44,21.08,01a59469o0408o
59475.415778,18.26,0.124,180,22,o,0,1.56,344.03928,13.09801,2220.61,2395.16,2.27,2.25,41.5,-0.425,18.69,19.19,02a59475o0447o
59475.418638,18.522,0.3,142,42,o,0,1.42,344.03928,13.09801,2201.46,2355.52,2.04,1.94,-66.8,-0.47,18.07,18.76,02a59475o0453o
59475.423866,18.183,0.164,194,32,o,0,1.76,344.03928,13.09801,2261.81,2435.48,2.41,2.22,8.0,-0.425,18.2,18.41,02a59475o0464o
59475.433692,18.919,0.456,98,45,o,0,1.03,344.03928,13.09801,2283.14,2319.67,2.25,2.19,48.5,-0.424,17.98,18.09,02a59475o0485o
59479.408401,17.484,0.055,369,20,o,0,2.17,344.03928,13.09801,2219.79,2389.75,1.95,1.89,55.0,-0.462,18.82,19.12,02a59479o0432o
59479.411473,17.558,0.06,344,21,o,0,1.69,344.03928,13.09801,2200.49,2351.86,1.97,1.92,82.3,-0.455,18.76,19.12,02a59479o0438o
59479.416619,17.349,0.06,417,25,o,0,1.5,344.03928,13.09801,2258.86,2432.06,1.98,1.94,-89.0,-0.446,18.77,19.13,02a59479o0448o
59479.427696,17.456,0.058,378,22,o,0,1.43,344.03928,13.09801,2278.85,2314.64,1.94,1.94,29.8,-0.456,18.82,19.11,02a59479o0472o
59480.474774,17.687,0.1,306,31,o,0,1.35,344.03928,13.09801,3917.96,5956.49,2.85,2.85,34.3,-0.44,18.63,19.44,01a59480o0597o
59480.480324,17.437,0.088,385,34,o,0,1.27,344.03928,13.09801,3938.95,5993.79,3.11,3.06,71.6,-0.423,18.54,19.44,01a59480o0609o
59480.490005,17.434,0.106,386,41,o,0,1.24,344.03928,13.09801,3879.47,5917.3,2.97,2.93,-50.8,-0.441,18.45,19.23,01a59480o0630o
59480.496466,17.56,0.128,344,44,o,0,1.22,344.03928,13.09801,3862.86,6032.32,2.96,2.9,-23.5,-0.446,18.41,19.13,01a59480o0644o
59481.457111,17.58,0.066,337,22,o,0,0.99,344.03928,13.09801,3915.47,5964.31,2.87,2.86,-35.8,-0.448,18.89,19.96,01a59481o0558o
59481.464571,17.385,0.059,404,24,o,0,0.96,344.03928,13.09801,3937.8,6001.51,2.71,2.67,74.3,-0.464,18.96,19.92,01a59481o0574o
59481.46781,17.376,0.056,407,23,o,0,1.23,344.03928,13.09801,3877.37,5925.02,2.77,2.74,52.9,-0.462,18.91,19.91,01a59481o0581o
59481.480419,17.288,0.051,441,22,o,0,1.56,344.03928,13.09801,3862.07,6039.81,2.72,2.69,-66.4,-0.469,18.92,19.86,01a59481o0608o
59485.382392,17.38,0.034,405,14,o,0,2.52,344.03928,13.09801,3900.47,5978.67,2.76,2.7,-28.5,-0.466,19.39,20.88,01a59485o0392o
59485.388413,17.286,0.031,442,14,o,0,1.74,344.03928,13.09801,3922.51,6015.62,2.79,2.68,-30.5,-0.462,19.38,20.87,01a59485o0405o
59485.391181,17.336,0.035,422,15,o,0,1.4,344.03928,13.09801,3862.64,5939.3,2.75,2.66,-32.3,-0.468,19.38,20.87,01a59485o0411o
59485.40336,17.217,0.031,471,14,o,0,1.8,344.03928,13.09801,3847.66,6053.28,2.78,2.69,-30.2,-0.467,19.36,20.84,01a59485o0437o
59486.338138,17.076,0.025,537,14,o,0,1.89,344.03928,13.09801,7508.92,404.23,2.03,1.71,-57.0,-0.459,19.66,21.05,02a59486o0307o
59486.339966,17.175,0.026,490,13,o,0,2.71,344.03928,13.09801,7528.52,442.89,1.99,1.71,-55.1,-0.463,19.66,21.06,02a59486o0311o
59486.342715,17.114,0.024,518,13,o,0,3.1,344.03928,13.09801,7472.07,362.8,2.08,1.78,-58.8,-0.456,19.66,21.05,02a59486o0317o
59486.36501,17.049,0.024,550,13,o,0,3.15,344.03928,13.09801,3135.75,10082.73,2.27,2.07,-55.2,-0.439,19.58,20.98,02a59486o0365o
59487.407918,17.154,0.024,499,12,o,0,4.15,344.03928,13.09801,3069.22,10155.37,2.09,1.89,-67.8,-0.453,19.56,20.81,02a59487o0461o
59487.43244,16.969,0.022,592,13,o,0,3.24,344.03928,13.09801,3046.6,10120.76,2.07,1.88,-65.9,-0.444,19.58,20.81,02a59487o0513o
59487.436154,17.227,0.025,467,12,o,0,4.93,344.03928,13.09801,3103.41,10199.2,2.07,1.89,-69.5,-0.447,19.56,20.79,02a59487o0521o
59487.444512,17.061,0.025,544,14,o,0,2.18,344.03928,13.09801,3124.79,10081.01,2.07,1.93,-69.9,-0.447,19.56,20.77,02a59487o0539o
59488.406118,17.143,0.029,504,15,o,0,1.43,344.03928,13.09801,3092.78,158.18,3.02,2.95,-24.2,-0.411,19.36,20.96,01a59488o0430o
59488.409363,17.137,0.043,507,22,o,0,1.58,344.03928,13.09801,3113.25,197.5,3.06,2.9,-30.4,-0.427,18.84,20.39,01a59488o0437o
59488.4149,17.159,0.029,497,14,o,0,1.77,344.03928,13.09801,3054.93,117.82,3.09,2.94,-25.5,-0.425,19.31,20.95,01a59488o0449o
59488.426107,17.16,0.029,496,14,o,0,1.77,344.03928,13.09801,3041.68,235.34,3.13,3.0,-43.9,-0.422,19.27,20.92,01a59488o0473o
59489.520771,17.106,0.037,522,20,o,0,1.42,344.03928,13.09801,3123.59,144.78,2.97,2.93,64.6,-0.389,18.85,20.12,01a59489o0339o
59489.522155,17.132,0.045,509,23,o,0,1.2,344.03928,13.09801,3752.72,10347.67,3.11,3.03,68.0,-0.424,18.88,20.19,01a59489o0342o
59489.524463,17.173,0.045,491,22,o,0,1.33,344.03928,13.09801,3144.86,184.22,3.02,2.99,-38.1,-0.396,18.42,19.67,01a59489o0347o
59489.525844,17.133,0.066,509,34,o,0,1.1,344.03928,13.09801,3773.14,10386.71,3.13,3.06,-75.7,-0.421,18.31,19.56,01a59489o0350o
59489.529992,17.297,0.112,438,49,o,0,1.08,344.03928,13.09801,3085.78,106.88,3.09,3.02,-33.4,-0.409,17.87,19.09,01a59489o0359o
59489.531374,17.352,0.163,416,68,o,0,1.03,344.03928,13.09801,3712.18,10309.76,3.2,3.08,-60.3,-0.423,18.04,19.28,01a59489o0362o
59489.5628,17.111,0.078,520,40,o,0,1.2,344.03928,13.09801,3684.4,10433.51,3.49,3.2,-35.2,-0.415,18.21,19.52,01a59489o0430o
59491.384677,17.14,0.03,506,15,o,0,2.38,344.03928,13.09801,5202.69,6648.55,2.44,1.91,43.1,-0.429,19.55,20.78,02a59491o0413o
59491.388444,17.063,0.029,543,16,o,0,3.13,344.03928,13.09801,5183.78,6610.84,2.15,1.88,58.8,-0.453,19.43,20.98,02a59491o0421o
59491.393971,17.051,0.024,549,13,o,0,4.44,344.03928,13.09801,5241.53,6688.84,2.57,1.92,42.1,-0.423,19.55,20.78,02a59491o0433o
