MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59454.334682,21.412,0.966,10,10,o,0,1.32,282.79373,64.51585,1479.79,9845.63,2.16,1.78,-41.4,-0.449,19.7,20.85,01a59454o0214o
59454.338367,-22.177,2.155,-5,10,o,0,0.95,282.79373,64.51585,1501.99,9886.47,2.17,1.74,-39.1,-0.453,19.69,20.84,01a59454o0222o
59454.344828,21.048,0.626,14,9,o,0,1.52,282.79373,64.51585,1437.72,9804.6,2.01,1.82,-41.9,-0.446,19.65,20.79,01a59454o0236o
59454.355452,-23.806,8.846,-1,10,o,0,1.54,282.79373,64.51585,1418.05,9920.03,2.1,1.8,-41.3,-0.452,19.58,20.59,01a59454o0259o
59456.315441,20.467,0.375,24,9,c,0,1.52,282.79373,64.51585,7754.05,6439.7,2.51,2.36,46.4,-0.395,19.54,21.34,02a59456o0204c
59456.31915,23.933,8.0,1,8,c,0,1.79,282.79373,64.51585,7737.71,6405.07,2.5,2.33,-71.3,-0.409,19.69,21.56,02a59456o0212c
59456.324646,22.585,2.625,3,9,c,0,1.22,282.79373,64.51585,7794.43,6483.7,2.49,2.31,-72.6,-0.411,19.68,21.52,02a59456o0224c
59456.336125,-21.695,1.193,-8,9,c,0,1.05,282.79373,64.51585,7811.41,6366.97,2.46,2.3,-74.8,-0.407,19.75,21.57,02a59456o0249c
59458.349342,-23.426,5.412,-2,8,o,0,1.52,282.79373,64.51585,9967.82,3940.38,2.18,1.85,-56.5,-0.446,19.76,21.13,01a59458o0192o
59458.354872,23.246,4.45,2,8,o,0,1.18,282.79373,64.51585,9990.13,3980.69,2.14,2.01,-4.7,-0.413,19.68,21.13,01a59458o0204o
59458.358114,-21.491,1.0,-9,9,o,0,1.21,282.79373,64.51585,9930.5,3907.54,2.29,2.01,-53.8,-0.433,19.71,21.11,01a59458o0211o
59458.366912,-21.77,1.213,-7,9,o,0,1.01,282.79373,64.51585,868.09,4166.41,1.96,1.87,-56.5,-0.429,19.79,21.19,01a59458o0230o
59458.370598,-21.091,0.58,-13,8,o,0,1.45,282.79373,64.51585,888.3,4205.96,1.94,1.87,-48.2,-0.429,19.73,21.15,01a59458o0238o
59458.371058,-22.129,1.875,-5,10,o,0,1.13,282.79373,64.51585,9913.46,4030.06,2.18,1.91,-54.2,-0.437,19.78,21.11,01a59458o0239o
59458.376121,-22.068,1.386,-5,8,o,0,1.46,282.79373,64.51585,829.85,4123.75,1.92,1.86,-48.4,-0.428,19.77,21.07,01a59458o0250o
59458.411438,-20.512,0.681,-23,15,o,0,0.85,282.79373,64.51585,822.88,4229.82,2.1,1.97,-37.4,-0.418,18.94,20.23,01a59458o0319o
59462.285361,-21.784,1.141,-7,8,o,0,1.38,282.79373,64.51585,9958.7,3944.77,1.99,1.91,-24.3,-0.429,19.86,21.16,01a59462o0153o
59462.289045,21.03,0.797,14,11,o,0,0.97,282.79373,64.51585,9978.53,3981.61,2.06,1.84,-51.2,-0.453,19.87,21.16,01a59462o0161o
59462.294578,-21.616,1.17,-8,10,o,0,0.96,282.79373,64.51585,9921.0,3910.65,1.93,1.88,-25.1,-0.44,19.85,21.17,01a59462o0173o
59462.309348,21.45,0.816,10,8,o,0,1.6,282.79373,64.51585,9905.67,4029.05,1.97,1.83,-35.1,-0.451,19.85,21.12,01a59462o0205o
59462.311193,-21.983,1.176,-6,7,o,0,1.61,282.79373,64.51585,856.88,4173.5,1.79,1.75,-43.5,-0.45,19.88,21.15,01a59462o0209o
59462.314423,21.055,0.507,14,7,o,0,2.14,282.79373,64.51585,876.7,4213.11,1.78,1.73,-47.6,-0.447,19.89,21.17,01a59462o0216o
59462.321799,-20.268,0.304,-28,9,o,0,0.89,282.79373,64.51585,818.22,4131.12,1.86,1.78,-35.4,-0.442,19.91,21.19,01a59462o0232o
59462.331955,21.55,0.904,9,8,o,0,1.6,282.79373,64.51585,803.64,4246.24,1.83,1.75,-23.3,-0.437,19.86,21.16,01a59462o0254o
59464.320783,20.826,0.534,17,9,c,0,1.14,282.79373,64.51585,1256.11,717.37,2.65,2.29,-55.8,-0.418,19.69,21.54,02a59464o0179c
59464.324022,21.706,1.224,8,9,c,0,1.11,282.79373,64.51585,1234.25,677.36,2.71,2.35,-56.4,-0.419,19.62,21.53,02a59464o0186c
59464.329582,22.357,2.138,4,9,c,0,1.16,282.79373,64.51585,1299.03,750.81,2.6,2.26,-56.8,-0.422,19.65,21.51,02a59464o0198c
59464.34022,-24.505,14.25,-1,8,c,0,1.65,282.79373,64.51585,1320.06,627.81,2.62,2.25,-56.9,-0.418,19.64,21.46,02a59464o0221c
59466.382755,-19.539,0.304,-56,17,o,0,1.29,282.79373,64.51585,10519.54,7838.12,4.11,3.19,37.6,-0.243,19.12,20.63,01a59466o0346o
59466.385985,-24.598,29.0,0,15,o,0,1.06,282.79373,64.51585,869.28,8297.71,2.71,2.47,-53.6,-0.473,19.2,20.68,01a59466o0353o
59466.411756,-19.584,0.358,-53,19,o,0,1.41,282.79373,64.51585,10496.68,7968.17,4.59,3.57,37.2,-0.187,19.01,20.4,01a59466o0404o
59466.415002,20.787,0.967,18,17,o,0,1.03,282.79373,64.51585,888.41,8329.53,2.73,2.51,-57.0,-0.472,19.03,20.46,01a59466o0411o
59466.417851,-21.759,2.103,-7,15,o,0,1.27,282.79373,64.51585,820.74,8249.84,2.69,2.46,-53.1,-0.477,19.06,20.5,01a59466o0417o
59466.423392,21.147,1.537,13,19,o,0,1.03,282.79373,64.51585,802.83,8364.84,2.65,2.43,-58.2,-0.482,19.01,20.41,01a59466o0429o
59468.330569,-21.47,0.971,-9,9,c,0,1.05,282.79373,64.51585,2267.92,4251.06,2.28,2.24,38.4,-0.407,19.59,21.41,02a59468o0254c
59468.33377,21.932,1.537,6,9,c,0,1.16,282.79373,64.51585,2249.08,4214.06,2.33,2.28,37.0,-0.405,19.44,21.22,02a59468o0261c
59468.33933,20.061,0.278,34,10,c,0,1.09,282.79373,64.51585,2307.85,4287.03,2.27,2.25,-42.9,-0.412,19.49,21.27,02a59468o0273c
59468.349522,22.869,4.211,3,11,c,0,0.86,282.79373,64.51585,2327.75,4166.69,2.31,2.25,43.9,-0.406,19.58,21.35,02a59468o0295c
59470.277497,-19.991,0.443,-37,16,o,0,1.07,282.79373,64.51585,10515.39,7823.65,3.92,2.97,32.8,-0.263,19.23,20.41,01a59470o0147o
59470.292269,23.996,17.0,1,16,o,0,1.41,282.79373,64.51585,10503.54,7943.95,3.86,2.97,33.2,-0.257,19.24,20.44,01a59470o0179o
59470.295495,20.922,0.989,16,15,o,0,0.93,282.79373,64.51585,856.02,8308.76,2.87,2.46,-46.3,-0.477,19.23,20.47,01a59470o0186o
59470.298728,20.475,0.685,23,16,o,0,1.03,282.79373,64.51585,880.07,8348.44,3.04,2.5,-44.4,-0.477,19.26,20.52,01a59470o0193o
59470.304271,-20.419,0.63,-25,16,o,0,1.13,282.79373,64.51585,816.76,8267.12,2.95,2.46,-45.0,-0.483,19.23,20.5,01a59470o0205o
59470.316263,21.05,1.099,14,15,o,0,1.23,282.79373,64.51585,799.27,8381.9,3.13,2.55,-43.4,-0.469,19.23,20.55,01a59470o0231o
59476.301697,18.939,0.406,96,39,o,0,1.25,282.79373,64.51585,7705.48,10501.07,3.19,2.18,-54.6,-0.426,18.73,19.2,02a59476o0205o
59476.303987,19.658,0.518,50,26,o,0,1.13,282.79373,64.51585,7687.88,322.06,2.58,2.13,-55.7,-0.446,18.59,19.11,02a59476o0210o
59476.307187,19.905,0.762,40,30,o,0,1.29,282.79373,64.51585,7667.16,281.23,2.55,2.14,-56.4,-0.468,18.53,19.02,02a59476o0217o
59476.313144,23.473,20.4,2,30,o,0,0.9,282.79373,64.51585,7730.15,361.84,2.55,2.1,-55.2,-0.445,18.52,18.95,02a59476o0230o
59476.318182,19.19,0.496,76,38,o,0,1.25,282.79373,64.51585,7773.01,10461.15,3.14,2.34,-61.1,-0.414,18.52,18.98,02a59476o0241o
59476.323217,18.703,0.323,120,39,o,0,0.88,282.79373,64.51585,7752.1,240.99,3.11,2.58,-63.3,-0.422,18.31,18.94,02a59476o0252o
59478.265615,19.355,1.082,66,71,o,0,1.02,282.79373,64.51585,6085.57,4402.82,2.62,2.6,-2.9,-0.498,17.55,17.98,01a59478o0131o
59478.270805,19.265,1.016,71,73,o,0,0.9,282.79373,64.51585,6107.28,4440.3,2.65,2.6,-47.2,-0.503,17.66,18.04,01a59478o0142o
59478.274026,19.653,0.796,50,40,o,0,0.91,282.79373,64.51585,6047.69,4366.31,2.61,2.57,-19.5,-0.497,18.15,18.59,01a59478o0149o
59478.284658,18.985,0.334,92,31,o,0,0.77,282.79373,64.51585,6035.27,4482.14,2.65,2.57,-9.9,-0.491,18.58,19.23,01a59478o0172o
59480.28035,18.902,0.187,100,19,o,0,0.89,282.79373,64.51585,7694.9,326.81,2.13,1.66,-58.4,-0.497,19.12,19.74,02a59480o0172o
59480.283106,18.8,0.259,110,28,o,0,1.82,282.79373,64.51585,7712.68,10503.34,3.11,2.04,-56.1,-0.421,19.07,19.82,02a59480o0178o
59480.283564,18.514,0.135,143,19,o,0,1.1,282.79373,64.51585,7672.98,285.1,2.33,1.79,-58.2,-0.467,19.07,19.73,02a59480o0179o
59480.289054,18.697,0.134,120,16,o,0,2.18,282.79373,64.51585,7737.94,366.6,2.22,1.72,-58.2,-0.48,19.05,19.72,02a59480o0191o
59480.302355,18.832,0.184,106,20,o,0,1.96,282.79373,64.51585,7779.32,10463.73,3.0,1.85,-55.7,-0.432,19.14,19.73,02a59480o0220o
59480.303727,18.815,0.183,108,20,o,0,0.94,282.79373,64.51585,7758.69,245.83,2.21,1.63,-56.8,-0.483,19.03,19.64,02a59480o0223o
59484.319846,18.791,0.104,111,12,o,0,1.08,282.79373,64.51585,6334.56,8039.39,2.45,2.03,37.2,-0.419,19.52,20.77,02a59484o0262o
