MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59458.556424,19.56,0.833,54,45,o,0,0.83,0.53517,78.01678,1233.5,8448.04,2.44,2.15,-39.9,-0.399,18.43,19.42,01a59458o0629o
59458.607967,-18.585,0.796,-134,106,o,0,1.23,0.53517,78.01678,1174.34,8502.01,2.33,2.05,-46.8,-0.401,15.91,16.69,01a59458o0739o
59462.463184,-23.654,8.917,-1,11,o,0,1.02,0.53517,78.01678,9402.75,2255.31,2.28,2.14,-35.5,-0.409,19.55,20.82,01a59462o0530o
59462.465488,-23.4,7.417,-2,12,o,0,1.19,0.53517,78.01678,9377.56,2212.04,2.61,2.41,-43.0,-0.393,19.42,20.8,01a59462o0535o
59462.469637,-20.996,0.735,-14,11,o,0,1.2,0.53517,78.01678,9443.89,2301.5,2.33,2.07,-54.8,-0.431,19.55,20.8,01a59462o0544o
59462.483213,-20.043,0.32,-35,11,o,0,1.33,0.53517,78.01678,9463.1,2186.06,2.58,2.03,-64.8,-0.411,19.5,20.78,01a59462o0572o
59464.435713,20.434,0.414,24,10,c,0,0.87,0.53517,78.01678,4058.36,4149.48,2.62,2.36,51.4,-0.382,19.46,21.25,02a59464o0418c
59464.440563,-23.887,9.714,-1,10,c,0,1.18,0.53517,78.01678,4075.13,4189.1,2.47,2.39,84.6,-0.392,19.49,21.25,02a59464o0428c
59464.450455,20.513,0.48,23,11,c,0,1.49,0.53517,78.01678,4023.82,4108.39,2.63,2.36,47.6,-0.386,19.53,21.25,02a59464o0449c
59464.493893,-20.745,0.646,-18,12,c,0,1.49,0.53517,78.01678,4014.86,4221.01,2.61,2.48,-85.2,-0.395,19.23,21.17,02a59464o0542c
59466.406883,21.648,2.281,8,18,o,0,1.29,0.53517,78.01678,4068.4,8078.14,3.04,2.8,51.3,-0.413,18.87,20.15,01a59466o0394o
59466.409664,-20.003,0.721,-36,26,o,0,1.0,0.53517,78.01678,4050.37,8041.11,3.21,2.88,50.6,-0.395,18.6,19.91,01a59466o0400o
59466.44463,-20.605,0.915,-21,19,o,0,1.36,0.53517,78.01678,4108.53,8122.65,3.2,2.93,54.4,-0.396,18.89,20.21,01a59466o0474o
59466.447393,-20.959,1.117,-15,17,o,0,1.26,0.53517,78.01678,4120.03,8006.81,3.13,2.91,53.6,-0.406,18.91,20.22,01a59466o0480o
59468.520317,21.795,1.51,7,10,c,0,69.42,0.53517,78.01678,4040.1,9999.08,2.46,2.21,-60.9,-0.406,19.61,21.3,02a59468o0656c
59468.554944,20.766,0.765,18,14,c,0,1.01,0.53517,78.01678,4014.04,9958.12,2.4,2.25,-64.9,-0.401,19.53,21.25,02a59468o0731c
59468.583232,20.196,0.43,30,13,c,0,0.87,0.53517,78.01678,4055.04,10026.72,2.39,2.26,-69.8,-0.397,19.52,21.23,02a59468o0792c
59468.608251,-22.328,3.593,-4,15,c,0,1.14,0.53517,78.01678,4068.44,9913.73,2.41,2.34,-78.3,-0.386,19.33,21.01,02a59468o0846c
59468.638623,-20.109,1.989,-33,65,c,0,1.11,0.53517,78.01678,4035.69,9975.45,2.59,2.34,-53.3,-0.412,18.11,19.27,02a59468o0910c
59470.39782,-21.378,1.268,-10,13,o,0,1.15,0.53517,78.01678,4067.22,8081.14,2.78,2.63,-40.8,-0.468,19.23,20.67,01a59470o0402o
59470.399663,-20.227,0.441,-30,13,o,0,1.3,0.53517,78.01678,4045.83,8045.4,2.98,2.64,-42.8,-0.459,19.21,20.69,01a59470o0406o
59470.403546,-21.515,1.542,-9,14,o,0,1.1,0.53517,78.01678,4100.09,8119.85,2.93,2.59,-45.5,-0.463,19.25,20.71,01a59470o0413o
59470.425662,-21.159,1.061,-12,13,o,0,0.97,0.53517,78.01678,4116.9,8007.97,2.96,2.59,-47.2,-0.463,19.24,20.73,01a59470o0460o
59472.469676,21.436,1.269,10,12,c,0,1.41,0.53517,78.01678,4051.42,10008.42,2.61,2.2,-62.9,-0.405,19.65,21.42,02a59472o0254c
59472.472876,20.635,0.699,20,14,c,0,1.21,0.53517,78.01678,4034.08,9968.78,2.76,2.17,-57.7,-0.41,19.6,21.44,02a59472o0261c
59472.478389,20.272,0.413,28,12,c,0,1.27,0.53517,78.01678,4080.9,10043.89,2.77,2.2,-58.1,-0.406,19.6,21.44,02a59472o0273c
