MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59458.596408,19.726,0.962,47,45,o,0,1.56,45.13148,-14.95571,6556.4,1195.3,2.45,2.19,6.0,-0.39,17.73,18.66,02a59458o0807o
59460.559954,21.293,0.854,11,9,o,0,1.3,45.13148,-14.95571,5030.75,4911.25,3.05,2.22,-1.1,-0.366,19.46,20.96,01a59460o0738o
59460.561801,21.454,1.125,10,11,o,0,0.85,45.13148,-14.95571,5011.46,4872.99,3.12,2.44,0.9,-0.374,19.4,20.98,01a59460o0742o
59460.564565,-22.472,2.696,-4,10,o,0,1.23,45.13148,-14.95571,5069.3,4950.44,3.41,2.47,-0.3,-0.335,19.37,21.01,01a59460o0748o
59460.573814,-21.398,1.053,-10,10,o,0,1.08,45.13148,-14.95571,5090.25,4835.46,2.8,2.32,-2.0,-0.384,19.5,20.98,01a59460o0768o
59461.561473,-22.001,1.413,-6,8,c,0,1.22,45.13148,-14.95571,6546.39,1198.43,2.37,2.3,-69.5,-0.407,19.73,21.61,02a59461o0738c
59461.564218,21.217,0.67,12,8,c,0,1.41,45.13148,-14.95571,6567.24,1236.47,2.42,2.32,-61.5,-0.413,19.7,21.61,02a59461o0744c
59461.57019,-21.01,0.64,-14,9,c,0,0.78,45.13148,-14.95571,6508.6,1158.27,2.4,2.34,-71.1,-0.404,19.69,21.63,02a59461o0757c
59461.580194,-23.12,4.313,-2,9,c,0,0.78,45.13148,-14.95571,6491.09,1276.42,2.4,2.31,-70.2,-0.408,19.68,21.64,02a59461o0778c
59464.565448,21.297,0.62,11,7,o,0,2.09,45.13148,-14.95571,7470.61,826.49,2.02,1.95,18.0,-0.436,19.71,20.95,01a59464o0737o
59464.567301,21.288,0.869,11,10,o,0,1.37,45.13148,-14.95571,7451.49,787.0,2.09,2.04,35.5,-0.436,19.7,20.96,01a59464o0741o
59464.577452,-23.989,9.0,-1,8,o,0,1.66,45.13148,-14.95571,7509.71,864.06,2.05,2.01,32.5,-0.443,19.73,20.96,01a59464o0762o
59464.58299,-22.16,2.038,-5,10,o,0,0.79,45.13148,-14.95571,7527.7,745.63,2.09,2.01,20.8,-0.44,19.74,20.99,01a59464o0774o
59465.555591,-20.65,0.402,-20,8,c,0,0.86,45.13148,-14.95571,6546.14,1192.88,2.3,2.19,-65.7,-0.418,19.72,21.53,02a59465o0734c
59465.55742,-21.601,1.116,-8,9,c,0,0.79,45.13148,-14.95571,6565.83,1232.64,2.3,2.23,81.0,-0.407,19.71,21.53,02a59465o0738c
59465.562934,-21.742,1.083,-7,8,c,0,1.29,45.13148,-14.95571,6508.06,1154.0,2.32,2.26,73.8,-0.405,19.74,21.56,02a59465o0750c
59465.574006,20.87,0.484,16,8,c,0,1.12,45.13148,-14.95571,6488.55,1271.55,2.39,2.34,54.6,-0.399,19.71,21.6,02a59465o0774c
