MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59461.327303,-22.117,1.239,-5,6,o,0,1.81,270.93157,28.85385,8064.98,2098.46,1.96,1.76,-55.0,-0.453,19.79,20.91,01a59461o0244o
59461.33053,22.674,2.231,3,7,o,0,2.09,270.93157,28.85385,8084.83,2137.13,1.98,1.79,-47.8,-0.449,19.75,20.88,01a59461o0251o
59461.338366,-21.626,1.265,-8,10,o,0,0.94,270.93157,28.85385,8028.25,2060.87,2.01,1.82,-52.6,-0.455,19.7,20.82,01a59461o0268o
59461.350146,21.597,1.231,8,10,o,0,1.02,270.93157,28.85385,8009.9,2178.14,1.99,1.83,-56.3,-0.443,19.67,20.72,01a59461o0293o
59465.31866,-22.721,2.548,-3,8,o,0,0.98,270.93157,28.85385,6913.86,6188.41,1.89,1.73,-49.6,-0.432,19.86,20.99,01a59465o0230o
59465.328843,-22.039,1.538,-6,8,o,0,1.07,270.93157,28.85385,6932.67,6227.16,1.89,1.69,-53.9,-0.434,19.84,20.93,01a59465o0252o
59465.334384,-21.264,0.766,-11,9,o,0,1.16,270.93157,28.85385,6874.32,6150.82,2.0,1.87,-57.1,-0.43,19.74,20.92,01a59465o0264o
59465.33853,24.195,11.5,1,9,o,0,1.13,270.93157,28.85385,6855.15,6265.91,1.98,1.78,-56.2,-0.433,19.73,20.86,01a59465o0273o
59467.273506,21.044,0.571,14,8,c,0,1.28,270.93157,28.85385,6254.03,6282.1,2.39,2.28,49.2,-0.405,19.75,21.59,02a59467o0127c
59467.281435,20.816,0.56,17,10,c,0,0.84,270.93157,28.85385,6234.76,6243.16,2.4,2.33,47.0,-0.406,19.75,21.62,02a59467o0144c
59467.284638,21.497,0.726,9,7,c,0,1.44,270.93157,28.85385,6293.44,6322.71,2.38,2.31,47.5,-0.406,19.78,21.65,02a59467o0151c
