MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59204.431975,21.273,0.899,11,10,c,0,0.88,86.77788,7.33594,9556.65,6796.04,2.56,2.41,87.6,-0.374,19.8,21.69,01a59204o0462c
59204.435678,20.772,0.497,18,9,c,0,1.14,86.77788,7.33594,9578.75,6834.99,2.6,2.33,86.2,-0.378,19.84,21.7,01a59204o0470c
59204.443051,21.562,1.119,9,10,c,0,1.02,86.77788,7.33594,9520.93,6757.23,2.66,2.64,23.6,-0.364,19.73,21.69,01a59204o0486c
59204.453267,-20.713,0.445,-19,8,c,0,1.31,86.77788,7.33594,9503.71,6872.72,2.7,2.62,38.3,-0.364,19.71,21.69,01a59204o0508c
59205.376063,-24.54,20.0,-1,11,o,0,1.03,86.77788,7.33594,991.95,3733.63,2.0,1.87,81.1,-0.42,19.62,20.69,01a59205o0379o
59205.407023,22.472,3.436,4,13,o,0,1.01,86.77788,7.33594,971.75,3699.75,2.26,1.98,0.6,-0.44,19.52,20.66,01a59205o0441o
59205.413054,25.251,42.667,0,12,o,0,1.11,86.77788,7.33594,1030.92,3776.35,2.42,1.89,7.0,-0.425,19.54,20.7,01a59205o0453o
59205.426657,21.221,0.992,12,12,o,0,0.89,86.77788,7.33594,9500.44,6878.02,2.09,2.08,79.0,-0.415,19.69,20.73,01a59205o0480o
59206.36114,21.47,1.353,9,13,o,0,1.09,86.77788,7.33594,5450.42,1203.03,1.97,1.85,-53.6,-0.462,19.43,20.33,02a59206o0360o
59206.363434,22.522,2.8,4,10,o,0,1.52,86.77788,7.33594,5470.92,1242.86,1.92,1.84,-47.7,-0.463,19.45,20.34,02a59206o0365o
59206.366181,-21.153,0.824,-13,10,o,0,1.4,86.77788,7.33594,5414.24,1165.82,1.96,1.87,-55.4,-0.46,19.44,20.35,02a59206o0371o
59206.372133,20.677,0.635,20,12,o,0,0.89,86.77788,7.33594,5394.85,1283.56,2.01,1.9,-41.8,-0.46,19.43,20.38,02a59206o0384o
59207.385391,22.479,4.05,4,15,o,0,0.6,86.77788,7.33594,5460.52,1207.57,1.99,1.84,-53.5,-0.467,19.32,20.13,02a59207o0390o
59207.387221,22.793,4.31,3,12,o,0,1.12,86.77788,7.33594,5480.16,1246.16,2.02,1.87,-51.8,-0.466,19.34,20.14,02a59207o0394o
59207.408222,-20.605,0.613,-21,13,o,0,1.71,86.77788,7.33594,5173.67,9389.4,2.17,2.14,86.6,-0.442,19.27,20.15,02a59207o0438o
59207.415647,-23.864,13.364,-1,14,o,0,1.12,86.77788,7.33594,5402.22,1286.12,2.0,1.87,-40.5,-0.462,19.34,20.13,02a59207o0453o
59208.440806,20.013,0.418,36,15,o,0,1.65,86.77788,7.33594,9261.27,963.19,2.47,2.26,-43.3,-0.393,19.23,19.97,01a59208o0526o
59208.444514,20.18,0.573,31,18,o,0,1.19,86.77788,7.33594,9281.66,1001.79,3.1,2.33,-7.9,-0.361,19.08,19.98,01a59208o0534o
59208.453035,20.849,0.939,17,16,o,0,1.03,86.77788,7.33594,9224.48,924.92,3.21,2.25,-2.8,-0.354,19.07,19.99,01a59208o0551o
59208.474967,-21.287,1.45,-11,16,o,0,0.85,86.77788,7.33594,9209.53,1041.97,2.38,2.09,-17.7,-0.381,19.25,19.94,01a59208o0596o
59209.36526,21.841,2.939,7,20,o,0,0.81,86.77788,7.33594,1269.71,9559.08,2.28,2.06,-64.1,-0.432,18.96,19.53,01a59209o0385o
59209.367103,-21.763,2.507,-7,18,o,0,1.64,86.77788,7.33594,1250.59,9520.85,2.33,2.16,-64.5,-0.428,18.93,19.52,01a59209o0389o
