MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59467.426967,22.624,4.353,3,14,o,0,1.33,325.77266,-17.54406,5068.82,4564.74,2.86,2.79,47.6,-0.455,19.23,20.75,01a59467o0299o
59467.430194,-21.175,1.143,-12,14,o,0,1.22,325.77266,-17.54406,5089.4,4602.11,2.89,2.85,74.2,-0.447,19.22,20.74,01a59467o0306o
59467.435717,20.92,0.84,16,13,o,0,1.43,325.77266,-17.54406,5030.2,4525.95,2.9,2.79,39.9,-0.452,19.22,20.7,01a59467o0318o
59467.447745,-21.798,2.353,-7,16,o,0,1.14,325.77266,-17.54406,5012.5,4640.15,2.98,2.88,62.5,-0.447,19.14,20.68,01a59467o0344o
59471.329501,19.935,0.423,38,16,o,0,1.14,325.77266,-17.54406,5401.72,5967.77,2.71,2.64,-35.5,-0.484,19.09,20.22,01a59471o0280o
59471.331345,-21.85,2.641,-7,17,o,0,1.15,325.77266,-17.54406,5381.59,5929.77,2.64,2.6,16.6,-0.488,19.12,20.21,01a59471o0284o
59471.3378,19.885,0.466,40,19,o,0,1.09,325.77266,-17.54406,5442.37,6008.43,2.69,2.63,-50.5,-0.488,19.12,20.23,01a59471o0298o
59471.345179,20.034,0.43,35,15,o,0,1.6,325.77266,-17.54406,5459.85,5891.83,2.68,2.55,-48.4,-0.499,19.13,20.24,01a59471o0314o
59478.405221,20.815,1.866,17,32,o,0,1.12,325.77266,-17.54406,5290.15,4053.24,2.22,1.89,47.3,-0.439,18.34,18.73,02a59478o0413o
59478.409821,22.019,5.229,6,30,o,0,1.1,325.77266,-17.54406,5270.67,4015.2,2.38,1.93,45.4,-0.436,18.36,18.98,02a59478o0423o
59478.416229,20.929,1.809,15,28,o,0,1.46,325.77266,-17.54406,5328.64,4092.79,2.31,1.86,47.0,-0.427,18.4,18.75,02a59478o0437o
59478.449921,-20.764,1.842,-18,33,o,0,1.18,325.77266,-17.54406,5344.47,3979.72,2.36,2.0,41.3,-0.429,18.18,18.96,02a59478o0509o
59479.380293,19.325,0.858,68,58,o,0,0.56,325.77266,-17.54406,5768.0,669.2,2.78,2.74,-28.7,-0.487,18.5,19.24,01a59479o0378o
59479.383519,-18.285,0.433,-176,76,o,0,0.54,325.77266,-17.54406,5788.73,707.54,2.74,2.73,-31.2,-0.487,18.57,19.25,01a59479o0385o
59479.389513,19.294,0.468,70,33,o,0,1.27,325.77266,-17.54406,5729.3,629.11,2.82,2.78,-40.3,-0.481,18.51,19.24,01a59479o0398o
59479.399672,-19.176,1.076,-78,83,o,0,0.22,325.77266,-17.54406,5713.5,744.19,2.7,2.7,-37.0,-0.491,18.52,19.22,01a59479o0420o
59480.422155,20.122,0.721,32,23,o,0,1.49,325.77266,-17.54406,798.55,4397.85,3.21,3.02,-43.1,-0.464,18.56,19.52,01a59480o0483o
59480.427697,20.742,1.667,18,31,o,0,1.03,325.77266,-17.54406,820.05,4434.28,3.5,3.31,-46.7,-0.42,18.51,19.49,01a59480o0495o
59480.430933,-20.426,1.261,-24,31,o,0,1.19,325.77266,-17.54406,759.76,4359.23,3.55,3.37,-46.8,-0.433,18.37,19.47,01a59480o0502o
59480.441091,-20.989,2.188,-15,32,o,0,1.19,325.77266,-17.54406,742.04,4473.57,3.77,3.47,-44.6,-0.429,18.33,19.42,01a59480o0524o
59481.350045,-22.543,4.875,-4,17,o,0,1.47,325.77266,-17.54406,5283.13,4051.36,2.53,2.34,41.9,-0.407,18.97,19.9,02a59481o0330o
59481.353246,-20.546,0.886,-22,20,o,0,1.12,325.77266,-17.54406,5265.88,4013.11,2.76,2.62,52.9,-0.41,18.83,19.89,02a59481o0337o
59481.358751,-20.207,0.591,-30,18,o,0,1.32,325.77266,-17.54406,5323.25,4091.06,2.84,2.66,46.8,-0.397,18.84,19.87,02a59481o0349o
59481.369761,21.574,2.463,8,21,o,0,0.9,325.77266,-17.54406,5346.96,3976.99,2.55,2.49,57.9,-0.412,18.88,19.84,02a59481o0373o
59483.361187,-21.257,1.85,-11,21,o,0,1.28,325.77266,-17.54406,791.53,4409.15,4.04,3.27,-13.7,-0.39,18.84,20.22,01a59483o0345o
59483.36441,-19.787,0.483,-44,21,o,0,1.25,325.77266,-17.54406,812.54,4446.26,4.37,3.34,-6.9,-0.369,18.72,20.2,01a59483o0352o
59483.371325,-20.494,0.86,-23,20,o,0,1.42,325.77266,-17.54406,752.12,4369.06,3.38,2.96,-40.0,-0.445,18.93,20.2,01a59483o0367o
59483.382389,-20.466,0.822,-24,19,o,0,1.1,325.77266,-17.54406,736.08,4484.08,3.24,2.92,-45.4,-0.456,18.93,20.18,01a59483o0391o
59485.346409,19.46,0.205,60,12,o,0,1.51,325.77266,-17.54406,6675.53,1623.49,2.26,2.21,82.6,-0.417,19.35,20.7,02a59485o0324o
59485.34961,22.122,2.429,5,12,o,0,1.59,325.77266,-17.54406,6657.25,1585.45,2.28,2.19,63.0,-0.413,19.36,20.7,02a59485o0331o
59485.355173,19.839,0.263,42,11,o,0,1.6,325.77266,-17.54406,6717.15,1659.59,2.28,2.19,58.9,-0.415,19.35,20.69,02a59485o0343o
59485.365235,-20.896,0.716,-16,11,o,0,2.32,325.77266,-17.54406,6738.2,1547.84,2.12,2.05,78.1,-0.422,19.39,20.67,02a59485o0365o
59486.349277,19.782,0.259,44,12,o,0,2.08,325.77266,-17.54406,6681.24,1621.09,2.12,2.0,-67.1,-0.428,19.44,20.76,02a59486o0331o
59486.352484,21.418,1.341,10,13,o,0,1.63,325.77266,-17.54406,6663.08,1582.65,2.13,2.02,-70.4,-0.426,19.4,20.75,02a59486o0338o
59486.35892,19.839,0.341,42,14,o,0,1.09,325.77266,-17.54406,6722.52,1661.32,2.13,2.05,-74.1,-0.425,19.39,20.72,02a59486o0352o
59486.394092,-20.583,0.453,-21,10,o,0,2.98,325.77266,-17.54406,6739.16,1546.73,2.27,2.16,-67.5,-0.418,19.32,20.6,02a59486o0427o
59487.353155,19.993,0.492,36,18,o,0,0.99,325.77266,-17.54406,853.16,4415.25,3.01,2.67,-45.2,-0.502,19.2,20.51,01a59487o0172o
59487.356839,19.681,0.361,49,18,o,0,1.14,325.77266,-17.54406,875.07,4453.0,3.13,2.81,-48.5,-0.483,19.11,20.52,01a59487o0180o
59487.362372,19.608,0.312,52,16,o,0,1.43,325.77266,-17.54406,817.1,4375.91,2.85,2.72,-63.2,-0.49,19.15,20.5,01a59487o0192o
59487.374376,-21.5,1.938,-9,18,o,0,1.41,325.77266,-17.54406,800.5,4490.04,2.93,2.62,-48.0,-0.51,19.2,20.51,01a59487o0218o
59488.331931,-20.135,1.213,-32,39,o,0,1.2,325.77266,-17.54406,9725.48,8577.65,3.01,2.79,-60.9,-0.423,17.52,18.96,01a59488o0270o
59488.335179,-19.275,1.23,-71,87,o,0,0.84,325.77266,-17.54406,9746.77,8616.37,3.11,2.76,-59.6,-0.407,18.01,19.46,01a59488o0277o
59488.341168,20.456,2.811,24,67,o,0,1.06,325.77266,-17.54406,9686.61,8538.59,3.13,2.77,-60.5,-0.41,17.74,19.18,01a59488o0290o
59488.351357,19.166,0.294,78,23,o,0,1.2,325.77266,-17.54406,9671.2,8654.03,3.17,2.78,-59.2,-0.413,18.71,20.34,01a59488o0312o
59489.329049,19.328,0.161,67,11,o,0,1.76,325.77266,-17.54406,6673.37,1622.49,2.17,2.04,58.8,-0.424,19.39,20.73,02a59489o0273o
59489.332707,18.95,0.138,96,13,o,0,1.36,325.77266,-17.54406,6654.95,1583.96,2.19,2.05,60.6,-0.428,19.4,20.74,02a59489o0281o
59489.338657,19.672,0.223,49,11,o,0,1.82,325.77266,-17.54406,6713.32,1661.63,2.1,1.95,53.7,-0.429,19.42,20.73,02a59489o0294o
59489.352427,19.395,0.214,63,14,o,0,1.56,325.77266,-17.54406,6737.01,1546.9,2.16,2.03,60.6,-0.421,19.39,20.66,02a59489o0324o
59491.353918,18.316,0.103,171,18,o,0,0.94,325.77266,-17.54406,9738.22,8572.2,2.95,2.75,-71.4,-0.422,19.27,22.03,01a59491o0322o
59491.357145,18.306,0.103,173,18,o,0,0.88,325.77266,-17.54406,9759.28,8610.51,2.91,2.8,81.6,-0.419,19.28,20.7,01a59491o0329o
59491.362678,18.283,0.108,176,19,o,0,1.03,325.77266,-17.54406,9699.1,8532.46,2.9,2.77,-80.6,-0.423,19.25,21.18,01a59491o0341o
59491.373274,18.546,0.121,138,17,o,0,1.5,325.77266,-17.54406,9683.36,8648.68,3.02,2.86,88.5,-0.408,19.21,21.31,01a59491o0364o
59492.292864,14.474,0.115,5893,675,o,0,3.69,325.77266,-17.54406,9718.28,8588.17,3.27,2.82,-63.4,-0.4,16.02,17.21,01a59492o0217o
