MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59585.445288,-21.32,1.245,-11,13,c,0,1.2,89.56751,-39.52638,8734.59,7946.04,3.01,2.69,42.9,-0.381,19.27,21.11,02a59585o0401c
59585.448508,-21.542,1.561,-9,14,c,0,1.05,89.56751,-39.52638,8715.44,7907.9,2.95,2.66,44.1,-0.383,19.29,21.1,02a59585o0408c
59585.454472,21.432,1.488,10,14,c,0,1.13,89.56751,-39.52638,8776.32,7985.09,2.91,2.8,60.5,-0.39,19.26,21.08,02a59585o0421c
59585.464557,20.961,0.985,15,15,c,0,0.81,89.56751,-39.52638,8796.58,7869.46,2.88,2.79,55.7,-0.389,19.23,21.06,02a59585o0443c
59589.374829,-22.945,4.636,-2,11,o,0,1.17,89.56751,-39.52638,182.94,4260.63,2.01,1.97,-16.6,-0.413,19.14,20.03,02a59589o0289o
59589.378046,21.046,1.047,14,14,o,0,0.89,89.56751,-39.52638,163.6,4222.26,2.0,1.95,-9.2,-0.41,19.13,20.04,02a59589o0296o
59589.384469,-19.885,0.355,-40,14,o,0,1.27,89.56751,-39.52638,222.85,4302.08,2.07,1.97,-41.7,-0.414,19.14,20.01,02a59589o0310o
59589.388161,-21.494,1.701,-9,16,o,0,1.12,89.56751,-39.52638,9992.04,4317.93,2.18,2.14,-56.7,-0.445,19.1,20.03,02a59589o0318o
59589.390942,-20.681,0.855,-19,17,o,0,1.06,89.56751,-39.52638,9972.62,4282.21,2.18,2.1,32.8,-0.439,19.1,20.0,02a59589o0324o
59589.394619,-22.898,4.348,-2,11,o,0,1.8,89.56751,-39.52638,242.4,4188.69,2.0,1.95,5.6,-0.417,19.12,19.96,02a59589o0332o
59589.396904,20.61,0.818,21,17,o,0,0.93,89.56751,-39.52638,10030.36,4357.9,2.21,2.08,31.4,-0.442,19.13,19.99,02a59589o0337o
59589.409327,21.438,1.8,10,17,o,0,0.96,89.56751,-39.52638,10051.8,4244.91,2.24,2.22,-43.5,-0.436,19.05,19.95,02a59589o0364o
59589.463713,16.523,0.62,893,553,o,0,1.59,89.56751,-39.52638,215.34,4247.05,2.34,2.09,-63.0,-0.446,14.85,15.9,02a59589o0392o
59589.464169,17.575,2.667,339,903,o,0,1.03,89.56751,-39.52638,10019.05,4311.31,2.37,2.32,81.4,-0.459,14.91,16.07,02a59589o0393o
59591.388665,19.024,0.27,89,24,o,0,1.21,89.56751,-39.52638,9787.23,4134.09,3.29,3.06,-61.1,-0.436,18.7,19.71,01a59591o0411o
59591.391889,-19.593,0.415,-53,22,o,0,1.2,89.56751,-39.52638,9810.12,4173.89,3.23,3.0,-60.9,-0.434,18.69,19.72,01a59591o0418o
59591.418138,-22.158,6.187,-5,31,o,0,0.94,89.56751,-39.52638,9760.61,4100.72,3.86,3.45,-63.2,-0.41,18.45,19.6,01a59591o0474o
59591.424625,-19.92,0.739,-39,29,o,0,0.96,89.56751,-39.52638,9747.44,4217.59,3.59,3.2,-67.8,-0.435,18.55,19.61,01a59591o0488o
59595.352735,-20.42,1.43,-25,35,o,0,1.1,89.56751,-39.52638,9646.6,2189.37,3.48,2.84,-66.6,-0.478,18.25,18.98,01a59595o0349o
59595.355962,-20.438,1.454,-24,35,o,0,1.28,89.56751,-39.52638,9668.94,2228.65,3.47,2.93,-59.9,-0.467,18.3,18.98,01a59595o0356o
59595.361992,20.691,1.682,19,32,o,0,1.17,89.56751,-39.52638,9610.15,2150.58,3.25,2.72,-60.8,-0.495,18.33,18.99,01a59595o0369o
59595.372207,19.77,0.777,45,35,o,0,1.19,89.56751,-39.52638,9597.5,2268.24,3.52,2.91,-62.3,-0.454,18.25,19.0,01a59595o0391o
59599.344333,19.582,0.452,53,24,o,0,1.39,89.56751,-39.52638,9649.5,2188.84,3.33,2.73,-59.8,-0.499,18.52,19.38,01a59599o0329o
59599.348021,19.025,0.302,89,27,o,0,1.22,89.56751,-39.52638,9672.13,2227.95,3.33,2.77,-58.7,-0.492,18.51,19.37,01a59599o0337o
59599.354027,20.779,1.654,18,29,o,0,1.03,89.56751,-39.52638,9613.78,2150.15,3.29,2.72,-61.6,-0.492,18.47,19.36,01a59599o0350o
59599.365094,19.39,0.448,64,28,o,0,1.2,89.56751,-39.52638,9601.01,2268.38,3.35,2.81,-58.0,-0.482,18.49,19.33,01a59599o0374o
59601.370799,16.062,0.649,1365,886,o,0,0.29,89.56751,-39.52638,5472.87,41.16,2.75,2.08,-51.8,-0.468,18.91,19.65,02a59601o0273o
59603.36893,18.553,0.103,138,14,o,0,0.88,89.56751,-39.52638,2489.54,6188.81,3.06,2.83,-44.4,-0.437,19.31,21.05,01a59603o0345o
59603.372154,18.27,0.071,179,13,o,0,1.21,89.56751,-39.52638,2511.42,6227.14,3.15,2.83,-42.7,-0.44,19.31,21.05,01a59603o0352o
59603.377712,18.366,0.078,164,13,o,0,1.51,89.56751,-39.52638,2454.16,6152.82,3.12,2.78,-44.0,-0.454,19.32,21.11,01a59603o0364o
59603.389265,18.216,0.075,188,14,o,0,1.37,89.56751,-39.52638,2442.96,6271.39,3.23,2.88,-43.2,-0.437,19.29,21.07,01a59603o0389o
