MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59587.502441,-21.525,1.269,-9,11,c,0,1.24,127.94014,25.9796,9394.36,9316.81,2.66,2.61,-8.7,-0.4,19.66,21.65,02a59587o0669c
59587.505386,22.36,2.75,4,11,c,0,1.2,127.94014,25.9796,9374.7,9277.65,2.68,2.62,-32.3,-0.395,19.67,21.64,02a59587o0675c
59587.511214,-20.904,0.663,-16,10,c,0,1.31,127.94014,25.9796,9432.01,9357.02,2.74,2.65,-45.4,-0.39,19.62,21.64,02a59587o0686c
59587.546451,21.228,1.063,12,12,c,0,1.07,127.94014,25.9796,9445.79,9240.97,2.8,2.72,-18.6,-0.391,19.61,21.61,02a59587o0760c
59589.443617,-20.664,0.695,-20,14,o,0,1.32,127.94014,25.9796,4692.54,1108.8,3.01,2.97,-77.1,-0.455,19.24,20.79,01a59589o0504o
59589.445965,-22.574,4.412,-3,15,o,0,0.82,127.94014,25.9796,4673.06,1068.8,2.95,2.89,85.8,-0.464,19.28,20.83,01a59589o0509o
59589.448737,21.162,1.066,12,13,o,0,1.38,127.94014,25.9796,4734.39,1146.05,2.98,2.96,-72.1,-0.457,19.31,20.86,01a59589o0515o
59589.473147,21.737,1.75,7,13,o,0,0.83,127.94014,25.9796,4762.75,1024.95,2.98,2.94,-57.5,-0.459,19.37,21.14,01a59589o0565o
59591.401928,-20.908,1.134,-16,18,o,0,0.84,127.94014,25.9796,1186.54,1252.94,2.36,2.11,-55.9,-0.475,19.07,20.05,02a59591o0427o
59591.403757,-22.2,3.031,-5,14,o,0,2.11,127.94014,25.9796,1206.52,1292.65,2.45,2.19,-55.7,-0.466,19.11,20.06,02a59591o0431o
59591.406501,-20.134,0.556,-32,18,o,0,0.89,127.94014,25.9796,1148.27,1213.14,2.33,2.1,-57.5,-0.474,19.12,20.05,02a59591o0437o
59591.411554,-20.873,1.16,-16,19,o,0,0.53,127.94014,25.9796,1129.53,1329.77,2.27,2.02,-56.2,-0.483,19.11,20.06,02a59591o0448o
59593.414949,-22.693,6.412,-3,20,o,0,1.21,127.94014,25.9796,4813.99,3056.58,2.82,2.69,-49.1,-0.476,18.84,19.71,01a59593o0478o
59593.41679,22.225,4.077,5,19,o,0,1.12,127.94014,25.9796,4793.76,3017.1,2.83,2.69,-48.5,-0.475,18.83,19.71,01a59593o0482o
59593.433341,23.038,8.0,2,18,o,0,1.68,127.94014,25.9796,4858.68,3090.99,2.73,2.63,-52.3,-0.486,18.88,19.73,01a59593o0515o
59593.451964,-21.519,2.533,-9,23,o,0,0.86,127.94014,25.9796,4886.16,2974.11,2.98,2.89,-46.3,-0.459,18.8,19.75,01a59593o0552o
59594.435008,19.514,0.532,57,30,o,0,0.8,127.94014,25.9796,4824.8,3049.96,2.81,2.74,-47.6,-0.481,18.6,19.28,01a59594o0497o
59594.436855,-21.795,3.972,-7,28,o,0,0.97,127.94014,25.9796,4805.42,3011.1,2.88,2.84,-57.7,-0.473,18.57,19.27,01a59594o0501o
59594.443345,-20.489,1.25,-23,29,o,0,0.98,127.94014,25.9796,4867.91,3086.65,2.85,2.82,-64.9,-0.473,18.48,19.09,01a59594o0515o
59594.468654,-22.017,6.448,-6,36,o,0,0.8,127.94014,25.9796,5661.76,7599.16,3.16,2.79,46.9,-0.412,18.61,19.26,01a59594o0568o
59601.492198,20.175,0.623,31,19,o,0,0.92,127.94014,25.9796,2947.72,1272.24,2.92,2.81,-53.1,-0.477,18.97,20.0,01a59601o0642o
59601.494976,19.397,0.33,63,21,o,0,1.09,127.94014,25.9796,2969.62,1312.3,2.9,2.8,-48.0,-0.482,18.95,19.97,01a59601o0648o
59601.503709,18.968,0.237,94,22,o,0,1.63,127.94014,25.9796,2913.99,1233.12,2.91,2.71,50.3,-0.457,18.73,19.83,01a59601o0666o
59601.517963,19.27,0.289,71,20,o,0,1.11,127.94014,25.9796,2906.58,1353.88,2.96,2.83,-47.6,-0.48,18.91,19.97,01a59601o0696o
59603.48826,19.068,0.145,86,12,o,0,1.32,127.94014,25.9796,5271.37,4784.46,2.46,2.15,39.7,-0.436,19.34,20.43,02a59603o0484o
59603.491123,19.303,0.194,69,13,o,0,1.03,127.94014,25.9796,5252.56,4748.75,2.37,2.02,39.9,-0.443,19.38,20.42,02a59603o0490o
