MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59584.487301,-22.406,3.2,-4,13,o,0,1.18,157.61234,7.17254,7397.74,5347.45,2.95,2.85,-56.1,-0.46,19.32,20.91,01a59584o0598o
59584.498855,21.901,2.258,6,14,o,0,0.89,157.61234,7.17254,7376.06,5303.17,3.03,2.84,-60.7,-0.462,19.33,20.95,01a59584o0623o
59584.501619,22.251,2.875,5,13,o,0,1.21,157.61234,7.17254,7441.15,5381.69,2.91,2.76,-53.2,-0.47,19.34,20.96,01a59584o0629o
59584.50937,-20.865,0.815,-16,13,o,0,1.2,157.61234,7.17254,7457.84,5259.67,3.05,2.83,-61.6,-0.459,19.33,21.01,01a59584o0645o
59586.50717,21.449,1.509,10,14,c,0,0.93,157.61234,7.17254,1315.78,7226.76,2.33,2.16,-42.9,-0.456,19.4,21.37,02a59586o0638c
59586.511762,20.379,0.342,26,9,c,0,1.86,157.61234,7.17254,1339.22,7264.19,2.38,2.21,-44.0,-0.449,19.64,21.66,02a59586o0648c
59586.51453,19.822,0.389,43,17,c,0,1.5,157.61234,7.17254,1278.37,7186.31,2.42,2.28,-43.8,-0.448,19.24,21.27,02a59586o0654c
59586.522759,-22.216,2.314,-5,11,c,0,1.07,157.61234,7.17254,1260.32,7302.05,2.34,2.16,-42.3,-0.46,19.67,21.69,02a59586o0672c
59588.473147,24.546,21.333,1,12,o,0,1.04,157.61234,7.17254,7390.35,5342.58,2.8,2.72,-61.2,-0.476,19.42,20.99,01a59588o0606o
59588.482267,-22.34,3.0,-4,13,o,0,1.06,157.61234,7.17254,7373.25,5299.62,2.74,2.68,-64.6,-0.473,19.45,21.01,01a59588o0625o
59588.490576,-21.653,1.683,-8,13,o,0,0.96,157.61234,7.17254,7436.16,5377.15,2.88,2.86,-82.6,-0.458,19.39,21.02,01a59588o0643o
59588.495202,0.0,21.278,0,11,o,0,1.17,157.61234,7.17254,7455.64,5260.9,2.92,2.85,-62.3,-0.461,19.36,21.04,01a59588o0653o
59591.475961,20.958,1.008,15,15,o,0,1.4,157.61234,7.17254,1324.93,7225.48,2.1,1.97,-35.2,-0.461,19.17,20.05,02a59591o0582o
59591.482702,20.977,0.889,15,13,o,0,1.3,157.61234,7.17254,1336.86,7266.51,2.06,1.92,-35.8,-0.454,19.18,20.08,02a59591o0596o
59591.49025,20.702,0.885,19,17,o,0,1.08,157.61234,7.17254,1282.24,7186.18,2.06,1.93,-31.8,-0.456,19.25,20.12,02a59591o0611o
59591.492079,20.358,0.639,26,17,o,0,0.93,157.61234,7.17254,1261.49,7304.26,2.1,1.95,-40.1,-0.461,19.22,20.12,02a59591o0615o
59592.529203,-20.827,0.963,-17,16,o,0,1.07,157.61234,7.17254,7542.72,7257.68,3.06,2.99,-24.1,-0.445,19.04,20.28,01a59592o0709o
59592.531044,19.63,0.359,51,18,o,0,1.0,157.61234,7.17254,7523.9,7219.87,3.34,3.26,-16.1,-0.424,18.97,20.28,01a59592o0713o
59592.533877,20.239,0.658,29,19,o,0,0.99,157.61234,7.17254,7584.86,7296.13,3.36,3.21,-19.0,-0.424,18.96,20.29,01a59592o0719o
59592.539409,21.19,1.197,12,14,o,0,1.34,157.61234,7.17254,7604.66,7177.73,2.97,2.9,-72.5,-0.45,19.09,20.33,01a59592o0731o
59593.490165,-20.142,0.699,-32,22,o,0,0.99,157.61234,7.17254,7526.59,7264.38,3.04,3.0,71.7,-0.442,18.94,19.98,01a59593o0632o
59593.492008,-19.96,0.505,-38,19,o,0,0.97,157.61234,7.17254,7506.67,7225.45,2.91,2.85,83.1,-0.461,18.99,20.0,01a59593o0636o
59593.504059,22.18,4.174,5,20,o,0,0.88,157.61234,7.17254,7573.67,7300.53,3.07,2.99,64.2,-0.446,18.96,20.04,01a59593o0660o
59593.522785,-20.191,0.614,-30,19,o,0,0.78,157.61234,7.17254,7597.12,7175.48,2.93,2.91,-30.6,-0.457,19.04,20.11,01a59593o0699o
59596.468756,21.672,5.067,8,40,o,0,1.42,157.61234,7.17254,7522.58,7270.15,2.72,2.65,-68.7,-0.492,18.56,19.09,01a59596o0597o
59596.471981,22.235,9.222,5,43,o,0,0.96,157.61234,7.17254,7504.16,7231.3,2.71,2.64,-70.6,-0.49,18.56,19.09,01a59596o0604o
59596.474742,20.085,1.258,34,42,o,0,1.1,157.61234,7.17254,7564.18,7308.97,2.77,2.7,42.7,-0.473,18.54,19.11,01a59596o0610o
59596.487093,20.246,1.425,29,41,o,0,0.69,157.61234,7.17254,7587.39,7185.62,2.92,2.76,44.7,-0.461,18.57,19.18,01a59596o0636o
59597.427975,19.609,1.682,52,88,o,0,0.86,157.61234,7.17254,7509.49,7276.62,2.95,2.81,-67.8,-0.517,18.15,18.61,01a59597o0496o
59597.433978,20.823,4.43,17,75,o,0,1.17,157.61234,7.17254,7493.0,7236.68,3.1,2.99,79.0,-0.465,18.16,18.64,01a59597o0509o
