MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59586.367056,-22.352,2.379,-4,10,c,0,2.04,80.90836,-12.99145,4090.02,4933.69,2.41,2.31,39.0,-0.416,19.64,21.75,02a59586o0339c
59586.37074,-21.128,0.7,-13,9,c,0,2.37,80.90836,-12.99145,4070.96,4895.28,2.43,2.28,39.4,-0.414,19.64,21.74,02a59586o0347c
59586.376716,-20.325,0.356,-27,10,c,0,2.96,80.90836,-12.99145,4128.83,4973.74,2.41,2.27,41.3,-0.414,19.63,21.76,02a59586o0360c
59586.389263,-20.463,0.377,-24,9,c,0,2.72,80.90836,-12.99145,4150.17,4859.72,2.4,2.28,45.4,-0.417,19.68,21.78,02a59586o0387c
59588.311712,20.674,0.789,20,15,o,0,2.58,80.90836,-12.99145,4505.49,6984.69,2.75,2.56,-40.2,-0.484,19.25,20.52,01a59588o0265o
59588.314499,-21.002,0.927,-14,13,o,0,2.87,80.90836,-12.99145,4486.31,6945.7,2.76,2.63,-37.5,-0.481,19.24,20.52,01a59588o0271o
59588.347025,20.501,0.673,23,15,o,0,1.7,80.90836,-12.99145,5934.37,3554.05,3.14,2.92,-56.0,-0.451,19.15,20.61,01a59588o0339o
59588.3762,20.72,0.793,19,15,o,0,1.76,80.90836,-12.99145,5936.64,3670.97,3.15,3.01,-31.4,-0.421,19.21,20.7,01a59588o0400o
59591.352711,21.277,1.759,11,20,o,0,1.65,80.90836,-12.99145,5992.28,3589.58,2.91,2.87,61.7,-0.441,18.92,19.92,01a59591o0334o
59591.387281,-21.225,1.438,-12,17,o,0,1.84,80.90836,-12.99145,6031.11,3631.57,2.82,2.78,-86.2,-0.452,18.96,19.94,01a59591o0408o
59591.390506,-19.822,0.397,-43,17,o,0,1.96,80.90836,-12.99145,5975.03,3556.25,2.9,2.74,-52.5,-0.459,18.95,19.93,01a59591o0415o
59591.398334,-21.64,2.419,-8,19,o,0,1.44,80.90836,-12.99145,5961.78,3672.49,2.88,2.75,-50.2,-0.46,18.94,19.9,01a59591o0432o
59592.353811,20.594,0.991,21,21,o,0,1.73,80.90836,-12.99145,5853.63,1652.63,2.98,2.82,-39.9,-0.47,18.68,19.55,01a59592o0336o
59592.35935,19.132,0.282,81,23,o,0,1.86,80.90836,-12.99145,5877.44,1691.94,3.25,3.07,-56.6,-0.435,18.6,19.53,01a59592o0348o
59592.36258,19.94,0.619,38,24,o,0,1.53,80.90836,-12.99145,5820.17,1615.51,3.1,2.96,-56.4,-0.452,18.63,19.54,01a59592o0355o
59592.398018,21.096,2.0,13,26,o,0,1.27,80.90836,-12.99145,5823.65,1737.74,3.14,2.99,-54.7,-0.458,18.61,19.47,01a59592o0431o
59595.368463,-21.691,3.244,-8,25,o,0,1.63,80.90836,-12.99145,5874.82,1655.54,2.85,2.77,-48.3,-0.52,18.51,19.13,01a59595o0383o
59595.371287,20.064,0.928,34,32,o,0,1.02,80.90836,-12.99145,5896.94,1694.5,2.87,2.78,60.6,-0.46,18.5,19.12,01a59595o0389o
59595.377273,-23.841,28.5,-1,30,o,0,1.03,80.90836,-12.99145,5840.36,1619.28,2.73,2.63,-43.0,-0.495,18.56,19.12,01a59595o0402o
59595.387412,-21.261,2.277,-11,26,o,0,1.52,80.90836,-12.99145,5829.02,1737.39,2.71,2.63,-47.8,-0.494,18.54,19.1,01a59595o0424o
59596.369675,-21.513,3.245,-9,29,o,0,1.41,80.90836,-12.99145,5870.01,1656.3,2.84,2.7,-39.9,-0.478,18.45,19.03,01a59596o0385o
59596.372898,19.949,0.751,38,29,o,0,1.62,80.90836,-12.99145,5892.38,1695.73,2.8,2.68,-42.2,-0.489,18.45,19.01,01a59596o0392o
59596.37843,-20.78,1.592,-18,28,o,0,1.51,80.90836,-12.99145,5835.95,1619.4,2.79,2.68,-45.0,-0.489,18.44,19.0,01a59596o0404o
59596.394263,20.591,1.312,21,28,o,0,1.41,80.90836,-12.99145,5827.58,1737.66,2.86,2.72,-54.4,-0.483,18.45,19.0,01a59596o0438o
59599.343874,-19.75,0.413,-46,19,o,0,1.54,80.90836,-12.99145,5868.48,1653.97,2.88,2.69,-44.3,-0.492,18.84,19.82,01a59599o0328o
