MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59586.5508,-21.455,1.1,-10,10,c,0,1.17,176.20494,4.60601,1367.18,2020.91,2.35,2.23,-63.5,-0.442,19.64,21.6,02a59586o0732c
59586.556185,20.986,0.583,15,8,c,0,1.68,176.20494,4.60601,1385.02,2062.35,2.34,2.25,-68.0,-0.442,19.64,21.6,02a59586o0743c
59586.558014,-20.376,0.39,-26,10,c,0,1.12,176.20494,4.60601,1326.03,1982.66,2.42,2.27,-63.1,-0.441,19.63,21.62,02a59586o0747c
59586.563995,23.208,6.545,2,12,c,0,1.3,176.20494,4.60601,1307.5,2098.71,2.43,2.31,-69.0,-0.433,19.46,21.44,02a59586o0760c
59588.423176,-23.192,11.571,-2,22,o,0,1.51,176.20494,4.60601,2079.67,435.95,3.31,3.1,-43.2,-0.481,18.97,20.16,01a59588o0499o
59588.425949,-19.886,0.459,-40,18,o,0,1.52,176.20494,4.60601,2055.91,395.1,3.29,3.18,-44.2,-0.479,18.98,20.26,01a59588o0505o
59588.435219,-21.674,2.321,-8,18,o,0,1.62,176.20494,4.60601,2113.82,473.12,3.42,3.26,-64.9,-0.446,19.02,20.52,01a59588o0525o
59588.452718,23.363,10.286,2,17,o,0,1.33,176.20494,4.60601,2129.41,351.22,3.12,2.92,-56.8,-0.505,19.23,20.68,01a59588o0562o
59588.541548,-18.376,1.591,-162,258,o,0,0.29,176.20494,4.60601,7430.88,10515.13,2.87,2.66,52.2,-0.473,19.49,21.1,01a59588o0751o
59588.555927,21.072,1.051,14,14,o,0,1.17,176.20494,4.60601,7515.63,10474.8,3.28,3.1,55.2,-0.437,19.32,21.12,01a59588o0782o
59590.649208,20.562,0.491,22,11,c,0,1.52,176.20494,4.60601,9203.36,8544.52,2.83,2.7,32.1,-0.393,19.59,21.57,02a59590o0380c
59590.658361,19.807,0.312,43,14,c,0,1.3,176.20494,4.60601,9184.51,8507.32,3.11,3.02,46.3,-0.38,19.45,21.53,02a59590o0399c
59590.663621,21.273,1.185,11,13,c,0,1.33,176.20494,4.60601,9241.88,8580.82,2.97,2.85,39.5,-0.384,19.43,21.35,02a59590o0410c
59590.669083,21.841,2.167,7,14,c,0,1.24,176.20494,4.60601,9261.11,8465.23,2.76,2.67,27.8,-0.396,19.29,20.71,02a59590o0421c
59592.567475,20.305,0.545,27,15,o,0,1.59,176.20494,4.60601,2231.47,2372.04,3.01,2.85,-50.3,-0.484,19.28,20.72,01a59592o0788o
59592.570265,19.024,0.175,89,16,o,0,1.44,176.20494,4.60601,2211.96,2332.81,3.02,2.89,-54.8,-0.487,19.27,20.8,01a59592o0794o
59592.573027,22.081,2.769,5,15,o,0,1.2,176.20494,4.60601,2273.13,2409.25,3.0,2.86,-47.6,-0.485,19.3,20.85,01a59592o0800o
59592.580423,20.269,0.468,28,13,o,0,1.23,176.20494,4.60601,2293.81,2291.31,2.98,2.83,-51.3,-0.484,19.35,20.94,01a59592o0816o
59593.535385,19.147,0.248,80,20,o,0,1.22,176.20494,4.60601,2220.56,2371.0,2.99,2.78,-49.9,-0.484,19.05,20.12,01a59593o0723o
59593.53769,20.7,1.035,19,20,o,0,1.06,176.20494,4.60601,2201.15,2332.52,3.16,2.98,-52.0,-0.467,18.94,20.14,01a59593o0728o
59593.561036,19.216,0.22,75,16,o,0,1.83,176.20494,4.60601,2271.34,2406.06,3.17,3.04,22.4,-0.428,18.96,20.26,01a59593o0774o
59593.563801,19.778,0.352,44,16,o,0,1.59,176.20494,4.60601,2287.65,2287.67,3.09,2.9,-54.2,-0.478,19.06,20.28,01a59593o0780o
59596.492166,18.941,0.29,96,28,o,0,1.12,176.20494,4.60601,2212.33,2379.02,2.89,2.69,-51.1,-0.511,18.61,19.27,01a59596o0647o
59596.494008,18.752,0.252,115,29,o,0,0.93,176.20494,4.60601,2192.7,2340.27,2.92,2.75,-47.5,-0.509,18.61,19.28,01a59596o0651o
59596.499547,19.306,0.331,69,23,o,0,1.68,176.20494,4.60601,2254.82,2418.1,2.78,2.63,-47.2,-0.52,18.6,19.31,01a59596o0663o
59596.505076,18.439,0.19,153,29,o,0,0.89,176.20494,4.60601,2273.78,2300.25,2.89,2.75,-48.2,-0.504,18.63,19.33,01a59596o0675o
59597.449661,18.893,0.372,101,37,o,0,1.33,176.20494,4.60601,2206.31,2380.66,3.02,2.83,-53.0,-0.49,18.24,18.78,01a59597o0543o
59597.452449,19.724,0.798,47,37,o,0,1.07,176.20494,4.60601,2186.43,2341.57,2.93,2.8,-46.3,-0.501,18.31,18.8,01a59597o0549o
59597.459102,18.752,0.323,115,37,o,0,0.94,176.20494,4.60601,2249.81,2418.74,2.93,2.72,-47.8,-0.51,18.38,18.85,01a59597o0562o
59597.466967,-21.972,6.179,-6,36,o,0,1.15,176.20494,4.60601,2266.15,2298.88,2.99,2.83,-45.6,-0.505,18.33,18.89,01a59597o0579o
59604.536064,18.937,0.161,97,16,o,0,1.66,176.20494,4.60601,7327.72,8582.42,2.9,2.88,18.7,-0.449,19.19,20.52,01a59604o0729o
59604.537905,19.259,0.204,72,15,o,0,1.47,176.20494,4.60601,7308.39,8542.78,2.89,2.84,17.6,-0.445,19.21,20.53,01a59604o0733o
59604.555819,19.628,0.302,51,15,o,0,1.5,176.20494,4.60601,7377.19,8616.44,2.77,2.72,61.7,-0.463,19.25,20.54,01a59604o0771o
59604.55861,18.933,0.159,97,15,o,0,1.7,176.20494,4.60601,7395.83,8498.73,2.75,2.71,57.2,-0.465,19.26,20.54,01a59604o0777o
59605.544437,18.997,0.221,92,20,o,0,1.36,176.20494,4.60601,7328.78,8577.06,2.91,2.82,44.6,-0.45,18.91,20.24,01a59605o0738o
59605.547664,19.29,0.195,70,14,o,0,1.54,176.20494,4.60601,7312.26,8541.18,2.91,2.84,42.3,-0.444,19.3,20.77,01a59605o0745o
59605.550912,18.913,0.142,99,14,o,0,1.68,176.20494,4.60601,7373.34,8617.66,2.87,2.83,56.2,-0.451,19.3,20.77,01a59605o0752o
59605.558315,18.669,0.113,124,14,o,0,1.94,176.20494,4.60601,7393.11,8497.76,2.87,2.82,50.3,-0.451,19.33,20.77,01a59605o0768o
59606.590486,18.82,0.111,108,12,o,0,1.92,176.20494,4.60601,6246.43,4064.46,2.39,2.01,43.2,-0.433,19.45,20.61,02a59606o0840o
59606.593724,19.203,0.165,76,12,o,0,1.68,176.20494,4.60601,6229.54,4026.44,2.4,2.0,44.2,-0.434,19.44,20.62,02a59606o0847o
59606.628421,19.72,0.261,47,12,o,0,1.62,176.20494,4.60601,6282.05,4101.93,2.21,1.97,44.9,-0.438,19.55,20.66,02a59606o0922o
59606.645194,19.006,0.143,91,13,o,0,1.55,176.20494,4.60601,6301.71,3986.55,2.34,2.0,42.5,-0.438,19.46,20.68,02a59606o0957o
59607.543892,19.358,0.141,66,9,o,0,2.88,176.20494,4.60601,4337.14,6498.45,2.1,1.84,35.1,-0.439,19.63,20.95,02a59607o0749o
59607.54709,19.055,0.116,87,10,o,0,3.27,176.20494,4.60601,4356.18,6535.65,2.15,1.84,31.8,-0.437,19.66,20.94,02a59607o0756o
59607.58214,19.481,0.193,59,11,o,0,2.02,176.20494,4.60601,4300.79,6460.1,2.19,1.8,33.3,-0.436,19.63,20.86,02a59607o0828o
59607.599099,19.177,0.147,78,11,o,0,2.48,176.20494,4.60601,6307.62,3985.97,2.38,1.97,44.1,-0.438,19.55,20.82,02a59607o0864o
59608.53138,19.199,0.144,76,11,o,0,2.04,176.20494,4.60601,2363.61,4302.96,3.25,2.96,-49.8,-0.44,19.32,21.04,01a59608o0713o
59608.533229,19.086,0.172,84,14,o,0,1.33,176.20494,4.60601,2344.79,4265.49,3.22,2.9,-50.9,-0.441,19.34,21.03,01a59608o0717o
59608.538758,19.712,0.266,47,13,o,0,1.82,176.20494,4.60601,2405.88,4341.01,3.42,3.11,-51.6,-0.427,19.24,21.02,01a59608o0729o
59608.545283,19.404,0.21,63,13,o,0,1.71,176.20494,4.60601,2424.97,4223.62,3.34,3.09,-44.6,-0.431,19.28,21.04,01a59608o0743o
59610.534248,19.355,0.167,66,11,o,0,4.88,176.20494,4.60601,2479.51,8533.18,1.97,1.88,-35.4,-0.45,19.67,20.98,02a59610o0734o
59610.536076,19.617,0.256,52,13,o,0,2.36,176.20494,4.60601,2498.61,8573.04,1.97,1.86,-42.2,-0.453,19.69,20.97,02a59610o0738o
59610.538818,19.981,0.298,37,11,o,0,2.34,176.20494,4.60601,2440.95,8495.15,1.97,1.88,-33.6,-0.454,19.64,20.99,02a59610o0744o
59610.544758,19.477,0.178,59,10,o,0,3.54,176.20494,4.60601,2420.09,8609.71,2.02,1.86,-40.5,-0.455,19.66,21.01,02a59610o0757o
59612.57692,19.213,0.122,75,9,c,0,1.89,176.20494,4.60601,8112.46,2028.32,2.55,2.37,-71.1,-0.402,19.65,21.62,02a59612o0803c
59612.582083,19.723,0.206,47,10,c,0,1.48,176.20494,4.60601,8094.29,1987.39,2.63,2.49,-73.2,-0.397,19.61,21.63,02a59612o0814c
59612.586275,19.143,0.105,80,8,c,0,2.51,176.20494,4.60601,8152.28,2067.83,2.52,2.42,-89.5,-0.399,19.64,21.64,02a59612o0823c
59612.596438,19.246,0.134,73,10,c,0,1.86,176.20494,4.60601,8174.09,1951.67,2.51,2.33,-67.7,-0.409,19.69,21.64,02a59612o0845c
59614.459376,19.299,0.2,69,14,o,0,1.67,176.20494,4.60601,2339.85,4311.59,2.89,2.7,-51.2,-0.477,19.32,20.9,01a59614o0558o
59614.494157,19.309,0.181,69,12,o,0,1.51,176.20494,4.60601,2331.36,4264.32,2.72,2.54,-40.8,-0.495,19.45,21.01,01a59614o0629o
