MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59589.613545,-22.573,2.792,-3,10,c,0,1.15,172.72294,-16.74761,146.36,7794.44,2.37,2.28,-34.6,-0.435,19.56,21.59,02a59589o0714c
59589.616749,22.641,2.636,3,8,c,0,1.8,172.72294,-16.74761,127.25,7756.18,2.4,2.32,-24.5,-0.426,19.54,21.58,02a59589o0721c
59589.623171,21.967,1.684,6,10,c,0,0.86,172.72294,-16.74761,186.34,7832.09,2.5,2.4,-17.1,-0.431,19.49,21.56,02a59589o0735c
59589.626831,-22.938,4.25,-2,10,c,0,1.3,172.72294,-16.74761,10313.1,7818.14,2.9,2.74,30.4,-0.407,19.56,21.54,02a59589o0743c
59589.639962,21.519,1.254,9,11,c,0,1.05,172.72294,-16.74761,209.66,7714.3,2.45,2.38,-0.5,-0.423,19.51,21.5,02a59589o0771c
59589.642249,-22.703,4.067,-3,12,c,0,0.84,172.72294,-16.74761,10294.22,7778.14,2.97,2.65,30.2,-0.407,19.48,21.48,02a59589o0776c
59589.664586,24.377,20.0,1,13,c,0,1.04,172.72294,-16.74761,10353.37,7856.03,3.05,2.75,30.1,-0.403,19.31,21.04,02a59589o0824c
59589.670547,20.688,0.935,19,18,c,0,1.08,172.72294,-16.74761,10373.72,7743.33,3.05,2.72,30.7,-0.387,18.95,20.14,02a59589o0837c
59591.489817,21.738,3.273,7,24,o,0,0.97,172.72294,-16.74761,8508.39,9838.51,3.18,2.97,48.5,-0.429,18.75,19.78,01a59591o0628o
59591.500806,-22.788,7.615,-3,21,o,0,0.99,172.72294,-16.74761,8493.57,9795.92,3.12,2.91,52.0,-0.439,18.87,19.9,01a59591o0651o
59591.510977,23.047,8.4,2,18,o,0,1.15,172.72294,-16.74761,8556.01,9870.69,3.13,3.0,55.4,-0.44,18.91,20.03,01a59591o0673o
59591.513791,19.923,0.516,39,20,o,0,1.06,172.72294,-16.74761,8575.2,9752.66,3.11,2.95,47.6,-0.439,18.96,20.06,01a59591o0679o
59592.563783,-20.128,0.549,-32,18,o,0,0.8,172.72294,-16.74761,3647.72,1652.81,3.11,3.05,-41.7,-0.46,19.11,20.53,01a59592o0780o
59592.565632,-22.013,2.44,-6,14,o,0,1.38,172.72294,-16.74761,3628.04,1613.71,3.13,3.06,-53.2,-0.464,19.15,20.55,01a59592o0784o
59592.568421,-23.556,9.833,-1,14,o,0,1.24,172.72294,-16.74761,3687.83,1690.3,3.16,3.07,-57.7,-0.46,19.18,20.66,01a59592o0790o
59592.573488,-22.58,3.933,-3,13,o,0,1.1,172.72294,-16.74761,3705.84,1572.62,3.14,3.07,-65.9,-0.455,19.25,20.85,01a59592o0801o
59595.562928,-21.723,3.405,-7,25,o,0,0.88,172.72294,-16.74761,3657.21,1652.89,2.93,2.84,-55.5,-0.482,18.78,19.6,01a59595o0801o
59595.564769,24.555,38.667,0,21,o,0,1.24,172.72294,-16.74761,3637.11,1613.58,2.76,2.75,58.9,-0.483,18.8,19.6,01a59595o0805o
59595.568939,20.175,0.669,31,21,o,0,1.31,172.72294,-16.74761,3698.28,1690.84,2.71,2.7,38.8,-0.488,18.8,19.61,01a59595o0814o
59595.574942,-25.72,139.0,0,26,o,0,0.74,172.72294,-16.74761,3716.9,1573.03,2.82,2.73,-52.9,-0.494,18.8,19.62,01a59595o0827o
59596.496774,-19.422,0.396,-62,24,o,0,1.31,172.72294,-16.74761,3636.5,1661.88,2.97,2.83,-46.8,-0.478,18.53,19.28,01a59596o0657o
59596.49862,-21.069,2.191,-14,30,o,0,0.86,172.72294,-16.74761,3617.02,1623.07,2.92,2.76,-48.4,-0.493,18.58,19.29,01a59596o0661o
59596.502312,20.754,1.475,18,27,o,0,0.84,172.72294,-16.74761,3675.86,1699.01,2.77,2.67,-45.0,-0.499,18.63,19.3,01a59596o0669o
59596.512384,-21.473,3.405,-9,32,o,0,1.05,172.72294,-16.74761,3699.05,1582.71,3.08,3.01,77.9,-0.473,18.48,19.34,01a59596o0690o
