MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59589.438764,20.38,0.602,26,15,o,0,1.07,131.45518,10.38132,6738.88,1379.14,3.02,2.94,-50.9,-0.459,19.24,20.76,01a59589o0494o
59589.440606,-21.067,1.075,-14,15,o,0,1.23,131.45518,10.38132,6718.77,1340.07,2.98,2.91,-34.3,-0.46,19.29,20.79,01a59589o0498o
59589.466978,24.071,13.5,1,12,o,0,1.15,131.45518,10.38132,6789.45,1410.5,3.06,3.01,-52.8,-0.451,19.37,21.16,01a59589o0552o
59589.469743,21.288,1.173,11,13,o,0,1.14,131.45518,10.38132,6808.61,1291.69,3.05,2.99,-70.9,-0.458,19.37,21.15,01a59589o0558o
59590.524001,-21.824,1.806,-7,12,c,0,0.72,131.45518,10.38132,8587.14,9535.93,2.88,2.67,35.4,-0.389,19.58,21.7,02a59590o0172c
59590.532214,-21.312,1.067,-11,12,c,0,0.91,131.45518,10.38132,8644.28,9619.89,2.77,2.63,33.1,-0.392,19.62,21.71,02a59590o0189c
59590.535117,21.593,1.283,8,11,c,0,1.17,131.45518,10.38132,8663.59,9503.39,2.77,2.65,36.6,-0.395,19.67,21.68,02a59590o0195c
59591.449305,21.571,1.712,8,15,o,0,1.2,131.45518,10.38132,1969.81,986.05,2.25,2.05,-61.1,-0.468,19.15,20.08,02a59591o0527o
59591.451135,-22.528,4.074,-4,14,o,0,1.25,131.45518,10.38132,1988.59,1025.88,2.26,2.05,-58.0,-0.472,19.16,20.09,02a59591o0531o
59591.454682,23.861,15.375,1,16,o,0,1.03,131.45518,10.38132,1931.73,946.64,2.26,2.05,-55.4,-0.463,19.15,20.12,02a59591o0538o
59591.460235,23.192,8.538,2,16,o,0,1.33,131.45518,10.38132,1913.49,1067.54,2.41,2.21,-54.2,-0.461,19.1,20.14,02a59591o0550o
59592.378484,21.606,2.596,8,22,o,0,1.1,131.45518,10.38132,6842.79,3336.59,2.78,2.61,-48.2,-0.486,18.86,19.71,01a59592o0389o
59592.388633,-21.762,2.935,-7,21,o,0,1.39,131.45518,10.38132,6826.62,3298.81,3.23,3.07,-37.6,-0.451,18.69,19.76,01a59592o0411o
59592.391396,20.522,0.978,22,22,o,0,1.3,131.45518,10.38132,6886.24,3373.01,3.39,3.13,-51.4,-0.438,18.72,19.79,01a59592o0417o
59592.420017,23.125,8.636,2,18,o,0,1.32,131.45518,10.38132,6913.59,3248.97,2.86,2.73,-55.1,-0.472,18.95,19.95,01a59592o0478o
59593.38016,23.684,16.571,1,20,o,0,1.18,131.45518,10.38132,6845.4,3332.71,2.76,2.61,-51.4,-0.488,18.82,19.62,01a59593o0407o
59593.404861,24.036,22.2,1,20,o,0,0.97,131.45518,10.38132,6832.06,3288.63,2.81,2.62,-54.7,-0.488,18.86,19.73,01a59593o0457o
59593.406703,21.209,1.554,12,18,o,0,1.3,131.45518,10.38132,6892.38,3365.51,2.87,2.69,-54.8,-0.478,18.84,19.74,01a59593o0461o
59593.41085,20.047,0.631,35,22,o,0,0.85,131.45518,10.38132,6911.81,3250.14,2.89,2.69,-56.1,-0.481,18.86,19.76,01a59593o0470o
59600.535222,24.811,67.5,0,29,o,0,0.78,131.45518,10.38132,3761.93,969.22,3.09,3.02,-61.5,-0.444,18.58,19.47,01a59600o0740o
59600.539404,-21.315,2.537,-11,27,o,0,0.98,131.45518,10.38132,3784.98,1007.88,3.02,2.85,-66.4,-0.45,18.65,19.45,01a59600o0749o
59600.547327,20.626,1.239,20,25,o,0,1.37,131.45518,10.38132,3727.69,932.52,2.86,2.74,-42.2,-0.473,18.65,19.42,01a59600o0766o
59600.557496,-20.658,1.286,-20,26,o,0,1.02,131.45518,10.38132,3718.58,1051.93,2.87,2.74,-41.9,-0.477,18.61,19.37,01a59600o0788o
59601.510225,-20.699,0.869,-19,17,o,0,1.66,131.45518,10.38132,3745.15,972.59,2.89,2.82,-62.4,-0.467,18.94,19.93,01a59601o0680o
59601.534364,-22.074,3.708,-5,20,o,0,1.51,131.45518,10.38132,3779.87,1013.12,3.2,3.06,-64.1,-0.432,18.8,19.91,01a59601o0730o
