MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59593.484427,20.244,0.737,29,21,o,0,0.75,163.31063,9.13932,6646.55,910.08,2.86,2.77,-54.7,-0.493,18.96,19.94,01a59593o0620o
59593.491548,-21.138,1.478,-13,19,o,0,1.21,163.31063,9.13932,6627.09,872.16,2.85,2.73,-54.9,-0.503,18.99,19.97,01a59593o0635o
59593.501743,-19.817,0.454,-43,20,o,0,1.29,163.31063,9.13932,6691.73,947.8,3.15,3.0,-56.4,-0.463,18.91,20.03,01a59593o0655o
59593.5059,-21.786,2.806,-7,20,o,0,1.21,163.31063,9.13932,6710.25,829.37,3.21,3.03,-60.8,-0.462,18.9,20.04,01a59593o0664o
59596.478427,-20.869,1.688,-16,28,o,0,1.45,163.31063,9.13932,6648.07,915.92,2.98,2.83,-52.1,-0.494,18.5,19.15,01a59596o0618o
59596.481664,20.014,0.72,36,26,o,0,1.54,163.31063,9.13932,6628.69,875.29,2.64,2.51,-49.1,-0.547,18.58,19.16,01a59596o0625o
59596.488476,20.201,0.79,30,24,o,0,1.4,163.31063,9.13932,6690.71,950.09,2.69,2.57,-60.5,-0.517,18.56,19.19,01a59596o0639o
59596.493548,20.388,1.088,25,28,o,0,1.2,163.31063,9.13932,6710.11,831.78,2.83,2.69,-50.9,-0.508,18.59,19.24,01a59596o0650o
59597.428434,19.524,0.675,56,38,o,0,1.23,163.31063,9.13932,6638.4,921.5,2.87,2.71,-55.4,-0.52,18.21,18.61,01a59597o0497o
59597.433516,-20.037,1.241,-35,44,o,0,0.83,163.31063,9.13932,6619.95,880.4,2.94,2.78,-56.5,-0.5,18.22,18.64,01a59597o0508o
59597.43536,-25.041,93.5,0,33,o,0,1.28,163.31063,9.13932,6680.51,960.04,2.7,2.56,-49.0,-0.531,18.28,18.65,01a59597o0512o
59597.444124,-19.813,0.881,-43,38,o,0,1.08,163.31063,9.13932,6700.44,840.8,2.83,2.69,-58.6,-0.52,18.26,18.69,01a59597o0531o
59603.540947,19.979,0.351,37,13,o,0,1.23,163.31063,9.13932,561.55,2664.34,2.2,2.17,-15.1,-0.456,19.21,20.21,02a59603o0594o
59603.555522,-21.656,2.094,-8,16,o,0,0.73,163.31063,9.13932,541.36,2626.58,2.25,2.17,-34.5,-0.444,19.24,20.25,02a59603o0624o
59603.563026,21.235,1.33,12,16,o,0,0.76,163.31063,9.13932,601.12,2706.94,2.26,2.12,-19.0,-0.438,19.26,20.23,02a59603o0639o
59603.567459,-21.679,1.831,-8,14,o,0,1.21,163.31063,9.13932,621.73,2590.47,2.19,2.09,-38.0,-0.466,19.28,20.24,02a59603o0648o
59604.457329,21.077,1.135,14,15,o,0,0.88,163.31063,9.13932,6540.79,7215.34,2.78,2.76,75.6,-0.464,19.23,20.55,01a59604o0563o
59604.487508,-20.814,0.792,-17,14,o,0,1.01,163.31063,9.13932,6532.94,7166.73,2.77,2.75,-63.8,-0.463,19.24,20.58,01a59604o0625o
59604.490732,-21.915,2.118,-6,13,o,0,1.19,163.31063,9.13932,6594.1,7243.75,2.82,2.8,-39.8,-0.454,19.25,20.57,01a59604o0632o
59604.496288,-19.982,0.385,-37,14,o,0,1.15,163.31063,9.13932,6614.15,7126.6,2.91,2.88,-39.0,-0.442,19.21,20.58,01a59604o0644o
59605.509342,19.773,0.335,45,15,o,0,0.94,163.31063,9.13932,6562.69,7203.03,3.06,2.87,15.3,-0.425,19.28,20.83,01a59605o0664o
59605.513029,-20.419,0.445,-25,11,o,0,1.35,163.31063,9.13932,6543.86,7162.94,2.89,2.86,14.0,-0.445,19.33,20.83,01a59605o0672o
59605.515805,24.938,33.0,0,13,o,0,1.1,163.31063,9.13932,6604.74,7238.94,2.91,2.87,25.5,-0.441,19.36,20.83,01a59605o0678o
59605.523173,21.725,1.537,7,11,o,0,1.21,163.31063,9.13932,6624.65,7119.98,2.81,2.74,52.3,-0.458,19.38,20.86,01a59605o0694o
59606.542402,22.792,3.0,3,8,o,0,1.5,163.31063,9.13932,559.03,2669.96,2.0,1.92,-28.4,-0.465,19.55,20.7,02a59606o0737o
59606.546569,20.995,0.732,14,11,o,0,1.28,163.31063,9.13932,540.6,2631.17,2.04,1.97,-40.2,-0.455,19.48,20.69,02a59606o0746o
59606.551917,21.217,0.913,12,11,o,0,1.18,163.31063,9.13932,601.37,2708.86,2.17,2.09,-51.6,-0.441,19.47,20.69,02a59606o0757o
59606.587165,20.073,0.35,34,12,o,0,1.17,163.31063,9.13932,616.37,2589.24,2.03,1.92,-52.3,-0.47,19.5,20.61,02a59606o0833o
59607.486266,19.87,0.262,41,11,o,0,1.17,163.31063,9.13932,10025.5,7893.94,2.42,2.06,-58.6,-0.44,19.66,21.04,02a59607o0625o
59607.489466,22.228,2.447,5,11,o,0,1.11,163.31063,9.13932,10046.76,7933.14,2.34,2.07,-58.0,-0.445,19.68,21.05,02a59607o0632o
59607.494965,20.593,0.583,21,12,o,0,0.79,163.31063,9.13932,9988.13,7855.14,2.26,2.01,-58.3,-0.455,19.69,21.03,02a59607o0644o
59607.500447,20.494,0.505,23,12,o,0,0.95,163.31063,9.13932,9968.05,7971.84,2.38,2.02,-59.8,-0.445,19.71,21.05,02a59607o0656o
59608.559586,19.722,0.271,47,13,o,0,1.22,163.31063,9.13932,3763.83,7752.51,3.21,2.98,-47.2,-0.442,19.28,20.98,01a59608o0773o
59608.594999,20.101,0.347,33,12,o,0,1.29,163.31063,9.13932,3806.75,7795.7,2.82,2.63,-47.2,-0.467,19.42,20.99,01a59608o0848o
59608.602047,21.256,1.264,11,14,o,0,0.81,163.31063,9.13932,3748.64,7718.63,3.18,2.89,-44.0,-0.459,19.31,20.97,01a59608o0863o
59608.606725,21.607,1.357,8,11,o,0,1.41,163.31063,9.13932,3735.24,7836.13,3.07,2.77,-48.2,-0.456,19.33,20.95,01a59608o0873o
59610.492107,19.748,0.226,46,10,o,0,1.08,163.31063,9.13932,8152.09,9943.85,2.24,2.02,-59.7,-0.459,19.61,20.94,02a59610o0642o
59610.493935,19.657,0.195,50,10,o,0,1.25,163.31063,9.13932,8171.58,9983.45,2.25,2.05,-59.1,-0.443,19.62,20.94,02a59610o0646o
59610.496677,20.381,0.42,26,11,o,0,1.33,163.31063,9.13932,8113.13,9904.59,2.22,2.13,-62.5,-0.456,19.61,20.95,02a59610o0652o
59610.502164,19.436,0.17,61,10,o,0,1.38,163.31063,9.13932,8093.98,10025.0,2.29,1.97,-58.6,-0.454,19.63,20.98,02a59610o0664o
59612.519731,19.232,0.147,74,11,c,0,0.85,163.31063,9.13932,2441.17,619.37,2.44,2.25,-71.4,-0.441,19.71,21.59,02a59612o0679c
59612.529495,19.049,0.117,87,10,c,0,0.73,163.31063,9.13932,2420.65,578.47,2.47,2.25,-65.5,-0.442,19.7,21.58,02a59612o0700c
59612.533164,19.404,0.166,63,10,c,0,0.79,163.31063,9.13932,2480.43,658.22,2.46,2.25,-67.4,-0.437,19.73,21.57,02a59612o0708c
59612.544638,19.22,0.151,74,11,c,0,1.03,163.31063,9.13932,2500.62,541.16,2.7,2.44,-64.0,-0.424,19.61,21.59,02a59612o0733c
59614.456142,19.143,0.154,80,12,o,0,1.09,163.31063,9.13932,6770.76,2849.69,2.77,2.66,-59.6,-0.474,19.42,20.97,01a59614o0551o
59614.4603,18.951,0.146,95,14,o,0,0.9,163.31063,9.13932,6752.51,2810.95,2.79,2.68,-60.4,-0.473,19.39,20.98,01a59614o0560o
59614.495078,18.846,0.112,105,12,o,0,1.11,163.31063,9.13932,6823.93,2874.44,2.73,2.64,-62.9,-0.477,19.46,21.05,01a59614o0631o
59614.514703,18.878,0.114,102,12,o,0,0.92,163.31063,9.13932,3687.91,7829.63,2.71,2.64,-54.3,-0.466,19.48,21.09,01a59614o0672o
59616.454055,18.399,0.079,159,13,c,0,1.07,163.31063,9.13932,8144.61,9942.78,2.73,2.56,-59.7,-0.401,19.66,21.53,02a59616o0534c
59616.455884,18.566,0.087,136,12,c,0,1.11,163.31063,9.13932,8164.62,9982.36,2.79,2.61,-54.4,-0.403,19.62,21.52,02a59616o0538c
59616.463729,18.395,0.071,159,11,c,0,1.21,163.31063,9.13932,8107.38,9903.32,2.76,2.6,-54.8,-0.409,19.66,21.54,02a59616o0555c
59616.486156,18.46,0.077,150,12,c,0,1.19,163.31063,9.13932,8089.89,10022.93,3.16,3.04,-69.8,-0.375,19.48,21.57,02a59616o0601c
59618.464929,18.51,0.092,143,13,o,0,0.82,163.31063,9.13932,2309.46,8934.58,2.84,2.63,-27.5,-0.459,19.49,21.26,01a59618o0573o
59618.46677,18.554,0.09,138,12,o,0,1.08,163.31063,9.13932,2289.32,8895.42,2.98,2.65,-46.5,-0.46,19.43,21.26,01a59618o0577o
59618.471401,18.345,0.077,167,13,o,0,0.93,163.31063,9.13932,2348.93,8969.05,2.78,2.48,-44.1,-0.481,19.56,21.23,01a59618o0587o
59618.480163,18.506,0.091,144,13,o,0,1.05,163.31063,9.13932,2367.48,8850.14,2.92,2.63,-43.9,-0.463,19.44,21.2,01a59618o0606o
59620.581002,18.262,0.052,180,9,c,0,1.4,163.31063,9.13932,2104.38,4995.04,2.42,2.33,55.0,-0.422,19.61,21.39,02a59620o0781c
59620.590882,18.181,0.054,194,10,c,0,1.09,163.31063,9.13932,2090.21,4958.11,2.59,2.5,47.9,-0.416,19.54,21.38,02a59620o0801c
59620.619055,18.159,0.059,198,12,c,0,1.15,163.31063,9.13932,2137.72,5032.18,2.43,2.37,77.5,-0.428,19.46,21.21,02a59620o0861c
59620.623863,18.195,0.061,192,12,c,0,0.66,163.31063,9.13932,2164.8,4914.83,2.45,2.37,74.1,-0.424,19.48,21.19,02a59620o0869c
59622.395519,18.36,0.137,164,23,o,0,0.89,163.31063,9.13932,2301.65,8939.49,2.77,2.5,-43.2,-0.485,18.98,19.94,01a59622o0397o
59622.397363,18.376,0.132,162,21,o,0,1.0,163.31063,9.13932,2281.34,8900.18,2.77,2.51,-44.3,-0.482,19.0,19.95,01a59622o0401o
59622.419462,18.41,0.127,157,20,o,0,1.11,163.31063,9.13932,2345.54,8976.73,2.85,2.62,-44.7,-0.472,19.02,20.06,01a59622o0447o
59622.42984,18.103,0.092,208,19,o,0,1.2,163.31063,9.13932,2363.99,8858.48,2.87,2.68,-52.7,-0.458,19.0,20.11,01a59622o0469o
59624.432451,18.25,0.135,182,24,o,0,1.09,163.31063,9.13932,2461.09,2620.02,2.84,2.63,-42.8,-0.499,18.7,19.45,01a59624o0498o
59624.434294,18.428,0.171,154,26,o,0,1.02,163.31063,9.13932,2439.97,2581.73,3.07,2.65,-47.1,-0.497,18.68,19.45,01a59624o0502o
59624.460009,18.163,0.109,197,22,o,0,1.44,163.31063,9.13932,2499.11,2653.39,2.81,2.71,-18.3,-0.476,18.67,19.45,01a59624o0556o
59624.477297,19.177,0.345,78,27,o,0,0.97,163.31063,9.13932,2512.63,2533.05,2.95,2.68,-38.9,-0.497,18.69,19.45,01a59624o0592o
59624.483617,18.448,0.119,152,18,o,0,1.5,163.31063,9.13932,2110.87,4986.93,2.03,1.89,33.3,-0.457,18.93,19.31,02a59624o0111o
59624.489114,18.394,0.111,159,18,o,0,1.42,163.31063,9.13932,2091.04,4948.95,2.02,1.87,31.1,-0.458,18.93,19.31,02a59624o0123o
59624.493688,18.538,0.15,140,21,o,0,0.78,163.31063,9.13932,2149.13,5026.52,2.09,1.92,33.3,-0.449,18.97,19.3,02a59624o0133o
59624.505612,18.278,0.103,177,18,o,0,1.23,163.31063,9.13932,2169.88,4911.28,2.04,1.84,37.5,-0.456,18.95,19.31,02a59624o0159o
59630.5246,18.704,0.187,120,22,o,0,1.55,163.31063,9.13932,8112.16,7950.13,2.93,2.78,-71.9,-0.463,18.83,19.73,01a59630o0588o
59630.527404,19.159,0.29,79,23,o,0,1.32,163.31063,9.13932,8133.31,7989.25,2.9,2.74,-71.9,-0.465,18.83,19.72,01a59630o0594o
59630.53482,18.725,0.237,118,28,o,0,1.16,163.31063,9.13932,8074.32,7912.76,2.99,2.87,-87.7,-0.448,18.78,19.6,01a59630o0610o
59630.570379,18.9,0.293,100,29,o,0,0.84,163.31063,9.13932,8065.59,8037.75,3.06,2.92,-74.8,-0.448,18.67,19.51,01a59630o0686o
59632.509773,18.484,0.105,147,15,o,0,1.21,163.31063,9.13932,301.44,8984.01,2.63,2.25,-53.2,-0.454,19.13,20.31,02a59632o0600o
59632.513001,18.621,0.109,129,14,o,0,1.3,163.31063,9.13932,282.34,8944.84,2.25,1.89,-51.6,-0.465,19.31,20.31,02a59632o0607o
59632.519859,18.548,0.104,138,14,o,0,1.17,163.31063,9.13932,339.51,9024.95,2.42,2.04,-50.9,-0.476,19.23,20.3,02a59632o0622o
59632.521234,18.832,0.161,106,17,o,0,1.52,163.31063,9.13932,10494.51,9015.85,2.67,2.37,-47.6,-0.407,19.2,20.39,02a59632o0625o
59632.524472,18.752,0.156,115,18,o,0,1.31,163.31063,9.13932,10475.06,8976.67,2.74,2.38,-51.3,-0.42,19.21,20.31,02a59632o0632o
59632.533651,18.511,0.113,143,16,o,0,1.21,163.31063,9.13932,360.33,8907.1,2.47,2.15,-48.2,-0.47,19.17,20.28,02a59632o0652o
59634.387717,18.951,0.143,96,14,o,0,1.31,163.31063,9.13932,8589.21,9034.27,3.11,3.04,54.3,-0.41,19.26,20.72,01a59634o0396o
59634.417233,18.863,0.149,103,16,o,0,1.11,163.31063,9.13932,8573.89,8985.52,3.86,3.18,0.9,-0.377,19.12,20.77,01a59634o0458o
59634.42043,18.773,0.168,112,19,o,0,0.88,163.31063,9.13932,8635.08,9064.49,4.42,3.16,3.2,-0.348,19.03,20.75,01a59634o0465o
59634.425904,18.581,0.108,134,15,o,0,1.3,163.31063,9.13932,8652.82,8945.66,3.66,3.04,0.7,-0.38,19.19,20.8,01a59634o0477o
59636.417148,18.715,0.088,119,10,c,0,1.2,163.31063,9.13932,10352.63,3525.36,2.58,2.44,-56.0,-0.426,19.64,21.43,02a59636o0446c
59636.418975,18.662,0.087,124,11,c,0,0.92,163.31063,9.13932,10372.52,3567.51,2.58,2.47,-48.5,-0.419,19.62,21.44,02a59636o0450c
59636.42447,18.667,0.079,124,10,c,0,1.21,163.31063,9.13932,10314.87,3490.88,2.51,2.37,-50.6,-0.428,19.66,21.44,02a59636o0462c
59636.447725,18.631,0.079,128,10,c,0,1.18,163.31063,9.13932,295.19,6958.35,2.3,2.24,-11.8,-0.419,19.64,21.41,02a59636o0512c
59636.495032,18.58,0.084,134,11,c,0,0.93,163.31063,9.13932,10395.74,7058.48,2.72,2.68,59.8,-0.412,19.64,21.56,02a59636o0612c
59636.497849,18.824,0.114,107,12,c,0,1.13,163.31063,9.13932,10377.72,7024.93,2.75,2.63,37.4,-0.407,19.61,21.45,02a59636o0618c
59636.502988,18.741,0.094,116,11,c,0,1.16,163.31063,9.13932,10439.35,7105.91,2.73,2.68,32.3,-0.408,19.63,21.46,02a59636o0629c
