MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59596.601959,19.305,0.452,69,31,o,0,1.15,223.21433,-12.5013,9886.36,9807.03,3.25,3.0,52.8,-0.389,18.33,19.0,01a59596o0884o
59596.605653,21.96,5.222,6,31,o,0,1.15,223.21433,-12.5013,9867.32,9767.54,3.27,3.0,55.5,-0.39,18.36,19.02,01a59596o0892o
59596.612565,-20.637,1.33,-20,27,o,0,1.36,223.21433,-12.5013,9933.58,9843.98,3.23,2.88,51.1,-0.388,18.43,19.08,01a59596o0907o
59596.623614,20.339,1.078,27,29,o,0,1.23,223.21433,-12.5013,9956.2,9723.11,3.22,2.91,47.7,-0.386,18.49,19.15,01a59596o0931o
59599.637748,23.325,15.5,2,26,o,0,1.09,223.21433,-12.5013,9909.81,9791.36,3.2,2.93,50.9,-0.397,18.72,19.61,01a59599o0959o
59599.655729,-20.605,1.122,-21,23,o,0,0.96,223.21433,-12.5013,9896.01,9747.51,3.17,2.98,58.7,-0.401,18.75,19.66,01a59599o0998o
59599.659874,-19.995,0.636,-36,23,o,0,0.91,223.21433,-12.5013,9959.42,9824.03,3.18,2.95,58.4,-0.4,18.74,19.62,01a59599o1007o
59599.671399,-19.304,0.621,-69,43,o,0,1.19,223.21433,-12.5013,9980.29,9701.95,3.24,2.91,45.0,-0.386,17.97,18.39,01a59599o1032o
59600.622398,-20.331,1.096,-27,29,o,0,0.85,223.21433,-12.5013,3334.76,6018.37,3.05,2.93,-41.8,-0.551,18.7,19.64,01a59600o0926o
59600.625624,-19.652,0.492,-50,25,o,0,0.78,223.21433,-12.5013,3316.51,5979.55,2.97,2.86,-36.3,-0.459,18.7,19.65,01a59600o0933o
59600.647354,20.169,0.809,31,25,o,0,0.76,223.21433,-12.5013,3384.54,6054.97,2.76,2.73,-42.5,-0.467,18.85,19.74,01a59600o0979o
59600.661985,-21.009,1.817,-14,26,o,0,1.1,223.21433,-12.5013,3406.44,5934.1,3.0,2.89,-39.7,-0.451,18.69,19.64,01a59600o1009o
59606.648197,19.675,0.295,49,14,o,0,1.05,223.21433,-12.5013,3086.98,9145.6,2.12,1.92,-50.4,-0.446,19.35,20.24,02a59606o0963o
59606.662132,19.711,0.312,47,15,o,0,1.13,223.21433,-12.5013,3108.98,9183.14,2.04,1.83,-50.1,-0.457,19.36,20.16,02a59606o0993o
