MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59595.424441,-19.518,0.639,-57,36,o,0,1.14,121.62169,-14.00325,8885.62,6880.27,3.07,2.93,-69.4,-0.437,18.49,19.23,01a59595o0504o
59595.429995,-19.028,0.391,-89,35,o,0,1.03,121.62169,-14.00325,8869.0,6843.51,2.94,2.83,-73.7,-0.447,18.58,19.25,01a59595o0516o
59595.435549,20.594,1.87,21,39,o,0,0.87,121.62169,-14.00325,8931.1,6918.8,2.96,2.89,63.1,-0.432,18.62,19.26,01a59595o0528o
59595.443375,-19.652,0.709,-50,36,o,0,1.14,121.62169,-14.00325,8950.19,6798.89,3.01,2.83,-73.1,-0.45,18.56,19.27,01a59595o0545o
59596.409892,-19.887,1.341,-40,54,o,0,1.01,121.62169,-14.00325,8873.63,6883.66,2.77,2.7,-83.8,-0.471,18.35,18.86,01a59596o0471o
59596.412668,19.921,1.223,39,48,o,0,1.47,121.62169,-14.00325,8854.27,6844.86,2.81,2.77,-88.2,-0.465,18.41,18.86,01a59596o0477o
59596.415899,19.968,1.495,37,56,o,0,1.1,121.62169,-14.00325,8916.1,6921.31,2.99,2.92,64.2,-0.442,18.31,18.86,01a59596o0484o
59596.426511,20.608,2.604,21,54,o,0,1.15,121.62169,-14.00325,8939.26,6801.41,3.03,2.99,-89.2,-0.434,18.32,18.87,01a59596o0507o
59599.414208,-21.928,5.455,-6,34,o,0,1.05,121.62169,-14.00325,8885.15,6880.77,2.87,2.78,-68.7,-0.459,18.65,19.39,01a59599o0480o
59599.420195,-20.916,1.927,-16,30,o,0,1.43,121.62169,-14.00325,8870.36,6842.49,2.9,2.83,68.1,-0.451,18.6,19.38,01a59599o0493o
59599.422959,19.57,0.623,54,34,o,0,1.15,121.62169,-14.00325,8929.27,6916.4,2.86,2.69,-69.6,-0.468,18.63,19.38,01a59599o0499o
59599.429925,-22.569,8.667,-3,30,o,0,1.45,121.62169,-14.00325,8949.74,6798.86,2.95,2.81,41.0,-0.438,18.65,19.38,01a59599o0514o
59600.505208,-20.7,1.088,-19,21,o,0,1.31,121.62169,-14.00325,5348.22,7505.06,2.85,2.81,67.6,-0.448,18.84,19.73,01a59600o0675o
59600.507988,-20.46,1.053,-24,25,o,0,0.88,121.62169,-14.00325,5369.24,7543.76,2.8,2.74,65.0,-0.45,18.84,19.72,01a59600o0681o
59600.518128,-20.504,1.134,-23,26,o,0,1.09,121.62169,-14.00325,5315.34,7468.56,3.02,2.9,-49.3,-0.441,18.72,19.66,01a59600o0703o
59600.523696,21.07,2.031,14,28,o,0,0.89,121.62169,-14.00325,5302.34,7586.51,3.13,2.92,-46.9,-0.438,18.68,19.63,01a59600o0715o
59601.455602,20.695,0.971,19,19,o,0,0.87,121.62169,-14.00325,763.4,8762.57,2.64,2.02,-54.8,-0.473,19.07,19.91,02a59601o0458o
