MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59596.577,-21.08,1.986,-13,27,o,0,1.0,211.30901,-0.4865,60.91,2749.73,2.78,2.45,-48.7,-0.609,18.74,19.42,01a59596o0830o
59596.578843,20.859,1.512,16,25,o,0,1.46,211.30901,-0.4865,10170.92,2548.89,2.98,2.69,-63.0,-0.514,18.58,19.35,01a59596o0834o
59596.581635,-20.795,1.361,-18,24,o,0,1.23,211.30901,-0.4865,10152.33,2512.02,2.78,2.54,-60.7,-0.526,18.66,19.36,01a59596o0840o
59596.587171,20.152,0.945,32,30,o,0,0.81,211.30901,-0.4865,10214.2,2587.01,2.91,2.69,-57.0,-0.508,18.64,19.39,01a59596o0852o
59596.587631,-23.319,15.75,-2,27,o,0,1.2,211.30901,-0.4865,83.14,2633.72,3.0,2.69,-53.6,-0.579,18.69,19.46,01a59596o0853o
59596.597798,20.19,0.812,30,25,o,0,1.34,211.30901,-0.4865,10236.14,2465.9,2.9,2.65,-59.2,-0.519,18.66,19.43,01a59596o0875o
59600.60671,21.244,1.932,12,22,o,0,1.22,211.30901,-0.4865,10092.26,8858.25,3.05,2.91,59.7,-0.389,18.84,19.68,01a59600o0893o
59600.609499,-20.964,1.622,-15,24,o,0,1.12,211.30901,-0.4865,10072.16,8817.89,3.12,2.97,54.2,-0.374,18.8,19.69,01a59600o0899o
59600.618701,20.059,0.613,34,21,o,0,1.19,211.30901,-0.4865,10138.03,8892.22,3.18,3.09,72.4,-0.364,18.78,19.72,01a59600o0918o
59600.629335,22.164,4.32,5,21,o,0,1.23,211.30901,-0.4865,10161.02,8772.82,3.1,2.94,48.3,-0.378,18.85,19.78,01a59600o0941o
59607.655785,-20.962,0.694,-15,10,o,0,0.87,211.30901,-0.4865,551.21,6199.52,1.96,1.78,-41.4,-0.442,19.55,20.63,02a59607o0982o
59607.65862,22.035,2.426,6,14,o,0,0.73,211.30901,-0.4865,570.7,6237.53,1.99,1.83,-38.1,-0.441,19.53,20.62,02a59607o0988o
59607.66141,22.651,4.121,3,13,o,0,1.03,211.30901,-0.4865,512.76,6161.53,2.02,1.88,-37.1,-0.437,19.49,20.58,02a59607o0994o
59607.664649,-22.637,3.471,-3,11,o,0,1.09,211.30901,-0.4865,492.82,6276.96,2.02,1.88,-37.0,-0.427,19.45,20.48,02a59607o1001o
59608.625435,21.496,1.288,9,12,o,0,0.9,211.30901,-0.4865,6130.88,4538.72,2.8,2.64,-47.1,-0.475,19.4,20.98,01a59608o0913o
59608.629596,-21.086,0.932,-13,12,o,0,0.97,211.30901,-0.4865,6114.65,4502.99,2.86,2.72,-52.1,-0.465,19.41,21.01,01a59608o0922o
59608.635165,-22.612,3.722,-3,12,o,0,1.09,211.30901,-0.4865,6175.83,4578.11,2.88,2.69,-50.5,-0.465,19.36,20.98,01a59608o0934o
59608.654203,23.835,12.5,1,13,o,0,1.11,211.30901,-0.4865,6200.75,4456.8,3.6,3.41,-52.3,-0.39,19.12,20.97,01a59608o0974o
59610.634195,20.653,0.581,20,12,o,0,0.94,211.30901,-0.4865,4669.97,8232.52,2.1,1.97,26.8,-0.441,19.7,21.05,02a59610o0952o
59610.651174,21.909,1.783,6,11,o,0,0.9,211.30901,-0.4865,4689.18,8270.77,2.12,1.95,29.4,-0.441,19.67,21.11,02a59610o0989o
59610.672448,20.016,1.432,36,51,o,0,2.16,211.30901,-0.4865,4630.46,8198.21,2.14,1.99,32.7,-0.439,17.77,18.24,02a59610o1035o
59610.674712,19.333,0.594,67,40,o,0,1.33,211.30901,-0.4865,5976.24,2243.19,2.1,1.96,47.2,-0.412,17.82,18.11,02a59610o1039o
59612.660522,21.031,0.614,14,9,c,0,1.73,211.30901,-0.4865,5919.83,2323.06,2.49,2.39,82.5,-0.407,19.64,21.52,02a59612o0983c
59612.663578,20.462,0.371,24,9,c,0,1.39,211.30901,-0.4865,5900.62,2284.9,2.52,2.4,68.0,-0.407,19.58,21.39,02a59612o0989c
59612.666812,23.099,5.2,2,11,c,0,1.17,211.30901,-0.4865,5958.76,2362.92,2.5,2.39,71.5,-0.404,19.47,21.11,02a59612o0995c
59612.669867,21.663,1.569,8,12,c,0,1.3,211.30901,-0.4865,5978.25,2246.56,2.46,2.35,69.6,-0.408,19.27,20.64,02a59612o1001c
59616.662233,19.062,0.126,86,11,c,0,1.15,211.30901,-0.4865,5920.09,2323.59,2.75,2.65,73.8,-0.386,19.38,21.18,02a59616o0936c
59616.665092,19.162,0.159,78,12,c,0,1.01,211.30901,-0.4865,5899.91,2282.76,2.59,2.52,78.1,-0.398,19.37,21.01,02a59616o0942c
59616.667955,19.168,0.169,78,13,c,0,1.52,211.30901,-0.4865,5957.86,2359.71,2.56,2.47,75.3,-0.396,19.19,20.67,02a59616o0948c
59616.670785,19.027,0.176,89,16,c,0,1.34,211.30901,-0.4865,5977.58,2246.27,2.6,2.45,57.1,-0.393,18.88,20.14,02a59616o0954c
59618.598419,18.978,0.122,93,11,o,0,1.78,211.30901,-0.4865,5713.41,364.05,3.24,3.02,-48.0,-0.452,19.37,21.22,01a59618o0862o
59618.605394,18.972,0.129,94,12,o,0,1.11,211.30901,-0.4865,5693.35,323.25,2.92,2.75,-38.3,-0.477,19.45,21.2,01a59618o0877o
59618.608161,19.35,0.19,66,12,o,0,1.02,211.30901,-0.4865,5753.72,401.26,2.84,2.68,-48.2,-0.493,19.47,21.17,01a59618o0883o
59618.610925,-21.715,26.711,-8,200,o,0,0.35,211.30901,-0.4865,5882.44,10526.77,2.89,2.82,-35.0,-0.482,19.42,21.12,01a59618o0889o
59618.615537,19.052,0.142,87,12,o,0,0.94,211.30901,-0.4865,5770.41,281.81,2.83,2.7,-45.6,-0.49,19.49,21.18,01a59618o0899o
59618.618769,19.141,0.168,80,14,o,0,0.86,211.30901,-0.4865,5959.41,10483.31,2.77,2.67,-29.5,-0.502,19.47,21.09,01a59618o0906o
59620.603357,18.567,0.072,136,10,c,0,1.36,211.30901,-0.4865,4958.38,3880.47,2.47,2.31,36.7,-0.539,19.61,21.41,02a59620o0827c
59620.606557,18.609,0.073,131,10,c,0,1.53,211.30901,-0.4865,4979.73,3920.35,2.54,2.33,38.2,-0.413,19.62,21.41,02a59620o0834c
59620.609769,18.639,0.081,127,10,c,0,1.19,211.30901,-0.4865,4921.95,3842.49,2.57,2.36,36.5,-0.406,19.61,21.42,02a59620o0841c
59620.631373,18.495,0.074,145,11,c,0,1.04,211.30901,-0.4865,5678.06,6597.78,2.76,2.51,37.3,-0.399,19.56,21.42,02a59620o0885c
59622.58601,18.522,0.089,142,13,o,0,1.33,211.30901,-0.4865,5714.4,366.08,2.83,2.71,-49.5,-0.493,19.39,20.94,01a59622o0799o
59622.604489,18.571,0.084,135,11,o,0,1.28,211.30901,-0.4865,5691.65,317.3,2.84,2.72,-46.5,-0.49,19.48,21.28,01a59622o0838o
59622.606332,18.706,0.094,120,11,o,0,1.07,211.30901,-0.4865,5752.95,398.66,2.86,2.81,-41.6,-0.472,19.46,21.28,01a59622o0842o
59622.614708,18.674,0.087,123,11,o,0,1.25,211.30901,-0.4865,5769.11,276.94,2.87,2.72,-56.6,-0.482,19.47,21.25,01a59622o0860o
59622.615168,17.919,0.814,247,201,o,0,0.08,211.30901,-0.4865,5883.23,10520.08,2.84,2.81,1.1,-0.49,19.43,21.21,01a59622o0861o
59622.641899,18.544,0.094,139,13,o,0,1.06,211.30901,-0.4865,4554.45,107.55,2.87,2.8,-44.4,-0.443,19.4,21.17,01a59622o0917o
59624.609373,18.657,0.114,125,14,o,0,1.2,211.30901,-0.4865,4963.99,3883.92,2.19,1.75,34.7,-0.461,19.27,19.98,02a59624o0377o
59624.61395,18.392,0.092,160,15,o,0,1.48,211.30901,-0.4865,4983.56,3922.35,2.21,1.77,33.9,-0.456,19.27,19.99,02a59624o0387o
59624.633212,18.3,0.083,174,14,o,0,1.34,211.30901,-0.4865,5658.78,6709.55,2.38,1.91,38.5,-0.438,19.32,20.11,02a59624o0426o
59624.638305,18.501,0.106,144,15,o,0,1.28,211.30901,-0.4865,5679.42,6596.45,2.36,1.92,39.7,-0.434,19.34,20.17,02a59624o0437o
59628.551456,-17.89,6.856,-254,1738,o,0,0.72,211.30901,-0.4865,6705.2,10096.93,2.66,2.61,-66.2,-0.441,14.44,14.27,02a59628o0649o
59628.554658,16.596,0.771,835,644,o,0,1.64,211.30901,-0.4865,6725.28,10135.96,2.65,2.52,-69.8,-0.445,14.76,14.79,02a59628o0656o
59628.558779,17.192,1.822,482,878,o,0,1.39,211.30901,-0.4865,6666.27,10057.34,2.72,2.52,-63.9,-0.445,15.51,15.51,02a59628o0665o
59632.630823,18.645,0.131,126,16,o,0,1.0,211.30901,-0.4865,3877.32,460.55,2.14,2.0,-75.7,-0.458,19.04,19.76,02a59632o0863o
59632.641755,18.576,0.129,135,17,o,0,0.9,211.30901,-0.4865,3860.09,423.52,2.16,2.01,-77.1,-0.453,19.02,19.76,02a59632o0886o
59632.652007,18.655,0.12,125,15,o,0,1.46,211.30901,-0.4865,3918.54,500.69,2.23,2.08,-74.1,-0.46,19.01,19.74,02a59632o0908o
59632.663148,18.604,0.173,131,23,o,0,1.1,211.30901,-0.4865,3938.56,385.64,2.41,2.21,-63.5,-0.436,18.82,19.42,02a59632o0931o
59634.536235,18.838,0.138,106,15,o,0,1.51,211.30901,-0.4865,1816.65,617.44,3.26,3.07,-20.0,-0.474,19.18,20.68,01a59634o0713o
59634.540814,18.671,0.125,124,15,o,0,1.26,211.30901,-0.4865,1797.59,580.5,3.05,2.96,-64.7,-0.499,19.25,20.7,01a59634o0723o
59634.546757,18.696,0.136,121,16,o,0,1.2,211.30901,-0.4865,1858.25,659.08,3.0,2.9,-53.8,-0.499,19.21,20.67,01a59634o0736o
59634.581901,18.625,0.115,129,15,o,0,1.61,211.30901,-0.4865,8684.78,10028.76,3.45,3.27,66.8,-0.401,19.16,20.61,01a59634o0810o
59636.631121,18.87,0.121,103,12,o,0,1.17,211.30901,-0.4865,3779.48,8710.24,2.51,2.25,43.9,-0.407,19.5,20.97,02a59636o0898o
59636.65184,18.887,0.12,101,12,o,0,1.55,211.30901,-0.4865,3755.66,8672.5,2.39,2.15,43.3,-0.416,19.48,20.87,02a59636o0942o
59636.655768,18.974,0.134,93,12,o,0,1.41,211.30901,-0.4865,3816.2,8750.06,2.33,2.07,40.6,-0.414,19.45,20.64,02a59636o0950o
59636.664547,18.616,0.409,130,53,o,0,1.01,211.30901,-0.4865,3833.51,8634.86,2.65,2.13,40.6,-0.383,18.48,18.77,02a59636o0969o
59638.533262,18.797,0.129,110,14,o,0,1.19,211.30901,-0.4865,1818.13,617.29,2.77,2.66,-69.8,-0.538,19.4,20.91,01a59638o0714o
59638.536,18.756,0.13,114,15,o,0,1.27,211.30901,-0.4865,1796.24,576.65,2.88,2.78,-47.6,-0.529,19.37,20.91,01a59638o0720o
59638.539188,19.158,0.166,79,13,o,0,1.32,211.30901,-0.4865,1857.8,654.96,2.92,2.88,-31.6,-0.515,19.34,20.92,01a59638o0727o
59638.548036,18.659,0.12,125,15,o,0,1.21,211.30901,-0.4865,1873.77,533.36,3.02,2.95,-39.7,-0.508,19.32,20.93,01a59638o0746o
59640.587393,19.041,0.142,88,12,c,0,0.89,211.30901,-0.4865,3778.45,8707.82,2.57,2.45,39.5,-0.412,19.62,21.67,02a59640o0754c
59640.62077,18.79,0.099,111,11,c,0,0.99,211.30901,-0.4865,3753.62,8665.3,2.56,2.43,27.4,-0.407,19.6,21.57,02a59640o0819c
59640.626289,18.754,0.102,114,12,c,0,1.11,211.30901,-0.4865,3814.44,8744.99,2.48,2.39,33.6,-0.418,19.6,21.55,02a59640o0829c
59640.629225,18.951,0.119,95,11,c,0,1.2,211.30901,-0.4865,3834.13,8627.8,2.43,2.35,71.7,-0.419,19.57,21.58,02a59640o0835c
59642.602526,19.281,0.154,70,11,o,0,1.02,211.30901,-0.4865,6846.78,3776.13,2.86,2.77,-58.9,-0.454,19.44,21.23,01a59642o0839o
59642.608057,19.264,0.157,72,11,o,0,1.04,211.30901,-0.4865,6867.23,3814.32,2.92,2.81,-62.9,-0.449,19.42,21.23,01a59642o0851o
59642.621565,18.93,0.122,97,12,o,0,1.12,211.30901,-0.4865,6809.02,3739.88,2.9,2.73,-55.4,-0.46,19.47,21.24,01a59642o0880o
59642.625352,19.222,0.162,74,12,o,0,1.08,211.30901,-0.4865,6792.85,3856.5,2.95,2.8,-54.9,-0.455,19.43,21.21,01a59642o0888o
59644.592514,18.887,0.196,101,20,c,0,1.2,211.30901,-0.4865,5722.22,8611.19,2.4,2.25,69.2,-0.461,18.94,21.71,02a59644o0685c
59644.596012,19.464,0.387,60,23,c,0,0.93,211.30901,-0.4865,5702.5,8571.4,2.43,2.25,71.2,-0.468,18.93,21.71,02a59644o0692c
59644.601511,19.119,0.267,82,22,c,0,0.74,211.30901,-0.4865,5760.84,8651.53,2.43,2.25,77.9,-0.463,18.94,21.69,02a59644o0703c
59644.614776,19.039,0.248,88,22,c,0,1.05,211.30901,-0.4865,5782.08,8536.0,2.45,2.24,79.5,-0.462,18.97,21.71,02a59644o0730c
59646.588729,19.013,0.705,90,64,o,0,1.26,211.30901,-0.4865,6847.86,3773.39,2.7,2.63,46.9,-0.474,17.48,18.91,01a59646o0682o
59646.598877,18.361,0.556,164,91,o,0,0.99,211.30901,-0.4865,6871.81,3812.39,2.76,2.74,-82.3,-0.464,17.26,18.73,01a59646o0704o
59646.602068,17.8,0.426,275,117,o,0,0.83,211.30901,-0.4865,6810.56,3736.45,2.74,2.69,74.0,-0.474,16.93,18.36,01a59646o0711o
59646.609867,18.808,4.833,109,526,o,0,1.36,211.30901,-0.4865,6796.1,3854.04,2.76,2.68,-68.9,-0.485,15.53,16.95,01a59646o0728o
59646.65799,18.862,0.183,104,19,o,0,1.04,211.30901,-0.4865,6843.82,3799.59,2.8,2.71,50.9,-0.47,18.91,19.88,01a59646o0831o
59648.621392,19.426,0.164,62,10,c,0,1.3,211.30901,-0.4865,5710.26,8610.55,2.71,2.64,52.8,-0.408,19.58,21.51,02a59648o0828c
59648.651119,19.73,0.316,47,15,c,0,0.9,211.30901,-0.4865,5695.77,8575.2,2.78,2.55,42.8,-0.398,19.39,20.98,02a59648o0841c
59648.656642,18.962,0.207,94,20,c,0,1.53,211.30901,-0.4865,5753.67,8654.43,2.75,2.57,44.2,-0.397,18.84,20.03,02a59648o0853c
59650.577032,19.831,0.349,42,15,o,0,0.89,211.30901,-0.4865,598.92,3719.7,2.85,2.58,-40.1,-0.514,19.37,20.9,01a59650o0772o
