MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59604.597239,-20.32,0.725,-27,20,o,0,1.15,197.77558,-8.20028,1318.95,4201.37,2.99,2.7,-36.5,-0.498,18.94,19.96,01a59604o0859o
59604.599545,-24.539,30.333,-1,17,o,0,1.41,197.77558,-8.20028,1299.84,4161.55,2.87,2.61,-49.3,-0.516,18.97,19.97,01a59604o0864o
59604.60348,-21.301,1.847,-11,20,o,0,1.36,197.77558,-8.20028,1361.42,4237.77,2.88,2.61,-47.0,-0.511,18.96,19.96,01a59604o0872o
59604.62539,-20.88,1.303,-16,21,o,0,1.05,197.77558,-8.20028,1388.85,4121.11,2.85,2.56,-48.4,-0.522,19.01,19.96,01a59604o0919o
59605.60125,20.088,0.519,34,17,o,0,0.86,197.77558,-8.20028,1316.35,4195.93,2.83,2.59,-42.4,-0.513,19.2,20.44,01a59605o0858o
59605.603093,20.311,0.66,27,18,o,0,0.93,197.77558,-8.20028,1297.55,4158.48,2.87,2.67,-46.4,-0.501,19.17,20.42,01a59605o0862o
59605.605869,-20.946,0.964,-15,15,o,0,1.21,197.77558,-8.20028,1359.78,4236.54,2.83,2.63,-40.1,-0.507,19.2,20.46,01a59605o0868o
59605.611423,-20.697,0.849,-19,16,o,0,1.2,197.77558,-8.20028,1379.33,4119.44,2.79,2.64,-40.7,-0.502,19.21,20.45,01a59605o0880o
59606.508288,22.436,3.364,4,13,o,0,1.01,197.77558,-8.20028,5038.79,793.76,2.14,2.07,-57.7,-0.438,19.33,20.42,02a59606o0664o
59606.531837,22.431,3.618,4,14,o,0,0.75,197.77558,-8.20028,5068.43,824.75,2.13,2.04,-27.3,-0.445,19.35,20.4,02a59606o0715o
59606.552963,21.001,0.78,14,11,o,0,1.09,197.77558,-8.20028,5004.06,753.17,2.07,2.05,-84.5,-0.44,19.34,20.4,02a59606o0759o
59606.564087,-23.82,11.1,-1,12,o,0,1.09,197.77558,-8.20028,4991.43,864.72,2.05,2.02,88.9,-0.448,19.36,20.42,02a59606o0783o
59607.618315,-22.087,1.867,-5,10,o,0,1.05,197.77558,-8.20028,5052.73,791.62,1.86,1.82,86.8,-0.464,19.57,20.64,02a59607o0905o
59607.622903,21.723,1.568,7,12,o,0,1.24,197.77558,-8.20028,5073.2,827.4,1.9,1.83,-72.3,-0.467,19.57,20.64,02a59607o0915o
59607.644657,-20.671,0.692,-20,14,o,0,0.82,197.77558,-8.20028,5563.67,9797.34,2.17,2.08,42.3,-0.446,19.51,20.61,02a59607o0959o
59607.650086,-21.174,0.933,-12,12,o,0,1.51,197.77558,-8.20028,5589.88,9688.28,2.18,2.1,53.8,-0.442,19.45,20.59,02a59607o0970o
59608.576719,24.111,18.5,1,15,o,0,1.03,197.77558,-8.20028,1686.23,10032.46,3.15,2.76,-40.5,-0.47,19.29,20.86,01a59608o0809o
59608.581851,-21.831,1.938,-7,13,o,0,1.28,197.77558,-8.20028,1668.11,9991.67,3.16,2.8,-41.1,-0.466,19.26,20.89,01a59608o0820o
59608.585598,-22.236,3.105,-5,14,o,0,1.34,197.77558,-8.20028,1730.01,10069.21,3.41,3.06,-39.9,-0.452,19.19,20.93,01a59608o0828o
59608.607794,-22.629,4.412,-3,14,o,0,1.01,197.77558,-8.20028,1759.41,9945.75,3.0,2.63,-47.0,-0.485,19.33,20.92,01a59608o0875o
59610.59475,21.014,0.551,14,8,o,0,1.38,197.77558,-8.20028,3221.55,2833.33,2.13,1.87,37.4,-0.447,19.65,20.96,02a59610o0866o
59610.59658,-21.329,1.01,-11,11,o,0,1.06,197.77558,-8.20028,3241.03,2871.99,2.16,1.89,34.5,-0.451,19.61,20.96,02a59610o0870o
59610.599325,21.114,0.703,13,9,o,0,1.36,197.77558,-8.20028,3182.71,2794.28,2.08,1.88,34.9,-0.451,19.65,20.97,02a59610o0876o
59610.606682,21.143,0.831,13,10,o,0,1.06,197.77558,-8.20028,3163.41,2909.98,2.17,1.91,34.2,-0.451,19.62,21.01,02a59610o0892o
59612.624203,21.683,1.396,8,11,c,0,1.15,197.77558,-8.20028,7366.59,7714.82,2.78,2.48,38.4,-0.402,19.65,21.54,02a59612o0905c
59612.62741,21.406,0.918,10,9,c,0,1.58,197.77558,-8.20028,7347.04,7676.69,2.77,2.5,37.8,-0.407,19.66,21.55,02a59612o0912c
59612.634269,22.094,1.727,5,9,c,0,1.65,197.77558,-8.20028,7405.87,7757.07,2.75,2.46,40.9,-0.407,19.66,21.53,02a59612o0927c
59612.646859,21.779,1.442,7,10,c,0,1.14,197.77558,-8.20028,7426.37,7641.82,2.79,2.5,42.5,-0.4,19.62,21.56,02a59612o0954c
59614.566776,21.124,0.928,13,12,o,0,1.34,197.77558,-8.20028,1688.2,10031.3,2.92,2.62,-40.7,-0.49,19.39,21.06,01a59614o0783o
59614.569544,21.936,1.882,6,12,o,0,1.12,197.77558,-8.20028,1668.7,9991.09,2.85,2.56,-42.4,-0.496,19.44,21.06,01a59614o0789o
59614.592918,21.649,1.721,8,14,o,0,0.85,197.77558,-8.20028,1739.47,10065.07,2.91,2.64,-41.9,-0.483,19.39,21.12,01a59614o0837o
59614.596603,21.271,1.048,11,12,o,0,1.24,197.77558,-8.20028,1760.47,9946.03,2.83,2.58,-48.8,-0.497,19.47,21.13,01a59614o0845o
59616.61479,21.168,0.875,12,11,c,0,1.19,197.77558,-8.20028,7365.52,7713.05,2.84,2.6,38.5,-0.395,19.49,21.32,02a59616o0834c
59616.61801,20.206,0.358,30,11,c,0,1.15,197.77558,-8.20028,7345.99,7674.79,2.79,2.57,41.2,-0.396,19.52,21.33,02a59616o0841c
59616.627802,20.218,0.383,30,11,c,0,1.12,197.77558,-8.20028,7404.73,7754.48,2.76,2.6,39.0,-0.402,19.51,21.32,02a59616o0862c
59616.63842,19.538,0.208,56,12,c,0,0.99,197.77558,-8.20028,7427.1,7639.92,2.89,2.72,44.2,-0.389,19.46,21.32,02a59616o0885c
59618.569236,19.534,0.21,56,12,o,0,1.24,197.77558,-8.20028,7232.58,5746.11,2.96,2.73,-41.0,-0.467,19.42,21.14,01a59618o0799o
59618.571081,20.325,0.39,27,10,o,0,1.24,197.77558,-8.20028,7212.77,5707.18,2.91,2.75,-37.2,-0.464,19.41,21.14,01a59618o0803o
59618.573844,19.774,0.259,45,12,o,0,1.27,197.77558,-8.20028,7273.69,5784.93,2.86,2.74,-40.2,-0.466,19.46,21.12,01a59618o0809o
59618.578909,20.381,0.414,26,11,o,0,1.6,197.77558,-8.20028,7290.2,5665.68,2.85,2.64,-56.4,-0.485,19.46,21.13,01a59618o0820o
59620.560611,19.802,0.26,44,11,c,0,1.14,197.77558,-8.20028,3540.78,8651.81,2.47,2.38,-20.2,-0.415,19.64,21.42,02a59620o0737c
59620.562439,19.268,0.187,71,13,c,0,0.79,197.77558,-8.20028,3560.35,8691.22,2.48,2.37,-25.5,-0.415,19.58,21.43,02a59620o0741c
59620.593048,19.433,0.156,61,10,c,0,1.57,197.77558,-8.20028,7078.43,1941.32,2.7,2.53,-84.3,-0.397,19.52,21.42,02a59620o0805c
59620.622791,19.429,0.171,61,10,c,0,1.22,197.77558,-8.20028,7095.14,1823.24,2.53,2.37,-77.2,-0.404,19.54,21.38,02a59620o0867c
59622.564319,19.227,0.198,74,15,o,0,1.14,197.77558,-8.20028,7235.2,5743.58,2.85,2.76,-62.9,-0.471,19.18,20.46,01a59622o0752o
59622.567548,19.628,0.267,51,14,o,0,1.2,197.77558,-8.20028,7215.51,5706.32,2.74,2.72,-48.6,-0.472,19.23,20.5,01a59622o0759o
59622.573106,19.113,0.16,82,13,o,0,1.31,197.77558,-8.20028,7274.14,5780.63,2.85,2.76,-60.2,-0.473,19.25,20.58,01a59622o0771o
59622.578178,19.783,0.305,44,14,o,0,1.63,197.77558,-8.20028,7291.83,5664.35,2.9,2.81,-70.8,-0.476,19.23,20.66,01a59622o0782o
