MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58800.477062,-20.165,0.757,-31,24,o,0,1.58,104.55733,49.03426,5573.65,1717.07,2.37,1.92,40.2,-0.414,18.51,18.85,02a58800o0636o
58800.479995,20.35,1.052,26,28,o,0,1.24,104.55733,49.03426,5592.25,1756.63,2.4,1.89,43.0,-0.424,18.48,18.85,02a58800o0642o
58800.486237,-25.217,83.0,0,25,o,0,1.47,104.55733,49.03426,5537.65,1679.31,2.29,1.86,43.2,-0.421,18.49,18.87,02a58800o0655o
58800.497258,-21.638,2.862,-8,23,o,0,1.01,104.55733,49.03426,5520.91,1797.73,1.95,1.89,59.2,-0.443,18.64,18.9,02a58800o0678o
58804.509364,-20.539,0.986,-22,22,o,0,0.69,104.55733,49.03426,3720.7,1796.76,2.11,2.04,84.6,-0.434,18.81,19.29,02a58804o0653o
58804.513578,-21.215,1.533,-12,18,o,0,1.22,104.55733,49.03426,3742.57,1835.47,2.08,2.01,79.3,-0.441,18.82,19.3,02a58804o0662o
58804.518927,-20.044,0.542,-35,19,o,0,1.1,104.55733,49.03426,3685.3,1756.2,2.03,1.96,-89.8,-0.442,18.86,19.32,02a58804o0673o
58804.530262,19.948,0.472,38,18,o,0,1.64,104.55733,49.03426,3667.59,1871.74,2.06,1.98,-88.2,-0.439,18.85,19.3,02a58804o0697o
58804.6571,20.023,2.07,36,74,o,0,1.82,104.55733,49.03426,6855.31,8753.85,2.17,2.11,82.7,-0.499,18.11,18.35,02a58804o0919o
58814.49653,-21.189,3.027,-12,37,o,0,0.72,104.55733,49.03426,3118.74,8981.14,2.47,2.17,-82.5,-0.43,18.42,19.76,01a58814o0647o
58814.499761,21.506,2.765,9,25,o,0,1.18,104.55733,49.03426,3100.18,8942.43,2.37,2.04,-84.1,-0.434,18.6,19.89,01a58814o0654o
58814.505751,-21.3,5.238,-11,58,o,0,1.35,104.55733,49.03426,3156.31,9019.89,2.46,2.14,-83.5,-0.436,17.9,19.21,01a58814o0667o
58814.516168,-23.169,16.143,-2,32,o,0,1.07,104.55733,49.03426,3174.65,8904.76,2.31,1.96,-82.3,-0.433,18.51,19.76,01a58814o0689o
58816.461337,-20.583,0.436,-21,9,c,0,1.29,104.55733,49.03426,8646.79,3806.1,2.58,2.4,-66.7,-0.39,19.67,21.46,02a58816o0592c
58816.464541,-22.435,2.448,-4,9,c,0,1.21,104.55733,49.03426,8665.74,3844.61,2.61,2.43,-64.5,-0.389,19.66,21.47,02a58816o0599c
58816.471444,-21.379,0.909,-10,9,c,0,1.09,104.55733,49.03426,8608.31,3769.51,2.8,2.64,-72.3,-0.386,19.55,21.48,02a58816o0614c
58816.481295,23.908,9.0,1,9,c,0,1.64,104.55733,49.03426,8589.54,3888.22,2.71,2.51,-64.8,-0.389,19.63,21.49,02a58816o0635c
