MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59604.505052,-21.136,1.121,-13,14,o,0,1.26,168.65656,-7.74443,6409.76,5010.44,2.99,2.78,-7.2,-0.444,19.14,20.47,01a59604o0663o
59604.506896,-22.385,3.636,-4,15,o,0,1.27,168.65656,-7.74443,6390.92,4971.49,2.84,2.72,-9.0,-0.464,19.15,20.47,01a59604o0667o
59604.509664,21.035,1.079,14,15,o,0,1.09,168.65656,-7.74443,6451.08,5047.34,2.89,2.72,-11.7,-0.454,19.17,20.48,01a59604o0673o
59604.532823,-21.104,1.068,-13,14,o,0,1.17,168.65656,-7.74443,6477.87,4927.05,2.78,2.7,-37.8,-0.472,19.22,20.53,01a59604o0722o
59605.594559,-22.312,2.96,-4,13,o,0,1.31,168.65656,-7.74443,4109.52,5583.49,2.74,2.67,-43.1,-0.456,19.28,20.61,01a59605o0844o
59605.625438,20.295,0.456,28,13,o,0,1.31,168.65656,-7.74443,4149.26,5624.38,2.76,2.67,-54.3,-0.459,19.28,20.61,01a59605o0909o
59605.629282,20.98,0.904,15,13,o,0,0.97,168.65656,-7.74443,4092.04,5548.48,2.8,2.67,-50.6,-0.457,19.29,20.63,01a59605o0917o
59605.636278,-21.234,1.172,-12,14,o,0,1.16,168.65656,-7.74443,4082.48,5664.73,2.81,2.74,-64.1,-0.451,19.25,20.61,01a59605o0932o
59605.672157,-20.731,2.716,-18,50,o,0,0.99,168.65656,-7.74443,4139.17,5610.96,3.06,2.88,-38.8,-0.449,18.26,18.88,01a59605o1007o
59606.515243,-21.715,1.9,-8,14,o,0,0.84,168.65656,-7.74443,10206.77,10148.17,2.91,2.03,-57.0,-0.43,19.55,20.74,02a59606o0679o
59606.517527,21.792,1.714,7,12,o,0,1.33,168.65656,-7.74443,10227.11,10187.7,2.83,1.98,-55.2,-0.438,19.55,20.73,02a59606o0684o
59606.521184,-20.392,0.525,-25,13,o,0,1.26,168.65656,-7.74443,10167.18,10106.87,2.8,1.91,-56.8,-0.45,19.56,20.73,02a59606o0692o
59606.531249,-20.772,0.687,-18,12,o,0,1.15,168.65656,-7.74443,10149.44,10225.32,2.78,1.9,-56.6,-0.454,19.55,20.72,02a59606o0714o
59607.504121,-20.117,0.324,-33,10,o,0,1.63,168.65656,-7.74443,10207.57,10147.09,2.74,1.88,-53.8,-0.454,19.7,21.06,02a59607o0664o
59607.506404,-20.151,0.375,-32,12,o,0,1.34,168.65656,-7.74443,10227.91,10187.37,2.79,1.88,-56.4,-0.446,19.74,21.07,02a59607o0669o
59607.528318,-21.206,1.011,-12,12,o,0,1.29,168.65656,-7.74443,10166.18,10107.53,2.76,1.93,-54.4,-0.444,19.67,21.07,02a59607o0715o
59607.53381,23.301,6.75,2,12,o,0,1.19,168.65656,-7.74443,10148.44,10225.73,2.94,1.89,-56.2,-0.453,19.69,21.03,02a59607o0727o
59608.557742,-22.322,2.944,-4,13,o,0,1.23,168.65656,-7.74443,3891.58,9962.99,3.35,3.11,-38.3,-0.434,19.24,20.99,01a59608o0769o
59608.561958,-20.851,0.833,-17,14,o,0,1.11,168.65656,-7.74443,3914.19,10003.83,3.35,3.02,-37.7,-0.434,19.26,20.98,01a59608o0778o
59608.597356,-20.726,0.606,-19,11,o,0,1.65,168.65656,-7.74443,3878.9,9929.19,3.06,2.77,-40.0,-0.456,19.37,20.99,01a59608o0853o
