MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59603.638926,21.071,1.212,14,16,o,0,1.16,183.08304,8.08688,3251.94,615.82,2.41,2.18,-59.2,-0.466,19.11,19.95,02a59603o0795o
59603.643784,-20.667,0.89,-20,18,o,0,0.87,183.08304,8.08688,3232.58,574.98,2.27,2.0,-59.1,-0.477,19.17,19.96,02a59603o0804o
59603.656216,-21.313,1.537,-11,17,o,0,0.9,183.08304,8.08688,3286.98,655.19,2.37,2.14,-57.6,-0.463,19.06,19.92,02a59603o0827o
59603.661895,21.167,1.571,12,20,o,0,1.1,183.08304,8.08688,3305.33,538.0,2.53,2.24,-66.0,-0.468,19.02,19.89,02a59603o0837o
59604.524869,20.416,0.649,25,16,o,0,1.21,183.08304,8.08688,9217.84,5139.38,2.83,2.74,-69.8,-0.472,19.13,20.33,01a59604o0705o
59604.526713,20.506,0.787,23,18,o,0,0.9,183.08304,8.08688,9195.12,5098.71,2.88,2.73,-58.5,-0.473,19.12,20.33,01a59604o0709o
59604.540207,22.089,2.769,5,15,o,0,1.29,183.08304,8.08688,9259.87,5171.94,3.0,2.94,-24.4,-0.443,19.1,20.47,01a59604o0738o
59604.546675,20.412,0.656,25,16,o,0,0.87,183.08304,8.08688,9282.66,5054.77,2.92,2.84,-72.0,-0.461,19.19,20.5,01a59604o0752o
59605.646589,21.149,1.057,13,13,o,0,1.08,183.08304,8.08688,1314.09,5484.16,2.87,2.6,-43.8,-0.489,19.3,20.69,01a59605o0954o
59605.651542,-21.758,1.921,-7,14,o,0,1.11,183.08304,8.08688,1336.75,5522.34,2.92,2.7,-50.9,-0.477,19.29,20.67,01a59605o0964o
59605.655699,-20.914,0.839,-16,13,o,0,1.28,183.08304,8.08688,1281.75,5445.61,2.85,2.6,-44.6,-0.494,19.27,20.66,01a59605o0973o
59605.664753,20.759,0.765,18,14,o,0,1.14,183.08304,8.08688,1269.55,5563.55,2.83,2.57,-49.4,-0.491,19.2,20.44,01a59605o0991o
59606.559448,21.93,1.694,6,10,o,0,1.67,183.08304,8.08688,7334.0,9946.69,2.33,2.12,-56.6,-0.442,19.48,20.67,02a59606o0773o
59606.561275,20.706,0.599,19,11,o,0,0.97,183.08304,8.08688,7353.49,9985.73,2.22,2.01,-57.8,-0.447,19.54,20.66,02a59606o0777o
59606.566388,-21.065,1.0,-14,14,o,0,0.74,183.08304,8.08688,7294.58,9906.88,2.35,2.15,-60.6,-0.435,19.49,20.67,02a59606o0788o
59606.571438,-23.361,7.143,-2,12,o,0,1.13,183.08304,8.08688,7275.69,10024.82,2.27,2.02,-59.5,-0.447,19.51,20.66,02a59606o0799o
59607.52686,21.829,1.459,7,10,o,0,1.22,183.08304,8.08688,7326.87,9948.35,2.19,1.98,-51.6,-0.458,19.67,21.03,02a59607o0712o
59607.532897,23.961,12.875,1,12,o,0,1.03,183.08304,8.08688,7350.64,9985.01,2.37,1.93,-55.2,-0.45,19.67,21.0,02a59607o0725o
59607.536559,22.591,3.433,3,12,o,0,0.9,183.08304,8.08688,7292.17,9906.02,2.22,1.96,-57.3,-0.455,19.65,20.99,02a59607o0733o
59607.566569,20.894,0.769,16,12,o,0,0.68,183.08304,8.08688,7273.55,10029.95,2.22,1.97,-56.1,-0.454,19.67,20.93,02a59607o0795o
59608.52883,-21.566,1.853,-9,16,o,0,0.83,183.08304,8.08688,9459.75,745.29,3.46,3.03,-59.4,-0.459,19.28,21.05,01a59608o0708o
59608.531841,21.197,1.02,12,12,o,0,1.61,183.08304,8.08688,9439.83,705.98,3.41,2.94,-64.5,-0.449,19.28,21.05,01a59608o0714o
59608.537377,21.662,1.964,8,15,o,0,1.16,183.08304,8.08688,9500.06,780.84,3.68,3.27,-61.5,-0.437,19.22,21.06,01a59608o0726o
59608.549013,-20.699,0.734,-19,14,o,0,0.95,183.08304,8.08688,9523.76,660.89,3.33,2.93,-61.4,-0.469,19.31,21.07,01a59608o0751o
59610.547044,-21.427,1.09,-10,11,o,0,0.73,183.08304,8.08688,5553.53,1791.47,2.16,1.98,41.3,-0.45,19.65,21.02,02a59610o0762o
59610.549342,22.01,1.9,6,11,o,0,0.72,183.08304,8.08688,5573.78,1832.37,2.2,2.05,38.9,-0.433,19.55,21.03,02a59610o0767o
59610.553465,21.177,0.642,12,8,o,0,1.38,183.08304,8.08688,5516.3,1754.79,2.16,1.94,45.1,-0.44,19.62,21.02,02a59610o0776o
59610.558502,22.459,2.417,4,9,o,0,0.88,183.08304,8.08688,5496.39,1869.97,2.11,1.96,36.9,-0.443,19.63,21.04,02a59610o0787o
59612.57738,22.145,2.121,5,11,c,0,0.85,183.08304,8.08688,5037.63,8765.15,2.61,2.53,36.2,-0.406,19.68,21.64,02a59612o0804c
59612.58255,21.267,0.882,11,10,c,0,1.23,183.08304,8.08688,5018.5,8724.24,2.74,2.62,45.1,-0.402,19.67,21.64,02a59612o0815c
59612.586741,-20.891,0.61,-16,10,c,0,1.19,183.08304,8.08688,5075.63,8804.46,2.66,2.58,41.1,-0.399,19.65,21.65,02a59612o0824c
59612.596936,-21.218,0.886,-12,10,c,0,0.79,183.08304,8.08688,5095.09,8689.04,2.58,2.48,43.0,-0.407,19.7,21.65,02a59612o0846c
59614.58461,22.735,4.412,3,13,o,0,1.05,183.08304,8.08688,1079.25,9871.44,2.78,2.48,-51.1,-0.52,19.5,21.22,01a59614o0821o
59614.608149,-21.824,1.769,-7,12,o,0,1.06,183.08304,8.08688,1115.99,9910.64,2.82,2.46,-47.4,-0.521,19.52,21.24,01a59614o0869o
59614.611491,21.281,1.035,11,12,o,0,1.39,183.08304,8.08688,1056.62,9834.31,3.02,2.67,-47.7,-0.497,19.44,21.24,01a59614o0876o
59614.618482,21.007,0.831,14,12,o,0,1.14,183.08304,8.08688,1043.38,9952.38,2.95,2.59,-49.8,-0.502,19.47,21.24,01a59614o0891o
59616.61244,-23.248,5.833,-2,11,c,0,0.87,183.08304,8.08688,5036.32,8765.09,2.65,2.48,45.7,-0.398,19.58,21.41,02a59616o0829c
59616.615704,25.194,32.5,0,10,c,0,1.15,183.08304,8.08688,5018.61,8729.61,2.6,2.5,39.8,-0.402,19.56,21.4,02a59616o0836c
59616.625956,-22.825,3.938,-3,11,c,0,1.08,183.08304,8.08688,5074.63,8807.17,2.77,2.62,46.1,-0.389,19.51,21.39,02a59616o0858c
59616.633783,22.477,3.333,4,12,c,0,0.74,183.08304,8.08688,5094.44,8691.65,2.6,2.54,46.6,-0.399,19.56,21.37,02a59616o0875c
59618.521679,20.291,0.386,28,11,o,0,1.05,183.08304,8.08688,4968.42,6833.7,2.79,2.67,-38.9,-0.466,19.45,21.14,01a59618o0696o
59618.5249,21.871,1.694,6,11,o,0,1.31,183.08304,8.08688,4947.87,6792.5,2.85,2.69,-36.4,-0.46,19.44,21.2,01a59618o0703o
59618.530497,21.05,0.787,14,11,o,0,0.98,183.08304,8.08688,5007.98,6867.8,2.79,2.61,-38.8,-0.469,19.52,21.27,01a59618o0715o
59618.540179,19.965,0.281,38,10,o,0,1.13,183.08304,8.08688,5025.76,6751.65,2.78,2.61,-45.6,-0.474,19.5,21.25,01a59618o0736o
59620.520225,20.286,0.342,28,10,c,0,0.89,183.08304,8.08688,5790.7,7607.5,2.48,2.36,28.5,-0.414,19.63,21.44,02a59620o0649c
59620.522509,20.73,0.466,18,9,c,0,1.46,183.08304,8.08688,5810.36,7646.87,2.5,2.35,27.7,-0.419,19.67,21.49,02a59620o0654c
59620.527108,20.525,0.471,22,11,c,0,0.9,183.08304,8.08688,5752.12,7568.78,2.51,2.41,30.8,-0.415,19.67,21.55,02a59620o0664c
59620.533118,20.113,0.323,33,11,c,0,0.89,183.08304,8.08688,5732.44,7687.43,2.56,2.41,29.1,-0.409,19.66,21.55,02a59620o0677c
59622.511951,19.668,0.34,49,17,o,0,1.02,183.08304,8.08688,4968.41,6832.03,2.84,2.77,-51.7,-0.454,19.14,20.32,01a59622o0643o
59622.515179,20.066,0.495,34,17,o,0,0.92,183.08304,8.08688,4948.66,6791.57,2.8,2.74,-43.7,-0.463,19.14,20.34,01a59622o0650o
59622.529949,19.29,0.226,70,16,o,0,1.13,183.08304,8.08688,5008.16,6866.51,2.77,2.69,-46.7,-0.469,19.18,20.38,01a59622o0681o
59622.535475,19.627,0.285,51,15,o,0,1.29,183.08304,8.08688,5026.29,6750.06,2.77,2.7,-40.0,-0.467,19.18,20.39,01a59622o0693o
59624.44278,18.796,0.207,110,23,o,0,0.99,183.08304,8.08688,5107.2,532.09,3.02,2.74,-42.0,-0.488,18.77,19.62,01a59624o0520o
59624.444623,19.109,0.268,82,22,o,0,1.37,183.08304,8.08688,5087.85,492.52,3.03,2.77,-41.3,-0.48,18.74,19.63,01a59624o0524o
59624.448309,18.723,0.204,118,24,o,0,0.9,183.08304,8.08688,5147.51,570.09,2.98,2.71,-44.2,-0.488,18.75,19.63,01a59624o0532o
59624.462499,18.694,0.183,121,22,o,0,1.24,183.08304,8.08688,5165.26,447.88,3.03,2.73,-43.3,-0.486,18.74,19.69,01a59624o0561o
59624.586031,19.168,0.188,78,15,o,0,1.28,183.08304,8.08688,4795.88,2951.99,2.12,1.85,43.6,-0.458,19.18,19.77,02a59624o0330o
59624.589937,18.698,0.115,120,14,o,0,1.74,183.08304,8.08688,4775.54,2910.85,2.08,1.85,43.1,-0.461,19.12,19.72,02a59624o0338o
