MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59604.454564,21.647,2.0,8,16,o,0,1.04,159.09368,2.76491,10091.73,4984.45,3.0,2.89,-39.2,-0.458,19.21,20.58,01a59604o0557o
59604.456406,-20.732,0.86,-18,16,o,0,1.24,159.09368,2.76491,10072.27,4945.62,2.97,2.81,-57.6,-0.471,19.18,20.58,01a59604o0561o
59604.4865,21.111,1.154,13,15,o,0,1.14,159.09368,2.76491,10142.75,5009.5,2.98,2.81,-49.0,-0.472,19.25,20.6,01a59604o0623o
59604.493978,-20.188,0.456,-30,14,o,0,1.5,159.09368,2.76491,10164.87,4892.84,2.93,2.75,-59.8,-0.479,19.22,20.6,01a59604o0639o
59604.502748,-22.82,5.267,-3,14,o,0,1.29,159.09368,2.76491,48.61,5056.74,2.87,2.54,-50.4,-0.515,19.3,20.65,01a59604o0658o
59605.574077,-19.507,0.249,-57,14,o,0,1.22,159.09368,2.76491,10519.37,5382.63,2.87,2.74,-65.7,-0.477,19.36,20.75,01a59605o0801o
59605.582008,-19.295,0.215,-70,15,o,0,1.03,159.09368,2.76491,10507.02,5499.92,2.93,2.8,-66.8,-0.475,19.31,20.71,01a59605o0818o
59605.588685,-20.444,0.573,-24,14,o,0,1.24,159.09368,2.76491,433.36,5641.52,2.71,2.4,-48.7,-0.509,19.36,20.66,01a59605o0832o
59605.592411,-20.307,0.503,-27,14,o,0,1.47,159.09368,2.76491,455.48,5678.87,2.71,2.49,-49.8,-0.49,19.32,20.66,01a59605o0840o
59605.624955,-20.761,0.782,-18,14,o,0,1.4,159.09368,2.76491,414.83,5603.73,2.89,2.54,-48.3,-0.489,19.29,20.64,01a59605o0908o
59605.63346,-22.435,4.143,-4,16,o,0,1.0,159.09368,2.76491,404.5,5722.48,2.93,2.56,-46.6,-0.485,19.27,20.63,01a59605o0926o
59606.541938,-20.708,0.691,-19,13,o,0,1.75,159.09368,2.76491,8656.2,482.31,2.12,1.7,-58.9,-0.465,19.54,20.7,02a59606o0736o
59606.547482,-22.337,3.409,-4,14,o,0,1.3,159.09368,2.76491,8639.86,441.7,2.16,1.74,-59.4,-0.459,19.51,20.69,02a59606o0748o
59606.550983,21.035,0.904,14,13,o,0,1.97,159.09368,2.76491,8698.73,521.49,2.23,1.81,-59.3,-0.454,19.48,20.69,02a59606o0755o
59606.58625,-20.289,0.488,-28,14,o,0,1.81,159.09368,2.76491,8716.58,403.05,2.18,1.69,-57.5,-0.462,19.47,20.58,02a59606o0831o
59607.497249,-21.982,1.678,-6,10,o,0,1.95,159.09368,2.76491,1926.57,10081.38,2.31,1.55,-55.4,-0.521,19.71,21.05,02a59607o0649o
59607.499077,-20.006,0.288,-36,10,o,0,2.76,159.09368,2.76491,1945.69,10118.38,2.19,1.55,-54.6,-0.513,19.71,21.05,02a59607o0653o
59607.502733,-21.668,1.297,-8,10,o,0,2.43,159.09368,2.76491,1887.48,10038.75,2.09,1.52,-54.5,-0.477,19.72,21.07,02a59607o0661o
59607.517833,-19.995,0.375,-36,14,o,0,0.77,159.09368,2.76491,8721.29,400.81,2.25,1.75,-58.8,-0.464,19.61,21.1,02a59607o0693o
59608.481327,-20.575,0.656,-21,14,o,0,1.0,159.09368,2.76491,4675.47,685.2,3.35,3.13,-44.9,-0.43,19.3,21.11,01a59608o0610o
59608.483174,-21.073,0.839,-14,11,o,0,1.7,159.09368,2.76491,4656.27,645.78,3.19,2.99,-51.8,-0.44,19.39,21.14,01a59608o0614o
59608.486402,-19.246,0.155,-73,11,o,0,1.17,159.09368,2.76491,4716.53,722.88,3.28,3.1,-46.7,-0.431,19.34,21.15,01a59608o0621o
59608.516531,21.785,1.758,7,12,o,0,1.18,159.09368,2.76491,5799.32,9976.27,3.1,2.98,-45.4,-0.446,19.35,21.12,01a59608o0683o
59610.4857,-21.356,0.786,-10,8,o,0,2.16,159.09368,2.76491,4599.32,1926.06,2.09,1.89,43.3,-0.447,19.66,21.0,02a59610o0628o
59610.487539,-20.534,0.359,-22,8,o,0,1.99,159.09368,2.76491,4618.89,1965.27,2.09,1.91,39.2,-0.446,19.66,20.98,02a59610o0632o
59610.490281,-20.562,0.468,-22,10,o,0,1.38,159.09368,2.76491,4561.07,1887.04,2.16,1.97,42.7,-0.439,19.63,20.97,02a59610o0638o
59610.497592,-20.415,0.401,-25,10,o,0,1.28,159.09368,2.76491,4541.47,2005.19,2.13,1.92,38.4,-0.448,19.63,20.97,02a59610o0654o
59612.517904,21.485,0.983,9,9,c,0,1.7,159.09368,2.76491,5989.79,8629.23,2.67,2.48,35.2,-0.406,19.7,21.6,02a59612o0675c
59612.521235,-21.159,0.867,-12,11,c,0,1.2,159.09368,2.76491,5971.0,8590.48,2.64,2.43,40.9,-0.411,19.69,21.6,02a59612o0682c
59612.528581,22.204,2.313,5,11,c,0,1.25,159.09368,2.76491,6028.29,8668.4,2.6,2.44,37.1,-0.412,19.71,21.63,02a59612o0698c
59612.538657,21.047,0.719,14,10,c,0,1.32,159.09368,2.76491,6048.48,8555.5,2.68,2.5,41.4,-0.407,19.67,21.63,02a59612o0720c
59614.521827,-20.881,0.64,-16,10,o,0,1.41,159.09368,2.76491,5872.99,9897.45,2.85,2.79,49.3,-0.466,19.48,21.08,01a59614o0687o
59614.524614,20.713,0.687,19,13,o,0,1.16,159.09368,2.76491,5895.47,9935.44,2.91,2.78,54.4,-0.461,19.45,21.09,01a59614o0693o
59614.531696,-20.693,0.608,-19,12,o,0,1.21,159.09368,2.76491,5839.84,9859.55,2.86,2.79,56.6,-0.464,19.46,21.1,01a59614o0708o
59614.541469,-22.648,3.529,-3,11,o,0,1.37,159.09368,2.76491,5829.55,9978.08,2.86,2.82,62.3,-0.47,19.48,21.14,01a59614o0729o
59616.591479,-23.1,4.769,-2,10,c,0,1.64,159.09368,2.76491,5989.42,8633.52,2.7,2.53,43.6,-0.398,19.56,21.35,02a59616o0784c
59616.599433,23.934,11.667,1,11,c,0,1.33,159.09368,2.76491,5973.91,8594.68,2.69,2.53,40.0,-0.401,19.53,21.31,02a59616o0801c
59616.611516,21.574,1.308,8,11,c,0,1.67,159.09368,2.76491,6030.78,8671.48,2.65,2.56,36.2,-0.403,19.5,21.25,02a59616o0827c
59618.460778,-19.976,0.249,-37,9,o,0,1.45,159.09368,2.76491,5906.54,6679.19,2.84,2.64,-44.8,-0.469,19.55,21.3,01a59618o0564o
59618.462626,-22.036,2.0,-6,11,o,0,1.12,159.09368,2.76491,5887.03,6640.44,2.81,2.74,-36.1,-0.456,19.51,21.29,01a59618o0568o
59618.46631,-21.852,1.622,-7,11,o,0,1.02,159.09368,2.76491,5945.55,6715.81,2.82,2.68,-50.6,-0.467,19.48,21.28,01a59618o0576o
59618.477402,20.875,0.667,16,11,o,0,1.36,159.09368,2.76491,5962.72,6595.68,2.84,2.71,-49.2,-0.459,19.49,21.26,01a59618o0600o
59620.453274,22.528,2.943,4,10,o,0,2.5,159.09368,2.76491,4856.51,7738.33,2.03,1.92,27.9,-0.447,19.48,20.42,02a59620o0514o
59620.483505,-21.949,1.981,-6,12,o,0,1.11,159.09368,2.76491,5705.28,2775.41,2.18,2.01,39.5,-0.444,19.4,20.47,02a59620o0578o
59620.486607,-20.082,0.326,-34,11,o,0,2.5,159.09368,2.76491,5763.26,2855.0,2.2,2.02,43.4,-0.438,19.41,20.49,02a59620o0584o
59620.511102,-21.535,1.133,-9,10,o,0,1.43,159.09368,2.76491,5777.41,2737.49,2.11,1.96,48.1,-0.443,19.51,20.66,02a59620o0633o
59622.419921,20.168,0.596,31,19,o,0,1.34,159.09368,2.76491,5904.06,6683.59,2.79,2.76,85.5,-0.461,19.02,20.08,01a59622o0448o
59622.427027,19.282,0.241,70,17,o,0,1.69,159.09368,2.76491,5884.97,6645.61,2.82,2.76,22.2,-0.456,19.05,20.11,01a59622o0463o
59622.430301,19.722,0.328,47,15,o,0,1.53,159.09368,2.76491,5943.49,6720.06,2.84,2.83,-12.2,-0.454,19.0,20.1,01a59622o0470o
59622.454784,19.397,0.284,63,18,o,0,1.13,159.09368,2.76491,5965.76,6598.5,2.8,2.75,21.1,-0.462,19.11,20.2,01a59622o0521o
59624.481229,18.624,0.188,129,24,o,0,1.01,159.09368,2.76491,5724.66,2812.58,2.04,1.87,41.2,-0.454,18.95,19.31,02a59624o0106o
59624.484081,19.64,0.417,51,21,o,0,0.52,159.09368,2.76491,5708.04,2773.12,2.01,1.85,37.2,-0.456,18.96,19.31,02a59624o0112o
59624.490487,19.374,0.316,65,20,o,0,1.03,159.09368,2.76491,5766.09,2850.66,2.08,1.9,34.8,-0.435,18.89,19.31,02a59624o0126o
59624.501043,19.156,0.244,79,19,o,0,1.2,159.09368,2.76491,5787.07,2735.4,2.05,1.9,43.8,-0.439,18.94,19.33,02a59624o0149o
59630.510827,18.419,0.143,156,22,o,0,0.87,159.09368,2.76491,10392.67,10116.5,3.1,2.9,-81.5,-0.396,18.89,19.76,01a59630o0558o
59630.51404,18.435,0.141,154,22,o,0,1.04,159.09368,2.76491,10413.93,10154.92,3.14,2.94,83.1,-0.385,18.85,19.75,01a59630o0565o
59630.519998,18.549,0.142,138,20,o,0,1.38,159.09368,2.76491,10353.91,10078.39,3.11,2.89,-88.8,-0.396,18.86,19.73,01a59630o0578o
59630.523189,18.176,0.129,195,25,o,0,1.24,159.09368,2.76491,58.79,10343.6,3.09,2.57,-44.2,-0.55,18.81,19.69,01a59630o0585o
59630.526039,18.217,0.16,188,30,o,0,0.97,159.09368,2.76491,79.46,10383.13,3.1,2.55,-44.0,-0.539,18.84,19.68,01a59630o0591o
59630.53163,18.489,0.162,146,24,o,0,0.96,159.09368,2.76491,10338.57,10198.78,3.15,2.94,88.1,-0.403,18.79,19.69,01a59630o0603o
59632.507481,18.258,0.075,181,14,o,0,1.38,159.09368,2.76491,3961.6,6777.3,2.52,2.21,45.2,-0.41,19.27,20.3,02a59632o0595o
59632.510698,18.278,0.077,177,14,o,0,1.41,159.09368,2.76491,3942.58,6737.58,2.46,2.19,43.6,-0.413,19.24,20.29,02a59632o0602o
59632.516205,18.389,0.097,160,16,o,0,1.03,159.09368,2.76491,4000.24,6816.97,2.73,2.42,47.5,-0.405,19.16,20.28,02a59632o0614o
59632.526778,18.022,0.066,224,15,o,0,1.47,159.09368,2.76491,4020.16,6700.52,2.43,2.15,43.7,-0.413,19.26,20.28,02a59632o0637o
59634.45496,18.101,0.069,209,14,o,0,1.5,159.09368,2.76491,8496.99,3629.17,3.13,3.02,-39.0,-0.435,19.3,20.93,01a59634o0539o
59634.461963,18.136,0.074,202,15,o,0,1.19,159.09368,2.76491,8519.19,3666.11,3.36,3.28,-37.3,-0.406,19.22,20.94,01a59634o0554o
59634.465154,18.258,0.083,181,15,o,0,1.18,159.09368,2.76491,8459.81,3591.81,3.56,3.15,-8.6,-0.404,19.2,20.95,01a59634o0561o
59634.477854,17.953,0.069,239,17,o,0,1.08,159.09368,2.76491,8446.06,3708.66,3.49,3.0,-7.8,-0.406,19.18,20.88,01a59634o0588o
