MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59585.62775,18.656,0.106,125,13,c,0,0.95,175.64306,-34.71426,4852.06,7109.5,2.85,2.6,40.9,-0.391,19.43,21.48,02a59585o0759c
59585.630951,18.571,0.096,135,13,c,0,1.0,175.64306,-34.71426,4833.7,7069.93,2.83,2.64,42.5,-0.389,19.39,21.49,02a59585o0766c
59585.636911,18.826,0.105,107,11,c,0,1.38,175.64306,-34.71426,4892.13,7147.28,2.83,2.62,40.7,-0.39,19.39,21.5,02a59585o0779c
59585.653976,18.646,0.099,126,12,c,0,0.95,175.64306,-34.71426,4916.17,7032.89,2.81,2.66,42.7,-0.395,19.42,21.48,02a59585o0816c
59589.625916,18.877,0.117,102,12,c,0,1.37,175.64306,-34.71426,8970.72,3495.34,2.77,2.64,49.5,-0.396,19.38,21.39,02a59589o0741c
59589.641792,18.58,0.092,134,12,c,0,1.09,175.64306,-34.71426,8952.88,3456.03,2.62,2.52,59.7,-0.4,19.42,21.34,02a59589o0775c
59589.66413,18.62,0.095,129,12,c,0,1.38,175.64306,-34.71426,9009.93,3534.4,2.67,2.6,55.9,-0.391,19.22,20.9,02a59589o0823c
59589.67009,18.555,0.146,137,20,c,0,1.14,175.64306,-34.71426,9031.65,3422.47,2.66,2.58,61.2,-0.386,18.79,19.93,02a59589o0836c
59591.565064,18.759,0.132,114,15,o,0,1.44,175.64306,-34.71426,2118.35,5597.6,3.34,3.23,-71.5,-0.448,19.13,20.85,01a59591o0788o
59591.56829,18.664,0.137,124,17,o,0,1.15,175.64306,-34.71426,2099.55,5558.92,3.41,3.36,67.3,-0.432,19.1,20.88,01a59591o0795o
59591.571513,18.595,0.117,132,16,o,0,1.19,175.64306,-34.71426,2159.09,5635.33,3.39,3.2,-62.6,-0.446,19.16,20.9,01a59591o0802o
59591.576577,18.824,0.142,107,15,o,0,1.1,175.64306,-34.71426,2178.35,5518.45,3.29,3.18,-73.9,-0.443,19.15,20.89,01a59591o0813o
59595.56986,18.644,0.275,127,35,o,0,0.87,175.64306,-34.71426,7100.06,7462.33,3.11,2.91,41.3,-0.442,18.51,19.28,01a59595o0816o
59595.573098,19.448,0.587,60,35,o,0,0.95,175.64306,-34.71426,7081.38,7424.15,3.08,2.92,43.9,-0.442,18.52,19.3,01a59595o0823o
59595.578627,19.1,0.398,83,33,o,0,1.08,175.64306,-34.71426,7142.94,7497.93,3.08,2.89,44.5,-0.444,18.58,19.32,01a59595o0835o
59595.586425,18.72,0.259,118,30,o,0,1.27,175.64306,-34.71426,7163.51,7378.59,2.91,2.86,-77.4,-0.477,18.56,19.33,01a59595o0851o
59599.544911,18.431,0.266,154,41,o,0,1.14,175.64306,-34.71426,7096.4,7462.19,2.97,2.89,-65.4,-0.481,18.45,19.23,01a59599o0760o
59599.549069,19.034,0.446,88,39,o,0,1.08,175.64306,-34.71426,7079.64,7424.18,2.83,2.82,-77.5,-0.477,18.56,19.25,01a59599o0769o
59599.551832,18.798,0.326,110,36,o,0,1.45,175.64306,-34.71426,7138.27,7498.9,2.94,2.89,-41.5,-0.467,18.49,19.26,01a59599o0775o
59599.560609,19.072,0.462,85,40,o,0,1.14,175.64306,-34.71426,7158.88,7380.04,3.36,3.11,34.7,-0.436,18.39,19.27,01a59599o0794o
59601.496517,19.894,0.763,40,30,o,0,1.46,175.64306,-34.71426,1391.15,1249.53,3.23,2.96,-56.7,-0.421,18.24,19.02,02a59601o0547o
59601.500636,19.54,0.581,56,32,o,0,0.91,175.64306,-34.71426,1416.97,1284.84,3.27,2.94,-60.6,-0.396,18.28,19.05,02a59601o0556o
59601.506135,19.059,0.366,86,32,o,0,0.87,175.64306,-34.71426,1356.83,1205.27,2.84,2.38,-57.5,-0.445,18.48,19.08,02a59601o0568o
59601.517146,21.561,3.289,9,28,o,0,1.12,175.64306,-34.71426,1334.7,1323.35,3.18,2.73,-58.4,-0.414,18.42,19.15,02a59601o0592o
59603.595542,18.833,0.226,106,24,o,0,0.95,175.64306,-34.71426,3514.64,7003.0,3.17,3.09,60.1,-0.4,18.73,19.82,01a59603o0833o
59603.59916,18.746,0.213,115,25,o,0,1.1,175.64306,-34.71426,3537.23,7041.82,3.37,3.33,-60.4,-0.403,18.63,19.81,01a59603o0840o
59603.627676,19.264,0.384,72,28,o,0,0.97,175.64306,-34.71426,3496.12,6969.0,3.18,3.08,-51.9,-0.425,18.71,19.75,01a59603o0901o
59603.656218,19.27,0.399,71,28,o,0,1.22,175.64306,-34.71426,3494.67,7089.89,3.29,3.21,-58.9,-0.405,18.58,19.6,01a59603o0961o
