MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59616.464835,-21.839,1.588,-7,11,c,0,0.68,154.67023,10.77943,1758.8,6726.88,2.38,2.32,-23.9,-0.429,19.67,21.54,02a59616o0557c
59616.466757,24.045,10.857,1,10,c,0,1.16,154.67023,10.77943,1778.11,6763.76,2.32,2.25,-19.8,-0.432,19.7,21.53,02a59616o0561c
59616.487574,21.456,1.062,10,10,c,0,1.24,154.67023,10.77943,1720.16,6686.27,2.51,2.48,-13.3,-0.418,19.62,21.55,02a59616o0604c
59616.506841,-21.077,0.828,-14,11,c,0,1.37,154.67023,10.77943,8886.92,3752.76,3.11,3.02,-62.3,-0.373,19.42,21.49,02a59616o0644c
59618.447278,-22.114,2.107,-5,11,o,0,1.44,154.67023,10.77943,8689.87,1824.99,2.88,2.64,-55.7,-0.504,19.47,21.16,01a59618o0535o
59618.449169,-21.588,1.304,-8,11,o,0,1.39,154.67023,10.77943,8669.76,1785.84,2.87,2.62,-57.7,-0.505,19.52,21.19,01a59618o0539o
59618.45477,-20.847,0.779,-17,13,o,0,1.28,154.67023,10.77943,8729.76,1860.94,2.98,2.72,-59.2,-0.491,19.49,21.27,01a59618o0551o
59618.467697,-21.002,1.014,-14,15,o,0,0.84,154.67023,10.77943,8747.74,1742.23,2.98,2.71,-59.8,-0.5,19.44,21.21,01a59618o0579o
59620.442705,21.146,0.953,13,12,o,0,1.14,154.67023,10.77943,2091.72,2367.6,2.01,1.92,-34.4,-0.453,19.44,20.39,02a59620o0491o
59620.445901,20.708,0.787,19,15,o,0,0.95,154.67023,10.77943,2111.49,2406.59,2.01,1.95,-46.8,-0.454,19.44,20.39,02a59620o0498o
59620.45053,-22.961,5.652,-2,13,o,0,0.89,154.67023,10.77943,2054.03,2328.04,2.08,1.89,-49.9,-0.459,19.45,20.4,02a59620o0508o
59620.478126,-22.247,3.086,-5,14,o,0,1.19,154.67023,10.77943,8549.18,8117.08,2.33,2.23,41.7,-0.44,19.42,20.45,02a59620o0567o
59622.389972,-20.063,0.626,-34,21,o,0,1.07,154.67023,10.77943,8691.86,1836.75,2.76,2.53,-55.3,-0.522,18.98,19.93,01a59622o0385o
59622.392274,24.612,39.667,0,21,o,0,1.27,154.67023,10.77943,8671.7,1796.86,2.73,2.51,-54.0,-0.522,18.98,19.95,01a59622o0390o
59622.395059,-21.426,1.911,-10,19,o,0,1.38,154.67023,10.77943,8733.32,1874.72,2.76,2.56,-53.3,-0.516,18.99,19.94,01a59622o0396o
59622.407739,-20.056,0.538,-34,19,o,0,1.48,154.67023,10.77943,8748.91,1755.22,2.89,2.66,-58.7,-0.506,18.94,19.95,01a59622o0423o
59623.340934,-20.637,1.364,-20,28,o,0,1.16,154.67023,10.77943,8687.72,1847.52,3.08,2.65,-56.4,-0.513,18.58,19.39,01a59623o0298o
59623.34464,-21.31,2.322,-11,25,o,0,1.06,154.67023,10.77943,8667.74,1807.98,2.86,2.56,-57.8,-0.524,18.67,19.43,01a59623o0306o
59623.348324,20.647,1.291,20,26,o,0,0.91,154.67023,10.77943,8727.55,1884.48,2.96,2.64,-60.1,-0.507,18.67,19.45,01a59623o0314o
59623.361128,-19.148,0.322,-80,26,o,0,1.12,154.67023,10.77943,8747.86,1760.88,3.14,2.82,-58.3,-0.489,18.67,19.54,01a59623o0338o
59624.432912,19.826,0.799,43,34,o,0,1.01,154.67023,10.77943,8900.29,5699.74,2.97,2.6,-62.3,-0.497,18.67,19.43,01a59624o0499o
59624.434754,22.303,7.609,4,33,o,0,1.11,154.67023,10.77943,8879.93,5661.46,3.02,2.63,-62.0,-0.488,18.69,19.43,01a59624o0503o
59624.460468,-19.748,0.822,-46,38,o,0,1.14,154.67023,10.77943,8937.71,5730.7,3.01,2.72,-60.3,-0.488,18.57,19.32,01a59624o0557o
59624.4803,-19.533,0.528,-56,30,o,0,1.15,154.67023,10.77943,8490.41,8192.48,2.19,2.1,60.0,-0.45,18.9,19.2,02a59624o0104o
59624.483159,-19.398,0.566,-63,36,o,0,0.93,154.67023,10.77943,8473.54,8151.33,2.21,2.11,43.2,-0.468,18.9,19.2,02a59624o0110o
59624.484522,-20.293,0.868,-28,24,o,0,1.48,154.67023,10.77943,1585.6,4985.05,2.66,2.64,76.1,-0.487,18.59,19.29,01a59624o0606o
59624.489572,20.487,1.278,23,30,o,0,0.9,154.67023,10.77943,8532.0,8230.89,2.21,2.11,43.2,-0.453,18.87,19.2,02a59624o0124o
59624.500586,21.574,3.214,8,27,o,0,1.19,154.67023,10.77943,8551.94,8116.71,2.25,2.13,43.6,-0.442,18.88,19.21,02a59624o0148o
59630.500218,-20.428,0.856,-24,21,o,0,1.01,154.67023,10.77943,1652.83,4902.17,2.92,2.66,-54.6,-0.488,18.88,19.81,01a59630o0535o
59630.503494,21.56,2.354,9,20,o,0,1.06,154.67023,10.77943,1674.52,4941.12,2.88,2.59,-51.3,-0.492,18.89,19.8,01a59630o0542o
59630.509004,-20.016,0.581,-36,21,o,0,1.06,154.67023,10.77943,1615.39,4865.0,2.86,2.61,-51.2,-0.501,18.89,19.79,01a59630o0554o
59630.523691,-22.272,4.75,-4,21,o,0,1.21,154.67023,10.77943,1601.01,4982.7,2.97,2.64,-48.1,-0.495,18.83,19.75,01a59630o0586o
59632.478442,-22.295,2.818,-4,12,o,0,1.43,154.67023,10.77943,6805.25,1974.23,2.37,2.26,66.4,-0.42,19.27,20.36,02a59632o0532o
59632.481247,21.39,1.521,10,15,o,0,0.83,154.67023,10.77943,6786.44,1935.19,2.45,2.36,71.8,-0.418,19.2,20.35,02a59632o0538o
59632.486736,20.91,0.881,16,14,o,0,1.08,154.67023,10.77943,6845.13,2013.15,2.27,2.21,-82.5,-0.424,19.29,20.35,02a59632o0550o
59632.496812,20.089,0.417,34,14,o,0,1.01,154.67023,10.77943,6865.53,1896.82,2.4,2.32,-88.1,-0.422,19.23,20.35,02a59632o0572o
59634.344051,19.837,0.356,42,15,o,0,0.99,154.67023,10.77943,4781.07,2086.51,2.94,2.74,-45.0,-0.467,19.24,20.66,01a59634o0303o
59634.36813,20.019,0.355,36,13,o,0,1.56,154.67023,10.77943,4763.44,2040.78,2.8,2.65,-43.6,-0.472,19.32,20.75,01a59634o0354o
59634.370104,19.859,0.324,41,13,o,0,1.18,154.67023,10.77943,4823.09,2118.17,3.03,2.83,-23.7,-0.442,19.25,20.75,01a59634o0358o
59634.375589,20.321,0.587,27,16,o,0,1.17,154.67023,10.77943,4840.9,2002.9,3.94,3.05,1.4,-0.38,19.06,20.75,01a59634o0370o
59636.449551,19.01,0.132,90,12,c,0,1.07,154.67023,10.77943,6645.0,10225.15,2.7,2.59,50.1,-0.405,19.65,21.43,02a59636o0516c
59636.454871,19.243,0.16,73,12,c,0,1.46,154.67023,10.77943,6625.65,10185.54,2.73,2.6,48.4,-0.408,19.65,21.44,02a59636o0527c
59636.486179,-20.269,5.319,-28,151,c,0,0.36,154.67023,10.77943,868.27,36.62,2.54,2.19,-64.2,-0.445,19.64,21.42,02a59636o0593c
59636.487093,18.998,0.133,91,12,c,0,1.11,154.67023,10.77943,6678.39,10263.89,2.63,2.61,-58.2,-0.413,19.65,21.43,02a59636o0595c
