MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59616.562029,22.939,5.571,2,14,c,0,0.86,192.16571,4.03662,2622.59,9648.48,2.81,2.62,-52.5,-0.416,19.47,21.45,02a59616o0721c
59616.563867,20.23,0.429,29,13,c,0,1.0,192.16571,4.03662,2641.98,9687.01,2.84,2.62,-54.1,-0.41,19.5,21.46,02a59616o0725c
59616.593423,21.357,0.974,10,10,c,0,1.21,192.16571,4.03662,8004.34,947.72,2.55,2.28,-64.8,-0.414,19.63,21.48,02a59616o0788c
59616.603199,-22.077,2.308,-5,12,c,0,0.86,192.16571,4.03662,8025.24,831.42,2.57,2.28,-63.5,-0.411,19.59,21.44,02a59616o0809c
59618.544338,-22.045,2.437,-6,14,o,0,0.55,192.16571,4.03662,2524.09,9212.56,2.84,2.55,-36.7,-0.478,19.49,21.23,01a59618o0745o
59618.54756,23.164,7.182,2,14,o,0,0.8,192.16571,4.03662,2505.35,9174.2,2.9,2.6,-40.2,-0.471,19.47,21.18,01a59618o0752o
59618.550324,21.629,1.533,8,12,o,0,1.11,192.16571,4.03662,2564.88,9250.34,2.88,2.62,-39.4,-0.473,19.47,21.17,01a59618o0758o
59618.560478,21.952,2.091,6,13,o,0,0.95,192.16571,4.03662,2584.38,9131.7,2.92,2.63,-45.2,-0.473,19.43,21.13,01a59618o0780o
59620.545491,20.832,0.517,17,9,c,0,1.34,192.16571,4.03662,8282.48,5285.05,2.53,2.43,37.4,-0.401,19.68,21.49,02a59620o0704c
59620.54733,23.861,8.571,1,9,c,0,1.14,192.16571,4.03662,8301.95,5322.53,2.55,2.46,44.5,-0.407,19.63,21.49,02a59620o0708c
59620.550089,20.848,0.536,17,9,c,0,1.49,192.16571,4.03662,8244.1,5247.71,2.57,2.47,40.9,-0.403,19.63,21.5,02a59620o0714c
59620.556041,-22.401,2.179,-4,9,c,0,1.6,192.16571,4.03662,8224.04,5364.34,2.54,2.41,40.4,-0.399,19.66,21.5,02a59620o0727c
59622.591689,-23.135,5.455,-2,11,o,0,1.36,192.16571,4.03662,7998.71,1362.37,2.83,2.67,-63.6,-0.494,19.45,21.14,01a59622o0811o
59622.59538,-22.92,5.154,-2,13,o,0,0.84,192.16571,4.03662,8020.33,1400.9,2.84,2.7,-73.6,-0.61,19.45,21.2,01a59622o0819o
59622.601956,-21.555,1.348,-9,12,o,0,1.26,192.16571,4.03662,7961.59,1325.78,2.88,2.69,-60.3,-0.495,19.48,21.25,01a59622o0833o
59622.637096,-22.047,2.241,-6,12,o,0,0.93,192.16571,4.03662,7951.87,1448.13,2.91,2.68,-59.8,-0.491,19.43,21.18,01a59622o0908o
59624.628063,21.848,2.095,7,14,o,0,1.06,192.16571,4.03662,2297.89,5266.87,2.11,1.93,38.4,-0.449,19.21,19.91,02a59624o0415o
59624.631333,-20.351,0.473,-26,12,o,0,1.35,192.16571,4.03662,2278.4,5227.7,2.1,1.87,38.6,-0.447,19.24,19.93,02a59624o0422o
59624.64064,-20.683,0.804,-19,16,o,0,0.78,192.16571,4.03662,2339.68,5311.44,2.08,1.9,38.8,-0.452,19.24,20.02,02a59624o0442o
59624.650912,22.819,4.24,3,12,o,0,1.49,192.16571,4.03662,2362.69,5194.65,2.14,2.01,29.1,-0.418,19.26,20.18,02a59624o0462o
59632.592046,-25.639,84.5,0,17,o,0,0.87,192.16571,4.03662,510.93,9261.75,2.1,1.83,-52.4,-0.476,19.2,20.1,02a59632o0779o
59632.595711,21.69,2.0,8,15,o,0,1.16,192.16571,4.03662,493.1,9227.1,2.26,2.0,-54.8,-0.47,19.16,20.08,02a59632o0787o
59632.611391,21.921,2.871,6,18,o,0,0.78,192.16571,4.03662,550.93,9302.63,2.11,1.79,-52.3,-0.473,19.19,20.03,02a59632o0821o
59632.618714,25.581,77.5,0,16,o,0,1.13,192.16571,4.03662,570.82,9185.71,2.12,1.92,-57.6,-0.48,19.11,19.99,02a59632o0837o
59634.517133,21.933,2.448,6,15,o,0,0.93,192.16571,4.03662,8760.97,9296.57,3.09,2.99,49.7,-0.426,19.27,20.76,01a59634o0672o
59634.538528,19.738,0.369,46,17,o,0,0.89,192.16571,4.03662,8741.58,9251.05,3.4,3.25,49.8,-0.406,19.18,20.75,01a59634o0718o
59634.555782,20.266,0.551,28,16,o,0,1.04,192.16571,4.03662,1716.99,1266.95,2.85,2.71,-47.6,-0.527,19.28,20.66,01a59634o0755o
59634.561837,22.434,5.267,4,20,o,0,0.73,192.16571,4.03662,1701.76,1384.37,3.35,3.27,-54.2,-0.462,19.07,20.63,01a59634o0768o
59636.402743,19.338,0.2,67,13,c,0,0.81,192.16571,4.03662,10137.27,3244.16,2.64,2.48,-54.7,-0.418,19.58,21.4,02a59636o0415c
59636.405956,19.581,0.214,53,11,c,0,0.96,192.16571,4.03662,10162.9,3282.13,2.63,2.47,-62.3,-0.418,19.59,21.4,02a59636o0422c
59636.42968,19.146,0.16,80,13,c,0,0.79,192.16571,4.03662,10107.31,3201.8,2.6,2.41,-49.1,-0.414,19.6,21.44,02a59636o0473c
59636.45826,19.35,0.172,66,11,c,0,0.99,192.16571,4.03662,10081.9,3327.15,2.49,2.41,-36.5,-0.418,19.64,21.48,02a59636o0534c
59638.487564,18.855,0.145,104,15,o,0,1.21,192.16571,4.03662,8756.99,9299.23,2.91,2.81,44.5,-0.448,19.35,20.8,01a59638o0614o
59638.489386,19.335,0.234,67,16,o,0,1.03,192.16571,4.03662,8737.85,9260.75,3.03,2.86,51.9,-0.437,19.35,20.81,01a59638o0618o
59638.493945,19.017,0.139,90,12,o,0,1.62,192.16571,4.03662,8798.19,9336.86,2.85,2.77,57.7,-0.453,19.37,20.79,01a59638o0628o
59638.499865,19.229,0.243,74,18,o,0,0.53,192.16571,4.03662,8816.04,9216.92,2.87,2.8,52.7,-0.452,19.34,20.79,01a59638o0641o
59640.464508,18.593,0.083,133,11,c,0,1.23,192.16571,4.03662,10146.31,3248.64,2.45,2.28,-58.7,-0.429,19.69,21.65,02a59640o0511c
59640.494734,18.674,0.086,123,11,c,0,0.83,192.16571,4.03662,10170.36,3291.16,2.46,2.3,-51.3,-0.43,19.69,21.67,02a59640o0571c
59640.49771,18.797,0.08,110,9,c,0,1.6,192.16571,4.03662,10112.32,3211.55,2.47,2.28,-55.3,-0.427,19.74,21.67,02a59640o0577c
59640.501144,18.781,0.091,112,10,c,0,1.11,192.16571,4.03662,10093.45,3327.44,2.45,2.28,-54.0,-0.422,19.7,21.66,02a59640o0584c
59640.50411,20.713,0.792,19,15,c,0,0.72,192.16571,4.03662,47.95,3271.61,2.3,2.21,-51.2,-0.407,19.73,21.69,02a59640o0590c
59642.541877,18.725,0.125,117,15,o,0,0.83,192.16571,4.03662,99.94,5330.17,3.09,2.66,-48.0,-0.477,19.48,21.32,01a59642o0712o
59642.544619,19.042,0.129,88,11,o,0,1.21,192.16571,4.03662,10217.62,5096.7,2.99,2.7,-68.0,-0.478,19.52,21.3,01a59642o0718o
59642.545526,18.714,0.117,119,14,o,0,0.91,192.16571,4.03662,121.69,5368.55,3.07,2.64,-48.8,-0.476,19.48,21.31,01a59642o0720o
59642.54992,18.73,0.13,117,15,o,0,0.74,192.16571,4.03662,10239.1,5134.96,3.12,2.89,-69.3,-0.453,19.42,21.27,01a59642o0729o
