MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59618.60353,21.319,1.175,11,13,o,0,1.39,219.14683,11.93928,6897.35,4098.34,2.9,2.69,-53.1,-0.471,19.48,21.36,01a59618o0873o
59618.607701,20.793,0.667,18,12,o,0,1.5,219.14683,11.93928,6877.95,4060.26,2.84,2.71,-47.8,-0.471,19.51,21.31,01a59618o0882o
59618.613227,-20.126,0.335,-32,11,o,0,1.58,219.14683,11.93928,6937.37,4135.63,2.78,2.61,-53.5,-0.481,19.52,21.3,01a59618o0894o
59618.623379,21.693,1.467,8,11,o,0,1.89,219.14683,11.93928,6955.24,4016.26,2.76,2.57,-54.2,-0.484,19.55,21.29,01a59618o0916o
59620.597837,20.252,0.339,29,10,c,0,1.8,219.14683,11.93928,7849.05,10341.28,2.79,2.6,-45.5,-0.401,19.66,21.56,02a59620o0815c
59620.599665,-21.231,0.877,-12,10,c,0,1.61,219.14683,11.93928,7870.4,10380.87,2.74,2.52,-47.1,-0.404,19.66,21.56,02a59620o0819c
59620.602442,21.903,1.388,6,9,c,0,1.81,219.14683,11.93928,3894.28,130.37,2.43,2.3,-71.7,-0.392,19.66,21.52,02a59620o0825c
59620.605183,-21.958,1.514,-6,9,c,0,2.44,219.14683,11.93928,7813.89,10300.79,2.74,2.53,-47.9,-0.41,19.65,21.54,02a59620o0831c
59620.606097,21.284,0.862,11,10,c,0,1.9,219.14683,11.93928,3916.47,169.3,2.45,2.29,-74.6,-0.395,19.67,21.52,02a59620o0833c
59620.612057,20.128,0.294,32,10,c,0,1.55,219.14683,11.93928,3859.56,90.99,2.47,2.24,-72.0,-0.394,19.66,21.52,02a59620o0846c
59620.615711,-21.179,0.829,-12,10,c,0,1.9,219.14683,11.93928,7796.55,10419.46,2.7,2.57,-47.9,-0.401,19.69,21.56,02a59620o0854c
59620.643602,19.343,0.164,66,11,c,0,1.52,219.14683,11.93928,3844.21,209.33,2.54,2.39,-76.0,-0.399,19.64,21.52,02a59620o0910c
59622.515158,23.562,11.545,1,16,o,0,1.54,219.14683,11.93928,7839.56,10338.39,2.35,2.01,-49.5,-0.46,19.3,20.03,02a59622o0650o
59622.520706,-22.603,4.407,-3,15,o,0,2.21,219.14683,11.93928,7858.37,10377.99,2.33,1.99,-50.4,-0.455,19.29,20.08,02a59622o0662o
59622.529915,19.638,0.338,51,17,o,0,1.54,219.14683,11.93928,7797.67,10299.11,2.31,1.99,-49.9,-0.462,19.32,20.14,02a59622o0682o
59622.533116,23.317,8.769,2,15,o,0,1.81,219.14683,11.93928,7778.7,10417.62,2.44,2.07,-48.4,-0.449,19.3,20.18,02a59622o0689o
59622.612397,19.827,0.307,43,13,o,0,1.59,219.14683,11.93928,6897.0,4091.71,2.77,2.66,-55.0,-0.474,19.53,21.32,01a59622o0855o
59622.614247,-19.68,0.222,-49,11,o,0,1.44,219.14683,11.93928,6877.71,4051.73,2.83,2.71,-53.1,-0.468,19.47,21.31,01a59622o0859o
59622.620347,-21.514,1.286,-9,12,o,0,1.34,219.14683,11.93928,6936.86,4127.31,2.85,2.73,-56.0,-0.467,19.5,21.31,01a59622o0872o
59622.640883,19.459,0.184,60,11,o,0,2.4,219.14683,11.93928,3586.41,6585.81,2.83,2.73,-49.0,-0.461,19.5,21.35,01a59622o0915o
59622.660863,21.144,1.071,13,14,o,0,1.62,219.14683,11.93928,3627.92,6529.05,2.83,2.71,-48.5,-0.468,19.34,20.82,01a59622o0956o
59623.499364,-22.352,5.5,-4,23,o,0,1.23,219.14683,11.93928,6889.41,4116.69,3.26,3.03,-58.2,-0.438,18.64,19.73,01a59623o0637o
59623.501671,-19.894,0.537,-40,22,o,0,1.17,219.14683,11.93928,6869.75,4077.43,3.13,2.88,-53.9,-0.445,18.71,19.77,01a59623o0642o
