MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59621.463023,-20.986,0.835,-15,12,o,0,0.85,167.87907,19.82728,7631.92,5199.88,2.33,1.97,44.4,-0.429,19.37,20.2,02a59621o0532o
59621.46485,-25.446,51.0,0,12,o,0,1.38,167.87907,19.82728,7651.13,5241.66,2.39,2.01,43.4,-0.429,19.31,20.22,02a59621o0536o
59621.488121,22.42,3.576,4,14,o,0,1.06,167.87907,19.82728,7595.46,5165.26,2.37,2.0,42.8,-0.43,19.35,20.31,02a59621o0582o
59621.490877,20.865,0.812,16,13,o,0,1.23,167.87907,19.82728,7575.34,5284.83,2.38,2.01,39.7,-0.421,19.34,20.32,02a59621o0588o
59621.554228,22.677,3.187,3,10,o,0,1.35,167.87907,19.82728,2970.54,5341.83,2.1,1.79,35.1,-0.45,19.59,20.7,02a59621o0715o
59622.384869,21.089,1.225,13,16,o,0,1.59,167.87907,19.82728,3123.38,9303.53,2.96,2.72,63.4,-0.44,18.91,19.9,01a59622o0374o
59622.387672,-20.633,0.935,-20,19,o,0,1.19,167.87907,19.82728,3104.41,9265.03,2.96,2.75,58.2,-0.435,18.9,19.91,01a59622o0380o
59622.390434,20.82,1.216,17,21,o,0,0.78,167.87907,19.82728,3158.51,9336.23,2.81,2.58,-42.8,-0.488,18.95,19.91,01a59622o0386o
59622.390643,-21.209,1.198,-12,14,o,0,1.42,167.87907,19.82728,7622.01,5197.47,2.23,1.96,39.8,-0.435,19.19,19.82,02a59622o0386o
59622.39247,21.363,1.505,10,16,o,0,1.12,167.87907,19.82728,7640.27,5236.98,2.31,1.95,38.3,-0.426,19.22,19.83,02a59622o0390o
59622.404553,-20.955,1.015,-15,15,o,0,1.18,167.87907,19.82728,7584.96,5159.58,2.27,1.91,39.7,-0.436,19.22,19.9,02a59622o0415o
59622.407309,-19.766,0.345,-45,16,o,0,1.04,167.87907,19.82728,7565.48,5278.27,2.25,1.9,38.9,-0.438,19.25,19.92,02a59622o0421o
59622.415462,-22.24,4.792,-5,22,o,0,0.73,167.87907,19.82728,3185.08,9212.26,2.96,2.75,-38.7,-0.462,18.96,20.03,01a59622o0439o
59623.363888,-20.643,0.97,-20,20,o,0,1.89,167.87907,19.82728,3112.76,9298.88,3.01,2.76,-44.6,-0.457,18.67,19.54,01a59623o0344o
59623.365735,-20.906,1.432,-16,23,o,0,1.31,167.87907,19.82728,3092.5,9258.65,2.99,2.71,-40.9,-0.46,18.72,19.55,01a59623o0348o
59623.3685,20.301,1.014,28,28,o,0,0.86,167.87907,19.82728,3153.21,9336.17,3.0,2.8,-43.6,-0.453,18.69,19.54,01a59623o0354o
59623.377889,-19.757,0.668,-45,30,o,0,0.9,167.87907,19.82728,3174.55,9217.2,3.04,2.78,-45.1,-0.453,18.65,19.55,01a59623o0374o
59624.435214,19.282,0.358,70,25,o,0,1.49,167.87907,19.82728,7933.94,2911.75,2.96,2.6,-58.8,-0.501,18.55,19.39,01a59624o0504o
59624.437202,-20.571,1.172,-22,25,o,0,0.95,167.87907,19.82728,7914.1,2872.3,2.83,2.48,-57.7,-0.528,18.75,19.53,01a59624o0508o
59624.43998,-19.906,0.547,-40,22,o,0,1.2,167.87907,19.82728,7974.03,2949.45,2.84,2.51,-57.1,-0.515,18.75,19.55,01a59624o0514o
59624.445085,20.656,1.191,20,24,o,0,1.26,167.87907,19.82728,7993.27,2831.89,2.87,2.57,-58.1,-0.513,18.75,19.57,01a59624o0525o
59624.509732,-21.456,2.063,-10,20,o,0,0.84,167.87907,19.82728,2957.83,5358.08,2.13,1.83,35.7,-0.456,19.02,19.49,02a59624o0168o
59624.541924,-22.061,2.772,-5,15,o,0,1.19,167.87907,19.82728,2932.21,5316.86,2.0,1.85,40.1,-0.459,19.06,19.49,02a59624o0237o
59624.545249,22.246,4.022,5,18,o,0,0.89,167.87907,19.82728,2994.18,5394.89,2.09,1.88,38.6,-0.442,19.0,19.49,02a59624o0244o
59624.573365,-20.301,0.59,-28,16,o,0,1.44,167.87907,19.82728,3005.49,5277.2,2.04,1.82,39.1,-0.458,18.93,19.29,02a59624o0304o
59631.428391,21.249,1.348,12,16,o,0,1.04,167.87907,19.82728,7931.29,2906.71,2.8,2.61,-58.2,-0.489,19.08,20.21,01a59631o0447o
59631.430742,23.545,12.0,1,17,o,0,1.05,167.87907,19.82728,7910.98,2867.15,2.79,2.56,-59.8,-0.499,19.11,20.21,01a59631o0452o
59631.433933,21.519,1.615,9,14,o,0,1.18,167.87907,19.82728,7971.22,2943.79,2.79,2.56,-62.1,-0.494,19.12,20.21,01a59631o0459o
59631.455717,20.796,0.911,17,16,o,0,1.23,167.87907,19.82728,7991.91,2823.47,2.77,2.57,-60.0,-0.5,19.12,20.19,01a59631o0504o
59632.481986,-20.931,1.192,-15,18,o,0,0.92,167.87907,19.82728,1238.77,1204.25,2.84,2.69,-48.1,-0.56,19.24,20.46,01a59632o0601o
59632.491151,19.885,0.437,40,18,o,0,1.1,167.87907,19.82728,1261.64,1243.69,2.96,2.73,-49.2,-0.553,19.2,20.45,01a59632o0621o
59632.493958,-20.313,0.719,-27,20,o,0,0.77,167.87907,19.82728,1201.96,1165.88,3.08,2.91,-47.4,-0.534,19.12,20.46,01a59632o0627o
59632.520778,22.542,4.385,4,15,o,0,1.17,167.87907,19.82728,1130.19,9363.12,2.49,2.11,-52.1,-0.492,19.24,20.41,02a59632o0624o
59632.523342,-22.856,6.25,-3,16,o,0,1.21,167.87907,19.82728,1194.85,1284.04,3.04,2.84,-48.6,-0.545,19.17,20.49,01a59632o0689o
59632.524017,21.418,1.386,10,14,o,0,1.24,167.87907,19.82728,1111.92,9324.3,2.32,2.01,-51.3,-0.486,19.29,20.39,02a59632o0631o
59632.529527,-21.337,1.356,-11,14,o,0,1.1,167.87907,19.82728,1168.46,9401.83,2.33,2.04,-52.1,-0.497,19.28,20.36,02a59632o0643o
59632.539808,0.0,21.103,0,13,o,0,1.15,167.87907,19.82728,1188.72,9283.92,2.32,1.98,-50.7,-0.482,19.29,20.37,02a59632o0665o
59633.415836,-23.28,6.273,-2,11,c,0,0.88,167.87907,19.82728,9447.19,1198.78,2.81,2.46,-57.3,-0.405,19.54,21.42,02a59633o0448c
59633.417664,21.751,1.489,7,11,c,0,0.85,167.87907,19.82728,9466.04,1238.02,2.75,2.4,-58.3,-0.412,19.59,21.41,02a59633o0452c
59633.423307,20.754,0.582,18,10,c,0,0.87,167.87907,19.82728,9411.36,1161.03,2.84,2.51,-57.7,-0.404,19.51,21.41,02a59633o0464c
59633.438002,23.013,5.0,2,11,c,0,0.83,167.87907,19.82728,9394.32,1279.06,2.72,2.38,-59.9,-0.419,19.48,21.25,02a59633o0493c
59634.479729,-22.484,3.474,-4,13,o,0,1.22,167.87907,19.82728,1238.99,1203.29,2.85,2.7,-43.0,-0.54,19.36,20.89,01a59634o0592o
59634.483456,-21.001,0.986,-14,14,o,0,1.06,167.87907,19.82728,1259.59,1242.43,2.98,2.81,-43.0,-0.526,19.33,20.87,01a59634o0599o
59634.518725,21.217,1.204,12,14,o,0,1.39,167.87907,19.82728,1211.18,1166.12,3.04,2.88,-48.7,-0.527,19.3,20.83,01a59634o0675o
59634.526019,20.902,0.972,16,15,o,0,1.33,167.87907,19.82728,1196.44,1284.06,3.07,2.9,-41.0,-0.52,19.3,20.81,01a59634o0691o
59635.406762,20.988,0.881,15,13,o,0,1.45,167.87907,19.82728,9264.55,9403.54,3.08,2.95,66.1,-0.42,19.36,21.13,01a59635o0440o
