MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59628.620669,20.031,0.643,35,23,o,0,1.3,234.00017,4.60967,10260.54,158.67,2.19,1.59,-59.6,-0.526,18.98,19.5,02a59628o0798o
59628.623896,-20.396,0.864,-25,22,o,0,1.19,234.00017,4.60967,10279.2,198.61,2.02,1.53,-63.7,-0.499,18.99,19.5,02a59628o0805o
59628.633999,21.292,1.639,11,18,o,0,1.45,234.00017,4.60967,10225.09,122.28,2.28,1.62,-63.8,-0.515,18.94,19.51,02a59628o0827o
59628.648284,-20.79,1.062,-18,19,o,0,2.31,234.00017,4.60967,10204.28,238.53,2.44,1.79,-59.1,-0.53,18.95,19.52,02a59628o0858o
59630.587614,21.825,3.444,7,23,o,0,1.16,234.00017,4.60967,8996.41,3912.51,2.89,2.7,-62.0,-0.493,18.77,19.61,01a59630o0723o
59630.599982,19.833,0.495,42,21,o,0,1.39,234.00017,4.60967,8977.74,3870.68,2.96,2.83,-59.8,-0.474,18.78,19.66,01a59630o0750o
59630.605359,-22.057,4.241,-6,23,o,0,1.1,234.00017,4.60967,9036.81,3944.46,2.88,2.77,-68.2,-0.475,18.78,19.69,01a59630o0761o
59630.614027,22.615,6.176,3,20,o,0,1.62,234.00017,4.60967,9055.49,3825.97,2.9,2.8,-59.0,-0.475,18.78,19.63,01a59630o0780o
59636.61352,22.28,2.341,4,10,o,0,1.75,234.00017,4.60967,10340.37,2123.34,2.1,1.82,-50.4,-0.486,19.65,21.04,02a59636o0860o
59636.615348,-21.686,1.462,-8,11,o,0,1.1,234.00017,4.60967,10359.82,2162.42,2.03,1.77,-53.4,-0.494,19.69,21.04,02a59636o0864o
59636.618144,20.81,0.595,17,10,o,0,1.57,234.00017,4.60967,10302.34,2087.7,2.07,1.8,-52.5,-0.477,19.65,21.05,02a59636o0870o
59636.633126,22.237,2.25,5,10,o,0,1.26,234.00017,4.60967,10281.65,2207.37,2.2,1.85,-56.2,-0.463,19.61,21.03,02a59636o0902o
59638.595446,21.635,1.238,8,10,o,0,2.31,234.00017,4.60967,4853.19,271.34,2.91,2.85,-40.9,-0.448,19.46,21.23,01a59638o0850o
59638.598642,22.456,2.947,4,11,o,0,1.61,234.00017,4.60967,4833.12,231.26,2.98,2.93,-83.5,-0.435,19.41,21.24,01a59638o0857o
59638.604721,-21.625,1.488,-8,12,o,0,1.38,234.00017,4.60967,4893.51,307.01,2.95,2.92,-72.7,-0.443,19.46,21.3,01a59638o0870o
59638.607454,-23.812,12.0,-1,13,o,0,1.24,234.00017,4.60967,8602.18,10417.79,3.14,2.97,47.5,-0.434,19.42,21.22,01a59638o0876o
59638.609279,21.434,1.261,10,12,o,0,1.63,234.00017,4.60967,8581.02,10375.86,3.11,2.96,49.0,-0.433,19.46,21.21,01a59638o0880o
59638.611115,21.132,0.833,13,11,o,0,1.76,234.00017,4.60967,4910.0,187.79,2.95,2.86,-6.9,-0.44,19.46,21.27,01a59638o0884o
