MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59646.378131,-18.761,0.464,-114,53,o,0,1.03,157.53785,-1.66768,6745.32,4469.48,2.73,2.65,-45.4,-0.483,17.84,19.1,01a59646o0366o
59646.381326,19.681,0.949,49,46,o,0,1.1,157.53785,-1.66768,6725.85,4431.05,2.68,2.57,-44.8,-0.497,17.89,19.14,01a59646o0373o
59646.411634,19.712,0.594,47,28,o,0,1.12,157.53785,-1.66768,3756.16,6085.68,2.75,2.67,-43.7,-0.46,18.53,19.95,01a59646o0438o
59646.507774,-20.12,0.747,-32,24,o,0,1.36,157.53785,-1.66768,3761.75,6206.92,3.01,2.94,58.3,-0.417,18.55,20.12,01a59646o0509o
59648.382595,-21.156,1.029,-12,13,o,0,1.16,157.53785,-1.66768,1759.68,4224.57,2.19,2.14,7.5,-0.445,19.38,20.51,02a59648o0328o
59648.384471,-21.456,1.358,-10,13,o,0,1.16,157.53785,-1.66768,1779.87,4260.51,2.13,2.07,-23.6,-0.456,19.39,20.5,02a59648o0332o
59648.388609,22.236,2.425,5,11,o,0,1.53,157.53785,-1.66768,1722.54,4184.34,2.12,2.06,-4.6,-0.454,19.43,20.52,02a59648o0341o
59648.409786,-22.731,4.423,-3,13,o,0,1.08,157.53785,-1.66768,1703.74,4302.03,2.08,2.07,-42.7,-0.451,19.48,20.61,02a59648o0385o
59650.370084,-20.876,0.958,-16,16,o,0,1.04,157.53785,-1.66768,2879.33,4721.62,2.71,2.55,-43.9,-0.487,19.16,20.26,01a59650o0331o
59650.37329,-21.81,2.3,-7,16,o,0,1.13,157.53785,-1.66768,2861.4,4686.65,2.72,2.59,-42.5,-0.481,19.12,20.26,01a59650o0338o
59650.376025,-22.853,5.625,-3,15,o,0,1.49,157.53785,-1.66768,2921.09,4762.98,2.66,2.53,-38.5,-0.491,19.15,20.25,01a59650o0344o
59650.381052,22.227,3.536,5,16,o,0,1.16,157.53785,-1.66768,2937.89,4644.65,2.69,2.53,-46.7,-0.495,19.15,20.26,01a59650o0355o
59658.47405,19.701,0.581,48,28,o,0,1.12,157.53785,-1.66768,3382.68,304.96,2.84,2.73,-50.0,-0.457,18.54,19.22,01a59658o0541o
59658.475879,22.734,12.067,3,35,o,0,0.83,157.53785,-1.66768,3609.57,10510.51,2.93,2.78,-58.1,-0.459,18.55,19.27,01a59658o0545o
59658.477243,-20.693,1.327,-19,26,o,0,1.24,157.53785,-1.66768,3403.96,343.57,2.82,2.71,-47.7,-0.459,18.59,19.2,01a59658o0548o
59658.482735,19.591,0.469,53,25,o,0,1.32,157.53785,-1.66768,3343.91,266.57,2.9,2.79,-43.9,-0.451,18.48,19.18,01a59658o0560o
59658.485967,-20.156,0.943,-31,30,o,0,1.12,157.53785,-1.66768,3570.11,10472.81,2.9,2.74,-49.1,-0.508,18.55,19.24,01a59658o0567o
59658.493734,-22.05,5.067,-6,28,o,0,1.1,157.53785,-1.66768,3329.57,386.78,2.81,2.69,-46.7,-0.466,18.48,19.13,01a59658o0584o
59660.43808,20.185,0.517,31,16,o,0,0.93,157.53785,-1.66768,4861.19,4589.35,2.43,1.9,39.4,-0.429,19.24,20.03,02a59660o0444o
59660.441281,-23.24,8.333,-2,15,o,0,1.05,157.53785,-1.66768,4841.26,4550.65,2.53,1.9,40.8,-0.432,19.18,19.99,02a59660o0451o
59660.44678,-20.376,0.607,-26,16,o,0,1.28,157.53785,-1.66768,4898.78,4628.95,2.48,1.88,44.5,-0.433,19.23,19.97,02a59660o0463o
59660.458245,25.005,42.333,0,15,o,0,1.29,157.53785,-1.66768,4919.09,4515.05,2.5,1.88,45.0,-0.425,19.19,19.91,02a59660o0488o
59662.419242,21.358,1.212,10,13,o,0,1.17,157.53785,-1.66768,3557.1,10461.0,2.97,2.9,-35.3,-0.424,19.41,21.01,01a59662o0094o
59662.466816,20.104,0.443,33,15,o,0,1.28,157.53785,-1.66768,3378.39,299.99,2.9,2.72,-40.5,-0.451,19.15,20.42,01a59662o0192o
59662.470541,-21.559,1.809,-9,16,o,0,0.98,157.53785,-1.66768,3401.69,338.18,2.82,2.77,-80.7,-0.43,19.18,20.4,01a59662o0200o
59662.475485,22.606,4.5,3,15,o,0,1.41,157.53785,-1.66768,3340.41,260.83,3.03,2.94,-53.0,-0.409,19.06,20.34,01a59662o0210o
59662.485401,21.475,1.909,9,18,o,0,1.21,157.53785,-1.66768,3324.7,380.74,3.06,2.93,-41.8,-0.425,19.0,20.25,01a59662o0231o
59664.483876,20.282,0.469,28,13,c,0,1.27,157.53785,-1.66768,4857.31,4592.59,2.82,2.64,47.7,-0.393,19.3,21.4,02a59664o0342c
59664.487534,20.171,0.435,31,14,c,0,1.16,157.53785,-1.66768,4837.78,4553.33,2.97,2.7,44.2,-0.381,19.31,21.43,02a59664o0350c
59664.494393,19.506,0.235,57,14,c,0,1.11,157.53785,-1.66768,4895.0,4632.25,2.8,2.6,43.0,-0.386,19.31,21.38,02a59664o0365c
59664.540468,20.165,0.59,31,18,o,0,1.31,157.53785,-1.66768,4915.59,4517.33,2.76,2.21,39.0,-0.4,19.0,20.23,02a59664o0392o
59666.400127,18.994,0.145,92,13,o,0,1.76,157.53785,-1.66768,9902.41,4240.91,3.03,2.7,-61.1,-0.491,19.35,20.76,01a59666o0111o
59666.403329,18.998,0.16,91,15,o,0,1.25,157.53785,-1.66768,9923.48,4279.49,2.89,2.63,-60.3,-0.491,19.36,20.77,01a59666o0118o
59666.409821,18.891,0.152,101,15,o,0,1.24,157.53785,-1.66768,9864.84,4202.77,2.93,2.65,-64.4,-0.482,19.38,20.75,01a59666o0132o
59666.420313,19.058,0.174,86,15,o,0,1.13,157.53785,-1.66768,9847.17,4322.0,2.95,2.64,-61.3,-0.489,19.31,20.65,01a59666o0155o
59668.317032,18.003,0.184,228,42,c,0,0.9,157.53785,-1.66768,9853.93,2409.13,2.41,2.23,-52.3,-0.415,18.17,20.08,02a59668o0224c
59668.318867,18.208,0.164,189,31,c,0,1.56,157.53785,-1.66768,9873.04,2449.59,2.37,2.26,-55.4,-0.426,18.32,20.25,02a59668o0228c
59668.321662,17.966,0.218,236,52,c,0,0.91,157.53785,-1.66768,9815.55,2370.74,2.41,2.3,-52.7,-0.421,17.82,19.8,02a59668o0234c
59668.328113,17.793,0.193,277,54,c,0,1.59,157.53785,-1.66768,9795.3,2489.49,2.49,2.36,-47.1,-0.411,17.45,19.38,02a59668o0248c
59670.311355,17.717,0.052,297,15,o,0,0.91,157.53785,-1.66768,638.15,6309.19,2.92,2.5,-47.7,-0.475,19.4,20.85,01a59670o0217o
59670.31318,17.717,0.045,297,13,o,0,1.74,157.53785,-1.66768,617.99,6269.12,2.95,2.55,-47.4,-0.471,19.38,20.85,01a59670o0221o
59670.315914,17.674,0.048,309,15,o,0,1.35,157.53785,-1.66768,677.94,6346.62,2.84,2.42,-48.7,-0.49,19.44,20.85,01a59670o0227o
59670.321398,17.62,0.045,325,15,o,0,1.25,157.53785,-1.66768,696.08,6229.21,2.87,2.46,-49.5,-0.486,19.42,20.85,01a59670o0239o
59676.289713,16.924,0.024,617,15,c,0,1.86,157.53785,-1.66768,10042.43,6299.31,2.54,2.48,-80.7,-0.426,19.44,21.28,02a59676o0163c
59676.292911,16.86,0.024,655,16,c,0,1.59,157.53785,-1.66768,10062.33,6337.94,2.56,2.53,-83.4,-0.434,19.41,21.29,02a59676o0170c
59676.295653,16.961,0.025,596,15,c,0,2.12,157.53785,-1.66768,10003.64,6259.4,2.54,2.52,72.7,-0.43,19.43,21.3,02a59676o0176c
59676.319708,16.877,0.026,645,17,c,0,1.31,157.53785,-1.66768,609.84,4192.5,2.77,2.64,-51.7,-0.412,19.22,21.26,02a59676o0227c
59680.314179,16.771,0.045,711,32,c,0,1.21,157.53785,-1.66768,558.72,4282.39,2.36,2.29,-20.6,-0.432,18.3,19.86,02a59680o0194c
59680.319596,16.973,0.095,590,56,c,0,1.35,157.53785,-1.66768,538.5,4241.82,2.4,2.29,23.5,-0.435,17.56,19.14,02a59680o0205c
59680.322826,16.876,0.091,645,59,c,0,0.87,157.53785,-1.66768,598.15,4322.75,2.37,2.31,0.6,-0.416,17.72,19.31,02a59680o0212c
59680.358162,16.741,0.035,730,26,c,0,1.66,157.53785,-1.66768,610.36,4203.37,2.32,2.28,28.2,-0.43,18.45,20.02,02a59680o0286c
59688.329568,17.324,0.069,427,30,o,0,1.07,157.53785,-1.66768,5274.87,1884.47,2.02,1.93,44.1,-0.436,18.46,18.95,02a59688o0230o
59688.332766,17.311,0.064,432,28,o,0,1.93,157.53785,-1.66768,5256.69,1846.3,2.02,1.97,69.4,-0.449,18.36,18.69,02a59688o0237o
59688.3392,17.303,0.044,435,19,o,0,1.95,157.53785,-1.66768,5315.37,1921.71,2.05,1.92,56.5,-0.438,18.79,19.34,02a59688o0251o
59688.35064,17.311,0.042,432,18,o,0,1.63,157.53785,-1.66768,5337.4,1807.1,2.04,1.94,56.3,-0.441,18.91,19.5,02a59688o0276o
59690.356273,17.464,0.046,375,17,o,0,1.03,157.53785,-1.66768,922.05,8509.28,3.02,2.66,-47.1,-0.444,19.24,20.76,01a59690o0301o
59690.36449,17.47,0.041,373,15,o,0,1.14,157.53785,-1.66768,943.43,8549.02,2.64,2.35,-49.6,-0.484,19.41,20.89,01a59690o0319o
59690.367711,17.618,0.039,326,13,o,0,2.04,157.53785,-1.66768,883.81,8473.1,2.64,2.3,-47.0,-0.49,19.4,20.88,01a59690o0326o
59690.378299,17.486,0.039,368,14,o,0,1.5,157.53785,-1.66768,867.42,8592.11,2.72,2.35,-45.0,-0.485,19.38,20.85,01a59690o0349o
59692.340725,17.329,0.04,425,17,c,0,1.12,157.53785,-1.66768,3104.56,8567.33,2.55,2.34,42.6,-0.401,19.43,21.3,02a59692o0155c
59692.34438,17.34,0.045,421,19,c,0,0.86,157.53785,-1.66768,3085.52,8528.46,2.55,2.37,41.8,-0.399,18.62,20.38,02a59692o0163c
59692.351271,17.327,0.053,426,22,c,0,1.36,157.53785,-1.66768,3143.84,8606.23,2.53,2.35,43.6,-0.399,18.35,20.13,02a59692o0178c
59692.363173,17.33,0.1,425,42,c,0,0.87,157.53785,-1.66768,3165.4,8489.66,2.49,2.32,45.3,-0.402,17.67,19.34,02a59692o0204c
59694.334007,17.75,0.052,288,15,o,0,1.24,157.53785,-1.66768,919.93,8509.13,2.74,2.44,-46.1,-0.469,19.46,20.91,01a59694o0247o
59694.337743,17.7,0.048,302,14,o,0,1.32,157.53785,-1.66768,940.84,8548.49,2.77,2.42,-46.9,-0.47,19.38,20.87,01a59694o0255o
59694.343722,17.7,0.048,302,14,o,0,1.37,157.53785,-1.66768,881.53,8472.29,2.73,2.4,-47.3,-0.476,19.37,20.81,01a59694o0268o
59694.364348,17.842,0.051,265,14,o,0,1.44,157.53785,-1.66768,863.96,8592.98,2.83,2.48,-48.3,-0.465,19.34,20.75,01a59694o0313o
59696.301506,17.623,0.044,324,14,c,0,1.53,157.53785,-1.66768,3104.86,8561.97,2.54,2.3,32.7,-0.406,19.49,21.34,02a59696o0159c
59696.304733,17.667,0.053,311,16,c,0,0.86,157.53785,-1.66768,3085.64,8522.7,2.48,2.29,35.7,-0.403,19.5,21.34,02a59696o0166c
59696.310701,17.73,0.052,294,15,c,0,1.07,157.53785,-1.66768,3142.88,8600.87,2.47,2.32,36.7,-0.406,19.5,21.33,02a59696o0179c
59696.320977,17.644,0.048,318,15,c,0,1.46,157.53785,-1.66768,3162.69,8484.95,2.45,2.29,38.3,-0.411,19.53,21.36,02a59696o0201c
59698.31869,17.762,0.079,285,22,o,0,1.54,157.53785,-1.66768,9270.27,8427.04,2.83,2.72,73.1,-0.443,18.95,20.31,01a59698o0206o
59698.326541,17.967,0.083,236,20,o,0,1.98,157.53785,-1.66768,9290.58,8468.12,2.92,2.65,50.8,-0.443,19.0,20.37,01a59698o0223o
59698.332539,17.898,0.095,252,24,o,0,1.06,157.53785,-1.66768,9232.26,8391.55,2.85,2.68,-83.2,-0.45,18.81,20.2,01a59698o0236o
59698.344079,17.98,0.133,233,31,o,0,0.89,157.53785,-1.66768,9215.72,8511.4,2.81,2.67,-86.8,-0.451,18.6,19.99,01a59698o0261o
