MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59650.553035,-20.516,0.521,-23,12,o,0,1.14,233.99831,3.42758,6345.22,4367.43,3.09,2.69,-10.7,-0.443,19.33,21.0,01a59650o0720o
59650.554865,-21.497,1.226,-9,11,o,0,1.02,233.99831,3.42758,6325.44,4328.73,2.75,2.64,-24.1,-0.463,19.42,20.99,01a59650o0724o
59650.560815,-20.671,0.623,-20,12,o,0,0.89,233.99831,3.42758,6386.28,4407.02,2.72,2.65,-37.9,-0.468,19.46,21.01,01a59650o0737o
59650.59613,-23.696,10.143,-1,12,o,0,0.99,233.99831,3.42758,6403.53,4278.62,2.72,2.68,17.4,-0.461,19.42,20.97,01a59650o0812o
59654.521889,-20.188,1.441,-30,44,o,0,1.45,233.99831,3.42758,6342.86,4373.22,3.16,3.13,61.4,-0.422,17.95,18.78,01a59654o0534o
59654.543248,-20.263,0.713,-28,20,o,0,1.16,233.99831,3.42758,6327.38,4331.69,2.71,2.67,-33.6,-0.472,18.81,19.55,01a59654o0580o
59654.553133,20.832,1.134,17,19,o,0,1.16,233.99831,3.42758,6387.37,4405.76,2.7,2.66,-24.3,-0.474,18.81,19.59,01a59654o0601o
59654.556332,-23.119,10.455,-2,22,o,0,1.21,233.99831,3.42758,6403.9,4289.7,2.8,2.76,-53.2,-0.465,18.73,19.53,01a59654o0608o
59656.481143,-20.286,2.41,-28,67,o,0,1.04,233.99831,3.42758,1944.63,459.45,1.85,1.64,73.8,-0.502,17.4,17.11,02a59656o0592o
59656.484341,20.621,2.692,20,55,o,0,1.45,233.99831,3.42758,1963.95,500.07,1.83,1.61,65.7,-0.461,17.53,17.2,02a59656o0599o
59656.492157,-18.601,0.777,-132,102,o,0,0.66,233.99831,3.42758,1903.71,420.81,1.9,1.63,67.9,-0.458,17.1,16.79,02a59656o0616o
59670.524226,19.503,0.234,57,13,o,0,0.88,233.99831,3.42758,4128.5,5951.43,2.86,2.68,-41.2,-0.466,19.38,20.95,01a59670o0682o
59670.526049,20.248,0.402,29,12,o,0,1.43,233.99831,3.42758,4108.64,5912.85,2.81,2.63,-45.5,-0.469,19.41,20.94,01a59670o0686o
59670.528787,19.586,0.198,53,10,o,0,0.96,233.99831,3.42758,4166.52,5985.37,2.71,2.53,-44.6,-0.483,19.45,20.94,01a59670o0692o
59670.539034,19.8,0.273,44,12,o,0,1.11,233.99831,3.42758,4185.07,5867.92,2.75,2.61,-44.1,-0.47,19.39,20.96,01a59670o0714o
59676.559114,18.892,0.098,101,10,c,0,1.15,233.99831,3.42758,4058.17,3995.36,2.63,2.3,39.7,-0.408,19.59,21.7,02a59676o0683c
59676.563259,18.844,0.096,105,10,c,0,1.18,233.99831,3.42758,4037.77,3955.43,2.58,2.29,44.2,-0.412,19.63,21.71,02a59676o0692c
59676.56968,18.81,0.089,109,10,c,0,1.25,233.99831,3.42758,4096.27,4032.96,2.69,2.35,43.0,-0.402,19.59,21.68,02a59676o0706c
59676.587548,18.825,0.116,107,12,c,0,0.75,233.99831,3.42758,4117.48,3919.3,2.72,2.33,39.8,-0.402,19.52,21.66,02a59676o0745c
59680.331677,-20.688,2.368,-19,46,c,0,1.48,233.99831,3.42758,6530.9,6581.78,2.59,2.3,24.9,-0.421,18.08,19.52,02a59680o0229c
59680.335353,19.136,0.601,80,48,c,0,0.89,233.99831,3.42758,6553.89,6620.99,2.61,2.31,25.2,-0.41,18.11,19.6,02a59680o0237c
59680.370673,19.946,0.721,38,28,c,0,1.2,233.99831,3.42758,6489.63,6542.74,2.58,2.25,32.4,-0.413,18.48,20.08,02a59680o0313c
59680.3762,19.136,0.352,80,28,c,0,1.21,233.99831,3.42758,6476.03,6658.91,2.65,2.25,31.5,-0.418,18.57,20.14,02a59680o0325c
59682.491919,19.198,0.282,76,21,o,0,0.81,233.99831,3.42758,8414.1,6165.05,2.83,2.68,-53.6,-0.478,18.99,19.98,01a59682o0567o
59682.494213,19.246,0.273,73,20,o,0,1.02,233.99831,3.42758,8394.86,6126.13,2.83,2.73,-59.9,-0.472,18.96,20.0,01a59682o0572o
59682.5043,18.737,0.165,116,19,o,0,1.32,233.99831,3.42758,8454.97,6199.92,2.83,2.65,-58.4,-0.482,19.04,20.03,01a59682o0594o
59682.519275,18.992,0.21,92,19,o,0,0.96,233.99831,3.42758,8472.13,6081.24,2.76,2.64,-62.8,-0.484,19.05,20.05,01a59682o0626o
59684.446117,18.617,0.28,130,36,o,0,1.67,233.99831,3.42758,9871.44,9020.71,2.25,2.12,13.1,-0.443,18.61,18.97,02a59684o0455o
59684.447948,18.638,0.264,127,34,o,0,1.59,233.99831,3.42758,9891.67,9060.22,2.18,2.05,19.1,-0.451,18.69,18.98,02a59684o0459o
59684.45069,19.23,0.529,74,39,o,0,1.11,233.99831,3.42758,9832.01,8980.79,2.18,2.05,21.8,-0.447,18.69,18.98,02a59684o0465o
59684.45617,19.391,0.534,64,34,o,0,1.33,233.99831,3.42758,9813.31,9098.87,2.18,2.08,19.2,-0.442,18.66,18.98,02a59684o0477o
59688.541092,18.838,0.415,106,44,o,0,1.06,233.99831,3.42758,719.03,1559.57,1.89,1.82,-77.3,-0.53,18.26,18.48,02a59688o0686o
59688.544171,20.05,0.959,35,33,o,0,0.99,233.99831,3.42758,700.74,1521.01,1.9,1.73,39.9,-0.513,18.24,18.4,02a59688o0692o
