MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59651.535481,24.625,28.333,0,14,o,0,1.14,218.83426,33.84576,2235.44,2368.03,2.68,2.59,-40.6,-0.512,19.26,20.48,01a59651o0673o
59651.538683,20.706,0.655,19,12,o,0,1.52,218.83426,33.84576,2215.29,2329.23,2.68,2.6,-49.3,-0.513,19.24,20.5,01a59651o0680o
59651.544167,-25.059,33.0,0,11,o,0,1.88,218.83426,33.84576,2275.87,2404.19,2.67,2.6,-52.7,-0.507,19.26,20.52,01a59651o0692o
59651.553668,20.137,0.4,32,13,o,0,1.46,218.83426,33.84576,2291.57,2285.7,2.66,2.57,-46.7,-0.511,19.29,20.6,01a59651o0710o
59653.522116,-21.145,2.954,-13,37,o,0,0.9,218.83426,33.84576,2188.67,2552.49,2.23,1.88,39.2,-0.449,18.2,18.5,02a59653o0668o
59653.525316,-20.05,0.652,-35,23,o,0,0.92,218.83426,33.84576,2209.25,2592.29,2.23,1.87,38.6,-0.445,18.78,19.34,02a59653o0675o
59653.528063,-23.223,8.0,-2,15,o,0,1.03,218.83426,33.84576,2151.12,2513.32,2.25,1.89,38.6,-0.449,19.12,19.79,02a59653o0681o
59653.548364,-19.291,0.351,-70,24,o,0,0.97,218.83426,33.84576,2139.39,2630.22,2.26,1.86,37.7,-0.451,18.55,18.99,02a59653o0724o
59654.45153,-21.379,1.862,-10,19,o,0,1.29,218.83426,33.84576,2168.57,2548.82,2.29,1.99,40.2,-0.44,18.75,19.21,02a59654o0511o
59654.454748,-20.301,0.637,-28,18,o,0,1.42,218.83426,33.84576,2189.33,2588.17,2.03,1.99,65.5,-0.441,18.85,19.21,02a59654o0518o
59654.458898,-19.165,0.293,-78,23,o,0,1.36,218.83426,33.84576,2130.63,2509.42,2.14,2.1,65.9,-0.443,18.81,19.24,02a59654o0527o
59654.464879,20.33,0.738,27,20,o,0,0.99,218.83426,33.84576,2111.44,2625.16,2.36,2.1,39.2,-0.423,18.74,19.27,02a59654o0540o
59655.456852,17.313,0.399,432,172,o,0,1.12,218.83426,33.84576,2241.21,2371.29,3.35,3.19,-62.3,-0.452,16.51,17.17,01a59655o0489o
59655.463739,-20.105,1.594,-33,52,o,0,1.12,218.83426,33.84576,2221.69,2335.8,3.13,2.93,-52.0,-0.474,17.89,18.38,01a59655o0504o
59655.480782,-21.395,4.073,-10,41,o,0,1.14,218.83426,33.84576,2282.74,2409.11,3.17,3.0,-56.1,-0.465,17.97,18.61,01a59655o0540o
59655.494373,19.571,0.624,54,34,o,0,0.9,218.83426,33.84576,2299.88,2288.88,2.9,2.78,-30.7,-0.485,18.35,18.92,01a59655o0567o
59656.491781,18.579,6.015,134,808,o,0,1.07,218.83426,33.84576,498.83,8036.08,2.94,2.58,-52.2,-0.515,15.95,15.9,01a59656o0518o
59656.497262,-16.962,0.707,-596,421,o,0,1.76,218.83426,33.84576,558.55,8110.66,2.92,2.62,-48.2,-0.471,16.21,16.33,01a59656o0530o
59656.523878,18.572,0.869,135,118,o,0,1.27,218.83426,33.84576,577.92,7989.92,2.84,2.5,-48.8,-0.448,17.44,17.68,01a59656o0585o
59656.532344,18.516,1.53,142,218,o,0,1.38,218.83426,33.84576,10380.16,7893.46,3.04,2.93,76.1,-0.383,17.37,17.61,01a59656o0603o
59656.535552,20.367,9.971,26,258,o,0,1.16,218.83426,33.84576,10359.58,7853.5,2.98,2.85,83.1,-0.42,17.35,17.6,01a59656o0610o
59656.541039,18.542,1.727,139,240,o,0,1.27,218.83426,33.84576,10419.92,7932.87,3.04,2.94,76.7,-0.392,17.19,17.35,01a59656o0622o
59656.558167,17.746,1.203,289,348,o,0,1.1,218.83426,33.84576,10434.56,7809.21,3.04,2.94,89.9,-0.385,17.19,17.41,01a59656o0656o
