MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59580.56223,21.352,1.547,10,16,o,0,5.12,185.97508,-3.44346,1503.42,8701.6,2.72,2.44,-50.1,-0.482,19.34,20.83,01a59580o0399o
59580.565466,19.763,0.316,45,14,o,0,5.23,185.97508,-3.44346,1484.47,8662.15,2.75,2.46,-48.0,-0.476,19.35,20.82,01a59580o0406o
59580.57194,20.889,1.112,16,18,o,0,3.06,185.97508,-3.44346,1546.68,8737.6,2.74,2.44,-47.7,-0.48,19.37,20.84,01a59580o0420o
59580.582083,19.723,0.348,47,16,o,0,3.66,185.97508,-3.44346,1570.2,8620.65,2.67,2.46,-53.4,-0.48,19.37,20.84,01a59580o0442o
59584.555996,-20.139,0.466,-32,15,o,0,2.71,185.97508,-3.44346,8631.64,5090.87,2.99,2.75,-62.1,-0.474,19.32,20.89,01a59584o0746o
59584.558788,-19.094,0.187,-84,16,o,0,3.21,185.97508,-3.44346,8613.01,5052.75,2.92,2.78,-59.3,-0.476,19.35,20.9,01a59584o0752o
59584.561552,-19.347,0.252,-66,17,o,0,2.35,185.97508,-3.44346,8672.81,5127.61,3.07,2.9,-58.8,-0.46,19.26,20.9,01a59584o0758o
59584.572605,19.904,0.446,40,18,o,0,2.24,185.97508,-3.44346,8697.5,5010.2,2.92,2.78,-65.7,-0.469,19.32,20.9,01a59584o0782o
59586.55939,18.943,0.126,96,12,c,0,3.95,185.97508,-3.44346,10187.89,7485.6,2.66,2.65,-12.1,-0.411,19.6,21.57,02a59586o0750c
59586.562622,20.656,1.127,20,22,c,0,2.07,185.97508,-3.44346,10208.19,7524.72,2.68,2.63,-59.0,-0.413,19.04,20.97,02a59586o0757c
59586.56675,19.07,0.153,86,13,c,0,5.34,185.97508,-3.44346,10148.75,7445.3,2.62,2.61,0.3,-0.416,19.62,21.59,02a59586o0766c
59586.568123,17.77,0.061,283,17,c,0,7.35,185.97508,-3.44346,57.37,7476.65,2.36,2.05,-46.2,-0.419,19.56,21.44,02a59586o0769c
59586.570409,18.802,0.339,110,37,c,0,2.1,185.97508,-3.44346,76.62,7515.41,2.33,2.04,-46.6,-0.398,18.3,20.18,02a59586o0774c
59586.572249,19.24,0.324,73,24,c,0,2.06,185.97508,-3.44346,10129.68,7562.94,2.6,2.59,-89.5,-0.414,19.25,21.18,02a59586o0778c
59588.548514,16.906,0.025,628,16,o,0,7.3,185.97508,-3.44346,8631.32,5087.39,2.68,2.64,45.2,-0.477,19.45,20.97,01a59588o0766o
59588.552208,16.817,0.025,681,17,o,0,5.78,185.97508,-3.44346,8613.12,5050.07,2.69,2.67,-48.7,-0.478,19.46,20.99,01a59588o0774o
59588.557306,16.802,0.025,691,17,o,0,4.93,185.97508,-3.44346,8674.25,5125.22,3.09,3.04,-73.8,-0.447,19.27,20.99,01a59588o0785o
59588.565137,16.735,0.025,735,18,o,0,4.32,185.97508,-3.44346,8694.28,5004.82,3.21,3.1,-69.2,-0.433,19.28,20.98,01a59588o0802o
59590.647836,15.775,0.01,1779,19,c,0,68.91,185.97508,-3.44346,382.36,3070.78,2.47,2.4,-59.7,-0.43,19.59,21.56,02a59590o0377c
59590.650142,16.336,0.034,1060,36,c,0,4.82,185.97508,-3.44346,10513.44,3081.21,2.65,2.44,-60.2,-0.434,19.54,21.51,02a59590o0382c
59590.656465,15.807,0.011,1727,18,c,0,55.88,185.97508,-3.44346,362.23,3031.29,2.55,2.46,-55.1,-0.417,19.54,21.53,02a59590o0395c
59590.657862,15.988,0.017,1461,24,c,0,9.87,185.97508,-3.44346,10493.26,3043.44,2.83,2.63,-59.8,-0.41,19.47,21.47,02a59590o0398c
59590.659736,15.761,0.012,1801,21,c,0,28.38,185.97508,-3.44346,422.04,3112.71,3.02,2.91,-55.9,-0.406,19.38,21.47,02a59590o0402c
59590.66665,15.76,0.011,1803,20,c,0,31.97,185.97508,-3.44346,441.03,2993.08,2.5,2.45,-53.2,-0.42,19.38,21.05,02a59590o0416c
59592.558716,15.011,0.008,3594,27,o,0,40.03,185.97508,-3.44346,8765.76,7014.81,3.26,3.18,-77.3,-0.427,18.99,20.28,01a59592o0769o
59592.575342,15.011,0.007,3594,26,o,0,78.37,185.97508,-3.44346,8751.58,6972.38,3.03,2.97,-76.1,-0.441,19.24,20.78,01a59592o0805o
59592.578118,15.035,0.007,3516,26,o,0,74.96,185.97508,-3.44346,8812.08,7047.64,2.98,2.96,-84.8,-0.439,19.24,20.8,01a59592o0811o
59592.584897,14.984,0.007,3684,26,o,0,49.38,185.97508,-3.44346,8834.16,6928.0,3.13,3.08,82.5,-0.432,19.25,20.83,01a59592o0825o
59596.528097,14.255,0.006,7211,46,o,0,49.1,185.97508,-3.44346,8760.88,7022.76,3.03,2.95,-87.7,-0.447,18.61,19.38,01a59596o0724o
59596.531325,14.227,0.006,7403,44,o,0,91.94,185.97508,-3.44346,8742.45,6983.6,2.87,2.79,-82.2,-0.471,18.63,19.39,01a59596o0731o
59596.537805,14.253,0.006,7225,46,o,0,76.23,185.97508,-3.44346,8805.35,7058.94,2.82,2.76,67.9,-0.465,18.69,19.4,01a59596o0745o
59596.542883,14.232,0.006,7365,44,o,0,71.68,185.97508,-3.44346,8824.33,6940.51,2.88,2.79,59.0,-0.455,18.72,19.41,01a59596o0756o
59604.525789,14.026,0.004,8904,37,o,0,346.38,185.97508,-3.44346,8508.7,3136.89,2.98,2.8,-39.3,-0.463,18.99,20.14,01a59604o0707o
59604.53042,14.057,0.004,8653,38,o,0,303.17,185.97508,-3.44346,8492.73,3099.85,2.86,2.71,-53.6,-0.474,19.05,20.17,01a59604o0717o
59604.540668,14.032,0.004,8854,36,o,0,305.07,185.97508,-3.44346,8552.25,3171.25,3.02,2.86,-39.7,-0.459,19.04,20.23,01a59604o0739o
