MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59653.456952,21.184,2.191,12,27,o,0,0.91,206.00573,28.3955,8246.39,2944.89,2.2,2.04,35.7,-0.437,18.61,18.99,02a59653o0537o
59653.45878,-19.23,0.348,-74,26,o,0,0.82,206.00573,28.3955,8265.49,2983.91,2.17,2.01,33.5,-0.426,18.65,19.08,02a59653o0541o
59653.462346,21.717,2.952,8,22,o,0,0.79,206.00573,28.3955,8211.95,2906.98,2.25,2.05,34.3,-0.43,18.9,19.41,02a59653o0548o
59653.474013,-20.898,1.114,-16,18,o,0,1.14,206.00573,28.3955,8192.23,3025.65,2.23,1.99,45.1,-0.436,18.98,19.55,02a59653o0568o
59654.42219,-20.773,1.265,-18,22,o,0,0.75,206.00573,28.3955,8236.86,2942.03,2.06,2.04,-10.5,-0.43,18.72,18.95,02a59654o0448o
59654.425416,21.082,1.621,13,22,o,0,1.35,206.00573,28.3955,8258.11,2981.72,2.09,2.01,23.9,-0.429,18.71,18.92,02a59654o0455o
59654.4282,20.146,0.695,32,22,o,0,1.14,206.00573,28.3955,8200.68,2905.09,2.08,2.04,-59.6,-0.439,18.75,19.01,02a59654o0461o
59654.433257,20.597,1.051,21,22,o,0,0.86,206.00573,28.3955,8182.12,3023.47,2.08,2.02,29.4,-0.447,18.77,19.06,02a59654o0472o
59655.413852,-17.397,0.757,-399,302,o,0,0.84,206.00573,28.3955,5718.61,1866.9,3.13,3.02,-64.0,-0.452,15.81,15.97,01a59655o0398o
59655.415689,19.42,4.065,62,252,o,0,0.86,206.00573,28.3955,5780.94,1943.76,3.25,3.16,38.8,-0.459,16.09,16.24,01a59655o0402o
59655.4248,18.174,1.125,195,220,o,0,0.82,206.00573,28.3955,5798.38,1823.86,3.45,3.31,-64.9,-0.434,16.24,16.46,01a59655o0422o
59658.533222,-21.245,1.874,-12,22,o,0,1.19,206.00573,28.3955,7786.74,1816.74,2.0,1.87,38.6,-0.456,18.8,19.07,02a59658o0699o
59658.536422,-22.936,8.458,-2,21,o,0,1.18,206.00573,28.3955,7768.03,1780.02,2.12,1.91,34.0,-0.444,18.7,19.09,02a59658o0706o
59658.568231,21.805,3.156,7,22,o,0,1.53,206.00573,28.3955,7823.12,1857.23,2.14,1.98,45.7,-0.437,18.65,18.98,02a59658o0774o
59658.574161,-20.003,0.601,-36,22,o,0,1.16,206.00573,28.3955,7845.33,1740.8,2.16,1.98,43.9,-0.436,18.7,19.12,02a59658o0786o
59659.549157,20.411,0.797,25,20,o,0,0.85,206.00573,28.3955,6236.9,3038.82,2.71,2.6,-55.5,-0.49,18.87,19.78,01a59659o0726o
59659.552459,20.149,0.726,32,23,o,0,0.73,206.00573,28.3955,6257.89,3077.23,2.73,2.6,-53.7,-0.49,18.82,19.67,01a59659o0733o
59659.55917,-20.267,0.637,-28,18,o,0,1.23,206.00573,28.3955,6200.61,3001.8,2.7,2.6,-53.6,-0.493,18.89,19.77,01a59659o0746o
59659.594696,-19.972,0.546,-37,20,o,0,1.11,206.00573,28.3955,6195.92,3123.21,2.71,2.61,-63.9,-0.494,18.8,19.64,01a59659o0822o
59660.422465,19.913,0.462,39,18,o,0,1.06,206.00573,28.3955,4292.02,7546.12,2.81,2.59,-43.1,-0.484,19.03,20.03,01a59660o0414o
59660.445104,-20.45,0.827,-24,20,o,0,0.59,206.00573,28.3955,4272.84,7502.59,2.74,2.62,-50.7,-0.483,19.05,20.1,01a59660o0461o
59660.44829,-24.581,30.667,0,16,o,0,1.41,206.00573,28.3955,4332.29,7578.07,2.8,2.68,-51.4,-0.475,19.05,20.1,01a59660o0468o
59660.453756,-20.691,1.041,-19,20,o,0,0.97,206.00573,28.3955,4350.44,7459.85,2.97,2.82,-60.5,-0.473,19.0,20.08,01a59660o0480o
59661.537913,-19.964,3.051,-38,114,o,0,1.05,206.00573,28.3955,7765.76,1782.31,2.14,1.91,39.1,-0.443,16.34,16.64,02a59661o0700o
59661.544951,18.287,2.479,176,436,o,0,1.25,206.00573,28.3955,7825.07,1862.0,2.09,1.85,36.1,-0.457,15.45,15.4,02a59661o0715o
59661.578366,-20.154,0.765,-32,24,o,0,0.93,206.00573,28.3955,7842.02,1744.16,1.98,1.89,50.9,-0.447,18.71,19.24,02a59661o0786o
59662.477364,-20.064,0.691,-34,24,o,0,0.87,206.00573,28.3955,2816.43,8770.6,2.22,1.96,30.9,-0.422,18.73,19.67,02a59662o0310o
59662.47919,22.475,3.281,4,12,o,0,1.0,206.00573,28.3955,2836.13,8810.42,2.22,1.98,32.2,-0.431,19.38,20.53,02a59662o0314o
59662.482394,-20.999,1.009,-14,15,o,0,1.16,206.00573,28.3955,2777.51,8734.03,2.29,2.09,33.3,-0.421,19.32,20.54,02a59662o0321o
59662.489032,21.072,1.489,14,20,o,0,0.83,206.00573,28.3955,2758.72,8850.6,2.29,2.07,33.4,-0.425,19.07,20.23,02a59662o0335o
59664.504777,23.083,5.75,2,12,o,0,1.15,206.00573,28.3955,6921.65,7076.8,2.76,2.67,-63.7,-0.473,19.4,20.81,01a59664o0635o
59664.508875,-20.544,0.576,-22,13,o,0,0.94,206.00573,28.3955,6943.99,7115.8,2.72,2.66,-50.1,-0.477,19.41,20.82,01a59664o0644o
59664.532365,23.159,6.727,2,13,o,0,1.08,206.00573,28.3955,6889.87,7041.27,2.78,2.68,-61.1,-0.476,19.29,20.63,01a59664o0693o
59664.537528,-21.149,1.116,-13,14,o,0,0.97,206.00573,28.3955,6873.86,7158.73,2.79,2.71,-49.2,-0.475,19.28,20.63,01a59664o0704o
59665.446838,21.259,0.891,11,10,c,0,0.91,206.00573,28.3955,2809.65,8770.17,2.3,2.27,-11.0,-0.433,19.69,21.78,02a59665o0501c
59665.452331,-23.149,4.933,-2,10,c,0,1.08,206.00573,28.3955,2832.35,8810.17,2.4,2.35,27.0,-0.423,19.69,21.78,02a59665o0512c
59665.455072,-21.011,0.71,-14,10,c,0,1.17,206.00573,28.3955,2773.55,8731.78,2.44,2.33,35.2,-0.422,19.66,21.77,02a59665o0518c
59665.460107,-22.046,1.732,-6,10,c,0,1.61,206.00573,28.3955,2753.96,8848.4,2.41,2.35,37.7,-0.421,19.69,21.78,02a59665o0529c
59666.506408,-20.458,0.362,-24,9,c,0,1.3,206.00573,28.3955,8062.99,5409.06,2.77,2.34,32.0,-0.397,19.67,21.81,02a59666o0634c
59666.511925,-22.472,2.308,-4,9,c,0,1.13,206.00573,28.3955,8043.63,5370.91,2.72,2.29,33.3,-0.395,19.7,21.8,02a59666o0646c
59666.515707,21.254,0.662,11,8,c,0,1.38,206.00573,28.3955,8101.49,5450.58,2.71,2.3,33.2,-0.395,19.68,21.79,02a59666o0654c
59666.548043,21.086,0.841,13,11,c,0,0.83,206.00573,28.3955,8114.19,5334.38,2.8,2.53,36.0,-0.391,19.62,21.82,02a59666o0723c
59667.485229,-17.381,0.833,-405,338,o,0,1.14,206.00573,28.3955,6917.86,7073.62,2.78,2.75,51.3,-0.482,15.83,17.22,01a59667o0592o
59667.488508,20.833,6.4,17,108,o,0,1.4,206.00573,28.3955,6939.16,7112.28,2.72,2.68,39.4,-0.493,16.93,18.3,01a59667o0599o
59667.525962,23.789,21.0,1,23,o,0,0.9,206.00573,28.3955,6872.15,7154.04,2.86,2.83,28.9,-0.446,18.64,20.18,01a59667o0679o
59669.518557,-24.809,23.667,0,10,c,0,0.94,206.00573,28.3955,8061.02,5414.31,2.68,2.3,30.9,-0.399,19.71,21.83,02a59669o0660c
59669.522214,-22.929,3.824,-2,9,c,0,1.13,206.00573,28.3955,8041.66,5375.78,2.67,2.31,32.9,-0.397,19.71,21.83,02a59669o0668c
59669.553686,-22.987,4.067,-2,9,c,0,1.3,206.00573,28.3955,8096.83,5452.72,2.73,2.41,36.2,-0.398,19.66,21.8,02a59669o0735c
59669.568208,20.91,0.577,16,9,c,0,1.05,206.00573,28.3955,8117.03,5335.64,2.68,2.39,35.3,-0.399,19.65,21.79,02a59669o0766c
59670.426263,21.455,0.944,10,9,c,0,1.08,206.00573,28.3955,2528.44,5178.63,2.42,2.31,41.0,-0.417,19.67,21.82,02a59670o0211c
59670.428564,-22.678,2.591,-3,8,c,0,1.31,206.00573,28.3955,2547.61,5217.91,2.47,2.38,42.1,-0.414,19.65,21.81,02a59670o0216c
59670.431358,20.576,0.441,21,9,c,0,1.32,206.00573,28.3955,2489.11,5139.64,2.63,2.53,40.1,-0.407,19.59,21.82,02a59670o0222c
59670.436842,22.48,2.478,4,9,c,0,1.17,206.00573,28.3955,2469.94,5255.32,2.67,2.58,37.9,-0.403,19.61,21.84,02a59670o0234c
59671.381978,21.289,1.092,11,12,o,0,0.85,206.00573,28.3955,3622.55,3499.02,2.71,2.6,20.8,-0.477,19.42,20.93,01a59671o0365o
59671.407474,20.842,0.837,17,14,o,0,0.69,206.00573,28.3955,3602.22,3455.93,2.93,2.81,-44.7,-0.453,19.35,20.94,01a59671o0418o
59671.417442,20.917,0.812,16,13,o,0,0.99,206.00573,28.3955,3662.19,3530.73,2.76,2.65,-53.8,-0.477,19.36,20.92,01a59671o0439o
59671.421189,21.22,1.104,12,13,o,0,0.92,206.00573,28.3955,3679.36,3412.53,2.71,2.62,-57.1,-0.479,19.37,20.91,01a59671o0447o
59672.402899,21.043,0.974,14,14,o,0,0.99,206.00573,28.3955,8114.97,7303.7,2.83,2.74,-82.0,-0.46,19.34,20.72,01a59672o0403o
59672.429517,20.798,0.815,17,14,o,0,1.19,206.00573,28.3955,8099.58,7255.86,2.9,2.8,-86.5,-0.447,19.32,20.69,01a59672o0459o
59672.433367,21.687,1.769,8,14,o,0,1.28,206.00573,28.3955,8158.11,7331.92,2.93,2.91,67.3,-0.44,19.27,20.64,01a59672o0467o
59672.439292,20.294,0.545,28,15,o,0,1.05,206.00573,28.3955,8176.72,7215.37,2.95,2.84,-82.3,-0.449,19.28,20.67,01a59672o0480o
59673.438026,20.932,6.615,15,102,c,0,0.82,206.00573,28.3955,2531.15,5178.61,2.67,2.4,35.8,-0.403,17.31,19.34,02a59673o0476c
59673.442602,-18.028,0.859,-223,192,c,0,1.04,206.00573,28.3955,2494.14,5140.54,2.77,2.44,39.9,-0.401,16.34,18.33,02a59673o0486c
59673.448553,-18.883,1.207,-102,123,c,0,1.01,206.00573,28.3955,2475.97,5256.89,2.8,2.42,36.7,-0.398,16.88,18.84,02a59673o0499c
59677.415733,18.816,0.124,108,13,c,0,1.13,206.00573,28.3955,6960.27,9070.31,2.87,2.53,39.4,-0.398,19.44,21.41,02a59677o0411c
59677.42645,19.137,0.159,80,13,c,0,1.29,206.00573,28.3955,6981.02,9112.26,2.9,2.59,36.7,-0.396,19.47,21.5,02a59677o0434c
59677.428733,19.222,0.17,74,13,c,0,0.99,206.00573,28.3955,6921.02,9035.66,2.85,2.54,38.5,-0.4,19.5,21.53,02a59677o0439c
59677.447313,19.04,0.131,88,12,c,0,0.9,206.00573,28.3955,6903.22,9153.59,2.74,2.46,37.4,-0.412,19.62,21.72,02a59677o0476c
59677.536374,19.185,0.183,77,14,o,0,1.13,206.00573,28.3955,3892.98,4581.71,2.96,2.79,49.9,-0.442,19.28,20.72,01a59677o0616o
59677.536521,18.895,0.109,100,11,c,0,1.18,206.00573,28.3955,6637.45,6033.82,2.81,2.46,32.3,-0.396,19.55,21.62,02a59677o0661c
59677.542344,19.353,0.204,66,13,o,0,1.3,206.00573,28.3955,3916.35,4622.77,2.88,2.82,-50.5,-0.454,19.26,20.71,01a59677o0628o
59677.542724,18.603,0.111,131,15,c,0,0.91,206.00573,28.3955,6617.91,5994.8,3.24,2.98,33.0,-0.378,19.35,21.6,02a59677o0671c
59677.548236,19.107,0.167,83,14,o,0,1.29,206.00573,28.3955,3856.48,4545.99,2.84,2.72,-48.1,-0.473,19.28,20.66,01a59677o0640o
59677.549027,19.382,0.194,64,12,c,0,1.27,206.00573,28.3955,6674.57,6073.65,3.07,2.76,35.2,-0.386,19.44,21.57,02a59677o0683c
59677.554512,19.343,0.236,66,16,o,0,0.85,206.00573,28.3955,3841.35,4663.21,2.79,2.7,-51.3,-0.47,19.27,20.62,01a59677o0653o
59677.555368,19.446,0.254,60,15,c,0,1.12,206.00573,28.3955,6692.8,5959.19,3.17,2.8,33.9,-0.389,19.14,21.26,02a59677o0695c
59678.36294,18.717,0.133,118,16,c,0,1.07,206.00573,28.3955,6955.66,9067.22,2.83,2.47,35.3,-0.398,19.25,21.01,02a59678o0312c
59678.364774,18.826,0.142,107,15,c,0,1.53,206.00573,28.3955,6976.12,9105.8,2.8,2.49,36.4,-0.397,19.26,21.01,02a59678o0316c
59678.380463,19.054,0.197,87,17,c,0,0.91,206.00573,28.3955,6918.98,9030.98,2.7,2.45,35.6,-0.408,19.23,21.06,02a59678o0349c
59678.383662,18.837,0.15,106,16,c,0,1.15,206.00573,28.3955,6898.74,9149.51,2.76,2.49,31.9,-0.404,19.24,21.07,02a59678o0356c
59681.354474,18.593,0.255,133,34,c,0,1.48,206.00573,28.3955,6949.72,9066.62,2.78,2.46,34.5,-0.409,18.47,20.05,02a59681o0263c
59681.357676,18.257,0.196,181,35,c,0,1.17,206.00573,28.3955,6969.63,9105.84,2.79,2.5,37.6,-0.402,18.51,20.06,02a59681o0270c
59681.360681,18.595,0.297,132,39,c,0,0.87,206.00573,28.3955,6911.6,9028.45,2.75,2.47,34.3,-0.405,18.48,20.07,02a59681o0276c
59681.365721,18.284,0.218,176,38,c,0,0.66,206.00573,28.3955,6891.52,9145.85,2.81,2.45,35.7,-0.409,18.51,20.09,02a59681o0287c
59682.392911,18.573,0.16,135,22,o,0,0.55,206.00573,28.3955,7981.27,1293.41,2.03,1.92,-66.0,-0.451,18.87,19.34,02a59682o0348o
59682.396115,18.306,0.107,173,18,o,0,1.4,206.00573,28.3955,8000.8,1333.11,2.0,1.87,-64.2,-0.467,18.94,19.43,02a59682o0355o
59682.39889,18.752,0.152,115,17,o,0,1.54,206.00573,28.3955,7943.15,1255.23,1.99,1.84,-62.0,-0.456,18.94,19.46,02a59682o0361o
59682.403939,18.973,0.183,94,17,o,0,1.37,206.00573,28.3955,7925.36,1373.35,1.96,1.85,-64.6,-0.451,18.96,19.45,02a59682o0372o
59683.419046,19.197,0.388,76,30,o,0,0.9,206.00573,28.3955,7825.41,3711.63,3.0,2.95,-57.5,-0.469,18.47,19.3,01a59683o0401o
59683.446771,18.783,0.386,111,43,o,0,1.08,206.00573,28.3955,2735.31,6912.23,2.73,2.69,-53.7,-0.479,18.47,19.21,01a59683o0460o
59683.452141,18.629,0.332,128,43,o,0,0.92,206.00573,28.3955,2674.6,6836.39,2.77,2.7,-57.2,-0.48,18.53,19.22,01a59683o0471o
59683.477264,18.56,0.279,137,38,o,0,0.95,206.00573,28.3955,2666.07,6955.52,2.78,2.72,-64.0,-0.479,18.58,19.35,01a59683o0521o
59684.410046,18.463,0.237,150,35,o,0,0.78,206.00573,28.3955,7822.86,3712.54,2.73,2.69,-85.7,-0.486,18.32,18.95,01a59684o0351o
59684.412832,18.369,0.198,163,32,o,0,0.94,206.00573,28.3955,7803.2,3673.1,2.76,2.73,-61.5,-0.481,18.34,18.94,01a59684o0357o
59684.434454,19.373,0.517,65,34,o,0,1.09,206.00573,28.3955,7861.55,3743.83,2.8,2.77,-42.8,-0.477,18.38,18.98,01a59684o0400o
59684.437196,18.627,0.238,129,31,o,0,1.31,206.00573,28.3955,7879.13,3627.09,2.83,2.8,-37.4,-0.472,18.34,18.98,01a59684o0406o
59689.36794,18.393,0.098,160,16,o,0,0.96,206.00573,28.3955,7981.77,1292.55,2.04,1.88,-63.2,-0.457,19.2,19.99,02a59689o0303o
59689.369768,18.086,0.071,212,15,o,0,1.02,206.00573,28.3955,8000.35,1331.06,1.98,1.82,-60.3,-0.46,19.18,19.98,02a59689o0307o
59689.373126,18.24,0.088,184,16,o,0,1.17,206.00573,28.3955,7945.09,1253.72,2.02,1.79,-64.5,-0.467,19.22,19.95,02a59689o0314o
59689.380198,18.169,0.071,196,14,o,0,1.48,206.00573,28.3955,7923.85,1375.3,1.94,1.78,-62.6,-0.483,19.21,19.89,02a59689o0329o
59690.444615,18.222,0.063,187,12,o,0,1.84,206.00573,28.3955,316.17,5843.66,2.18,1.82,17.8,-0.4,19.35,20.29,02a59690o0470o
59690.445072,18.176,0.067,195,13,o,0,1.61,206.00573,28.3955,10241.48,5849.18,2.32,1.93,22.3,-0.436,19.37,20.29,02a59690o0471o
59690.454525,18.153,0.064,199,13,o,0,1.38,206.00573,28.3955,296.23,5807.9,2.17,1.82,20.8,-0.395,19.33,20.24,02a59690o0490o
59690.454982,18.411,0.081,157,13,o,0,1.53,206.00573,28.3955,10221.84,5813.7,2.33,1.94,21.3,-0.441,19.33,20.25,02a59690o0491o
59690.460641,18.164,0.077,197,15,o,0,1.05,206.00573,28.3955,10280.78,5893.57,2.37,1.95,21.9,-0.436,19.29,20.21,02a59690o0503o
59690.461098,18.268,0.086,179,15,o,0,0.65,206.00573,28.3955,354.35,5884.68,2.21,1.81,20.0,-0.428,19.3,20.2,02a59690o0504o
59690.465525,18.321,0.095,170,16,o,0,0.9,206.00573,28.3955,10299.74,5773.21,2.33,1.91,19.3,-0.445,19.29,20.2,02a59690o0513o
59690.465982,18.206,0.06,189,11,o,0,1.78,206.00573,28.3955,373.93,5762.84,2.18,1.82,19.3,-0.418,19.32,20.19,02a59690o0514o
59692.36641,18.184,0.071,193,14,o,0,1.21,206.00573,28.3955,6732.89,9546.23,2.79,2.7,71.0,-0.477,19.4,20.78,01a59692o0304o
59692.3738,18.326,0.076,170,13,o,0,1.29,206.00573,28.3955,6714.65,9505.27,2.83,2.73,69.7,-0.472,19.37,20.75,01a59692o0320o
59692.400592,18.4,0.088,158,14,o,0,1.08,206.00573,28.3955,6775.82,9575.87,2.94,2.78,46.2,-0.458,19.36,20.79,01a59692o0375o
59692.40723,18.244,0.082,183,15,o,0,1.2,206.00573,28.3955,6792.67,9457.02,2.92,2.76,50.6,-0.455,19.36,20.8,01a59692o0389o
59693.421752,17.61,0.153,328,50,c,0,0.9,206.00573,28.3955,314.19,5842.43,2.61,2.34,2.9,-0.381,17.78,19.57,02a59693o0424c
59693.428511,18.277,0.13,178,23,c,0,1.6,206.00573,28.3955,10238.98,5849.52,2.91,2.63,24.1,-0.398,18.71,20.64,02a59693o0437c
59693.428967,17.925,0.091,245,22,c,0,0.98,206.00573,28.3955,295.68,5806.67,2.61,2.41,10.0,-0.382,18.68,20.58,02a59693o0438c
59693.432175,17.838,0.092,266,24,c,0,0.72,206.00573,28.3955,10219.29,5810.6,2.94,2.56,18.0,-0.401,18.78,20.71,02a59693o0445c
59693.432632,18.159,0.115,198,23,c,0,0.96,206.00573,28.3955,353.73,5882.89,2.73,2.37,-0.2,-0.372,18.76,20.7,02a59693o0446c
59693.440683,18.08,0.059,213,13,c,0,1.12,206.00573,28.3955,10277.87,5889.57,2.9,2.55,18.3,-0.401,19.44,21.42,02a59693o0463c
59693.442517,18.042,0.059,220,13,c,0,0.9,206.00573,28.3955,372.22,5764.18,2.79,2.42,-1.3,-0.379,19.34,21.37,02a59693o0467c
59693.454217,18.168,0.057,196,11,c,0,1.45,206.00573,28.3955,10296.03,5771.11,2.77,2.51,22.7,-0.408,19.56,21.5,02a59693o0491c
59694.358803,18.138,0.051,202,10,c,0,1.31,206.00573,28.3955,10287.82,4743.61,2.74,2.61,11.5,-0.41,19.55,21.59,02a59694o0281c
59694.360643,18.149,0.057,200,11,c,0,1.6,206.00573,28.3955,10307.41,4782.37,2.94,2.73,14.4,-0.399,19.51,21.59,02a59694o0285c
59694.363384,18.045,0.05,220,11,c,0,1.53,206.00573,28.3955,10249.02,4706.46,2.85,2.66,11.1,-0.411,19.54,21.59,02a59694o0291c
59694.396839,18.117,0.056,206,12,c,0,1.27,206.00573,28.3955,10232.42,4827.84,2.79,2.58,17.9,-0.414,19.55,21.59,02a59694o0356c
59694.44027,18.077,0.059,213,12,c,0,1.24,206.00573,28.3955,10236.39,5844.22,2.88,2.62,15.4,-0.404,19.48,21.51,02a59694o0441c
59694.468589,18.08,0.058,213,12,c,0,1.21,206.00573,28.3955,10210.98,5811.35,2.85,2.65,25.3,-0.408,19.49,21.49,02a59694o0498c
59694.471756,18.16,0.069,198,14,c,0,1.04,206.00573,28.3955,10274.76,5894.47,2.99,2.74,-0.3,-0.395,19.42,21.48,02a59694o0504c
59694.50041,18.129,0.068,203,14,c,0,0.86,206.00573,28.3955,10286.18,5776.96,2.81,2.6,15.3,-0.41,19.48,21.4,02a59694o0564c
