MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59653.50714,20.55,1.169,22,26,o,0,0.98,218.71078,53.83625,1640.43,456.26,3.21,3.07,-50.3,-0.506,18.68,19.75,01a59653o0238o
59653.508964,-22.33,5.789,-4,25,o,0,0.92,218.71078,53.83625,1617.24,419.14,3.04,2.88,-42.4,-0.529,18.81,19.76,01a59653o0242o
59653.512629,-20.889,1.397,-16,22,o,0,1.04,218.71078,53.83625,1681.47,493.94,2.9,2.78,-39.2,-0.532,18.81,19.75,01a59653o0250o
59653.52312,-20.159,0.69,-31,22,o,0,1.07,218.71078,53.83625,1696.89,375.51,3.02,2.94,-38.5,-0.51,18.79,19.76,01a59653o0272o
59657.518085,-20.873,1.95,-16,32,o,0,1.09,218.71078,53.83625,7840.49,5936.2,2.95,2.89,46.6,-0.47,18.55,19.28,01a59657o0675o
59657.520363,19.876,0.832,41,34,o,0,1.25,218.71078,53.83625,7819.85,5897.28,2.88,2.79,36.8,-0.469,18.64,19.28,01a59657o0680o
59657.524943,-21.129,2.652,-13,34,o,0,1.09,218.71078,53.83625,7879.73,5974.35,2.96,2.81,39.6,-0.456,18.64,19.29,01a59657o0690o
59657.543912,-22.34,7.818,-4,33,o,0,1.2,218.71078,53.83625,7895.15,5856.18,2.92,2.82,37.9,-0.454,18.63,19.31,01a59657o0730o
59665.49681,-22.003,1.829,-6,10,o,0,1.33,218.71078,53.83625,3838.66,1922.18,2.62,2.55,-33.2,-0.497,19.4,20.77,01a59665o0596o
59665.498631,21.026,1.012,14,14,o,0,0.74,218.71078,53.83625,3817.22,1883.35,2.64,2.56,-41.6,-0.495,19.37,20.75,01a59665o0600o
59665.501365,20.743,0.664,18,12,o,0,1.29,218.71078,53.83625,3879.61,1957.87,2.65,2.57,-40.2,-0.493,19.39,20.76,01a59665o0606o
59665.507299,20.303,0.415,28,11,o,0,1.47,218.71078,53.83625,3894.52,1840.24,2.65,2.59,-30.3,-0.492,19.36,20.76,01a59665o0619o
59669.574286,20.449,0.575,24,14,o,0,0.88,218.71078,53.83625,6741.22,8639.0,2.81,2.76,-10.9,-0.466,19.39,20.93,01a59669o0138o
59669.577487,20.995,0.766,14,11,o,0,1.26,218.71078,53.83625,6764.06,8676.87,2.83,2.74,-29.3,-0.467,19.37,20.93,01a59669o0145o
59669.584372,20.096,0.368,33,12,o,0,1.23,218.71078,53.83625,6704.0,8603.64,2.91,2.75,34.3,-0.444,19.37,20.89,01a59669o0160o
