MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59653.558461,-19.763,0.412,-45,19,o,0,0.98,252.28953,27.21157,7985.14,5246.8,2.46,1.98,37.7,-0.425,19.09,19.73,02a59653o0745o
59653.560746,21.729,1.966,7,14,o,0,1.58,252.28953,27.21157,8004.76,5285.52,2.45,2.01,38.1,-0.428,19.11,19.81,02a59653o0750o
59653.563497,-19.802,0.348,-44,15,o,0,1.16,252.28953,27.21157,7945.63,5208.35,2.53,1.97,36.6,-0.423,19.1,19.73,02a59653o0756o
59653.576237,-20.208,0.806,-30,24,o,0,1.38,252.28953,27.21157,7928.23,5323.7,2.58,2.01,37.5,-0.411,18.61,19.03,02a59653o0782o
59654.519473,-21.286,1.464,-11,16,o,0,1.47,252.28953,27.21157,7970.7,5245.44,2.52,2.08,37.5,-0.411,18.86,19.37,02a59654o0659o
59654.522263,19.819,0.481,43,21,o,0,1.76,252.28953,27.21157,7989.73,5282.57,2.74,2.17,34.3,-0.394,18.81,19.38,02a59654o0665o
59654.525017,-20.554,0.81,-22,18,o,0,1.32,252.28953,27.21157,7931.99,5208.59,2.39,2.1,35.5,-0.431,18.95,19.41,02a59654o0671o
59654.530977,-20.122,0.712,-32,23,o,0,0.88,252.28953,27.21157,7911.37,5325.7,2.46,2.13,37.4,-0.417,18.92,19.44,02a59654o0684o
59655.515282,19.878,0.887,41,36,o,0,1.43,252.28953,27.21157,3451.3,9843.0,2.91,2.71,-46.7,-0.484,18.13,18.62,01a59655o0612o
59655.518035,-19.221,0.528,-74,39,o,0,0.87,252.28953,27.21157,3433.38,9804.42,2.79,2.69,-67.5,-0.481,18.26,18.69,01a59655o0618o
59655.521235,21.774,4.821,7,34,o,0,1.0,252.28953,27.21157,3492.6,9880.48,2.71,2.61,-52.2,-0.492,18.37,18.89,01a59655o0625o
59655.535599,19.626,0.522,51,27,o,0,1.13,252.28953,27.21157,3515.51,9759.41,2.71,2.6,-55.8,-0.49,18.63,19.24,01a59655o0656o
59656.590662,-18.394,0.569,-159,91,o,0,1.12,252.28953,27.21157,4532.67,5234.5,2.8,2.68,-55.7,-0.489,17.21,17.38,01a59656o0724o
59656.592483,-20.28,3.643,-28,102,o,0,0.95,252.28953,27.21157,4512.67,5196.0,2.83,2.75,-57.2,-0.486,17.06,17.27,01a59656o0728o
59656.597929,18.518,0.786,142,112,o,0,0.84,252.28953,27.21157,4571.98,5270.94,2.77,2.68,-53.4,-0.482,17.03,17.13,01a59656o0739o
59656.618502,-19.769,0.558,-45,25,o,0,1.2,252.28953,27.21157,4588.34,5151.55,2.65,2.64,-62.7,-0.483,18.62,19.25,01a59656o0784o
59657.534089,-20.819,1.158,-17,20,o,0,2.22,252.28953,27.21157,7979.18,5247.15,2.5,1.97,38.4,-0.413,18.78,19.11,02a59657o0693o
59657.537371,-19.27,0.277,-71,20,o,0,1.56,252.28953,27.21157,7996.4,5283.97,2.42,1.94,32.0,-0.424,18.83,19.13,02a59657o0700o
59657.541484,-20.365,0.954,-26,25,o,0,1.05,252.28953,27.21157,7939.69,5207.84,2.62,2.03,35.2,-0.411,18.72,19.15,02a59657o0709o
59657.550702,25.407,98.0,0,24,o,0,0.9,252.28953,27.21157,7922.65,5324.91,2.54,1.97,35.8,-0.417,18.79,19.17,02a59657o0729o
59658.581491,23.247,9.889,2,18,o,0,1.89,252.28953,27.21157,5286.05,900.88,2.08,1.91,60.1,-0.443,18.86,19.36,02a59658o0800o
59658.583785,21.135,1.692,13,22,o,0,1.33,252.28953,27.21157,5304.53,940.28,2.07,1.87,54.9,-0.445,18.88,19.37,02a59658o0805o
59658.591256,-19.076,0.213,-85,18,o,0,1.61,252.28953,27.21157,5254.01,864.0,2.04,1.85,64.7,-0.458,18.86,19.39,02a59658o0821o
59658.599047,22.142,3.26,5,16,o,0,1.96,252.28953,27.21157,5235.24,980.7,2.09,1.89,58.1,-0.447,18.87,19.4,02a59658o0838o
59658.650814,-20.344,0.916,-26,24,o,0,1.09,252.28953,27.21157,5288.3,929.09,2.06,1.86,57.2,-0.439,18.6,18.92,02a59658o0947o
59659.582121,-20.197,0.559,-30,17,o,0,1.87,252.28953,27.21157,4532.01,5235.47,2.74,2.62,-56.8,-0.478,18.94,19.87,01a59659o0795o
59659.583946,-19.958,0.505,-38,19,o,0,1.02,252.28953,27.21157,4511.69,5195.68,2.75,2.62,-53.3,-0.475,18.95,19.88,01a59659o0799o
59659.587589,23.566,14.0,1,19,o,0,0.99,252.28953,27.21157,4571.36,5273.02,2.73,2.59,-48.6,-0.482,18.94,19.87,01a59659o0807o
59659.592625,-20.692,0.902,-19,17,o,0,1.61,252.28953,27.21157,4589.02,5154.09,2.73,2.62,-55.9,-0.479,18.94,19.89,01a59659o0818o
59660.538168,-23.443,12.444,-2,19,o,0,1.07,252.28953,27.21157,4531.09,5246.57,2.72,2.61,-47.1,-0.475,18.95,19.88,01a59660o0658o
59660.546629,20.018,0.537,36,19,o,0,1.25,252.28953,27.21157,4510.39,5202.8,2.81,2.68,-46.4,-0.463,18.92,19.91,01a59660o0676o
59660.552206,25.784,97.0,0,17,o,0,1.32,252.28953,27.21157,4570.41,5277.87,2.78,2.66,-50.3,-0.47,18.94,19.94,01a59660o0688o
59660.560781,22.082,3.103,5,17,o,0,1.46,252.28953,27.21157,4591.55,5163.51,2.85,2.74,-56.6,-0.461,18.97,19.97,01a59660o0706o
59661.570135,-20.405,1.088,-25,27,o,0,1.19,252.28953,27.21157,5294.51,901.9,2.01,1.8,63.5,-0.46,18.49,18.92,02a59661o0769o
59661.572876,-19.569,0.463,-54,25,o,0,1.29,252.28953,27.21157,5313.42,942.04,2.0,1.82,63.7,-0.452,18.7,19.18,02a59661o0775o
59661.583309,-20.783,1.158,-18,20,o,0,0.91,252.28953,27.21157,5251.74,867.72,1.97,1.83,60.5,-0.454,18.97,19.53,02a59661o0796o
59661.588553,-19.497,0.402,-58,23,o,0,1.48,252.28953,27.21157,5233.51,983.02,2.0,1.88,67.7,-0.452,18.49,19.05,02a59661o0807o
59662.554702,-19.906,0.29,-40,12,o,0,2.36,252.28953,27.21157,5291.0,902.91,2.08,1.99,81.6,-0.44,19.23,20.21,02a59662o0472o
59662.556539,21.39,1.526,10,15,o,0,1.83,252.28953,27.21157,5310.32,942.26,2.06,1.95,79.9,-0.439,19.26,20.22,02a59662o0476o
59662.559738,-20.764,0.631,-18,11,o,0,3.06,252.28953,27.21157,5252.57,863.94,2.04,1.93,-86.1,-0.444,19.26,20.23,02a59662o0483o
59662.566139,-18.577,0.266,-135,36,o,0,2.07,252.28953,27.21157,5234.14,982.14,2.09,2.0,76.5,-0.447,18.01,19.12,02a59662o0497o
59664.547373,-22.396,3.792,-4,15,o,0,1.24,252.28953,27.21157,5155.73,1150.62,2.61,2.54,-56.4,-0.503,19.29,20.55,01a59664o0725o
59664.572602,-20.466,0.59,-24,14,o,0,1.63,252.28953,27.21157,5134.06,1104.8,2.68,2.56,-55.0,-0.494,19.3,20.55,01a59664o0778o
59664.575375,20.556,0.58,22,13,o,0,1.63,252.28953,27.21157,5193.64,1181.41,2.61,2.53,-58.6,-0.506,19.29,20.53,01a59664o0784o
59664.580843,-20.763,0.752,-18,14,o,0,1.47,252.28953,27.21157,5212.44,1063.46,2.66,2.56,-48.4,-0.505,19.27,20.53,01a59664o0796o
59665.526433,-21.613,0.953,-8,8,c,0,2.06,252.28953,27.21157,5277.7,903.05,2.39,2.23,89.8,-0.43,19.61,21.7,02a59665o0669c
59665.528257,-20.593,0.388,-21,8,c,0,2.17,252.28953,27.21157,5296.98,942.3,2.39,2.23,85.8,-0.427,19.63,21.71,02a59665o0673c
59665.537049,23.472,4.833,2,7,c,0,2.7,252.28953,27.21157,5236.81,864.19,2.35,2.2,86.7,-0.43,19.67,21.74,02a59665o0691c
59665.545376,23.774,7.222,1,8,c,0,2.56,252.28953,27.21157,5223.84,982.24,2.36,2.21,88.2,-0.429,19.63,21.76,02a59665o0709c
59666.575137,20.627,0.511,20,10,c,0,1.39,252.28953,27.21157,2207.71,7481.24,2.63,2.4,36.4,-0.398,19.61,21.84,02a59666o0777c
59666.577882,21.284,0.855,11,10,c,0,1.22,252.28953,27.21157,2226.87,7519.25,2.65,2.41,34.2,-0.395,19.62,21.84,02a59666o0783c
59666.580624,19.916,0.259,39,10,c,0,1.69,252.28953,27.21157,2166.89,7441.4,2.64,2.4,35.0,-0.398,19.62,21.84,02a59666o0789c
59666.588213,22.404,2.286,4,9,c,0,1.25,252.28953,27.21157,2144.26,7559.33,2.57,2.39,34.5,-0.403,19.65,21.86,02a59666o0803c
59666.599065,21.163,0.809,12,10,c,0,1.58,252.28953,27.21157,2185.23,7505.78,2.48,2.31,25.6,-0.405,19.66,21.81,02a59666o0825c
59667.490102,19.173,3.609,78,281,o,0,1.06,252.28953,27.21157,5151.99,1156.42,2.78,2.63,-61.4,-0.485,16.1,17.41,01a59667o0602o
59667.493312,-18.677,1.1,-123,135,o,0,1.22,252.28953,27.21157,5131.32,1119.18,2.72,2.63,-39.2,-0.491,16.8,18.07,01a59667o0609o
59667.498782,-18.796,0.753,-110,83,o,0,1.74,252.28953,27.21157,5193.3,1196.53,2.76,2.69,-64.9,-0.482,17.08,18.36,01a59667o0621o
59667.533932,-18.233,0.52,-185,96,o,0,1.67,252.28953,27.21157,5212.93,1070.02,2.82,2.76,-29.0,-0.475,17.03,18.45,01a59667o0696o
59669.546477,19.565,0.187,54,10,c,0,1.4,252.28953,27.21157,2204.53,7480.58,2.42,2.3,34.4,-0.411,19.68,21.84,02a59669o0720c
59669.548309,20.028,0.273,35,10,c,0,1.55,252.28953,27.21157,2224.41,7519.92,2.43,2.31,27.9,-0.412,19.65,21.84,02a59669o0724c
59669.574958,19.716,0.231,47,11,c,0,1.58,252.28953,27.21157,2166.33,7444.13,2.47,2.36,34.6,-0.411,19.67,21.86,02a59669o0779c
59669.579989,20.554,0.471,22,10,c,0,1.55,252.28953,27.21157,2148.16,7560.12,2.57,2.39,33.2,-0.406,19.64,21.85,02a59669o0790c
59670.553935,19.466,0.178,59,11,c,0,1.31,252.28953,27.21157,2204.61,7480.91,2.48,2.34,27.0,-0.407,19.67,21.84,02a59670o0373c
59670.557485,19.6,0.193,52,10,c,0,1.49,252.28953,27.21157,2223.93,7519.95,2.43,2.33,21.4,-0.406,19.64,21.83,02a59670o0380c
59670.560754,19.086,0.125,84,10,c,0,1.96,252.28953,27.21157,2165.61,7440.59,2.52,2.38,32.9,-0.404,19.62,21.84,02a59670o0387c
59670.566237,19.504,0.179,57,10,c,0,1.52,252.28953,27.21157,2145.6,7556.72,2.54,2.43,35.0,-0.406,19.62,21.85,02a59670o0399c
59671.5207,19.876,0.286,41,12,o,0,1.48,252.28953,27.21157,5159.48,1151.58,2.66,2.57,-52.0,-0.497,19.47,20.98,01a59671o0656o
59671.525279,20.27,0.395,28,11,o,0,2.1,252.28953,27.21157,5141.52,1113.89,2.7,2.68,-62.4,-0.478,19.44,21.02,01a59671o0665o
59671.528928,19.705,0.247,48,12,o,0,1.53,252.28953,27.21157,5201.68,1189.42,2.71,2.62,-58.0,-0.489,19.47,21.03,01a59671o0673o
59671.538675,19.488,0.203,58,12,o,0,1.7,252.28953,27.21157,5219.5,1072.07,2.69,2.67,-69.9,-0.479,19.5,21.09,01a59671o0694o
59672.526162,19.96,0.37,38,14,o,0,1.22,252.28953,27.21157,8396.6,4998.83,2.95,2.8,-61.9,-0.462,19.27,20.64,01a59672o0659o
59672.529394,20.068,0.382,34,13,o,0,1.36,252.28953,27.21157,8376.82,4959.17,2.78,2.66,-65.0,-0.476,19.32,20.65,01a59672o0666o
59672.53816,19.708,0.272,48,13,o,0,1.75,252.28953,27.21157,8435.24,5030.36,2.89,2.76,-63.6,-0.467,19.3,20.72,01a59672o0685o
59672.548309,19.476,0.219,59,13,o,0,2.09,252.28953,27.21157,8453.21,4910.75,2.76,2.59,-64.1,-0.487,19.34,20.69,01a59672o0707o
59673.527814,18.9,0.298,100,30,c,0,1.39,252.28953,27.21157,2205.3,7479.35,2.68,2.43,34.7,-0.384,18.56,20.59,02a59673o0668c
59673.53012,19.214,0.526,75,39,c,0,1.14,252.28953,27.21157,2225.76,7518.35,2.73,2.42,34.5,-0.379,18.15,20.18,02a59673o0673c
59673.532864,20.603,2.96,21,62,c,0,1.15,252.28953,27.21157,2167.07,7440.25,2.72,2.48,34.6,-0.389,17.58,19.57,02a59673o0679c
59673.538356,21.363,3.875,10,40,c,0,1.69,252.28953,27.21157,2147.69,7557.32,2.66,2.41,31.7,-0.384,17.85,19.82,02a59673o0691c
59677.510777,18.436,0.066,153,10,c,0,1.89,252.28953,27.21157,9450.87,1140.54,2.44,2.24,-60.0,-0.425,19.6,21.69,02a59677o0608c
59677.51261,18.545,0.085,139,12,c,0,1.75,252.28953,27.21157,9470.35,1178.99,2.51,2.32,-60.2,-0.418,19.58,21.69,02a59677o0612c
59677.515809,18.356,0.064,165,10,c,0,1.64,252.28953,27.21157,9413.89,1102.59,2.51,2.3,-62.0,-0.42,19.59,21.7,02a59677o0619c
59677.522657,18.747,0.095,115,11,c,0,1.37,252.28953,27.21157,9396.16,1221.02,2.51,2.33,-56.8,-0.417,19.57,21.69,02a59677o0632c
59678.465179,18.451,0.075,151,11,c,0,1.91,252.28953,27.21157,9452.19,1135.23,2.4,2.17,-61.5,-0.432,19.37,21.23,02a59678o0527c
59678.471786,18.31,0.071,172,12,c,0,1.33,252.28953,27.21157,9470.04,1173.27,2.46,2.23,-59.5,-0.429,19.43,21.36,02a59678o0541c
59678.476629,18.193,0.054,192,10,c,0,1.99,252.28953,27.21157,9412.49,1097.76,2.37,2.16,-62.7,-0.432,19.5,21.46,02a59678o0550c
59678.484404,18.361,0.062,164,10,c,0,2.33,252.28953,27.21157,9392.24,1216.76,2.4,2.21,-61.1,-0.428,19.58,21.59,02a59678o0567c
59679.593276,18.759,0.168,114,19,o,0,12.01,252.28953,27.21157,2133.57,5606.11,2.81,2.73,-42.0,-0.468,19.2,20.58,01a59679o0310o
59679.597871,18.786,0.122,111,14,o,0,1.44,252.28953,27.21157,2154.54,5643.82,2.82,2.76,-52.7,-0.459,19.26,20.67,01a59679o0320o
59679.615381,18.484,0.1,147,15,o,0,1.47,252.28953,27.21157,2100.45,5567.54,2.75,2.62,-52.4,-0.48,19.24,20.59,01a59679o0355o
59679.624074,18.461,0.089,150,13,o,0,2.18,252.28953,27.21157,2084.97,5684.66,2.61,2.5,-51.9,-0.495,19.29,20.62,01a59679o0372o
59679.639296,18.483,0.12,147,18,o,0,1.65,252.28953,27.21157,2127.82,5627.19,2.8,2.63,-49.4,-0.482,18.98,19.99,01a59679o0402o
59681.462457,17.982,0.101,233,24,c,0,1.09,252.28953,27.21157,9444.68,1135.35,2.38,2.15,-57.3,-0.441,18.64,20.21,02a59681o0488c
59681.464285,18.306,0.126,173,22,c,0,1.47,252.28953,27.21157,9462.68,1173.15,2.38,2.15,-55.8,-0.438,18.62,20.22,02a59681o0492c
59681.467491,18.221,0.125,187,23,c,0,1.29,252.28953,27.21157,9406.14,1096.41,2.35,2.14,-58.1,-0.446,18.64,20.23,02a59681o0499c
59681.475912,18.193,0.113,192,22,c,0,1.02,252.28953,27.21157,9386.46,1216.08,2.37,2.16,-62.2,-0.444,18.67,20.28,02a59681o0517c
59682.498012,18.794,0.16,110,18,o,0,1.52,252.28953,27.21157,8975.88,3583.9,2.14,1.9,30.0,-0.43,18.99,19.59,02a59682o0565o
59682.49985,18.565,0.177,136,24,o,0,1.35,252.28953,27.21157,8995.01,3622.56,2.13,1.9,26.8,-0.425,18.73,19.27,02a59682o0569o
59682.50483,18.304,0.116,173,20,o,0,2.0,252.28953,27.21157,8940.49,3546.36,2.12,1.89,28.3,-0.43,19.17,19.88,02a59682o0579o
59682.510974,18.001,0.291,229,67,o,0,1.19,252.28953,27.21157,8922.56,3664.28,2.08,1.87,24.8,-0.435,17.57,17.9,02a59682o0592o
59683.534711,18.107,0.105,208,22,o,0,1.25,252.28953,27.21157,9426.13,1385.25,2.98,2.72,-55.4,-0.519,18.88,19.88,01a59683o0639o
59683.54476,18.816,0.272,108,29,o,0,0.92,252.28953,27.21157,9406.0,1343.04,2.92,2.65,-56.6,-0.528,18.72,19.62,01a59683o0660o
59683.547958,18.104,0.193,208,40,o,0,0.88,252.28953,27.21157,9467.43,1421.91,2.89,2.68,-55.1,-0.522,18.28,18.94,01a59683o0667o
59683.550686,18.496,0.194,145,28,o,0,1.43,252.28953,27.21157,9485.57,1302.25,2.74,2.52,-55.1,-0.535,18.63,19.44,01a59683o0673o
59684.492353,18.042,0.119,220,26,o,0,1.13,252.28953,27.21157,9424.97,1395.03,2.65,2.44,-53.6,-0.534,18.76,19.55,01a59684o0523o
59684.494173,18.091,0.127,211,27,o,0,1.62,252.28953,27.21157,9406.24,1357.1,2.6,2.39,-53.8,-0.544,18.74,19.55,01a59684o0527o
59684.500129,18.364,0.157,164,26,o,0,1.43,252.28953,27.21157,9468.65,1437.21,2.66,2.42,-57.5,-0.533,18.78,19.58,01a59684o0540o
59684.512145,18.45,0.17,151,26,o,0,1.03,252.28953,27.21157,9485.63,1312.06,2.94,2.68,-54.0,-0.52,18.73,19.61,01a59684o0565o
59689.473429,18.354,0.109,165,18,o,0,1.5,252.28953,27.21157,8979.3,3582.36,2.14,1.95,27.1,-0.427,18.91,19.43,02a59689o0520o
59689.476628,18.683,0.173,122,21,o,0,1.11,252.28953,27.21157,8999.62,3619.08,2.18,1.95,24.9,-0.425,18.92,19.44,02a59689o0527o
59689.479449,18.624,0.142,129,18,o,0,1.96,252.28953,27.21157,8941.28,3544.85,2.13,1.92,27.1,-0.429,18.92,19.46,02a59689o0533o
59689.484732,18.811,0.141,109,15,o,0,2.93,252.28953,27.21157,8925.7,3661.13,2.19,1.97,29.8,-0.425,18.94,19.48,02a59689o0544o
59690.514619,18.825,0.653,107,70,o,0,0.89,252.28953,27.21157,32.8,7093.73,1.92,1.71,7.6,-0.38,18.41,18.83,02a59690o0614o
59690.549498,18.589,0.118,133,16,o,0,1.66,252.28953,27.21157,546.57,3531.47,2.22,1.86,26.6,-0.441,19.1,19.87,02a59690o0690o
59690.552696,18.71,0.125,119,15,o,0,1.8,252.28953,27.21157,527.88,3495.01,2.25,1.87,27.2,-0.437,19.02,19.78,02a59690o0697o
59690.559741,18.354,0.119,165,20,o,0,0.85,252.28953,27.21157,588.27,3568.6,2.26,1.81,27.4,-0.431,19.05,19.76,02a59690o0712o
59690.589373,18.567,0.1,136,14,o,0,3.13,252.28953,27.21157,601.97,3452.16,2.17,1.81,28.1,-0.442,19.13,19.93,02a59690o0774o
59692.485486,18.654,0.123,125,15,o,0,1.32,252.28953,27.21157,5719.21,7248.55,2.89,2.68,51.4,-0.44,19.25,20.58,01a59692o0467o
59692.498198,18.319,0.162,171,28,o,0,0.95,252.28953,27.21157,5701.79,7206.52,2.82,2.7,48.6,-0.449,18.69,19.8,01a59692o0494o
59692.502976,18.437,0.115,153,18,o,0,1.36,252.28953,27.21157,5761.25,7281.79,2.81,2.68,48.5,-0.454,18.7,20.03,01a59692o0504o
59692.521303,18.289,0.297,176,52,o,0,1.03,252.28953,27.21157,5780.53,7161.64,2.8,2.65,47.1,-0.457,18.16,19.55,01a59692o0540o
59693.488185,18.481,0.079,147,12,c,0,1.53,252.28953,27.21157,10049.53,7055.92,2.83,2.54,29.9,-0.398,19.51,21.44,02a59693o0562c
59693.490013,18.339,0.062,168,10,c,0,2.57,252.28953,27.21157,10069.63,7094.09,2.8,2.5,27.5,-0.403,19.5,21.45,02a59693o0566c
59693.494617,18.383,0.078,161,13,c,0,1.24,252.28953,27.21157,10012.61,7015.91,2.81,2.52,27.4,-0.405,19.49,21.45,02a59693o0575c
59693.499737,18.526,0.109,141,15,c,0,1.35,252.28953,27.21157,9997.33,7133.92,2.85,2.52,28.8,-0.401,19.05,20.98,02a59693o0586c
59693.500651,-20.707,0.942,-19,18,c,0,4.89,252.28953,27.21157,32.93,7088.94,2.39,2.27,-13.6,-0.374,19.18,21.11,02a59693o0588c
59694.425069,18.107,0.06,208,12,c,0,2.07,252.28953,27.21157,10040.37,7050.04,3.27,2.6,21.1,-0.38,19.38,21.39,02a59694o0411c
59694.428267,18.543,0.09,139,12,c,0,1.53,252.28953,27.21157,10066.66,7089.62,2.84,2.56,18.6,-0.399,19.49,21.4,02a59694o0418c
59694.443952,19.623,0.273,51,14,c,0,1.53,252.28953,27.21157,10000.25,7012.26,3.07,2.72,19.4,-0.392,19.45,21.44,02a59694o0448c
59694.449039,18.38,0.082,161,13,c,0,1.16,252.28953,27.21157,9983.34,7130.92,3.13,2.61,26.6,-0.387,19.44,21.45,02a59694o0459c
59695.465438,19.073,0.176,85,15,o,0,1.58,252.28953,27.21157,5715.95,7247.2,2.8,2.73,68.7,-0.46,19.21,20.48,01a59695o0508o
59695.467266,18.581,0.118,134,16,o,0,1.51,252.28953,27.21157,5696.23,7208.97,2.73,2.66,67.8,-0.463,19.26,20.51,01a59695o0512o
59695.485829,18.488,0.1,146,15,o,0,1.83,252.28953,27.21157,5757.37,7281.14,2.78,2.68,63.2,-0.459,19.26,20.53,01a59695o0551o
59695.48902,18.849,0.152,105,16,o,0,1.22,252.28953,27.21157,5775.67,7164.17,2.8,2.72,63.4,-0.455,19.26,20.54,01a59695o0558o
59696.498349,18.914,0.123,99,12,o,0,1.62,252.28953,27.21157,7639.95,7120.64,2.76,2.69,69.2,-0.462,19.37,20.75,01a59696o0581o
59696.500717,19.006,0.156,91,14,o,0,1.45,252.28953,27.21157,7619.99,7080.94,2.71,2.65,67.5,-0.468,19.41,20.74,01a59696o0586o
59696.506351,18.742,0.116,116,14,o,0,1.54,252.28953,27.21157,7679.75,7156.76,2.75,2.67,61.9,-0.467,19.39,20.76,01a59696o0598o
59696.514649,18.994,0.14,92,13,o,0,1.59,252.28953,27.21157,7696.53,7039.5,2.76,2.68,55.1,-0.467,19.39,20.72,01a59696o0616o
59697.460372,18.269,0.112,179,20,c,0,0.91,252.28953,27.21157,10052.15,7054.46,2.82,2.52,26.1,-0.403,18.61,20.21,02a59697o0490c
59697.462657,19.058,0.249,86,22,c,0,1.05,252.28953,27.21157,10072.57,7093.43,2.83,2.51,25.7,-0.403,18.63,20.2,02a59697o0495c
59697.467226,18.741,0.145,116,17,c,0,1.29,252.28953,27.21157,10013.26,7017.36,2.76,2.47,25.1,-0.412,18.87,20.45,02a59697o0505c
59697.478991,18.574,0.077,135,10,c,0,1.65,252.28953,27.21157,9988.39,7135.37,2.66,2.47,25.4,-0.413,19.65,21.34,02a59697o0527c
59698.553526,18.525,0.084,141,12,c,0,1.86,252.28953,27.21157,638.37,5467.73,2.41,2.23,24.1,-0.422,19.33,21.03,02a59698o0654c
59698.556456,18.924,0.137,98,13,c,0,1.34,252.28953,27.21157,620.23,5431.6,2.46,2.26,25.1,-0.413,19.25,20.94,02a59698o0660c
59698.561669,18.659,0.107,125,13,c,0,1.67,252.28953,27.21157,679.72,5508.13,2.44,2.27,25.7,-0.415,19.14,20.81,02a59698o0671c
59698.597393,18.796,0.092,110,10,c,0,2.27,252.28953,27.21157,694.98,5390.63,2.36,2.22,19.6,-0.426,19.48,21.17,02a59698o0743c
59699.492357,19.193,0.338,76,26,o,0,1.21,252.28953,27.21157,7640.11,7119.91,2.73,2.65,70.5,-0.47,18.67,19.9,01a59699o0573o
59699.495583,19.234,0.393,74,29,o,0,1.25,252.28953,27.21157,7620.55,7081.3,2.72,2.64,76.3,-0.474,18.54,19.75,01a59699o0580o
