MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59654.582107,-19.975,0.543,-37,20,o,0,1.27,238.0444,6.28564,8721.46,9880.95,3.03,2.84,58.7,-0.434,18.9,19.78,01a59654o0664o
59654.585311,20.441,0.992,24,24,o,0,0.88,238.0444,6.28564,8701.59,9841.53,2.92,2.73,52.4,-0.451,18.97,19.8,01a59654o0671o
59654.588501,-20.51,0.937,-23,21,o,0,1.18,238.0444,6.28564,8762.38,9918.75,2.99,2.9,54.6,-0.45,18.92,19.83,01a59654o0678o
59654.594893,-21.88,2.909,-6,19,o,0,1.6,238.0444,6.28564,8779.36,9798.59,2.98,2.83,57.5,-0.446,18.95,19.86,01a59654o0692o
59656.464052,17.475,0.78,372,290,o,0,1.13,238.0444,6.28564,3115.41,5117.76,2.63,1.88,35.1,-0.423,16.09,15.71,02a59656o0557o
59656.468643,20.842,11.185,17,187,o,0,0.8,238.0444,6.28564,3134.38,5154.48,2.67,1.88,34.7,-0.408,16.53,16.13,02a59656o0567o
59656.474159,-18.964,0.935,-94,88,o,0,1.23,238.0444,6.28564,3075.88,5077.21,2.62,1.85,34.2,-0.412,16.99,16.71,02a59656o0579o
59656.483884,19.276,0.955,71,68,o,0,1.07,238.0444,6.28564,3055.05,5194.74,2.59,1.84,35.3,-0.42,17.55,17.24,02a59656o0598o
59658.516754,21.226,3.538,12,42,o,0,1.27,238.0444,6.28564,9387.65,5310.88,2.77,2.75,59.5,-0.472,18.53,19.09,01a59658o0634o
59658.518575,-19.499,0.543,-58,31,o,0,1.12,238.0444,6.28564,9366.16,5271.64,2.82,2.67,-67.4,-0.489,18.49,19.1,01a59658o0638o
59658.521308,-20.55,2.197,-22,48,o,0,0.83,238.0444,6.28564,9425.99,5347.83,2.85,2.73,-68.0,-0.483,18.5,19.11,01a59658o0644o
59658.526779,-19.947,0.634,-38,24,o,0,1.9,238.0444,6.28564,9446.61,5234.25,2.94,2.79,-67.5,-0.482,18.49,19.16,01a59658o0656o
59662.603796,20.586,0.798,21,17,o,0,1.11,238.0444,6.28564,1143.35,5307.3,2.94,2.65,-41.6,-0.481,19.09,20.25,01a59662o0487o
59662.607025,-21.243,1.358,-12,16,o,0,1.25,238.0444,6.28564,1165.31,5346.56,2.8,2.53,-42.2,-0.505,19.14,20.25,01a59662o0494o
59662.626282,21.385,1.895,10,19,o,0,0.96,238.0444,6.28564,1109.99,5270.01,2.86,2.58,-40.1,-0.49,19.07,20.2,01a59662o0536o
59662.638859,20.701,1.02,19,19,o,0,0.98,238.0444,6.28564,1096.93,5385.37,3.0,2.65,-26.3,-0.467,19.01,20.12,01a59662o0563o
59670.526505,-20.675,0.644,-20,12,o,0,1.13,238.0444,6.28564,2818.26,1337.99,2.89,2.77,-45.8,-0.492,19.38,20.98,01a59670o0687o
59670.52833,20.161,0.388,31,12,o,0,1.65,238.0444,6.28564,2796.42,1296.34,2.82,2.67,-44.4,-0.506,19.4,20.98,01a59670o0691o
59670.532431,-23.038,5.583,-2,12,o,0,1.41,238.0444,6.28564,2857.86,1374.78,2.82,2.71,-30.4,-0.489,19.4,20.99,01a59670o0700o
59670.54224,20.832,0.716,17,12,o,0,1.6,238.0444,6.28564,2874.41,1253.58,2.89,2.75,-50.3,-0.494,19.42,20.99,01a59670o0721o
59676.560027,19.111,0.138,82,11,c,0,1.51,238.0444,6.28564,6319.11,9531.06,2.84,2.47,35.9,-0.389,19.62,21.69,02a59676o0685c
59676.56738,19.206,0.149,75,11,c,0,1.6,238.0444,6.28564,6299.11,9497.01,2.92,2.49,40.0,-0.386,19.59,21.69,02a59676o0701c
59676.572001,18.817,0.092,108,10,c,0,1.93,238.0444,6.28564,6356.67,9574.99,2.89,2.52,39.6,-0.389,19.59,21.67,02a59676o0711c
59676.589387,19.172,0.144,78,11,c,0,1.16,238.0444,6.28564,6375.83,9457.92,2.89,2.5,39.0,-0.391,19.56,21.64,02a59676o0749c
59680.449915,19.052,0.23,87,20,o,0,0.96,238.0444,6.28564,7190.97,1558.62,2.94,2.77,-48.1,-0.486,19.02,20.17,01a59680o0481o
59680.452652,19.034,0.461,88,41,o,0,1.76,238.0444,6.28564,7170.4,1519.44,2.87,2.72,-48.1,-0.493,18.0,19.21,01a59680o0487o
59680.489572,18.11,0.083,207,17,c,0,1.63,238.0444,6.28564,4275.55,1045.14,2.41,2.21,57.4,-0.433,18.8,20.44,02a59680o0566c
59680.491398,18.435,0.133,154,20,c,0,1.14,238.0444,6.28564,4294.93,1081.59,2.41,2.24,55.5,-0.425,18.82,20.53,02a59680o0570c
59680.494604,18.529,0.146,141,20,c,0,1.09,238.0444,6.28564,4237.02,1006.12,2.36,2.22,60.6,-0.433,18.8,20.48,02a59680o0577c
59680.51478,18.668,0.207,124,26,c,0,1.25,238.0444,6.28564,4218.19,1122.43,2.39,2.25,57.3,-0.43,18.42,20.12,02a59680o0620c
59680.531588,18.443,0.229,152,35,o,0,0.8,238.0444,6.28564,7229.28,1574.38,3.0,2.94,-40.1,-0.455,18.76,20.22,01a59680o0522o
59682.459372,18.531,0.127,140,18,o,0,0.86,238.0444,6.28564,7192.64,1555.92,2.75,2.53,-51.8,-0.513,18.92,19.85,01a59682o0497o
59682.461192,18.829,0.302,107,32,o,0,1.12,238.0444,6.28564,7171.64,1517.85,2.73,2.5,-50.6,-0.536,18.41,19.26,01a59682o0501o
59682.468045,19.267,0.328,71,23,o,0,0.91,238.0444,6.28564,7230.39,1595.03,2.77,2.58,-56.6,-0.514,18.88,19.78,01a59682o0516o
59682.474883,19.024,0.263,89,24,o,0,1.02,238.0444,6.28564,7248.76,1474.89,2.91,2.68,-47.5,-0.496,18.84,19.85,01a59682o0531o
59683.424359,19.307,0.354,69,24,o,0,1.11,238.0444,6.28564,7189.65,1564.67,2.84,2.7,-48.8,-0.498,18.66,19.51,01a59683o0412o
59683.458988,19.01,0.258,90,23,o,0,1.13,238.0444,6.28564,7170.95,1513.94,2.76,2.62,-53.2,-0.501,18.67,19.51,01a59683o0484o
59683.487762,18.67,0.145,124,18,o,0,1.74,238.0444,6.28564,7230.8,1583.73,2.68,2.57,-59.1,-0.511,18.85,19.72,01a59683o0541o
59683.493497,18.47,0.148,149,22,o,0,1.1,238.0444,6.28564,7250.19,1467.72,2.77,2.7,-54.0,-0.495,18.83,19.73,01a59683o0553o
59684.460285,18.893,0.22,101,22,o,0,1.33,238.0444,6.28564,7421.4,3470.17,2.44,1.91,29.5,-0.421,18.73,19.07,02a59684o0486o
